date,home_time,school_time,working,orthers,travel_time,recreational_activities,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
09:05:2013,82202.0,601.0,0.0,1199.0,1198.0,9600.0,0.0,3,1.0,13500.0,13,"Haldeman Center,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,0,0,0,0,0,0,0,0,0,0,0,0"
10:04:2013,64801.0,12001.0,0.0,0.0,10799.0,0.0,0.0,2,0.0,10500.0,13,"Dartmouth College,Carpenter Hall,Carpenter Hall,Dartmouth College,0,0,0,0,0,0,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Haldeman Center"
10:05:2013,67833.0,4200.0,0.0,0.0,3004.0,1200.0,1763.0,4,0.0,3000.0,13,"Dartmouth College,Berry Library,Dewey Parking Lot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sunless Beauty Spray Tans,Dartmouth College,Vail,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Parking Lot,Dartmouth College,Dartmouth College,Haldeman Center"
11:04:2013,67202.0,5930.0,0.0,0.0,0.0,0.0,12067.0,3,1.0,13500.0,13,"Haldeman Center,Dewey Field Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anonymous Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse"
11:05:2013,67802.0,18640.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,13,"Haldeman Center,Thomas Hall,0,0,0,0,0,Dartmouth College,Sanborn House,Sanborn House,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
12:04:2013,68769.0,16433.0,0.0,0.0,1198.0,1200.0,0.0,4,0.0,3000.0,13,"Dartmouth College,Baker Memorial Library,Carpenter Hall,Dartmouth College,0,Carpenter Hall,Carpenter Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Dartmouth College,Dartmouth College,Haldeman Center"
12:05:2013,81008.0,0.0,1200.0,0.0,2392.0,3602.0,0.0,-1,0.0,0.0,13,"Stonecliff Animal Clinic,0,0,0,0,0,Berry Library"
13:04:2013,67200.0,17864.0,0.0,1197.0,0.0,0.0,0.0,5,0.0,0.0,13,"Haldeman Center,Shaw's,0,0,Sanborn House,Sanborn House,Sanborn House,0,0,0,0,0,0,0,0,0,0,0,0,0"
13:05:2013,57603.0,17998.0,600.0,0.0,8397.0,0.0,0.0,0,0.0,10500.0,13,"Carpenter Hall,0,0,0,0,0,0,0,Stonecliff Animal Clinic,0,Bildner Hall,Bildner Hall,Dartmouth College,Dartmouth College,Dartmouth College"
14:04:2013,130800.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,13,"0,0,0,0,0,0,0,0,0,0,0"
14:05:2013,86400.0,600.0,0.0,0.0,0.0,600.0,0.0,1,1.0,6600.0,13,"Dartmouth College,Dartmouth College,0,0,0,0,Berry Library,Moore Psychology Building,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
15:04:2013,37200.0,3534.0,0.0,0.0,1200.0,0.0,0.0,0,1.0,10500.0,13,"0,0,0,0,0,0,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,0,Dartmouth College,Dartmouth College,Haldeman Center"
15:05:2013,21000.0,64800.0,0.0,0.0,0.0,600.0,0.0,2,0.0,10500.0,13,"Dartmouth College,Dartmouth College,Carpenter Hall,Vail,0,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
16:04:2013,84000.0,1266.0,0.0,0.0,0.0,0.0,0.0,1,1.0,6600.0,13,"Haldeman Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dartmouth College,Dartmouth College"
16:05:2013,81600.0,0.0,0.0,0.0,0.0,5400.0,0.0,3,1.0,13500.0,13,"Dartmouth College,0,0,0,Berry Library,Berry Library,Dartmouth College"
17:04:2013,68400.0,19200.0,0.0,0.0,0.0,0.0,0.0,2,0.0,10500.0,13,"Haldeman Center,Haldeman Center,Carpenter Hall,Carpenter Hall,0,0,0,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Haldeman Center"
17:05:2013,76801.0,6602.0,0.0,0.0,597.0,600.0,0.0,4,0.0,3000.0,13,"Dartmouth College,Carpenter Hall,Carpenter Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College"
18:04:2013,78000.0,3600.0,0.0,3600.0,0.0,0.0,0.0,3,1.0,13500.0,13,"Haldeman Center,0,0,0,0,Pulsifer Building,Pulsifer Building,0,0,0,0,0,0,0,0,0,Dartmouth College,Dartmouth College,Bildner Hall,Bildner Hall,Life Sciences Greenhouse,Life Sciences Greenhouse"
18:05:2013,90002.0,0.0,0.0,598.0,0.0,0.0,0.0,5,0.0,0.0,13,"Dartmouth College,0,0,0,0,0,0,0"
19:04:2013,74199.0,13200.0,0.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,13,"Carpenter Hall,Carpenter Hall,0,0,0,0,0,0,0,0,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
19:05:2013,87599.0,0.0,0.0,1200.0,0.0,0.0,1201.0,-1,0.0,0.0,13,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
20:04:2013,123801.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,13,"Dartmouth College,Dartmouth College,Bildner Hall,0,0,0,0,Dartmouth College,0,0,0,0,0,0,0"
20:05:2013,29032.0,0.0,0.0,0.0,0.0,50401.0,0.0,0,1.0,10500.0,13,"0,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Berry Library,0,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
21:04:2013,84000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,13,"0,0,0,0,0,0,0,0"
21:05:2013,79806.0,0.0,0.0,1794.0,0.0,3000.0,0.0,1,1.0,6600.0,13,"Byrne II Hall,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,0,0,Hannaford,0,0,Dartmouth College,Dartmouth College,Bildner Hall,Bildner Hall"
22:04:2013,48000.0,3600.0,0.0,0.0,0.0,0.0,0.0,0,1.0,10500.0,13,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Haldeman Center"
22:05:2013,60604.0,6000.0,0.0,17996.0,1799.0,1201.0,0.0,2,1.0,10500.0,13,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Carpenter Hall,Berry Library,Goldstein Hall,Byrne II Hall,0,0,0,0,0,0,Berry Library,Dartmouth College,Dartmouth College,0"
23:04:2013,81600.0,3600.0,0.0,0.0,0.0,0.0,0.0,1,1.0,6600.0,13,"Haldeman Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dartmouth College,Dartmouth College"
23:05:2013,20400.0,0.0,0.0,0.0,2400.0,64800.0,0.0,3,1.0,13500.0,13,"0,0,0,Berry Library,0"
24:04:2013,80623.0,9377.0,0.0,0.0,0.0,0.0,0.0,2,1.0,10500.0,13,"Haldeman Center,Haldeman Center,Carpenter Hall,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
24:05:2013,11999.0,68400.0,0.0,0.0,0.0,6001.0,0.0,4,0.0,3000.0,13,"Carpenter Hall,Carpenter Hall,0,Baker Memorial Library,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College"
25:04:2013,72043.0,5961.0,0.0,0.0,1197.0,3599.0,0.0,3,1.0,13500.0,13,"Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G Lot Parking,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Class of 1978 Life Sciences Center,Life Sciences Greenhouse"
25:05:2013,56447.0,0.0,0.0,19797.0,0.0,11400.0,0.0,5,0.0,0.0,13,"Dartmouth College,Dartmouth College,Dartmouth College,0,0,Pulsifer Building,Pulsifer Building,0,0,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Berry Library"
26:04:2013,74403.0,12000.0,0.0,0.0,0.0,1200.0,0.0,4,0.0,3000.0,13,"Carpenter Hall,Carson Hall,Carpenter Hall,Dartmouth College,0,0,0,Life Sciences Greenhouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Berry Library,Dartmouth College,Dartmouth College,Haldeman Center"
26:05:2013,69600.0,4799.0,0.0,0.0,0.0,1800.0,8402.0,-1,0.0,0.0,13,"Berry Library,Baker Memorial Library,Berry Library,Dartmouth College,0,0,0,0,0,0,0,0,Murdough Center,The Arthur L. Irving Institute for Energy & Society"
27:03:2013,40797.0,6003.0,0.0,0.0,0.0,0.0,0.0,2,1.0,10500.0,13,"0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College"
27:04:2013,77296.0,14392.0,0.0,0.0,9596.0,0.0,0.0,5,0.0,0.0,13,"Haldeman Center,Dartmouth College,Dartmouth College,G Lot Parking,0,0,0,0,Sanborn House,0,0,0,0,0,0,0,0,0,0,0"
27:05:2013,76026.0,1202.0,0.0,0.0,0.0,37800.0,0.0,0,1.0,10500.0,13,"The Arthur L. Irving Institute for Energy & Society,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Bildner Hall,Bildner Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Black Family Visual Arts Center"
28:03:2013,78000.0,8402.0,0.0,0.0,0.0,0.0,0.0,3,1.0,13500.0,13,"Haldeman Center,Haldeman Center,0,0,0,0,0,0,Class of 1978 Life Sciences Center"
28:04:2013,116403.0,0.0,0.0,3597.0,0.0,0.0,0.0,-1,0.0,0.0,13,"0,Interchange Drive,Interchange Drive,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
28:05:2013,56402.0,0.0,0.0,0.0,1197.0,601.0,0.0,1,1.0,6600.0,13,"0,0,0,0,0,Berry Library,Bildner Hall,Bildner Hall,Dartmouth College,Dartmouth College,Dartmouth College"
29:03:2013,13201.0,13199.0,0.0,0.0,0.0,59999.0,0.0,4,0.0,3000.0,13,"Carpenter Hall,Berry Library,0,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Haldeman Center"
29:04:2013,34800.0,3600.0,0.0,0.0,0.0,0.0,0.0,0,1.0,10500.0,13,"0,0,0,0,0,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Haldeman Center"
29:05:2013,53996.0,18603.0,0.0,5401.0,0.0,7200.0,0.0,2,0.0,10500.0,13,"Dartmouth College,Carpenter Hall,Carpenter Hall,Dartmouth College,The Arthur L. Irving Institute for Energy & Society,The Arthur L. Irving Institute for Energy & Society,Dartmouth College,0,0,0,0,Jiffy Mart,Berry Library,Berry Library,Moore Psychology Building,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Haldeman Center"
30:03:2013,60000.0,4800.0,0.0,0.0,37200.0,0.0,1200.0,5,0.0,0.0,13,"Haldeman Center,0,Dulac Street,0,0,0,0,0,0,Glen Road Plaza,0"
30:04:2013,84000.0,1200.0,0.0,0.0,0.0,0.0,0.0,1,1.0,6600.0,13,"Haldeman Center,Dartmouth College,Bildner Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
30:05:2013,82476.0,0.0,0.0,9600.0,2400.0,600.0,0.0,3,1.0,13500.0,13,"Dartmouth College,G Lot Parking,0,Pulsifer Building,Pulsifer Building,0,0,Mobil,0,Mobil,0,Jiffy Mart,0,0"
31:03:2013,78000.0,0.0,0.0,2400.0,0.0,0.0,0.0,-1,0.0,0.0,13,"0,0,0,0,0,Trinity,Trinity,0"
31:05:2013,69000.0,0.0,0.0,9600.0,600.0,0.0,0.0,4,1.0,3000.0,13,"0,0,0,0,0,0,School Street School,RE/MAX"
