date,recreational_activities,home_time,school_time,travel_time,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names
17:04:2013,34800.0,38336.0,3600.0,0.0,0.0,2,0.0,0.0,55,"Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College"
18:04:2013,3600.0,73264.0,10800.0,0.0,0.0,3,0.0,0.0,55,"Dartmouth College,Dartmouth College,Carpenter Hall,Carpenter Hall,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library"
19:04:2013,22898.0,63526.0,1108.0,0.0,0.0,4,0.0,0.0,55,"Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Lord Hall,Vail,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
20:04:2013,7200.0,80556.0,1112.0,0.0,0.0,5,0.0,0.0,55,"Dartmouth College,The Irving Institute for Energy & Society,Dartmouth College,Dartmouth College,Dartmouth College,Maxwell Hall,Dartmouth College,Maxwell Hall,Baker Memorial Library"
21:04:2013,25640.0,58481.0,0.0,0.0,0.0,-1,0.0,0.0,55,"Baker Memorial Library,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Baker Memorial Library"
22:04:2013,37039.0,50399.0,0.0,0.0,1361.0,0,0.0,0.0,55,"Dartmouth College,Baker Memorial Library,Baker Memorial Library,0,Starbucks,Starbucks,Baker Memorial Library,Baker Memorial Library,Dartmouth College"
23:04:2013,13042.0,68493.0,0.0,0.0,0.0,1,0.0,0.0,55,"Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,Dartmouth College"
24:04:2013,52351.0,76864.0,0.0,0.0,0.0,2,0.0,0.0,55,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College"
25:04:2013,0.0,44400.0,0.0,0.0,0.0,3,0.0,0.0,55,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
26:04:2013,31780.0,58189.0,0.0,0.0,0.0,4,0.0,0.0,55,"Dartmouth College,Dartmouth College,Baker Memorial Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College"
27:03:2013,0.0,3542.0,3620.0,0.0,0.0,2,0.0,0.0,55,"Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
27:04:2013,26399.0,43133.0,12156.0,0.0,0.0,5,0.0,0.0,55,"The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Carson Hall,Baker Memorial Library,Dartmouth College,Dartmouth College"
28:03:2013,6110.0,61852.0,19235.0,0.0,0.0,3,0.0,0.0,55,"Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,MacLean Engineering Sciences Center,0,Dartmouth College,Dartmouth College,The Arthur L. Irving Institute for Energy & Society,The Irving Institute for Energy & Society,MacLean Engineering Sciences Center,Dartmouth College"
28:04:2013,8438.0,64850.0,14381.0,0.0,0.0,-1,0.0,0.0,55,"Dartmouth College,Carson Hall,Carson Hall,Dartmouth College,Maxwell Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Carson Hall,Dartmouth College,Dartmouth College"
29:03:2013,7199.0,76492.0,0.0,0.0,2446.0,4,0.0,0.0,55,"Dartmouth College,0,Dartmouth College,Dartmouth College,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
29:04:2013,0.0,74572.0,10801.0,0.0,0.0,0,0.0,0.0,55,"Carson Hall,Carson Hall,Dartmouth College,Dartmouth College,Maxwell Hall,0,Dartmouth College,Dartmouth College"
29:05:2013,44377.0,15624.0,0.0,0.0,0.0,2,0.0,0.0,55,"Berry Library,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Baker Memorial Library"
30:03:2013,4862.0,72211.0,0.0,10800.0,0.0,5,0.0,0.0,55,"Dartmouth College,Dartmouth College,Courtyard Marriott,0"
30:04:2013,1156.0,124851.0,0.0,0.0,0.0,1,0.0,0.0,55,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
30:05:2013,15639.0,52761.0,17489.0,0.0,0.0,3,0.0,0.0,55,"Baker Memorial Library,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,F Lot Parking"
31:03:2013,115200.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,55,"Courtyard Marriott,Courtyard Marriott,Courtyard Marriott,Courtyard Marriott,Courtyard Marriott,Courtyard Marriott"
