date,home_time,orthers,school_time,travel_time,working,recreational_activities,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
20:04:2013,147617.0,0.0,3601.0,3600.0,0.0,8399.0,0.0,5,0.0,0.0,43,"Dartmouth College,Dartmouth College,Dartmouth College,0,Sudikoff Hall,Hopkins Center for the Arts,Class of 1953 Commons,Dartmouth College"
21:04:2013,0.0,0.0,6000.0,0.0,3600.0,0.0,0.0,-1,0.0,0.0,43,"Wheelock Office Park,0,0"
21:05:2013,7200.0,0.0,0.0,0.0,12000.0,0.0,0.0,1,1.0,10500.0,43,"Wheelock Office Park,Dartmouth College"
22:04:2013,13200.0,0.0,7200.0,64800.0,6000.0,0.0,0.0,0,0.0,7800.0,43,"0,0,0,0,0,0,0,Wheelock Office Park,0,Dartmouth College"
22:05:2013,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,2,1.0,14400.0,43,"Sudikoff Hall,Sudikoff Hall"
23:04:2013,12000.0,0.0,66000.0,0.0,3600.0,0.0,0.0,1,0.0,10500.0,43,"Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Wheelock Office Park,Dartmouth College"
24:04:2013,2400.0,0.0,72000.0,0.0,9600.0,0.0,0.0,2,0.0,14400.0,43,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Wheelock Office Park,Wheelock Office Park"
25:04:2013,0.0,0.0,133374.0,19200.0,7200.0,0.0,0.0,3,0.0,6900.0,43,"Wheelock Office Park,0,0,Maynard Parking Lot,0,Sudikoff Hall"
26:04:2013,14400.0,0.0,0.0,1200.0,3600.0,0.0,0.0,4,1.0,6000.0,43,"Wheelock Office Park,Life Sciences Greenhouse,0,Dartmouth College"
27:04:2013,13200.0,21920.0,0.0,0.0,50400.0,0.0,0.0,5,0.0,0.0,43,"Dartmouth College,Wheelock Office Park,0"
28:03:2013,0.0,0.0,442980.0,0.0,0.0,0.0,0.0,3,0.0,6900.0,43,Sudikoff Hall
28:04:2013,0.0,0.0,140878.0,13922.0,0.0,0.0,0.0,-1,0.0,0.0,43,"F Lot Parking,F Lot Parking,F Lot Parking,0"
29:04:2013,13202.0,1198.0,0.0,0.0,4800.0,0.0,0.0,0,1.0,7800.0,43,"Wheelock Office Park,Life Sciences Greenhouse,0,Dartmouth College"
30:04:2013,2400.0,0.0,64800.0,0.0,15600.0,0.0,0.0,1,0.0,10500.0,43,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Wheelock Office Park"
