date,home_time,recreational_activities,school_time,travel_time,orthers,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
09:04:2013,76799.0,0.0,8401.0,0.0,0.0,0.0,0.0,1,0.0,3900.0,23,"Haldeman Center,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons"
09:05:2013,62400.0,1200.0,0.0,0.0,0.0,0.0,0.0,3,1.0,7800.0,23,"North Massachusetts Hall,Berry Library,Dartmouth College,Dartmouth College,North Massachusetts Hall"
10:04:2013,57601.0,8400.0,21599.0,0.0,0.0,0.0,0.0,2,0.0,11700.0,23,"Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Haldeman Center"
10:05:2013,89103.0,2400.0,0.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,23,"North Massachusetts Hall,Dartmouth College,Alumni Gymnasium,North Massachusetts Hall"
11:04:2013,73202.0,3599.0,6000.0,0.0,1199.0,1200.0,0.0,3,0.0,7800.0,23,"Haldeman Center,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Coldwell Banker,Sigma Delta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College"
11:05:2013,156128.0,1199.0,0.0,0.0,0.0,11998.0,0.0,5,0.0,0.0,23,"North Massachusetts Hall,Hopkins Center for the Arts,Dartmouth College,Bones Gate,North Massachusetts Hall,North Massachusetts Hall,Goldstein Hall,Goldstein Hall,Zeta Psi,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall"
12:04:2013,67200.0,8400.0,12000.0,0.0,0.0,0.0,0.0,4,0.0,9000.0,23,"Class of 1953 Commons,Class of 1953 Commons,Collis Student Center,Collis Student Center,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Collis Student Center,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Haldeman Center"
13:04:2013,64800.0,8400.0,9600.0,0.0,2400.0,0.0,0.0,5,0.0,0.0,23,"Haldeman Center,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,0,Brace Commons,Brace Commons,Collis Student Center,Dartmouth College,Dartmouth College,North Massachusetts Hall,Dartmouth College,Class of 1953 Commons"
13:05:2013,98402.0,3599.0,0.0,3600.0,0.0,0.0,0.0,0,1.0,11700.0,23,"North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,Six South Street,South Block Parking Garage,South Block Parking Garage,North Massachusetts Hall"
14:04:2013,82800.0,0.0,3600.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,23,"Class of 1953 Commons,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall"
14:05:2013,57600.0,0.0,3601.0,0.0,0.0,0.0,0.0,1,0.0,3900.0,23,"North Massachusetts Hall,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons"
15:04:2013,79198.0,2402.0,6000.0,0.0,0.0,0.0,0.0,0,1.0,11700.0,23,"North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,0,North Massachusetts Hall,North Massachusetts Hall,Collis Student Center,North Massachusetts Hall,North Massachusetts Hall,Haldeman Center"
15:05:2013,85600.0,2400.0,0.0,0.0,0.0,0.0,0.0,2,1.0,11700.0,23,"Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College"
16:04:2013,85200.0,0.0,6000.0,0.0,0.0,0.0,0.0,1,0.0,3900.0,23,"Haldeman Center,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall"
16:05:2013,84000.0,0.0,2400.0,0.0,0.0,0.0,0.0,3,1.0,7800.0,23,"Dartmouth College,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons"
17:04:2013,70801.0,6000.0,3599.0,0.0,0.0,0.0,0.0,2,1.0,11700.0,23,"North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Topliff Hall,Collis Student Center,Collis Student Center,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons"
17:05:2013,82141.0,7199.0,1200.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,23,"Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Berry Library,Berry Library,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall"
18:04:2013,78000.0,0.0,9600.0,0.0,0.0,0.0,0.0,3,0.0,7800.0,23,"Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Middle Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Life Sciences Greenhouse"
18:05:2013,80610.0,0.0,1199.0,8343.0,0.0,0.0,0.0,5,0.0,0.0,23,"North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,Dartmouth College,Dartmouth College,South Block Parking Garage,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,North Massachusetts Hall"
19:04:2013,26305.0,8496.0,6000.0,0.0,0.0,0.0,44943.0,4,1.0,9000.0,23,"Class of 1953 Commons,Class of 1953 Commons,Collis Student Center,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,Wheeler Hall,0,Dartmouth College,Wheeler Hall,Wheeler Hall,Observatory Road,North Massachusetts Hall,Class of 1953 Commons"
19:05:2013,93517.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,23,"North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College"
20:04:2013,96000.0,0.0,7200.0,0.0,0.0,0.0,0.0,5,0.0,0.0,23,"Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College"
20:05:2013,92890.0,7201.0,2400.0,0.0,0.0,0.0,0.0,0,1.0,11700.0,23,"North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall"
21:04:2013,62400.0,2400.0,4800.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,23,"North Massachusetts Hall,Collis Student Center,Collis Student Center,North Massachusetts Hall,North Massachusetts Hall,Berry Library,Berry Library,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Sarner Underground"
21:05:2013,58327.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,3900.0,23,"North Massachusetts Hall,Dartmouth College,North Massachusetts Hall"
22:04:2013,63600.0,2400.0,21565.0,0.0,0.0,0.0,0.0,0,0.0,11700.0,23,"North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Haldeman Center"
22:05:2013,97444.0,2400.0,0.0,0.0,1243.0,0.0,0.0,2,1.0,11700.0,23,"North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,North Massachusetts Hall,0,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall"
23:04:2013,81600.0,0.0,3635.0,0.0,0.0,0.0,0.0,1,0.0,3900.0,23,"Haldeman Center,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall"
23:05:2013,55200.0,1200.0,9600.0,3600.0,0.0,0.0,0.0,3,0.0,7800.0,23,"North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,Berry Library,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,0"
24:04:2013,92400.0,1200.0,6000.0,0.0,0.0,0.0,0.0,2,1.0,11700.0,23,"Haldeman Center,Haldeman Center,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Topliff Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall"
24:05:2013,102000.0,2400.0,1200.0,0.0,1200.0,0.0,0.0,4,1.0,9000.0,23,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,0,North Massachusetts Hall"
25:04:2013,68316.0,0.0,3600.0,0.0,1200.0,0.0,0.0,3,1.0,7800.0,23,"North Massachusetts Hall,0,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Collis Student Center"
25:05:2013,175176.0,0.0,4800.0,0.0,0.0,0.0,0.0,5,0.0,0.0,23,"North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall"
26:04:2013,270382.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,23,North Massachusetts Hall
27:03:2013,43200.0,0.0,4800.0,0.0,0.0,0.0,0.0,2,1.0,11700.0,23,"Dartmouth College,North Massachusetts Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Haldeman Center"
27:05:2013,34824.0,20349.0,1195.0,0.0,0.0,0.0,0.0,0,1.0,11700.0,23,"Berry Library,Berry Library,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Dartmouth College"
28:03:2013,76802.0,1199.0,7200.0,0.0,0.0,0.0,0.0,3,0.0,7800.0,23,"Haldeman Center,Class of 1953 Commons,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,North Massachusetts Hall,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:05:2013,34672.0,31292.0,3664.0,0.0,0.0,16744.0,0.0,1,0.0,3900.0,23,"North Massachusetts Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Berry Library,0,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,Berry Library,Berry Library,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College"
29:03:2013,61199.0,0.0,26400.0,0.0,0.0,0.0,0.0,4,0.0,9000.0,23,"Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,North Massachusetts Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Haldeman Center"
29:04:2013,0.0,425628.0,0.0,0.0,0.0,0.0,0.0,0,1.0,11700.0,23,Red Rock Coffee
29:05:2013,151327.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,11700.0,23,Dartmouth College
30:03:2013,76228.0,0.0,4800.0,0.0,4172.0,0.0,0.0,5,0.0,0.0,23,"Haldeman Center,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,0,North Massachusetts Hall,North Massachusetts Hall"
30:05:2013,39599.0,0.0,2401.0,0.0,0.0,0.0,0.0,3,1.0,7800.0,23,"Haldeman Center,Dartmouth College,Haldeman Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall"
31:03:2013,62400.0,10800.0,13200.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,23,"Class of 1953 Commons,Class of 1953 Commons,0,Baker Memorial Library,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College"
31:05:2013,72847.0,0.0,3563.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,23,"North Massachusetts Hall,Sudikoff Hall,Sudikoff Hall,Collis Student Center,North Massachusetts Hall"
