date,home_time,recreational_activities,school_time,travel_time,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names
13:04:2013,11999.0,127838.0,2400.0,33600.0,0.0,5,0.0,0.0,26,"Moore Psychology Building,Moore Psychology Building,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,Alumni Gymnasium"
13:05:2013,0.0,0.0,0.0,173270.0,0.0,0,1.0,3900.0,26,Lodge Parking Lot
15:04:2013,51596.0,20403.0,3600.0,8400.0,0.0,0,0.0,3900.0,26,"The Lodge,Hopkins Center for the Arts,Hopkins Center for the Arts,Baker Memorial Library,Berry Library,Baker Memorial Library,Berry Library,Berry Library,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Lodge Parking Lot,Lodge Parking Lot,Moore Psychology Building"
15:05:2013,39601.0,0.0,2397.0,3599.0,2404.0,2,1.0,17100.0,26,"Dartmouth College,Dartmouth College,0,Four Seasons | Sotheby's,Moore Psychology Building"
16:04:2013,46801.0,28798.0,2399.0,7202.0,0.0,1,1.0,13200.0,26,"Moore Psychology Building,Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot,West Stands,Alumni Gymnasium,Alumni Gymnasium,The Lodge,Lodge Parking Lot,Dartmouth College,Dartmouth College,Lodge Parking Lot,Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,The Lodge,Lodge Parking Lot,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College,Sudikoff Hall,Dartmouth College"
16:05:2013,778304.0,8400.0,5998.0,3602.0,9602.0,3,1.0,9900.0,26,"Moore Psychology Building,Alumni Gymnasium,Alumni Gymnasium,Lodge Parking Lot,0,Dartmouth College,Dartmouth Outing Club House,Dartmouth Outing Club House,Dartmouth College,Dartmouth College,House Center B,House Center B,Dartmouth College"
17:04:2013,0.0,0.0,2406.0,85357.0,0.0,2,1.0,17100.0,26,"Lodge Parking Lot,Lodge Parking Lot,Moore Psychology Building"
18:04:2013,33599.0,12568.0,6000.0,27603.0,6000.0,3,1.0,9900.0,26,"Moore Psychology Building,Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,Sudikoff Hall,Sudikoff Hall,0,Lodge Parking Lot,Lodge Parking Lot,Lodge Parking Lot,4 Currier Place Parking Lot,Lodge Parking Lot,Four Seasons | Sotheby's,The Lodge,The Lodge,Four Seasons | Sotheby's,Lodge Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse"
19:04:2013,52800.0,10800.0,3599.0,14401.0,4800.0,4,0.0,3000.0,26,"Lodge Parking Lot,Lodge Parking Lot,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Four Seasons | Sotheby's,Lodge Parking Lot,Collis Student Center,Lodge Parking Lot,Lodge Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Moore Psychology Building"
20:04:2013,22800.0,1200.0,1200.0,79807.0,0.0,5,0.0,0.0,26,"Moore Psychology Building,Hopkins Center for the Arts,Lodge Parking Lot,The Lodge,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Lodge Parking Lot,Lodge Parking Lot"
21:04:2013,67206.0,1200.0,4800.0,1200.0,2400.0,-1,0.0,0.0,26,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Berry Library,Dartmouth College,Dartmouth College,Gile Hall,House Center B,0,Four Seasons | Sotheby's,Four Seasons | Sotheby's,The Lodge"
22:04:2013,63600.0,5999.0,4800.0,3601.0,0.0,0,0.0,3900.0,26,"Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Lodge Parking Lot,The Lodge,Moore Psychology Building"
23:04:2013,26415.0,9600.0,29061.0,22788.0,0.0,1,0.0,13200.0,26,"Moore Psychology Building,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Lodge Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Carson Hall,Lodge Parking Lot,Alumni Gymnasium,Alumni Gymnasium,Lodge Parking Lot,Lodge Parking Lot,Dartmouth College,Lodge Parking Lot"
24:04:2013,57599.0,5998.0,0.0,20401.0,1200.0,2,1.0,17100.0,26,"Alumni Gymnasium,Dartmouth College,Dartmouth College,The Lodge,Lodge Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Lodge Parking Lot,Four Seasons | Sotheby's,Hanover Public Parking Garage,Lodge Parking Lot,Lodge Parking Lot,The Lodge,Lodge Parking Lot,Hopkins Center for the Arts"
25:04:2013,140966.0,9600.0,0.0,4800.0,0.0,3,1.0,9900.0,26,"Hopkins Center for the Arts,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Lodge Parking Lot,Lodge Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
25:05:2013,62831.0,13198.0,0.0,0.0,0.0,5,0.0,0.0,26,"Berry Library,Baker Memorial Library,Baker Memorial Library,Andres Hall,Dartmouth College,Dartmouth College"
26:04:2013,11999.0,0.0,3600.0,1200.0,0.0,4,0.0,3000.0,26,"Lodge Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Moore Psychology Building"
26:05:2013,99679.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,26,Dartmouth College
27:04:2013,7200.0,10800.0,1200.0,90000.0,0.0,5,0.0,0.0,26,"Moore Psychology Building,Hopkins Center for the Arts,Hopkins Center for the Arts,Alumni Gymnasium,Alumni Gymnasium,Lodge Parking Lot,Lodge Parking Lot,Dartmouth College,Dartmouth College,Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot"
27:05:2013,57617.0,0.0,0.0,0.0,0.0,0,1.0,3900.0,26,Dartmouth College
28:03:2013,71346.0,4799.0,3600.0,7203.0,0.0,3,1.0,9900.0,26,"Dartmouth College,Dartmouth College,Lodge Parking Lot,Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Lodge Parking Lot,Lodge Parking Lot,Dartmouth College,Dartmouth College,Dana Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,0.0,2400.0,0.0,93124.0,0.0,-1,0.0,0.0,26,"Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Lodge Parking Lot"
28:05:2013,120376.0,0.0,0.0,0.0,0.0,1,1.0,13200.0,26,Dartmouth College
29:03:2013,53955.0,18002.0,7203.0,7200.0,0.0,4,0.0,3000.0,26,"Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,Alumni Gymnasium,Alumni Gymnasium,Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Moore Psychology Building"
29:04:2013,48000.0,2400.0,0.0,3600.0,0.0,0,1.0,3900.0,26,"Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Lodge Parking Lot,Lodge Parking Lot,Hopkins Center for the Arts"
29:05:2013,1201.0,0.0,0.0,4799.0,0.0,2,1.0,17100.0,26,"Dartmouth College,Lodge Parking Lot,Lodge Parking Lot,Dartmouth College"
30:03:2013,1200.0,24000.0,1200.0,72000.0,0.0,5,0.0,0.0,26,"Moore Psychology Building,Dartmouth College,Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,Alumni Gymnasium"
30:04:2013,22800.0,7200.0,0.0,63600.0,0.0,1,1.0,13200.0,26,"Hopkins Center for the Arts,0,Lodge Parking Lot,Lodge Parking Lot,Lodge Parking Lot,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Lodge Parking Lot"
31:03:2013,104399.0,1201.0,0.0,0.0,0.0,-1,0.0,0.0,26,"Alumni Gymnasium,Dartmouth College"
