date,home_time,school_time,recreational_activities,orthers,travel_time,shopping,date_in_week,cut_class,class_schedule,volunteer
22:04:2013 ,104401.0,0.0,0.0,0.0,0.0,1199.0,0,0.0,0.0,52
22:05:2013 ,92903.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,52
23:04:2013 ,61200.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,52
23:05:2013 ,76800.0,0.0,1200.0,0.0,0.0,0.0,3,0.0,0.0,52
24:04:2013 ,85200.0,0.0,1200.0,3600.0,0.0,0.0,2,0.0,0.0,52
24:05:2013 ,97800.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,52
25:04:2013 ,64374.0,0.0,0.0,0.0,0.0,7626.0,3,0.0,0.0,52
25:05:2013 ,166200.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,52
26:04:2013 ,111600.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,52
27:03:2013 ,79281.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,52
27:04:2013 ,90000.0,0.0,0.0,1200.0,0.0,0.0,5,0.0,0.0,52
27:05:2013 ,81600.0,0.0,600.0,600.0,0.0,0.0,0,0.0,0.0,52
28:03:2013 ,50400.0,3600.0,0.0,0.0,0.0,0.0,3,0.0,0.0,52
28:04:2013 ,88800.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,52
28:05:2013 ,85800.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,52
29:03:2013 ,103200.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,52
29:04:2013 ,56400.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52
29:05:2013 ,107942.0,599.0,0.0,0.0,0.0,0.0,2,0.0,0.0,52
30:03:2013 ,67199.0,0.0,0.0,1200.0,0.0,1201.0,5,0.0,0.0,52
30:04:2013 ,92400.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,52
30:05:2013 ,90051.0,0.0,0.0,6009.0,0.0,0.0,3,0.0,0.0,52
31:03:2013 ,103208.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,52
31:05:2013 ,83999.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,52
