date,home_time,recreational_activities,school_time,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names
24:05:2013,34691.0,0.0,59513.0,0.0,4,0.0,6000.0,18,"House Center B,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,House Center B,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,House Center B"
25:04:2013,18001.0,0.0,68399.0,0.0,3,0.0,6900.0,18,"Dartmouth College,Dartmouth College,Rockefeller Center,Dartmouth College,Dartmouth College,House Center B,House Center B,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
25:05:2013,64799.0,5400.0,9001.0,0.0,5,0.0,0.0,18,"House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,Berry Library,Berry Library,Dartmouth College,House Center B"
26:04:2013,62804.0,1200.0,21597.0,3199.0,4,0.0,6000.0,18,"Dartmouth College,House Center B,House Center B,Dartmouth College,Dana Circle Parking Lot,Life Sciences Greenhouse,Dana Circle Parking Lot,Haldeman Center,Dartmouth College,House Center B,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Berry Library,House Center B"
26:05:2013,20584.0,0.0,601.0,217800.0,-1,0.0,0.0,18,"House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Mass Parking Lot"
27:03:2013,4800.0,3599.0,39601.0,0.0,2,0.0,14400.0,18,"House Center B,House Center B,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall,Dartmouth College,Dartmouth College,Berry Library,Berry Library"
27:04:2013,81601.0,0.0,2399.0,0.0,5,0.0,0.0,18,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,MacLean Engineering Sciences Center,MacLean Engineering Sciences Center"
28:03:2013,14398.0,15600.0,56403.0,0.0,3,0.0,6900.0,18,"Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Berry Library,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Berry Library,House Center B,House Center B,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,4802.0,1123.0,158475.0,0.0,-1,0.0,0.0,18,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,House Center B"
28:05:2013,18599.0,0.0,601.0,0.0,1,1.0,10500.0,18,"House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
29:03:2013,15600.0,0.0,69601.0,0.0,4,0.0,6000.0,18,"Dartmouth College,Dartmouth College,House Center B,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,Dartmouth College,House Center B,House Center B,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College"
29:04:2013,9600.0,0.0,1200.0,0.0,0,1.0,7800.0,18,"House Center B,Hitchcock Hall,Dartmouth College"
29:05:2013,10799.0,0.0,72001.0,0.0,2,0.0,14400.0,18,"Dartmouth College,House Center B,House Center B,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,Dartmouth College,Life Sciences Greenhouse"
30:03:2013,163198.0,8399.0,74401.0,0.0,5,0.0,0.0,18,"Dartmouth College,House Center B,House Center B,Baker Memorial Library,Baker Memorial Library,House Center B,House Center B,Berry Library,Berry Library,House Center B,House Center B,Dartmouth College,House Center B,House Center B,Dartmouth College"
30:04:2013,2400.0,0.0,102000.0,0.0,1,0.0,10500.0,18,"Dartmouth College,Dartmouth College,House Center B"
30:05:2013,12000.0,0.0,0.0,0.0,3,1.0,6900.0,18,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,House Center B"
