date,travel_time,home_time,school_time,recreational_activities,orthers,working,date_in_week,cut_class,class_schedule,volunteer,location_names
16:05:2013,1800.0,48607.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,14,"Dartmouth College,North Main Street,Dartmouth College"
17:04:2013,14400.0,48345.0,0.0,0.0,0.0,0.0,2,1.0,10800.0,14,"Dartmouth College,0,North Main Street,North Main Street,0,North Main Street,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
17:05:2013,6600.0,54601.0,11399.0,7199.0,1801.0,0.0,4,0.0,9000.0,14,"Dartmouth College,0,Hannaford,0,0,North Main Street,North Main Street,Dartmouth College,Dartmouth College,Dartmouth College,Hanover Inn Dartmouth,Hanover Inn Dartmouth,Hanover Inn Dartmouth,Dartmouth College,Dartmouth College,North Main Street,Murdough Center,Murdough Center,Dartmouth College"
18:04:2013,4800.0,64111.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,14,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Main Street,North Main Street,Life Sciences Greenhouse"
18:05:2013,64800.0,23400.0,0.0,0.0,0.0,0.0,5,0.0,0.0,14,"Dartmouth College,Dartmouth College,Dartmouth College,Dewey Parking Lot,Bridge Street,North Main Street"
19:04:2013,26397.0,91200.0,0.0,0.0,8400.0,0.0,4,1.0,9000.0,14,"0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,0"
19:05:2013,25865.0,46200.0,0.0,0.0,52200.0,0.0,-1,0.0,0.0,14,"North Main Street,North Main Street,North Main Street,Pregnancy Center of the Upper Valley,North Main Street,North Main Street,G Lot Parking,Dartmouth College"
20:04:2013,15600.0,61200.0,0.0,0.0,0.0,0.0,5,0.0,0.0,14,"Dartmouth College,0,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,North Main Street,North Main Street,North Main Street,0,0,North Main Street,0,North Main Street,North Main Street,North Main Street,0"
20:05:2013,37800.0,33600.0,0.0,0.0,0.0,0.0,0,1.0,10800.0,14,"Dartmouth College,North Main Street"
21:04:2013,9600.0,53859.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,14,"Dartmouth College,0,0,0,0,0,North Main Street,North Main Street"
21:05:2013,43200.0,20724.0,0.0,0.0,2400.0,0.0,1,1.0,6900.0,14,"Dartmouth College,Hannaford,Hannaford,0,0,North Main Street,Dartmouth College"
22:04:2013,56315.0,105685.0,0.0,0.0,0.0,0.0,0,1.0,10800.0,14,"North Main Street,Dartmouth College,0,0,North Main Street,0,North Main Street,North Main Street,North Main Street,0,Dartmouth College,Dartmouth College,Dartmouth College"
22:05:2013,39570.0,52800.0,0.0,0.0,0.0,0.0,2,1.0,10800.0,14,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Main Street"
23:04:2013,0.0,15600.0,0.0,0.0,0.0,0.0,1,1.0,6900.0,14,"Dartmouth College,Dartmouth College,Dartmouth College"
23:05:2013,30594.0,84606.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,14,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dewey Parking Lot,Dartmouth College,North Main Street,Dartmouth College"
24:04:2013,0.0,83623.0,2397.0,0.0,2400.0,0.0,2,1.0,10800.0,14,"Dartmouth College,0,Dartmouth College,Dartmouth College,Hanover High School,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
24:05:2013,10205.0,39000.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,14,"Dartmouth College,North Main Street,Dartmouth College,0"
25:04:2013,33600.0,36382.0,0.0,0.0,3597.0,0.0,3,1.0,6900.0,14,"Dartmouth College,0,0,Dartmouth College,Dartmouth College,0,North Main Street,North Main Street,North Main Street,0,0,0,North Main Street,0,North Main Street,North Main Street,0,North Main Street,0,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
25:05:2013,6000.0,32893.0,0.0,1195.0,4203.0,40536.0,5,0.0,0.0,14,"Sandri,0,0,Dartmouth College,Dartmouth College,0,Hanover Veterinary Clinic,North Main Street,0,0"
26:04:2013,36000.0,68400.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,14,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Main Street,0,0,0,North Main Street,North Main Street,0,North Main Street,0,North Main Street,0,North Main Street,North Main Street,Dartmouth College,Dartmouth College,Dartmouth College"
26:05:2013,85251.0,0.0,0.0,0.0,1797.0,0.0,-1,0.0,0.0,14,"0,North Main Street,North Main Street"
27:04:2013,2399.0,84337.0,0.0,0.0,0.0,0.0,5,0.0,0.0,14,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,North Main Street,0,0"
27:05:2013,0.0,100801.0,0.0,0.0,0.0,0.0,0,1.0,10800.0,14,"Dartmouth College,Dartmouth College,0"
28:04:2013,37406.0,33358.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,14,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,0,North Main Street,0,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,0,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,Dartmouth College"
28:05:2013,1800.0,72360.0,0.0,0.0,0.0,0.0,1,1.0,6900.0,14,"North Main Street,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
29:03:2013,37200.0,44325.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,14,"Dartmouth College,North Main Street"
29:04:2013,164567.0,44397.0,0.0,0.0,0.0,0.0,0,1.0,10800.0,14,"0,0,Dartmouth College,Dartmouth College,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
29:05:2013,36338.0,62746.0,8784.0,0.0,0.0,0.0,2,1.0,10800.0,14,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,North Main Street,Life Sciences Greenhouse,Dartmouth College"
30:03:2013,0.0,15601.0,0.0,0.0,211630.0,0.0,5,0.0,0.0,14,"Dartmouth College,Dartmouth Real Estate - Sachem Village"
30:05:2013,0.0,11401.0,0.0,0.0,4799.0,0.0,3,1.0,6900.0,14,"Dartmouth College,Martha E. Diebold Real Estate,0,0,0"
