date,home_time,orthers,school_time,travel_time,recreational_activities,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
06:04:2013,50400.0,0.0,10800.0,30328.0,0.0,0.0,5,0.0,0.0,32,"Byrne II Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,North Main Street,0,North Main Street,0,0,North Main Street,North Main Street,North Main Street,0,0,0,North Main Street,North Main Street,0,North Main Street,0,North Main Street,0,North Main Street,North Main Street,0,0"
06:05:2013,13218.0,0.0,19213.0,0.0,0.0,0.0,0,0.0,0.0,32,"0,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
07:04:2013,42000.0,2399.0,13201.0,18000.0,2400.0,2400.0,-1,0.0,0.0,32,"Sudikoff Hall,Hanover Park,Hanover Park,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Berry Sports Center,0,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,0,North Main Street,North Main Street,0,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,0"
07:05:2013,40800.0,0.0,45600.0,0.0,0.0,0.0,1,0.0,0.0,32,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
08:04:2013,21600.0,0.0,37200.0,25121.0,1279.0,1520.0,0,0.0,0.0,32,"0,North Main Street,0,0,North Main Street,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Zahm Courtyard,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,0,0,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Hanover Park"
08:05:2013,6000.0,1198.0,32296.0,45600.0,1306.0,0.0,2,0.0,0.0,32,"0,North Main Street,Wilder Hall,Sudikoff Hall,Hopkins Center for the Arts,Lot 6,Lot 6,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dewey Parking Lot,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
09:04:2013,26663.0,0.0,19200.0,38555.0,1240.0,2052.0,1,0.0,0.0,32,"Hanover Park,Hopkins Center for the Arts,Lot 6,Lot 6,Dartmouth College,North Main Street,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,North Main Street,North Main Street,0,North Main Street,0,0,North Main Street,0,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0"
09:05:2013,419.0,0.0,93545.0,3181.0,0.0,0.0,3,0.0,0.0,32,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,North Main Street,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
10:04:2013,9046.0,0.0,38399.0,37755.0,0.0,0.0,2,0.0,0.0,32,"North Main Street,Wilder Hall,Sudikoff Hall,Sudikoff Hall,0,0,North Main Street,Maynard Parking Lot,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,0,North Main Street,0,North Main Street,North Main Street,0,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall"
10:05:2013,3642.0,0.0,81599.0,1200.0,5999.0,1201.0,4,0.0,0.0,32,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Hanover Park,Black Family Visual Arts Center,Black Family Visual Arts Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Wilson Hall"
11:04:2013,7201.0,0.0,79199.0,0.0,0.0,0.0,3,0.0,0.0,32,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Anonymous Hall,Sudikoff Hall,Sudikoff Hall,0,Life Sciences Greenhouse"
11:05:2013,143383.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,32,"0,0"
12:04:2013,6000.0,0.0,56377.0,24492.0,0.0,0.0,4,0.0,0.0,32,"Sudikoff Hall,Sudikoff Hall,Wilder Hall,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,North Main Street,0,Sudikoff Hall"
12:05:2013,3017.0,0.0,8400.0,0.0,0.0,0.0,-1,0.0,0.0,32,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
13:04:2013,84000.0,0.0,1223.0,1200.0,0.0,0.0,5,0.0,0.0,32,"Sudikoff Hall,0,North Main Street,0,0"
13:05:2013,47396.0,0.0,33600.0,0.0,0.0,10800.0,0,0.0,0.0,32,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hanover Park,0"
14:04:2013,2400.0,34800.0,49200.0,0.0,0.0,0.0,-1,0.0,0.0,32,"0,0,0,0,0,0,0,Sudikoff Hall,Sudikoff Hall"
14:05:2013,14400.0,19259.0,41760.0,0.0,8400.0,0.0,1,0.0,0.0,32,"0,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0"
15:04:2013,5999.0,0.0,58864.0,25137.0,0.0,0.0,0,0.0,0.0,32,"0,North Main Street,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,La Casa,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,North Main Street,0,Sudikoff Hall,Sudikoff Hall"
15:05:2013,2401.0,0.0,73199.0,0.0,0.0,96000.0,2,0.0,0.0,32,"Sudikoff Hall,Wilder Hall,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Reed Hall,Hanover Park"
16:04:2013,53999.0,0.0,15601.0,14400.0,0.0,0.0,1,0.0,0.0,32,"0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,North Main Street,0,North Main Street,0,0"
17:04:2013,4800.0,0.0,49200.0,38400.0,0.0,0.0,2,0.0,0.0,32,"Sudikoff Hall,Wilder Hall,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dewey Parking Lot,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
17:05:2013,7200.0,0.0,2400.0,0.0,0.0,94941.0,4,0.0,0.0,32,"0,Wilder Hall,Hanover Park,Hanover Park"
18:04:2013,14402.0,0.0,33598.0,1200.0,0.0,30000.0,3,0.0,0.0,32,"North Main Street,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hanover Park,0,Life Sciences Greenhouse,Steele Hall"
18:05:2013,78000.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,32,"0,0,0"
19:04:2013,4834.0,0.0,76784.0,1200.0,2398.0,1184.0,4,0.0,0.0,32,"Sudikoff Hall,Sudikoff Hall,Wilder Hall,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall,Hanover Park,Sudikoff Hall"
19:05:2013,4800.0,0.0,85059.0,0.0,0.0,0.0,-1,0.0,0.0,32,"0,0,Sudikoff Hall,Sudikoff Hall"
20:04:2013,3600.0,0.0,54000.0,35768.0,0.0,0.0,5,0.0,0.0,32,"Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,North Main Street"
20:05:2013,0.0,75600.0,0.0,0.0,0.0,0.0,0,0.0,0.0,32,"0,Stop & Shop,0"
21:04:2013,49432.0,0.0,36000.0,0.0,0.0,0.0,-1,0.0,0.0,32,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
21:05:2013,2400.0,6321.0,56401.0,14400.0,3599.0,0.0,1,0.0,0.0,32,"0,0,The Cheesecake Factory,0,Sudikoff Hall,0,Sudikoff Hall,Nugget Arcade"
22:04:2013,9600.0,0.0,66000.0,1200.0,3600.0,0.0,0,0.0,0.0,32,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,F Lot Parking"
22:05:2013,48001.0,26509.0,13199.0,0.0,0.0,1091.0,2,0.0,0.0,32,"0,Sudikoff Hall,La Casa,Wilder Hall,Wilder Hall,Nugget Arcade,Hanover Park,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,Hanover Post Office,0,Sudikoff Hall"
23:04:2013,1201.0,0.0,95998.0,1200.0,2401.0,1200.0,1,0.0,0.0,32,"Hopkins Center for the Arts,Webster Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hanover Park,Dartmouth College,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
23:05:2013,19840.0,0.0,64800.0,0.0,0.0,0.0,3,0.0,0.0,32,"0,Sudikoff Hall"
24:04:2013,82800.0,0.0,0.0,3600.0,0.0,8400.0,2,0.0,0.0,32,"0,Hanover Park,0,Lot 6,Lot 6,0"
24:05:2013,8400.0,0.0,98823.0,0.0,0.0,0.0,4,0.0,0.0,32,"0,Wilder Hall,Sudikoff Hall"
25:04:2013,2400.0,0.0,61200.0,0.0,0.0,0.0,3,0.0,0.0,32,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
25:05:2013,6600.0,0.0,131108.0,3000.0,0.0,0.0,5,0.0,0.0,32,"Sudikoff Hall,0,North Main Street,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
26:04:2013,79200.0,0.0,24095.0,3505.0,0.0,0.0,4,0.0,0.0,32,"0,Wilder Hall,Wilder Hall,Sudikoff Hall,North Main Street,Sudikoff Hall,Vail,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,Sudikoff Hall,North Main Street,0"
26:05:2013,251455.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,32,0
27:04:2013,0.0,0.0,0.0,4801.0,0.0,79199.0,5,0.0,0.0,32,"North Main Street,South Block Parking Garage,Hanover Park,Hanover Park"
28:03:2013,33600.0,0.0,15594.0,34800.0,0.0,0.0,3,0.0,0.0,32,"Sudikoff Hall,Sudikoff Hall,0,0,0,0,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,0,North Main Street,0,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,North Main Street,North Main Street,0,North Main Street,0,0,North Main Street,North Main Street,0,0,0,Sudikoff Hall"
28:04:2013,4801.0,0.0,38400.0,33600.0,0.0,0.0,-1,0.0,0.0,32,"North Main Street,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
29:03:2013,38127.0,2400.0,32673.0,13198.0,0.0,0.0,4,0.0,0.0,32,"Sudikoff Hall,Sudikoff Hall,Wilder Hall,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,North Main Street,0,0,0,Class of 1978 Life Sciences Center,Sudikoff Hall,Byrne II Hall"
29:04:2013,27563.0,0.0,46802.0,0.0,3636.0,0.0,0,0.0,0.0,32,"Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts"
29:05:2013,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,32,Life Sciences Greenhouse
30:03:2013,34804.0,0.0,6003.0,50393.0,0.0,0.0,5,0.0,0.0,32,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dewey Parking Lot,0,0,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,0,North Main Street,0,North Main Street,0"
30:04:2013,33601.0,0.0,46798.0,1202.0,3604.0,1196.0,1,0.0,0.0,32,"Hopkins Center for the Arts,Hanover Park,Hopkins Center for the Arts,Lot 6,Webster Hall,Sudikoff Hall,Sudikoff Hall,0,0"
31:03:2013,28800.0,0.0,0.0,63604.0,0.0,0.0,-1,0.0,0.0,32,"0,North Main Street,0,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,0,0,0,0,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,0,North Main Street,0,North Main Street,North Main Street,0,North Main Street"
