date,home_time,recreational_activities,working,school_time,shopping,travel_time,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names
09:05:2013,28642.0,2516.0,36047.0,14898.0,0.0,4800.0,0.0,3,0.0,0.0,58,"Native American House,Native American House,Alpha Theta,Alpha Theta,Lot 3,Lot 3,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Casque & Gauntlet Senior Society,Native American House,Native American House,Alpha Theta,Native American House,Native American House,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Native American House,Native American House,Alpha Theta,Alpha Theta,Native American House,Dartmouth College,Native American House,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Native American House,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Alpha Theta,Native American House,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Native American House,Alpha Theta,Native American House,Native American House,Alpha Theta,Dartmouth College,Alpha Theta,Native American House,Alpha Theta,Alumni Gymnasium,Alumni Gymnasium,Alpha Theta,Native American House,Native American House,Dartmouth College,Alpha Theta"
10:04:2013,25141.0,2403.0,57712.0,0.0,0.0,0.0,0.0,2,0.0,0.0,58,"Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Hopkins Center for the Arts,Hopkins Center for the Arts,Alpha Theta"
10:05:2013,28110.0,0.0,23138.0,35056.0,0.0,1192.0,0.0,4,0.0,0.0,58,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Alpha Theta,Native American House,Alpha Theta,Native American House,Native American House,Native American House,Alpha Theta,Native American House,Alpha Theta,Native American House,Native American House,Alpha Theta,Native American House,Alpha Theta,Native American House,Native American House,Alpha Theta,Native American House,Alpha Theta,Native American House,Native American House,Alpha Theta,Native American House,Native American House,Alpha Theta,Alpha Theta,Native American House,Native American House,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,0,Dartmouth College"
11:04:2013,21485.0,2513.0,53078.0,7093.0,0.0,0.0,3431.0,3,0.0,0.0,58,"Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Coldwell Banker,Coldwell Banker,Alpha Theta,Alpha Theta,Collis Student Center,Dartmouth College,Alpha Theta,Class of 1978 Life Sciences Center"
11:05:2013,64029.0,3600.0,4137.0,3601.0,0.0,14464.0,0.0,5,0.0,0.0,58,"Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Alpha Theta,Alpha Theta,Dartmouth College,Alpha Theta,Alpha Theta,Native American House,Native American House,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hood Museum of Art,Hopkins Center for the Arts,0,Dartmouth College"
12:04:2013,30000.0,2400.0,64796.0,1200.0,0.0,0.0,0.0,4,0.0,0.0,58,"Class of 1978 Life Sciences Center,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College"
12:05:2013,5382.0,1799.0,57985.0,10433.0,0.0,0.0,6604.0,-1,0.0,0.0,58,"0,Caring Family Dentistry,Caring Family Dentistry,Alpha Theta,Native American House,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Hopkins Center for the Arts,Alpha Theta,Alpha Theta,Dartmouth College,Native American House,Dartmouth College,Alpha Theta,Alpha Theta,Collis Student Center"
13:04:2013,3673.0,6003.0,222324.0,1204.0,0.0,0.0,0.0,5,0.0,0.0,58,"Alpha Theta,Dartmouth College,Dartmouth College,Blunt Alumni Center,Alpha Theta,Black Family Visual Arts Center,Black Family Visual Arts Center,Dartmouth College,Alpha Theta"
13:05:2013,16189.0,0.0,65299.0,4203.0,0.0,0.0,0.0,0,0.0,0.0,58,"Collis Student Center,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Alpha Theta,Alpha Theta"
14:05:2013,15110.0,4200.0,71401.0,1199.0,0.0,0.0,0.0,1,0.0,0.0,58,"Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Collis Student Center,Alpha Theta"
15:04:2013,6002.0,0.0,7198.0,0.0,0.0,0.0,0.0,0,0.0,0.0,58,"Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta"
15:05:2013,1315.0,1081.0,84162.0,4196.0,0.0,0.0,0.0,2,0.0,0.0,58,"Alpha Theta,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Alpha Theta,Alpha Theta,Collis Student Center,Collis Student Center,Dartmouth College,Alpha Theta"
16:04:2013,9592.0,9612.0,66001.0,1195.0,0.0,0.0,0.0,1,0.0,0.0,58,"Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Alpha Theta,Alpha Theta,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College"
16:05:2013,20880.0,600.0,7020.0,0.0,0.0,48003.0,0.0,3,0.0,0.0,58,"Alpha Theta,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,0,Alpha Theta,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
17:04:2013,12004.0,0.0,74397.0,0.0,0.0,0.0,0.0,2,0.0,0.0,58,"Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta"
17:05:2013,66949.0,0.0,16810.0,1799.0,0.0,1200.0,0.0,4,0.0,0.0,58,"Alpha Theta,0,Dartmouth College,Collis Student Center,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta"
18:04:2013,23996.0,0.0,57661.0,0.0,0.0,3544.0,0.0,3,0.0,0.0,58,"Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse"
18:05:2013,4088.0,7269.0,29833.0,0.0,0.0,56617.0,1790.0,5,0.0,0.0,58,"Alpha Theta,Starbucks,Starbucks,0,Starbucks,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Alpha Theta,Alpha Theta,0,Alpha Theta,Alpha Theta,Left Bank Books,Hanover Post Office Northbound,Nugget Arcade,Alpha Theta,0"
19:04:2013,34848.0,6000.0,43945.0,0.0,0.0,1204.0,0.0,4,0.0,0.0,58,"Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Life Sciences Greenhouse,0,Alpha Theta,Alpha Theta"
19:05:2013,7200.0,1800.0,64492.0,0.0,0.0,9000.0,0.0,-1,0.0,0.0,58,"0,0,Alpha Theta,Dartmouth College,0,0,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,0,Alpha Theta,Alpha Theta,Dartmouth College,Alpha Theta,Alpha Theta,Hopkins Center for the Arts,Alpha Theta"
20:04:2013,38340.0,26230.0,3603.0,2509.0,10748.0,0.0,6170.0,5,0.0,0.0,58,"Baker Memorial Library,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Native American House,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Lui Lui,Lui Lui,0,0,Roberts Flowers of Hanover,0,The Dowds' Country Inn & Event Center,The Dowds' Country Inn & Event Center,Mountainside Chiropractic"
20:05:2013,42004.0,2398.0,33143.0,2397.0,0.0,0.0,0.0,0,0.0,0.0,58,"Alpha Theta,Baker Memorial Library,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Collis Student Center,Alpha Theta,Alpha Theta,Dartmouth College"
21:04:2013,15427.0,0.0,44574.0,22431.0,0.0,0.0,2400.0,-1,0.0,0.0,58,"0,Alpha Theta,Alpha Theta,Carson Hall,Carson Hall,Alpha Theta,Alpha Theta,Dartmouth College,Native American House,Native American House,Alpha Theta,Alpha Theta,Dartmouth College,Alpha Theta,Alpha Theta"
21:05:2013,18664.0,9479.0,65268.0,0.0,0.0,0.0,0.0,1,0.0,0.0,58,"Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Alpha Theta,Alpha Theta,Dartmouth College,Alpha Theta"
22:04:2013,39592.0,10799.0,17024.0,21381.0,0.0,0.0,0.0,0,0.0,0.0,58,"Dartmouth College,Dartmouth College,Carson Hall,Carson Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Baker Memorial Library,Berry Library,Berry Library,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Native American House,Alpha Theta,Native American House,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
22:05:2013,64489.0,9000.0,3056.0,0.0,0.0,0.0,0.0,2,0.0,0.0,58,"Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hanover Inn Dartmouth,Hanover Inn Dartmouth,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
23:04:2013,8347.0,5947.0,225927.0,3552.0,0.0,0.0,0.0,1,0.0,0.0,58,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Native American House,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Collis Student Center,Alpha Theta"
23:05:2013,24600.0,2400.0,57537.0,0.0,0.0,1780.0,0.0,3,0.0,0.0,58,"Alpha Theta,Alpha Theta,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,0,Alpha Theta,Alpha Theta"
24:05:2013,129720.0,4204.0,20385.0,2483.0,0.0,0.0,0.0,4,0.0,0.0,58,"Collis Student Center,Collis Student Center,Collis Student Center,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Alumni Gymnasium,Alumni Gymnasium,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College"
25:04:2013,9601.0,0.0,4773.0,1261.0,0.0,0.0,0.0,3,0.0,0.0,58,"Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Life Sciences Greenhouse"
25:05:2013,9004.0,0.0,7798.0,0.0,0.0,0.0,0.0,5,0.0,0.0,58,"Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
26:04:2013,56513.0,2403.0,17947.0,8466.0,0.0,0.0,0.0,4,0.0,0.0,58,"Life Sciences Greenhouse,0,0,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Native American House,Native American House,Alpha Theta,Dartmouth College,Native American House,Alpha Theta,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Collis Student Center,Alpha Theta"
26:05:2013,30056.0,6000.0,53398.0,545.0,0.0,8401.0,0.0,-1,0.0,0.0,58,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,0,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College"
27:03:2013,0.0,0.0,37156.0,10844.0,0.0,0.0,0.0,2,0.0,0.0,58,"Alpha Theta,Alpha Theta,Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Collis Student Center,Collis Student Center,Alpha Theta"
27:04:2013,27448.0,3596.0,34840.0,19252.0,0.0,0.0,0.0,5,0.0,0.0,58,"Alpha Theta,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta,Alpha Theta,Dartmouth College,Collis Student Center,Collis Student Center,Morton Hall,Alpha Theta,Alpha Theta,Native American House,Dartmouth College,Dartmouth College,Native American House,Native American House,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Baker Memorial Library"
27:05:2013,113452.0,715.0,4800.0,0.0,0.0,0.0,0.0,0,0.0,0.0,58,"Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College"
28:03:2013,14446.0,7205.0,59953.0,4754.0,0.0,0.0,0.0,3,0.0,0.0,58,"Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Alpha Theta,Alpha Theta,Collis Student Center,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,22697.0,0.0,67448.0,3455.0,0.0,0.0,0.0,-1,0.0,0.0,58,"Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta"
28:05:2013,23401.0,0.0,16800.0,3600.0,0.0,0.0,0.0,1,0.0,0.0,58,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center"
29:03:2013,1201.0,3591.0,75680.0,5974.0,0.0,0.0,0.0,4,0.0,0.0,58,"Hopkins Center for the Arts,Dartmouth College,Alpha Theta,Alpha Theta,Alumni Gymnasium,Alpha Theta,Alpha Theta,Baker Memorial Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Alpha Theta,Alpha Theta,Collis Student Center,Alpha Theta"
29:04:2013,38453.0,1161.0,38495.0,2295.0,0.0,0.0,0.0,0,0.0,0.0,58,"Alpha Theta,Dartmouth College,Native American House,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,McCulloch Hall,McCulloch Hall,Native American House,Alpha Theta,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta"
29:05:2013,69245.0,1206.0,14338.0,2518.0,0.0,0.0,0.0,2,0.0,0.0,58,"Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta"
30:03:2013,8090.0,8437.0,69288.0,0.0,0.0,0.0,0.0,5,0.0,0.0,58,"Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Alpha Theta,Alpha Theta"
30:04:2013,49095.0,0.0,27964.0,12523.0,0.0,0.0,0.0,1,0.0,0.0,58,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Native American House,Alpha Theta,Dartmouth College,Alpha Theta,Native American House,Dartmouth College,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College"
30:05:2013,58800.0,0.0,23400.0,600.0,0.0,0.0,0.0,3,0.0,0.0,58,"Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Alpha Theta,Alpha Theta,Dartmouth College"
31:03:2013,36005.0,0.0,39600.0,9697.0,0.0,0.0,0.0,-1,0.0,0.0,58,"Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Alpha Theta,Dartmouth College"
31:05:2013,42600.0,0.0,600.0,0.0,0.0,0.0,0.0,4,0.0,0.0,58,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College"
