date,home_time,school_time,shopping,orthers,recreational_activities,working,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names
06:04:2013,75601.0,15599.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Ripley Hall,Dartmouth College,Sudikoff Hall"
06:05:2013,76800.0,0.0,0.0,0.0,6000.0,0.0,0.0,0,1.0,7800.0,11,"Dartmouth College,Ripley Hall,Ripley Hall,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
07:04:2013,78000.0,1200.0,0.0,0.0,6000.0,0.0,0.0,-1,0.0,0.0,11,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Alumni Gymnasium,Dartmouth College"
07:05:2013,84000.0,4799.0,2400.0,0.0,8401.0,0.0,0.0,1,1.0,10500.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Observatory Road,Ripley Hall,Ripley Hall,Alumni Gymnasium,Alumni Gymnasium,Observatory Road,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Smith Hall,Ripley Hall,Ripley Hall,Smith Hall,Ripley Hall,Ripley Hall,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
08:04:2013,70800.0,9600.0,0.0,0.0,1200.0,0.0,0.0,0,0.0,7800.0,11,"Dartmouth College,Ripley Hall,Woodward Hall,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
08:05:2013,72000.0,0.0,0.0,0.0,1200.0,0.0,0.0,2,1.0,14400.0,11,"Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Woodward Hall,Smith Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Woodward Hall,Ripley Hall,Woodward Hall,Ripley Hall,Smith Hall,Ripley Hall,Smith Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
09:04:2013,74402.0,4802.0,1200.0,0.0,5996.0,0.0,0.0,1,1.0,10500.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Sudikoff Hall,Berry Library,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dewey Field Road,Sudikoff Hall"
09:05:2013,81601.0,0.0,1200.0,0.0,1200.0,0.0,5999.0,3,1.0,6900.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Hopkins Center for the Arts,Ripley Hall,Observatory Road,Ripley Hall,Ripley Hall,Smith Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
10:04:2013,76802.0,8400.0,0.0,0.0,1198.0,1200.0,0.0,2,1.0,14400.0,11,"Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Woodward Hall,Ripley Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
10:05:2013,80401.0,2399.0,0.0,0.0,1200.0,0.0,0.0,4,1.0,6000.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Vail,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
11:04:2013,79200.0,0.0,1200.0,0.0,4800.0,0.0,0.0,3,1.0,6900.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Alumni Gymnasium,Alumni Gymnasium,Ripley Hall,Ripley Hall,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Observatory Road,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
11:05:2013,62400.0,12000.0,0.0,1200.0,16634.0,0.0,0.0,5,0.0,0.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,0,Alumni Gymnasium,Alumni Gymnasium,Rollins Chapel,Dartmouth College"
12:04:2013,86400.0,0.0,1200.0,0.0,0.0,0.0,0.0,4,1.0,6000.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Observatory Road,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
12:05:2013,81601.0,4799.0,0.0,0.0,13200.0,0.0,0.0,-1,0.0,0.0,11,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College"
13:04:2013,84000.0,0.0,0.0,0.0,13200.0,0.0,0.0,5,0.0,0.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Middle Fayerweather Hall,Ripley Hall,Ripley Hall,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College"
13:05:2013,63599.0,0.0,0.0,1201.0,2400.0,0.0,0.0,0,1.0,7800.0,11,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College"
14:04:2013,87600.0,1200.0,0.0,0.0,7200.0,0.0,0.0,-1,0.0,0.0,11,"Dartmouth College,Sudikoff Hall,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College"
14:05:2013,84000.0,0.0,0.0,0.0,1200.0,0.0,0.0,1,1.0,10500.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
15:04:2013,62400.0,1200.0,1200.0,0.0,1200.0,0.0,0.0,0,1.0,7800.0,11,"Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Observatory Road,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College"
15:05:2013,85200.0,0.0,0.0,0.0,1200.0,0.0,0.0,2,1.0,14400.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College"
16:04:2013,62401.0,21599.0,1200.0,0.0,0.0,0.0,0.0,1,0.0,10500.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,Ripley Hall,Observatory Road,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
16:05:2013,85914.0,1199.0,0.0,0.0,1200.0,0.0,0.0,3,1.0,6900.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Remsen Medical Sciences Building,Dartmouth College,Dartmouth College"
17:04:2013,76941.0,3600.0,0.0,0.0,1200.0,0.0,5859.0,2,1.0,14400.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Ripley Hall,Dartmouth Row Parking Lot,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Ripley Hall,Ripley Hall,Dartmouth College"
17:05:2013,84000.0,0.0,0.0,0.0,1200.0,0.0,0.0,4,1.0,6000.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,North Fayerweather Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
18:04:2013,74403.0,2398.0,0.0,0.0,3600.0,0.0,4799.0,3,1.0,6900.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Dartmouth College,Ripley Hall,Ripley Hall,Steele Hall,0,0,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
18:05:2013,78000.0,0.0,0.0,0.0,13200.0,0.0,0.0,5,0.0,0.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Woodward Hall,Ripley Hall,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College"
19:04:2013,85200.0,0.0,0.0,1200.0,1200.0,0.0,0.0,4,1.0,6000.0,11,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,The Church of Christ at Dartmouth College,Dartmouth College"
19:05:2013,63603.0,0.0,0.0,0.0,17997.0,0.0,0.0,-1,0.0,0.0,11,"Dartmouth College,Ripley Hall,Ripley Hall,Alumni Gymnasium,Alumni Gymnasium,Ripley Hall,Ripley Hall,0,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College"
20:04:2013,64802.0,11999.0,0.0,0.0,14399.0,0.0,0.0,5,0.0,0.0,11,"Dartmouth College,Sudikoff Hall,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College"
20:05:2013,87210.0,0.0,0.0,0.0,3600.0,0.0,0.0,0,1.0,7800.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College"
21:04:2013,79205.0,10795.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,11,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Ripley Hall,Dartmouth College,Bartlett Hall,Dartmouth College"
21:05:2013,75601.0,2399.0,0.0,0.0,3600.0,0.0,0.0,1,1.0,10500.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Alumni Gymnasium,Ripley Hall,Smith Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
22:04:2013,70770.0,0.0,2430.0,0.0,4800.0,0.0,0.0,0,1.0,7800.0,11,"Dartmouth College,Ripley Hall,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Observatory Road,Ripley Hall,Ripley Hall,Dartmouth College,Hanover Park,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
22:05:2013,92614.0,2399.0,0.0,0.0,1200.0,0.0,0.0,2,1.0,14400.0,11,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
23:04:2013,82800.0,0.0,1200.0,0.0,1200.0,0.0,0.0,1,1.0,10500.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Observatory Road,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
23:05:2013,76801.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
24:04:2013,91205.0,7198.0,0.0,0.0,3600.0,0.0,1197.0,2,1.0,14400.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Ripley Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall,Dartmouth Row Parking Lot,Dartmouth College"
24:05:2013,92399.0,0.0,0.0,0.0,1200.0,0.0,0.0,4,1.0,6000.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
25:04:2013,66000.0,0.0,0.0,0.0,3600.0,0.0,0.0,3,1.0,6900.0,11,"Dartmouth College,Hopkins Center for the Arts,Alumni Gymnasium,Alumni Gymnasium,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
25:05:2013,70799.0,0.0,0.0,0.0,12001.0,0.0,0.0,5,0.0,0.0,11,"Ripley Hall,Ripley Hall,Smith Hall,Ripley Hall,Ripley Hall,Alumni Gymnasium,Dartmouth College"
26:04:2013,85200.0,1200.0,0.0,0.0,1200.0,0.0,0.0,4,1.0,6000.0,11,"Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Dartmouth College,Dartmouth College"
26:05:2013,69600.0,1199.0,0.0,0.0,13201.0,0.0,0.0,-1,0.0,0.0,11,"Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Thornton Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College"
27:04:2013,75600.0,12000.0,0.0,0.0,2400.0,1200.0,0.0,5,0.0,0.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Alumni Gymnasium,Sigma Alpha Epsilon Fraternity,Dartmouth College"
27:05:2013,82295.0,2401.0,0.0,0.0,0.0,0.0,0.0,0,1.0,7800.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College"
28:03:2013,0.0,181201.0,0.0,0.0,0.0,0.0,0.0,3,0.0,6900.0,11,Sudikoff Hall
28:04:2013,61199.0,10802.0,0.0,0.0,7201.0,1198.0,0.0,-1,0.0,0.0,11,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Alpha Delta,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College"
28:05:2013,85202.0,0.0,0.0,0.0,1199.0,0.0,0.0,1,1.0,10500.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
29:04:2013,80400.0,7200.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7800.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
29:05:2013,87599.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,14400.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
30:03:2013,63599.0,0.0,0.0,0.0,13200.0,0.0,0.0,5,0.0,0.0,11,"Smith Hall,Ripley Hall,Woodward Hall,Ripley Hall,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College"
30:04:2013,87600.0,0.0,1200.0,0.0,0.0,0.0,0.0,1,1.0,10500.0,11,"Dartmouth College,Ripley Hall,Ripley Hall,Observatory Road,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
30:05:2013,85636.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College"
31:03:2013,72000.0,0.0,0.0,0.0,10800.0,0.0,0.0,-1,0.0,0.0,11,"Dartmouth College,Ripley Hall,Ripley Hall,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College"
31:05:2013,97201.0,0.0,0.0,0.0,12000.0,0.0,0.0,4,1.0,6000.0,11,"Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Alumni Gymnasium,Alumni Gymnasium,Ripley Hall,Ripley Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College"
