date,home_time,orthers,school_time,travel_time,shopping,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,location_names
12:04:2013,0.0,0.0,4804.0,99183.0,0.0,0.0,4,0.0,3000.0,16,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0,0"
13:05:2013,13201.0,0.0,4800.0,4799.0,0.0,0.0,0,0.0,3900.0,16,"Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,0,0,Dartmouth College"
14:04:2013,80399.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,16,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall,Dartmouth College,Dartmouth College"
14:05:2013,67200.0,0.0,13200.0,0.0,0.0,0.0,1,0.0,6600.0,16,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College"
15:04:2013,57603.0,1200.0,8400.0,4800.0,0.0,14397.0,0,0.0,3900.0,16,"Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Thel,Dartmouth College,Dartmouth College,0,Dartmouth College,0,Dartmouth College,0,Dartmouth College,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0,0,Dartmouth College,Dartmouth College"
15:05:2013,75602.0,0.0,4805.0,0.0,0.0,5996.0,2,1.0,10500.0,16,"Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center"
16:04:2013,72003.0,0.0,10797.0,3601.0,0.0,0.0,1,0.0,6600.0,16,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Anonymous Hall,0,0"
16:05:2013,869067.0,0.0,0.0,0.0,0.0,2400.0,3,1.0,6900.0,16,"Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
17:04:2013,71191.0,0.0,7204.0,2404.0,0.0,4795.0,2,1.0,10500.0,16,"Floren Varsity House,Floren Varsity House,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College"
18:04:2013,83597.0,0.0,3605.0,0.0,0.0,0.0,3,1.0,6900.0,16,"Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
19:04:2013,71923.0,0.0,4798.0,4799.0,0.0,4801.0,4,0.0,3000.0,16,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Alumni Gymnasium,Alumni Gymnasium,Collis Student Center,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0,0,Dartmouth College"
20:04:2013,196074.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,16,"Dartmouth College,Dartmouth College,Dartmouth College"
22:04:2013,37201.0,0.0,24003.0,3600.0,0.0,0.0,0,0.0,3900.0,16,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Thornton Hall,Dartmouth Hall,Vail,Vail,0,0,Anonymous Hall,Dartmouth College"
23:04:2013,55201.0,0.0,25200.0,4799.0,0.0,0.0,1,0.0,6600.0,16,"Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth College,Dartmouth College,Dana Circle Parking Lot,0,0"
24:04:2013,163388.0,0.0,4800.0,0.0,0.0,0.0,2,1.0,10500.0,16,"Floren Varsity House,Floren Varsity House,Dartmouth College,Dartmouth College"
25:04:2013,0.0,0.0,3601.0,0.0,0.0,0.0,3,1.0,6900.0,16,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Vail"
26:04:2013,259016.0,0.0,1199.0,0.0,0.0,4799.0,4,1.0,3000.0,16,"Topliff Courts,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College"
26:05:2013,96704.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,16,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
27:03:2013,42160.0,0.0,2396.0,3605.0,0.0,0.0,2,1.0,10500.0,16,"North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,Class of 1978 Life Sciences Center,0,0,Dartmouth College"
27:05:2013,79669.0,0.0,2399.0,0.0,0.0,0.0,0,1.0,3900.0,16,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College"
28:03:2013,107489.0,0.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,16,"Dartmouth College,Dartmouth College,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall"
28:05:2013,56398.0,0.0,19202.0,0.0,0.0,0.0,1,0.0,6600.0,16,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Dartmouth College"
29:03:2013,50400.0,0.0,8399.0,6001.0,0.0,0.0,4,0.0,3000.0,16,"North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,Mass Parking Lot,Dartmouth Hall,Dartmouth Hall,Class of 1978 Life Sciences Center,0,0,Dartmouth College,Dartmouth College"
29:04:2013,46787.0,0.0,31212.0,4800.0,0.0,0.0,0,0.0,3900.0,16,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Vail,Class of 1978 Life Sciences Center,0,0,Dartmouth College"
29:05:2013,15546.0,0.0,8416.0,0.0,0.0,64543.0,2,0.0,10500.0,16,"Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Sudikoff Hall"
30:03:2013,192000.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,16,"North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall"
30:04:2013,66001.0,0.0,14399.0,4800.0,0.0,0.0,1,0.0,6600.0,16,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Collis Student Center,Dartmouth College,Dartmouth College,0,0"
30:05:2013,0.0,0.0,23494.0,0.0,0.0,0.0,3,0.0,6900.0,16,"Sudikoff Hall,Dartmouth College"
