date,home_time,travel_time,recreational_activities,school_time,orthers,date_in_week,cut_class,class_schedule,volunteer
25:04:2013 ,15600.0,76800.0,0.0,0.0,0.0,3,1.0,6900.0,37
25:05:2013 ,34203.0,96000.0,0.0,0.0,0.0,5,0.0,0.0,37
26:04:2013 ,4800.0,92317.0,0.0,0.0,0.0,4,1.0,3000.0,37
26:05:2013 ,0.0,42600.0,0.0,0.0,0.0,-1,0.0,0.0,37
27:03:2013 ,162991.0,0.0,0.0,0.0,0.0,2,1.0,10500.0,37
27:04:2013 ,9600.0,80401.0,0.0,0.0,0.0,5,0.0,0.0,37
27:05:2013 ,33999.0,48600.0,0.0,0.0,0.0,0,1.0,3900.0,37
28:04:2013 ,3599.0,82800.0,0.0,0.0,0.0,-1,0.0,0.0,37
28:05:2013 ,5400.0,88779.0,0.0,0.0,0.0,1,1.0,6600.0,37
29:03:2013 ,43200.0,51600.0,0.0,0.0,0.0,4,1.0,3000.0,37
29:04:2013 ,30684.0,138516.0,0.0,0.0,0.0,0,1.0,3900.0,37
29:05:2013 ,80393.0,13207.0,0.0,0.0,0.0,2,1.0,10500.0,37
30:03:2013 ,39600.0,21850.0,0.0,0.0,0.0,5,0.0,0.0,37
30:05:2013 ,52800.0,23400.0,0.0,0.0,0.0,3,1.0,6900.0,37
31:03:2013 ,7199.0,81601.0,0.0,0.0,0.0,-1,0.0,0.0,37
31:05:2013 ,60000.0,18000.0,0.0,0.0,0.0,4,1.0,3000.0,37
