date,school_time,travel_time,home_time,recreational_activities,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,level
17:05:2013,10800.0,33601.0,39000.0,0.0,0.0,4.0,0.0,3000.0,37.0,"Sudikoff Hall,0,Sudikoff Hall,North Main Street,Dartmouth College,Dartmouth College",1.0
18:04:2013,60000.0,12001.0,15600.0,0.0,0.0,3.0,0.0,6900.0,37.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,North Main Street",1.0
18:05:2013,162875.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,37.0,"Sudikoff Hall,Sudikoff Hall",1.0
19:04:2013,37200.0,0.0,0.0,0.0,44045.0,4.0,0.0,3000.0,37.0,"Sudikoff Hall,Terminal A,Terminal A,Terminal A,Terminal A,Terminal A,Terminal A,Terminal A,Terminal A,Terminal A,Terminal A Satellite",
19:05:2013,0.0,48000.0,0.0,0.0,0.0,-1.0,0.0,0.0,37.0,North Main Street,1.0
20:04:2013,0.0,0.0,18001.0,0.0,71939.0,5.0,0.0,0.0,37.0,"Hartsfield–Jackson Atlanta International Airport,0,0",1.0
20:05:2013,18000.0,52200.0,1200.0,0.0,0.0,0.0,0.0,3900.0,37.0,"Sudikoff Hall,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street",1.0
21:04:2013,0.0,0.0,84003.0,0.0,0.0,-1.0,0.0,0.0,37.0,0,
21:05:2013,52449.0,53400.0,0.0,0.0,0.0,1.0,0.0,6600.0,37.0,"Sudikoff Hall,North Main Street",2.5
22:04:2013,0.0,0.0,130800.0,0.0,70796.0,0.0,1.0,3900.0,37.0,"California State Capitol,California State Capitol,California State Capitol,California State Capitol,California State Capitol,0",
22:05:2013,31801.0,21599.0,0.0,0.0,0.0,2.0,0.0,10500.0,37.0,"Sudikoff Hall,North Main Street",4.0
23:05:2013,64800.0,49800.0,0.0,0.0,0.0,3.0,0.0,6900.0,37.0,"Sudikoff Hall,Steele Hall,Steele Hall,Sudikoff Hall,Sudikoff Hall,North Main Street",1.0
24:04:2013,0.0,0.0,27605.0,0.0,50395.0,2.0,1.0,10500.0,37.0,"0,Sutphin Boulevard,Concourse A,Concourse A,Concourse A",
24:05:2013,34200.0,27000.0,0.0,0.0,0.0,4.0,0.0,3000.0,37.0,"Sudikoff Hall,North Main Street",1.0
25:04:2013,15600.0,76800.0,0.0,0.0,0.0,3.0,0.0,6900.0,37.0,"South Station Pick-up/Drop-off Parking,Sudikoff Hall,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street",
25:05:2013,5406.0,96000.0,28797.0,0.0,0.0,5.0,0.0,0.0,37.0,"Sudikoff Hall,0,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street",
26:04:2013,4800.0,92317.0,0.0,0.0,0.0,4.0,0.0,3000.0,37.0,"Sudikoff Hall,Steele Hall,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street",
26:05:2013,0.0,42600.0,0.0,0.0,0.0,-1.0,0.0,0.0,37.0,"North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street",
27:03:2013,162991.0,0.0,0.0,0.0,0.0,2.0,0.0,10500.0,37.0,Sudikoff Hall,
27:04:2013,6000.0,80401.0,3600.0,0.0,0.0,5.0,0.0,0.0,37.0,"Sudikoff Hall,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street",
27:05:2013,7200.0,48600.0,26799.0,0.0,0.0,0.0,0.0,3900.0,37.0,"Sudikoff Hall,Sudikoff Hall,0,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street",
28:04:2013,3599.0,82800.0,0.0,0.0,0.0,-1.0,0.0,0.0,37.0,"Sudikoff Hall,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street",
28:05:2013,5400.0,88779.0,0.0,0.0,0.0,1.0,0.0,6600.0,37.0,"Sudikoff Hall,North Main Street",
29:03:2013,43200.0,51600.0,0.0,0.0,0.0,4.0,0.0,3000.0,37.0,"Sudikoff Hall,North Main Street",
29:04:2013,30684.0,138516.0,0.0,0.0,0.0,0.0,0.0,3900.0,37.0,"Sudikoff Hall,North Main Street",1.0
29:05:2013,79193.0,13207.0,1200.0,0.0,0.0,2.0,0.0,10500.0,37.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,Life Sciences Greenhouse,Sudikoff Hall",
30:03:2013,0.0,21850.0,39600.0,0.0,0.0,5.0,0.0,0.0,37.0,"0,0,North Main Street",
30:05:2013,6000.0,23400.0,46800.0,0.0,0.0,3.0,0.0,6900.0,37.0,"Sudikoff Hall,0,0,Hanover Street,Hanover Street,Hanover Street",
31:03:2013,7199.0,81601.0,0.0,0.0,0.0,-1.0,0.0,0.0,37.0,"Sudikoff Hall,North Main Street,North Main Street",1.0
31:05:2013,60000.0,18000.0,0.0,0.0,0.0,4.0,0.0,3000.0,37.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street",
