date,home_time,recreational_activities,school_time,travel_time,orthers,working,date_in_week,cut_class,class_schedule,volunteer,level
18:04:2013,87600.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7800.0,23.0,1.0
18:05:2013,80610.0,0.0,1199.0,8343.0,0.0,0.0,5.0,0.0,0.0,23.0,
19:04:2013,76048.0,8496.0,1200.0,0.0,0.0,0.0,4.0,1.0,9000.0,23.0,
19:05:2013,93517.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,23.0,
20:04:2013,100800.0,1200.0,1200.0,0.0,0.0,0.0,5.0,0.0,0.0,23.0,1.0
20:05:2013,90490.0,7201.0,4800.0,0.0,0.0,0.0,0.0,1.0,11700.0,23.0,
21:04:2013,63600.0,3600.0,2400.0,0.0,0.0,0.0,-1.0,0.0,0.0,23.0,
21:05:2013,58327.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3900.0,23.0,
22:04:2013,78000.0,2400.0,7165.0,0.0,0.0,0.0,0.0,1.0,11700.0,23.0,
22:05:2013,97444.0,2400.0,0.0,0.0,1243.0,0.0,2.0,1.0,11700.0,23.0,
23:04:2013,84042.0,0.0,1193.0,0.0,0.0,0.0,1.0,1.0,3900.0,23.0,
23:05:2013,64800.0,1200.0,0.0,3600.0,0.0,0.0,3.0,1.0,7800.0,23.0,
24:04:2013,94800.0,1200.0,3600.0,0.0,0.0,0.0,2.0,1.0,11700.0,23.0,
24:05:2013,103200.0,2400.0,0.0,0.0,1200.0,0.0,4.0,1.0,9000.0,23.0,
25:04:2013,69517.0,0.0,2399.0,0.0,1200.0,0.0,3.0,1.0,7800.0,23.0,
25:05:2013,179976.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,23.0,
26:04:2013,270382.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,9000.0,23.0,
27:03:2013,39600.0,0.0,8400.0,0.0,0.0,0.0,2.0,1.0,11700.0,23.0,
27:05:2013,36019.0,20349.0,0.0,0.0,0.0,0.0,0.0,1.0,11700.0,23.0,
28:03:2013,79201.0,1199.0,4801.0,0.0,0.0,0.0,3.0,1.0,7800.0,23.0,1.0
28:05:2013,56242.0,30130.0,0.0,0.0,0.0,0.0,1.0,1.0,3900.0,23.0,
29:03:2013,76801.0,1198.0,9600.0,0.0,0.0,0.0,4.0,0.0,9000.0,23.0,1.4
29:04:2013,0.0,425628.0,0.0,0.0,0.0,0.0,0.0,1.0,11700.0,23.0,
29:05:2013,151327.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,11700.0,23.0,
30:03:2013,79828.0,0.0,1200.0,0.0,4172.0,0.0,5.0,0.0,0.0,23.0,2.0
30:05:2013,33600.0,0.0,8400.0,0.0,0.0,0.0,3.0,0.0,7800.0,23.0,
31:03:2013,85200.0,1200.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,23.0,1.75
31:05:2013,75247.0,0.0,1163.0,0.0,0.0,0.0,4.0,1.0,9000.0,23.0,
