date,home_time,school_time,travel_time,orthers,shopping,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,level
16:05:2013,51600.0,44401.0,11999.0,0.0,0.0,0.0,3.0,0.0,0.0,57.0,1.0
17:04:2013,58792.0,34800.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,57.0,2.0
17:05:2013,50400.0,24001.0,0.0,0.0,0.0,1199.0,4.0,0.0,0.0,57.0,1.0
18:04:2013,45600.0,45600.0,0.0,8401.0,3599.0,0.0,3.0,0.0,0.0,57.0,1.0
18:05:2013,94800.0,1200.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,1.0
19:04:2013,47998.0,10806.0,1200.0,0.0,0.0,2399.0,4.0,0.0,0.0,57.0,
19:05:2013,85605.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,57.0,2.0
20:04:2013,101997.0,14400.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,2.0
20:05:2013,57600.0,22800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1.0
21:04:2013,135477.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,57.0,
21:05:2013,48000.0,22805.0,1200.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,1.0
22:04:2013,1200.0,22800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,2.0
22:05:2013,45597.0,43200.0,1198.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,1.0
23:04:2013,51600.0,15600.0,0.0,0.0,0.0,3600.0,1.0,0.0,0.0,57.0,3.0
23:05:2013,54000.0,33601.0,0.0,1199.0,0.0,0.0,3.0,0.0,0.0,57.0,1.0
24:04:2013,49200.0,36000.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,
24:05:2013,55200.0,25200.0,0.0,1200.0,0.0,0.0,4.0,0.0,0.0,57.0,1.0
25:04:2013,72000.0,19200.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,57.0,3.0
25:05:2013,53999.0,55200.0,1200.0,1201.0,0.0,0.0,5.0,0.0,0.0,57.0,
26:04:2013,49200.0,32400.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,57.0,3.0
26:05:2013,75346.0,1200.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,57.0,
27:03:2013,43201.0,4799.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,
27:04:2013,178801.0,19200.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,3.0
27:05:2013,40800.0,27601.0,0.0,0.0,0.0,1199.0,0.0,0.0,0.0,57.0,
28:03:2013,4801.0,35952.0,0.0,49198.0,0.0,0.0,3.0,0.0,0.0,57.0,4.5
28:05:2013,58070.0,32400.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,
29:03:2013,45028.0,24051.0,0.0,220958.0,0.0,2398.0,4.0,0.0,0.0,57.0,4.0
29:04:2013,51600.0,22800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,3.0
29:05:2013,55197.0,28803.0,1200.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,
30:04:2013,55201.0,32401.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,2.5
30:05:2013,43200.0,51600.0,1200.0,0.0,0.0,0.0,3.0,0.0,0.0,57.0,
31:05:2013,58804.0,10796.0,0.0,6000.0,0.0,0.0,4.0,0.0,0.0,57.0,
