date,home_time,orthers,recreational_activities,school_time,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,level
09:04:2013,71199.0,0.0,0.0,12000.0,0.0,1,0.0,9600.0,17,"Dartmouth College,Parker House,Sudikoff Hall,Class of 1953 Commons,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College",1.6666666666666667
09:05:2013,48600.0,0.0,0.0,30000.0,1800.0,3,0.0,9900.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Mass Parking Lot,Kemeny Hall,Sudikoff Hall,Dartmouth College,Mass Parking Lot,Sudikoff Hall",2.5
10:04:2013,60000.0,0.0,0.0,24000.0,0.0,2,0.0,13500.0,17,"Dartmouth College,Robinson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",2.0
10:05:2013,69600.0,0.0,7799.0,600.0,4201.0,4,1.0,6000.0,17,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Mass Parking Lot,Black Family Visual Arts Center,Black Family Visual Arts Center,Black Family Visual Arts Center,Black Family Visual Arts Center,Dartmouth College,Dartmouth College,Alumni Gym,Alumni Gymnasium,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College",3.0
11:04:2013,66400.0,0.0,0.0,19200.0,1197.0,3,0.0,9900.0,17,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dana Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse",3.0
11:05:2013,68403.0,4802.0,4197.0,600.0,4798.0,5,0.0,0.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall,Black Family Visual Arts Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Howe Little Free Library,Dartmouth College,0,0,0,0,0,0,Dartmouth College,Dartmouth College,0,0,0,Dartmouth College,Dartmouth College,Dartmouth College,West Stands,Berry Sports Center",2.0
12:04:2013,88798.0,0.0,0.0,7202.0,4800.0,4,0.0,6000.0,17,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gym,Alumni Gym,Dartmouth College",1.0
12:05:2013,77926.0,1800.0,3000.0,4800.0,4200.0,-1,0.0,0.0,17,"Berry Sports Center Parking Lot,Berry Sports Center,Berry Sports Center,Berry Sports Center,0,South Block Parking Garage,South Block Parking Garage,0,Dartmouth College,Bartlett Hall,Bartlett Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Little Hall,Dartmouth College",1.0
13:04:2013,87600.0,0.0,0.0,0.0,0.0,5,0.0,0.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",4.0
13:05:2013,76198.0,0.0,0.0,6002.0,0.0,0,0.0,6900.0,17,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College",
14:04:2013,144000.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,17,"Dartmouth College,Dartmouth College,Dartmouth College",2.0
14:05:2013,99001.0,0.0,0.0,16199.0,0.0,1,0.0,9600.0,17,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College",2.0
15:04:2013,3600.0,0.0,0.0,25200.0,0.0,0,0.0,6900.0,17,"Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Rauner Hall,Sudikoff Hall",2.0
15:05:2013,43802.0,0.0,3600.0,17398.0,0.0,2,0.0,13500.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Little Hall,Dartmouth College,Dartmouth College,Dartmouth College,Bartlett Hall,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,McNutt Hall,Dartmouth College,Dartmouth College,Sanborn House,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",2.6666666666666665
16:04:2013,72000.0,0.0,0.0,1201.0,0.0,1,1.0,9600.0,17,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College",1.0
16:05:2013,61998.0,0.0,0.0,43198.0,0.0,3,0.0,9900.0,17,"Parker House,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall",2.0
17:04:2013,89638.0,2400.0,2761.0,7200.0,2400.0,2,1.0,13500.0,17,"Dartmouth College,Hanover Country Club,Dartmouth College,Dartmouth College,Alumni Gym,0,Alumni Gym,Dartmouth College,Thel,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College",1.0
17:05:2013,51146.0,0.0,0.0,17402.0,0.0,4,0.0,6000.0,17,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall",4.0
18:04:2013,50400.0,0.0,0.0,15600.0,0.0,3,0.0,9900.0,17,"Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center",1.5
18:05:2013,56477.0,0.0,0.0,33601.0,0.0,5,0.0,0.0,17,"Sudikoff Hall,Kemeny Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall",1.0
19:04:2013,82800.0,2400.0,0.0,12000.0,2400.0,4,0.0,6000.0,17,"Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Collis Student Center,Bartlett Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gym,Alumni Gym,0,Rauner Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Steele Hall,Dartmouth College",2.3333333333333335
19:05:2013,70200.0,0.0,0.0,4800.0,0.0,-1,0.0,0.0,17,"Sudikoff Hall,Dartmouth College,Dartmouth College,Parker House",2.5
20:04:2013,93600.0,2401.0,1199.0,0.0,49200.0,5,0.0,0.0,17,"Dartmouth College,0,0,Hood Museum of Art,Dartmouth College,Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College",2.0
20:05:2013,48600.0,0.0,0.0,42416.0,0.0,0,0.0,6900.0,17,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College",2.25
21:04:2013,22800.0,0.0,0.0,10800.0,0.0,-1,0.0,0.0,17,"Sudikoff Hall,Sudikoff Hall,Dartmouth College",3.0
21:05:2013,90599.0,0.0,0.0,9601.0,0.0,1,0.0,9600.0,17,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College",2.5
22:04:2013,49198.0,0.0,0.0,8400.0,14402.0,0,0.0,6900.0,17,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Mass Parking Lot,Wheeler Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,0,Mass Parking Lot",3.0
22:05:2013,53401.0,600.0,2999.0,12600.0,0.0,2,0.0,13500.0,17,"Dartmouth College,Jewel of India,0,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College",1.0
23:04:2013,144295.0,0.0,0.0,24003.0,1199.0,1,0.0,9600.0,17,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College",1.0
23:05:2013,54001.0,0.0,1201.0,44998.0,0.0,3,0.0,9900.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall,Dartmouth College,Jewel of India,Jewel of India,Wilson Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall",3.0
24:05:2013,83289.0,0.0,0.0,1799.0,0.0,4,1.0,6000.0,17,"Sudikoff Hall,Sanborn House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College",1.6666666666666667
25:04:2013,56038.0,0.0,0.0,44515.0,1200.0,3,0.0,9900.0,17,"Mass Parking Lot,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall",
25:05:2013,79952.0,0.0,3000.0,1760.0,0.0,5,0.0,0.0,17,"Dartmouth College,Jewel of India,Jewel of India,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College",
26:04:2013,56399.0,0.0,0.0,6000.0,22800.0,4,0.0,6000.0,17,"Dartmouth College,Mass Parking Lot,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Anonymous Hall,Collis Student Center,Collis Student Center,Mass Parking Lot",3.0
26:05:2013,64200.0,0.0,0.0,7800.0,0.0,-1,0.0,0.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
27:03:2013,46801.0,0.0,0.0,7199.0,0.0,2,1.0,13500.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Collis Student Center,Collis Student Center,Dartmouth College",
27:04:2013,73086.0,0.0,0.0,8400.0,1200.0,5,0.0,0.0,17,"Mass Parking Lot,Sudikoff Hall,Sudikoff Hall,Dartmouth College",
27:05:2013,69000.0,0.0,0.0,20314.0,0.0,0,0.0,6900.0,17,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",
28:03:2013,58804.0,0.0,0.0,20397.0,0.0,3,0.0,9900.0,17,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",1.0
28:04:2013,84018.0,0.0,0.0,0.0,3696.0,-1,0.0,0.0,17,"Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Mass Parking Lot,Dartmouth College,Dartmouth College",3.0
28:05:2013,74400.0,0.0,0.0,10286.0,0.0,1,0.0,9600.0,17,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Collis Student Center",3.0
29:03:2013,52801.0,0.0,0.0,33600.0,0.0,4,0.0,6000.0,17,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Anonymous Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall",1.0
29:04:2013,64769.0,0.0,0.0,7201.0,1200.0,0,0.0,6900.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Mass Parking Lot,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Byrne II Hall,Dartmouth College,Dartmouth College",3.0
29:05:2013,25200.0,0.0,2993.0,600.0,0.0,2,1.0,13500.0,17,"Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall",
30:03:2013,85200.0,0.0,0.0,1199.0,0.0,5,0.0,0.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1.0
30:04:2013,74078.0,0.0,0.0,36030.0,0.0,1,0.0,9600.0,17,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College",3.3333333333333335
31:03:2013,85204.0,0.0,0.0,1196.0,0.0,-1,0.0,0.0,17,"Dartmouth College,Little Hall,Little Hall,Dartmouth College,Little Hall,Dartmouth College,Little Hall,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Little Hall,Dartmouth College,Dartmouth College,Dartmouth College",1.0
