date,home_time,recreational_activities,school_time,travel_time,orthers,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,level
08:04:2013,71998.0,0.0,4802.0,10800.0,0.0,0.0,0.0,0,1.0,11700.0,6,"North Massachusetts Hall,0,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,0,Dartmouth College,Andres Hall,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",
08:05:2013,7200.0,2999.0,6601.0,0.0,0.0,0.0,0.0,2,1.0,11700.0,6,"North Massachusetts Hall,Dartmouth College,Robinson Hall,Robinson Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,0",
09:04:2013,58800.0,6000.0,19202.0,0.0,0.0,1200.0,0.0,1,0.0,3900.0,6,"0,Winfred-Raven House,Winfred-Raven House,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,North Massachusetts Hall,Dartmouth College,0,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,Collis Student Center,Collis Student Center",
09:05:2013,51000.0,1799.0,64202.0,1201.0,0.0,0.0,598.0,3,0.0,7800.0,6,"0,Winfred-Raven House,Winfred-Raven House,Dartmouth College,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Hanover Park,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Hanover Inn Valet Lot,Hallgarten Hall,New Hampshire Hall,Hallgarten Hall,Native American House Parking Lot,Hopkins Center for the Arts,Sudikoff Hall",
10:04:2013,69599.0,4800.0,13199.0,0.0,0.0,0.0,0.0,2,0.0,11700.0,6,"Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,North Massachusetts Hall,Haldeman Center",
10:05:2013,38404.0,1796.0,14401.0,0.0,0.0,0.0,0.0,4,0.0,9000.0,6,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,North Massachusetts Hall,North Massachusetts Hall,Collis Student Center,Collis Student Center,Anonymous Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Haldeman Center",
11:04:2013,63602.0,7200.0,10799.0,0.0,3599.0,0.0,0.0,3,0.0,7800.0,6,"0,Winfred-Raven House,Winfred-Raven House,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,North Massachusetts Hall,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Coldwell Banker,Coldwell Banker,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Goldstein Hall,Goldstein Hall,Life Sciences Greenhouse,Life Sciences Greenhouse",
11:05:2013,80399.0,599.0,5401.0,0.0,0.0,0.0,0.0,5,0.0,0.0,6,"0,Winfred-Raven House,Winfred-Raven House,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall",
12:04:2013,75601.0,9599.0,2400.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,6,"Collis Student Center,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,North Massachusetts Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1953 Commons,North Massachusetts Hall,0",
12:05:2013,86400.0,0.0,2400.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,6,"North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall",
13:04:2013,66002.0,8399.0,43201.0,0.0,0.0,0.0,0.0,5,0.0,0.0,6,"0,Winfred-Raven House,Winfred-Raven House,Baker Memorial Library,Baker Memorial Library,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons",
13:05:2013,45001.0,21000.0,18000.0,0.0,599.0,0.0,0.0,0,0.0,11700.0,6,"North Massachusetts Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hood Museum of Art,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College",
14:04:2013,49204.0,3597.0,0.0,1200.0,0.0,0.0,0.0,-1,0.0,0.0,6,"Mass Parking Lot,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,West Stands",
14:05:2013,8400.0,0.0,75600.0,0.0,0.0,0.0,0.0,1,0.0,3900.0,6,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",
15:04:2013,74400.0,0.0,13200.0,0.0,0.0,0.0,0.0,0,0.0,11700.0,6,"North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Collis Student Center,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1953 Commons,Class of 1953 Commons,Haldeman Center",
15:05:2013,34800.0,0.0,52820.0,0.0,0.0,0.0,0.0,2,0.0,11700.0,6,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
16:04:2013,136802.0,1200.0,20400.0,0.0,0.0,0.0,0.0,1,0.0,3900.0,6,"0,Winfred-Raven House,Winfred-Raven House,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall",
16:05:2013,248582.0,0.0,4198.0,0.0,4800.0,0.0,0.0,3,1.0,7800.0,6,"Dartmouth College,Moore Psychology Building,Winfred-Raven House,Winfred-Raven House,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Collis Student Center,0,Dartmouth College,Hanover Post Office,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Life Sciences Greenhouse,Dartmouth College,Robinson Hall,North Massachusetts Hall",
17:04:2013,7200.0,2400.0,4802.0,0.0,0.0,0.0,0.0,2,1.0,11700.0,6,"North Massachusetts Hall,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall,0",
18:04:2013,67199.0,1199.0,16802.0,0.0,0.0,0.0,0.0,3,0.0,7800.0,6,"Dartmouth College,Winfred-Raven House,Winfred-Raven House,Andres Hall,Brace Commons,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Zimmerman Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse",
18:05:2013,1208.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,6,North Massachusetts Hall,
19:04:2013,84000.0,6000.0,0.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,6,"Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Berry Sports Center,Berry Sports Center,Berry Sports Center,Berry Sports Center,North Massachusetts Hall",
19:05:2013,84600.0,3000.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,6,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Hopkins Center for the Arts,Hopkins Center for the Arts",
20:04:2013,73743.0,5999.0,2399.0,2400.0,0.0,0.0,0.0,5,0.0,0.0,6,"North Massachusetts Hall,Morton Hall,Hanover Inn Valet Lot,North Massachusetts Hall,Andres Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,North Massachusetts Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons",
20:05:2013,66002.0,600.0,19199.0,0.0,0.0,0.0,0.0,0,0.0,11700.0,6,"Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall",
21:04:2013,68401.0,7199.0,21600.0,1200.0,0.0,0.0,0.0,-1,0.0,0.0,6,"North Massachusetts Hall,North Massachusetts Hall,Black Family Visual Arts Center,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hanover Inn Dartmouth,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Middle Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons",
21:05:2013,70834.0,599.0,14400.0,0.0,0.0,0.0,0.0,1,0.0,3900.0,6,"North Massachusetts Hall,Dartmouth College,Winfred-Raven House,Hopkins Center for the Arts,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Collis Student Center,North Massachusetts Hall,North Massachusetts Hall,Andres Hall,Andres Hall,North Massachusetts Hall,Collis Student Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College",
22:04:2013,67200.0,2400.0,4800.0,0.0,0.0,0.0,0.0,0,1.0,11700.0,6,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Andres Hall,North Massachusetts Hall,Collis Student Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,North Massachusetts Hall,North Massachusetts Hall,0",
22:05:2013,49798.0,1800.0,34202.0,0.0,0.0,0.0,0.0,2,0.0,11700.0,6,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,North Massachusetts Hall,Collis Student Center,Winfred-Raven House,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons",
23:04:2013,64802.0,1200.0,21598.0,0.0,0.0,0.0,0.0,1,0.0,3900.0,6,"0,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College",
23:05:2013,54001.0,3601.0,31198.0,0.0,0.0,0.0,0.0,3,0.0,7800.0,6,"Dartmouth College,Dartmouth College,Blunt Alumni Center,Winfred-Raven House,Winfred-Raven House,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Andres Hall,North Massachusetts Hall,Sudikoff Hall,Sudikoff Hall,Winfred-Raven House,Alumni Gymnasium,Alumni Gymnasium,Morton Hall,Dartmouth College,Moore Psychology Building,Winfred-Raven House",
24:04:2013,61202.0,1200.0,19198.0,0.0,2400.0,0.0,0.0,2,0.0,11700.0,6,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,Andres Hall,Collis Student Center,North Massachusetts Hall,North Massachusetts Hall,Robinson Hall,Dartmouth College,0,Class of 1953 Commons",
24:05:2013,94308.0,0.0,1204.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,6,"Winfred-Raven House,Parker House,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall",
25:04:2013,74401.0,2400.0,9600.0,0.0,0.0,0.0,0.0,3,0.0,7800.0,6,"Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Middle Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Collis Student Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse",
25:05:2013,178873.0,0.0,5999.0,0.0,0.0,0.0,0.0,5,0.0,0.0,6,"Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall",
26:04:2013,68446.0,6000.0,12001.0,0.0,0.0,0.0,0.0,4,0.0,9000.0,6,"Winfred-Raven House,Winfred-Raven House,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Berry Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,0",
27:03:2013,9599.0,0.0,3599.0,0.0,0.0,0.0,0.0,2,1.0,11700.0,6,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College",4.0
27:04:2013,15598.0,2400.0,4802.0,68400.0,0.0,0.0,0.0,5,0.0,0.0,6,"0,Winfred-Raven House,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Mass Parking Lot",
27:05:2013,25798.0,0.0,37212.0,0.0,0.0,0.0,0.0,0,0.0,11700.0,6,"Sudikoff Hall,Sudikoff Hall,Andres Hall,North Massachusetts Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",
28:03:2013,64801.0,8399.0,9600.0,0.0,0.0,0.0,0.0,3,0.0,7800.0,6,"Winfred-Raven House,Winfred-Raven House,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Dartmouth College,North Massachusetts Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",4.5
28:04:2013,62404.0,1199.0,17999.0,0.0,0.0,2398.0,0.0,-1,0.0,0.0,6,"North Massachusetts Hall,Sigma Phi Epsilon,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall",
28:05:2013,33599.0,0.0,55078.0,0.0,0.0,0.0,0.0,1,0.0,3900.0,6,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College",
29:03:2013,67204.0,2400.0,15599.0,0.0,1197.0,0.0,0.0,4,0.0,9000.0,6,"North Massachusetts Hall,North Massachusetts Hall,Sudikoff Hall,Sudikoff Hall,Andres Hall,Rollins Chapel,Collis Student Center,North Massachusetts Hall,North Massachusetts Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Collis Student Center,Collis Student Center,0,0",1.0
29:04:2013,73200.0,4800.0,7200.0,0.0,0.0,0.0,0.0,0,1.0,11700.0,6,"North Massachusetts Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,0,Haldeman Center,0",
29:05:2013,45001.0,1799.0,18001.0,600.0,0.0,0.0,0.0,2,0.0,11700.0,6,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Berry Library,0,Dartmouth College,Dartmouth College,Haldeman Center,Dartmouth College,Dartmouth College,Berry Library,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Life Sciences Greenhouse",
30:03:2013,67201.0,6000.0,15599.0,0.0,0.0,0.0,0.0,5,0.0,0.0,6,"Haldeman Center,Winfred-Raven House,Winfred-Raven House,Class of 1953 Commons,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,North Massachusetts Hall",4.0
30:04:2013,57601.0,1200.0,43199.0,0.0,0.0,0.0,0.0,1,0.0,3900.0,6,"0,Winfred-Raven House,Winfred-Raven House,Middle Massachusetts Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,McNutt Hall,Sudikoff Hall",
31:03:2013,154800.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,6,"North Massachusetts Hall,Foxtail Lane",2.5
