date,home_time,school_time,recreational_activities,working,travel_time,orthers,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,level
10:04:2013,49200.0,51600.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7800.0,36.0,"Class of 1953 Commons,Anonymous Hall,Anonymous Hall,Sudikoff Hall,0,0,Anonymous Hall",
10:05:2013,4800.0,4800.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6000.0,36.0,"0,Class of 1953 Commons,Dartmouth College,Sudikoff Hall",
11:04:2013,34800.0,34800.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7800.0,36.0,"Anonymous Hall,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Anonymous Hall,Anonymous Hall,0,0,North Fayerweather Hall,Class of 1953 Commons,Class of 1953 Commons,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse",1.0
11:05:2013,13201.0,27599.0,0.0,40800.0,3600.0,1200.0,0.0,5.0,0.0,0.0,36.0,"Sudikoff Hall,0,0,0,Andres Hall,0,0,0,F Lot Parking,Wheelock Office Park,0",
12:04:2013,57600.0,52800.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6000.0,36.0,"0,0,0,Class of 1953 Commons,Class of 1953 Commons,Anonymous Hall,Anonymous Hall,0,0,Anonymous Hall",5.0
12:05:2013,15601.0,0.0,0.0,0.0,81600.0,0.0,0.0,-1.0,0.0,0.0,36.0,"F Lot Parking,F Lot Parking,0,0,0",3.0
13:04:2013,52801.0,13200.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,36.0,"Anonymous Hall,Anonymous Hall,Anonymous Hall,0",1.0
13:05:2013,66000.0,1201.0,0.0,17999.0,0.0,0.0,0.0,0.0,1.0,7800.0,36.0,"Wheelock Office Park,Class of 1953 Commons,0",
14:04:2013,64932.0,8400.0,0.0,0.0,13199.0,0.0,0.0,-1.0,0.0,0.0,36.0,"0,Class of 1978 Life Sciences Center,Vail Dartmouth Medical School,Anonymous Hall,0,0,0,0,0",1.0
14:05:2013,31199.0,0.0,0.0,117601.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,"0,Wheelock Office Park",
15:04:2013,46800.0,36000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,36.0,"Anonymous Hall,Anonymous Hall,0,0",2.5
15:05:2013,4799.0,22800.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7800.0,36.0,"0,Reed Hall",
16:04:2013,78000.0,1200.0,0.0,0.0,9600.0,0.0,0.0,1.0,0.0,0.0,36.0,"Dana Circle Parking Lot,Sudikoff Hall,0,0,Mass Parking Lot",1.0
16:05:2013,302402.0,14070.0,0.0,4800.0,0.0,0.0,0.0,3.0,0.0,7800.0,36.0,"Wheelock Office Park,Dartmouth College,Class of 1953 Commons,0",
17:04:2013,38404.0,19202.0,0.0,0.0,25194.0,0.0,2400.0,2.0,0.0,7800.0,36.0,"Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,F Lot Parking,Sudikoff Hall,Sudikoff Hall,0,0,Dana Parking Lot,F Lot Parking,F Lot Parking,Hanover Park",
18:04:2013,60000.0,36000.0,0.0,0.0,2400.0,0.0,0.0,3.0,0.0,7800.0,36.0,"0,F Lot Parking,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,0,0,Class of 1953 Commons,Mass Parking Lot,0",1.5
19:04:2013,57600.0,12000.0,0.0,0.0,0.0,0.0,3600.0,4.0,0.0,6000.0,36.0,"0,0,0,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,0,0,0,Hanover Park,Hanover Park",
19:05:2013,22800.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,36.0,0,1.0
20:04:2013,140452.0,12000.0,3548.0,0.0,0.0,4800.0,0.0,5.0,0.0,0.0,36.0,"0,0,0,Sudikoff Hall,0,Hopkins Center for the Arts,Hopkins Center for the Arts,0",4.0
20:05:2013,75600.0,1200.0,0.0,16800.0,0.0,0.0,0.0,0.0,1.0,7800.0,36.0,"Wheelock Office Park,Class of 1953 Commons,0",
21:04:2013,1200.0,1200.0,0.0,0.0,22800.0,0.0,0.0,-1.0,0.0,0.0,36.0,"0,Anonymous Hall,Maynard Parking Lot",1.5
21:05:2013,316801.0,0.0,2399.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,"0,Black Family Visual Arts Center,Black Family Visual Arts Center,0",1.0
22:04:2013,54000.0,2400.0,0.0,0.0,16800.0,0.0,0.0,0.0,1.0,7800.0,36.0,"F Lot Parking,Mass Parking Lot,Class of 1953 Commons,0,0,Sudikoff Hall",
23:04:2013,43200.0,46800.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Class of 1953 Commons",3.0
24:04:2013,52800.0,26400.0,0.0,0.0,3600.0,0.0,0.0,2.0,0.0,7800.0,36.0,"Class of 1953 Commons,0,0,0,Maynard Parking Lot,Maynard Parking Lot,0,0,0",
24:05:2013,3600.0,1200.0,0.0,9600.0,0.0,0.0,0.0,4.0,1.0,6000.0,36.0,"0,Class of 1953 Commons,Dartmouth College,Wheelock Office Park",
25:04:2013,228002.0,14400.0,0.0,0.0,14400.0,0.0,1198.0,3.0,0.0,7800.0,36.0,"0,Dewey Field Road,F Lot Parking,F Lot Parking,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,0",
25:05:2013,15117.0,28800.0,0.0,42000.0,0.0,0.0,0.0,5.0,0.0,0.0,36.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Robinson Hall,Wheelock Office Park,0",
26:05:2013,132000.0,16799.0,0.0,0.0,1200.0,0.0,0.0,-1.0,0.0,0.0,36.0,"Sudikoff Hall,Sudikoff Hall,0,0",
27:03:2013,0.0,135270.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7800.0,36.0,Sudikoff Hall,
27:04:2013,6339.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,36.0,0,
27:05:2013,3601.0,11999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,36.0,"0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",
28:04:2013,79201.0,14399.0,21599.0,0.0,1200.0,0.0,0.0,-1.0,0.0,0.0,36.0,"0,F Lot Parking,0,Hopkins Center for the Arts,Hopkins Center for the Arts,0,0,0",
28:05:2013,63600.0,22800.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0",
29:03:2013,49200.0,46798.0,1200.0,0.0,1201.0,0.0,0.0,4.0,0.0,6000.0,36.0,"Sudikoff Hall,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Hood Museum of Art,Anonymous Hall",2.5
29:04:2013,9615.0,8400.0,0.0,37201.0,2384.0,0.0,0.0,0.0,0.0,7800.0,36.0,"Wheelock Office Park,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0,Dartmouth College,0",2.0
29:05:2013,143999.0,12001.0,0.0,0.0,0.0,1200.0,0.0,2.0,0.0,7800.0,36.0,"0,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,0,0,Life Sciences Greenhouse,Sudikoff Hall,0,0",
30:03:2013,79200.0,2400.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,36.0,"Anonymous Hall,Anonymous Hall,0",
30:04:2013,153600.0,7201.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,"0,Sudikoff Hall,0,0",1.0
30:05:2013,5687.0,7200.0,0.0,0.0,5113.0,0.0,0.0,3.0,0.0,7800.0,36.0,"0,0,Class of 1953 Commons,Dartmouth College,0",
31:03:2013,132000.0,19200.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,36.0,"0,0,0,Anonymous Hall,Anonymous Hall,0",5.0
31:05:2013,89299.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,6000.0,36.0,"0,0",
