date,home_time,school_time,travel_time,recreational_activities,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,level
09:04:2013,86400.0,1200.0,0.0,0.0,0.0,1.0,0.0,0.0,54.0,"Dartmouth College,Anonymous Hall,0,0,0,0,Dartmouth College,Dartmouth College",
09:05:2013,92400.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,54.0,"Dartmouth College,0,0,Dartmouth College,Dartmouth College,0,0",4.0
10:04:2013,57601.0,1200.0,3600.0,0.0,0.0,2.0,0.0,0.0,54.0,"Dartmouth College,0,0,0,0,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",1.0
10:05:2013,172801.0,0.0,0.0,6000.0,0.0,4.0,0.0,0.0,54.0,"0,Black Family Visual Arts Center,Black Family Visual Arts Center,0",1.0
11:04:2013,85782.0,1159.0,0.0,0.0,0.0,3.0,0.0,0.0,54.0,"Dartmouth College,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Life Sciences Greenhouse,Class of 1978 Life Sciences Center",1.0
12:04:2013,164388.0,1200.0,0.0,0.0,1241.0,4.0,0.0,0.0,54.0,"Dick's House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,0",1.0
12:05:2013,305999.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,54.0,"0,0,0,0,0",
13:04:2013,7200.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,54.0,"0,0",2.0
14:04:2013,90576.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,54.0,"0,0",4.0
15:04:2013,88800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,"0,0,0,0,Dartmouth College,Dartmouth College,0",
15:05:2013,42000.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,54.0,"0,Dartmouth College,0,Dartmouth College,Dartmouth College,0",
16:04:2013,79200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,54.0,"0,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,Dartmouth College,Dartmouth College,0,0,Dartmouth College",1.0
16:05:2013,258327.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,54.0,"0,0,0,0",
17:04:2013,102614.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,54.0,"Dartmouth College,0",4.0
18:04:2013,69600.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,54.0,"0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse",
19:04:2013,84003.0,0.0,0.0,2398.0,0.0,4.0,0.0,0.0,54.0,"Dartmouth College,Dartmouth College,0,0,Alumni Gymnasium,Alumni Gymnasium,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
19:05:2013,70529.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,54.0,"0,0,0",
20:04:2013,178799.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,54.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0",
20:05:2013,86403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,"0,0,0,0,0,0,Dartmouth College,Dartmouth College,Dartmouth College",
21:05:2013,151020.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,54.0,"Dartmouth College,0,0",
22:04:2013,80400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,"0,0,0,0,0,0,0,0,0",
22:05:2013,16800.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,54.0,"0,Dartmouth College,Dartmouth College,Dartmouth College",
23:04:2013,88800.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,54.0,"0,0,0",2.0
23:05:2013,261562.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,54.0,"Dartmouth College,0,0,Dartmouth College,Dartmouth College,0",
24:04:2013,84000.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,54.0,"0,Dartmouth College,Dartmouth College,0,0",
25:04:2013,85202.0,1198.0,0.0,0.0,0.0,3.0,0.0,0.0,54.0,"0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Dartmouth College,Dartmouth College,0,0,0,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center",
26:04:2013,85202.0,2400.0,0.0,0.0,0.0,4.0,0.0,0.0,54.0,"Dartmouth College,Dartmouth College,0,0,0,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",
26:05:2013,242402.0,0.0,1198.0,0.0,0.0,-1.0,0.0,0.0,54.0,"0,0,0",
27:03:2013,55861.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,54.0,Dartmouth College,
27:04:2013,100800.0,0.0,0.0,3598.0,0.0,5.0,0.0,0.0,54.0,"Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,0,0,0,0",
28:03:2013,74401.0,2399.0,0.0,0.0,0.0,3.0,0.0,0.0,54.0,"Dartmouth College,0,0,Dartmouth College,Dartmouth College,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",
28:04:2013,145200.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,54.0,"0,0",
28:05:2013,8400.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,54.0,"0,Dartmouth College,Dartmouth College,Dartmouth College",
29:03:2013,96000.0,3600.0,0.0,0.0,0.0,4.0,0.0,0.0,54.0,"0,0,0,0,0,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",1.0
29:04:2013,102000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,"0,Dartmouth College,Dartmouth College,0,0",
29:05:2013,83926.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,54.0,"Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
30:03:2013,70801.0,2399.0,0.0,0.0,0.0,5.0,0.0,0.0,54.0,"Dartmouth College,0,0,Whittemore Hall,Whittemore Hall,The Arthur L. Irving Institute for Energy & Society,0",1.0
30:05:2013,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,54.0,0,
31:03:2013,118800.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,54.0,"0,0,0",
