date,home_time,school_time,recreational_activities,travel_time,orthers,working,date_in_week,cut_class,class_schedule,volunteer,location_names,level
12:04:2013,80404.0,0.0,5997.0,0.0,0.0,0.0,4.0,1.0,6000.0,25.0,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College",1.3333333333333333
13:04:2013,26400.0,1200.0,0.0,74400.0,0.0,0.0,5.0,0.0,0.0,25.0,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0",1.0
14:04:2013,70800.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,25.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",2.3333333333333335
15:04:2013,59932.0,27599.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,25.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College",1.0
16:04:2013,92565.0,1091.0,0.0,1200.0,0.0,0.0,1.0,1.0,10500.0,25.0,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
17:04:2013,54013.0,22800.0,0.0,0.0,0.0,0.0,2.0,0.0,14400.0,25.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College",2.0
18:04:2013,65965.0,30000.0,0.0,0.0,0.0,0.0,3.0,0.0,6900.0,25.0,"Dartmouth College,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",2.0
19:04:2013,71069.0,0.0,5766.0,0.0,0.0,0.0,4.0,1.0,6000.0,25.0,"Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College",
20:04:2013,33600.0,18000.0,0.0,0.0,38719.0,0.0,5.0,0.0,0.0,25.0,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Citizens Bank",
21:04:2013,10799.0,72459.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,25.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",
22:04:2013,51662.0,33598.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,25.0,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College",
23:04:2013,44400.0,57598.0,0.0,0.0,0.0,0.0,1.0,0.0,10500.0,25.0,"Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College",
24:04:2013,42000.0,30000.0,0.0,0.0,0.0,0.0,2.0,0.0,14400.0,25.0,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College",
25:04:2013,45427.0,7201.0,0.0,0.0,31309.0,1199.0,3.0,0.0,6900.0,25.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Delta,Dartmouth College,Citizens Bank,Dartmouth College",
26:04:2013,18064.0,3600.0,0.0,0.0,0.0,0.0,4.0,1.0,6000.0,25.0,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College",
28:03:2013,155997.0,3603.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,25.0,"Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",1.0
29:03:2013,10800.0,2400.0,0.0,0.0,0.0,0.0,4.0,1.0,6000.0,25.0,"Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College",2.5
30:03:2013,87600.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,25.0,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",1.5
31:03:2013,155068.0,3600.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,25.0,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",3.0
