date,home_time,recreational_activities,school_time,orthers,shopping,travel_time,working,date_in_week,cut_class,class_schedule,volunteer,location_names,level
06:04:2013,101354.0,1200.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,9,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1.6666666666666667
06:05:2013,55202.0,19199.0,5399.0,0.0,0.0,0.0,0.0,0,0.0,3900.0,9,"Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Berry Library,Baker Memorial Library",
07:04:2013,81601.0,0.0,1199.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College",1.0
07:05:2013,53999.0,12600.0,21601.0,0.0,0.0,0.0,0.0,1,0.0,0.0,9,"Baker Memorial Library,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College",2.0
08:04:2013,67200.0,2401.0,4800.0,0.0,0.0,0.0,0.0,0,0.0,3900.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts",1.0
08:05:2013,77400.0,1800.0,5400.0,0.0,0.0,0.0,0.0,2,0.0,3900.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,Collis Student Center,Collis Student Center,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
09:04:2013,79199.0,2398.0,6002.0,0.0,0.0,0.0,0.0,1,0.0,0.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Hanover Inn Dartmouth,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1.0
09:05:2013,49201.0,13800.0,23999.0,0.0,0.0,0.0,0.0,3,0.0,3900.0,9,"Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Baker Memorial Library,Dartmouth College,Collis Student Center,Collis Student Center,Baker Memorial Library,Berry Library,Berry Library,Collis Student Center,Collis Student Center,Hitchcock Hall,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Berry Library",2.0
10:04:2013,73203.0,8399.0,3598.0,0.0,0.0,0.0,0.0,2,0.0,3900.0,9,"Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Collis Student Center",2.0
10:05:2013,73801.0,6600.0,600.0,0.0,600.0,4199.0,0.0,4,1.0,3000.0,9,"Berry Library,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Haldeman Center,Dartmouth College,Dartmouth College,Blunt Alumni Center Parking Lot,Hanover Park,Black Family Visual Arts Center,Black Family Visual Arts Center,Hood Museum of Art,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",2.0
11:04:2013,74401.0,14400.0,0.0,0.0,0.0,1199.0,0.0,3,1.0,3900.0,9,"Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",2.0
11:05:2013,78600.0,5400.0,3000.0,0.0,0.0,0.0,0.0,5,0.0,0.0,9,"Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
12:04:2013,74401.0,6000.0,2399.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,9,"Dartmouth College,Hopkins Center for the Arts,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Baker Memorial Library,Hopkins Center for the Arts",2.0
12:05:2013,82200.0,0.0,3600.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College",
13:04:2013,88802.0,0.0,0.0,0.0,0.0,1198.0,0.0,5,0.0,0.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Blunt Alumni Center Parking Lot,Dartmouth College",2.0
13:05:2013,63603.0,20399.0,4199.0,0.0,0.0,0.0,0.0,0,0.0,3900.0,9,"Dartmouth College,Carpenter Hall,Carpenter Hall,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Webster Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library",
14:04:2013,99663.0,4800.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,9,"Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",2.0
14:05:2013,93001.0,1200.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,9,"Berry Library,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
15:04:2013,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,3900.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",2.5
15:05:2013,54599.0,22200.0,1200.0,0.0,0.0,0.0,0.0,2,1.0,3900.0,9,"Baker Memorial Library,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Collis Student Center,Collis Student Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College",
16:04:2013,78000.0,6003.0,1200.0,1197.0,0.0,0.0,0.0,1,0.0,0.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,0,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Baker Memorial Library",2.0
16:05:2013,81952.0,0.0,600.0,0.0,0.0,4200.0,0.0,3,1.0,3900.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Blunt Alumni Center Parking Lot,Blunt Alumni Center Parking Lot,Collis Student Center,Dartmouth College",
17:04:2013,65998.0,18002.0,2400.0,0.0,0.0,0.0,0.0,2,1.0,3900.0,9,"Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Vail,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",2.0
17:05:2013,79800.0,4200.0,7201.0,1199.0,0.0,0.0,0.0,4,0.0,3000.0,9,"Dartmouth College,Collis Student Center,Collis Student Center,0,Collis Student Center,Berry Library,Berry Library,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
18:04:2013,72000.0,15600.0,0.0,0.0,0.0,0.0,0.0,3,1.0,3900.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",2.0
18:05:2013,82202.0,0.0,598.0,0.0,0.0,0.0,0.0,5,0.0,0.0,9,"Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
19:04:2013,85200.0,1200.0,1200.0,0.0,0.0,0.0,0.0,4,1.0,3000.0,9,"Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",3.0
19:05:2013,81602.0,0.0,0.0,0.0,0.0,598.0,0.0,-1,0.0,0.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
20:04:2013,69601.0,13199.0,6000.0,0.0,0.0,1200.0,0.0,5,0.0,0.0,9,"Dartmouth College,0,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Baker Memorial Library",
20:05:2013,23424.0,70803.0,0.0,0.0,0.0,0.0,0.0,0,1.0,3900.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Baker Memorial Library",2.0
21:04:2013,71998.0,18002.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,9,"Baker Memorial Library,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Berry Library,Berry Library,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College",2.0
21:05:2013,70199.0,17401.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
22:04:2013,82802.0,3598.0,0.0,0.0,0.0,0.0,0.0,0,1.0,3900.0,9,"Baker Memorial Library,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",3.0
22:05:2013,84003.0,3600.0,1800.0,0.0,0.0,0.0,0.0,2,1.0,3900.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College",
23:04:2013,70800.0,3600.0,6000.0,0.0,0.0,0.0,0.0,1,0.0,0.0,9,"Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",2.0
23:05:2013,70821.0,9600.0,599.0,0.0,0.0,0.0,0.0,3,1.0,3900.0,9,"Dartmouth College,Rockefeller Center,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Baker Memorial Library,Baker Memorial Library,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College",2.0
24:04:2013,71887.0,9598.0,1199.0,0.0,0.0,0.0,0.0,2,1.0,3900.0,9,"Dartmouth College,Robinson Hall,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",2.0
24:05:2013,73197.0,3000.0,6003.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,9,"Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",2.0
25:04:2013,76916.0,0.0,9600.0,0.0,0.0,0.0,0.0,3,0.0,3900.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",3.0
25:05:2013,106800.0,0.0,1200.0,0.0,0.0,0.0,0.0,5,0.0,0.0,9,"Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College",
26:04:2013,74400.0,9601.0,2399.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center",2.6666666666666665
26:05:2013,76406.0,1802.0,0.0,0.0,0.0,0.0,3599.0,-1,0.0,0.0,9,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Casque & Gauntlet Senior Society,Casque & Gauntlet Senior Society,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
27:03:2013,10800.0,32400.0,4801.0,0.0,0.0,0.0,0.0,2,0.0,3900.0,9,"Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College",2.75
27:04:2013,54000.0,30001.0,2400.0,0.0,0.0,0.0,0.0,5,0.0,0.0,9,"Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College",2.5
27:05:2013,28138.0,41346.0,0.0,0.0,0.0,0.0,0.0,0,1.0,3900.0,9,"Dartmouth College,Hopkins Center for the Arts,Baker Memorial Library,Baker Memorial Library,Berry Library,Berry Library,Dartmouth College",
28:03:2013,74400.0,2400.0,8401.0,0.0,0.0,0.0,0.0,3,0.0,3900.0,9,"Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",2.0
28:04:2013,86399.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
28:05:2013,48755.0,35324.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
29:03:2013,78001.0,2400.0,5997.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,9,"Baker Memorial Library,Carpenter Hall,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1.8
29:04:2013,72000.0,10800.0,2400.0,0.0,0.0,1200.0,0.0,0,1.0,3900.0,9,"Blunt Alumni Center,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library",2.0
29:05:2013,25836.0,1106.0,0.0,0.0,0.0,0.0,0.0,2,1.0,3900.0,9,"Dartmouth College,Dartmouth College,South Massachusetts Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Berry Library",
30:03:2013,68400.0,16801.0,1199.0,0.0,0.0,0.0,0.0,5,0.0,0.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College",2.0
30:04:2013,92400.0,1200.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College",2.0
31:03:2013,82798.0,12001.0,1201.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Collis Student Center,Hopkins Center for the Arts,Dartmouth College",1.0
