date,home_time,recreational_activities,school_time,orthers,working,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,level
12:05:2013,57598.0,0.0,0.0,0.0,0.0,4802.0,-1,0.0,0.0,8,"Morton Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Maynard Parking Lot,Maynard Parking Lot,Judge Hall,Dartmouth College,Dartmouth College,Maynard Parking Lot,Morton Hall",
13:04:2013,103198.0,2402.0,1200.0,0.0,1200.0,0.0,5,0.0,0.0,8,"The Irving Institute for Energy & Society,Life Sciences Greenhouse,Life Sciences Greenhouse,Morton Hall,Morton Hall,Chi Heorot,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Zimmerman Hall,Morton Hall",4.0
13:05:2013,55200.0,0.0,14399.0,0.0,7201.0,7201.0,0,0.0,10500.0,8,"Morton Hall,0,0,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Morton Hall,Morton Hall,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta",
14:04:2013,84000.0,0.0,1200.0,0.0,0.0,0.0,-1,0.0,0.0,8,"Morton Hall,Dartmouth College,Morton Hall,Morton Hall,Dartmouth College,Dartmouth College,Sherman House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Morton Hall",4.0
14:05:2013,77999.0,2400.0,8400.0,0.0,0.0,0.0,1,0.0,6600.0,8,"Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Morton Hall,Morton Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Morton Hall",
15:04:2013,63923.0,2400.0,0.0,0.0,0.0,0.0,0,1.0,10500.0,8,"Morton Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Morton Hall",
15:05:2013,7200.0,0.0,0.0,0.0,0.0,0.0,2,1.0,3900.0,8,"Morton Hall,Dartmouth College,Dartmouth College,Morton Hall",
16:04:2013,80403.0,3600.0,0.0,0.0,0.0,1198.0,1,1.0,6600.0,8,"Morton Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Morton Hall,Morton Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Morton Hall,Morton Hall",1.5
17:04:2013,83999.0,1200.0,1200.0,0.0,0.0,0.0,2,1.0,3900.0,8,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,0,Morton Hall,Morton Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Morton Hall",4.0
18:04:2013,76405.0,5195.0,4800.0,0.0,0.0,0.0,3,1.0,6900.0,8,"Morton Hall,Hopkins Center for the Arts,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Alumni Gymnasium,Morton Hall,Morton Hall,Dartmouth College,Morton Hall,Morton Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center",4.0
19:04:2013,72000.0,7199.0,8401.0,0.0,0.0,0.0,4,0.0,3000.0,8,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College,Dartmouth College,Morton Hall,Morton Hall,Hopkins Center for the Arts,Morton Hall,Morton Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts",
20:04:2013,143885.0,8515.0,8400.0,0.0,0.0,0.0,5,0.0,0.0,8,"Life Sciences Greenhouse,Life Sciences Greenhouse,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Morton Hall",4.0
21:04:2013,25159.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,8,Morton Hall,
22:04:2013,68441.0,4800.0,0.0,0.0,0.0,0.0,0,1.0,10500.0,8,"Dartmouth College,Hopkins Center for the Arts,Morton Hall,Morton Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Morton Hall",
23:04:2013,87600.0,0.0,0.0,0.0,0.0,0.0,1,1.0,6600.0,8,"Morton Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Morton Hall,Morton Hall,Dartmouth College,Dartmouth College,Dartmouth College,Morton Hall,Morton Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Morton Hall",4.0
24:04:2013,84000.0,0.0,0.0,0.0,0.0,0.0,2,1.0,3900.0,8,"Morton Hall,Dartmouth College,Dartmouth College,Morton Hall,Morton Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Morton Hall,Morton Hall",5.0
25:04:2013,86400.0,0.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,8,"Dartmouth College,Dartmouth College,Morton Hall,Morton Hall,Dartmouth College,Dartmouth College,Dartmouth College",
26:04:2013,82801.0,3599.0,0.0,0.0,0.0,0.0,4,1.0,3000.0,8,"Dartmouth College,Morton Hall,Morton Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Morton Hall",
27:03:2013,36001.0,5998.0,4801.0,0.0,0.0,0.0,2,0.0,3900.0,8,"Morton Hall,Morton Hall,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Alumni Gymnasium,Alumni Gymnasium",2.3333333333333335
27:04:2013,90000.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,8,"Morton Hall,0,Morton Hall",
28:03:2013,64798.0,12004.0,10799.0,0.0,0.0,0.0,3,0.0,6900.0,8,"Hopkins Center for the Arts,Hopkins Center for the Arts,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Morton Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Morton Hall,Morton Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Anonymous Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",2.2
28:04:2013,82800.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,8,"Dartmouth College,Morton Hall",
29:03:2013,65998.0,9600.0,9601.0,0.0,0.0,0.0,4,0.0,3000.0,8,"Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Morton Hall,Morton Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College",2.3333333333333335
29:04:2013,82815.0,2400.0,1197.0,0.0,0.0,0.0,0,1.0,10500.0,8,"Morton Hall,Dartmouth College,Dartmouth College,Morton Hall,Morton Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Morton Hall,Morton Hall,McCulloch Hall,McCulloch Hall,Morton Hall,Morton Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Morton Hall",
30:03:2013,63674.0,3619.0,1199.0,19612.0,0.0,0.0,5,0.0,0.0,8,"Hopkins Center for the Arts,Hopkins Center for the Arts,Life Sciences Greenhouse,Life Sciences Greenhouse,Alumni Gymnasium,0,0,0,Morton Hall,Morton Hall",3.6
30:04:2013,85526.0,1190.0,0.0,0.0,0.0,0.0,1,1.0,6600.0,8,"Morton Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Morton Hall",
31:03:2013,68400.0,3779.0,0.0,13717.0,0.0,1200.0,-1,0.0,0.0,8,"0,Alumni Gymnasium,Morton Hall,Morton Hall,Dartmouth College,Dartmouth College,Morton Hall,Morton Hall,Dartmouth College,Dartmouth College,Vail Dartmouth Medical School,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Morton Hall",3.8
