date,home_time,orthers,recreational_activities,school_time,working,travel_time,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,level
06:04:2013,70950.0,0.0,8312.0,1200.0,10738.0,0.0,0.0,5,0.0,0.0,47,"Dartmouth College,Haldeman Center,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,New Hampshire Hall,New Hampshire Hall,Alumni Gymnasium,Alumni Gymnasium,New Hampshire Hall,New Hampshire Hall,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",3.5
06:05:2013,46818.0,0.0,7198.0,4799.0,19184.0,0.0,0.0,0,1.0,7800.0,47,"Sigma Alpha Epsilon Fraternity,0,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Baker Memorial Library,Baker Memorial Library,Sigma Alpha Epsilon Fraternity,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Sudikoff Hall,Haldeman Center",2.0
07:04:2013,69600.0,0.0,26400.0,0.0,9600.0,0.0,0.0,-1,0.0,0.0,47,"Dartmouth College,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Berry Library,Dartmouth College,Dartmouth College,Baker Memorial Library",3.0
07:05:2013,59484.0,4800.0,11927.0,7201.0,0.0,1200.0,0.0,1,0.0,0.0,47,"Kemeny Hall,Sudikoff Hall,Sudikoff Hall,Baker Memorial Library,0,0,0,0,New Hampshire Hall,New Hampshire Hall,0,0,Starbucks,0,Hood Museum of Art,Dartmouth College,Dartmouth College,Parker House,Sudikoff Hall,New Hampshire Hall",1.0
08:04:2013,38409.0,0.0,9600.0,8399.0,5993.0,0.0,0.0,0,0.0,7800.0,47,"Baker Memorial Library,Hopkins Center for the Arts,Hopkins Center for the Arts,Baker Memorial Library,Baker Memorial Library,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sigma Alpha Epsilon Fraternity,Dartmouth College,Haldeman Center",3.5
08:05:2013,53999.0,0.0,4845.0,0.0,27556.0,0.0,0.0,2,1.0,7800.0,47,"New Hampshire Hall,0,Baker Memorial Library,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Sigma Alpha Epsilon Fraternity,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
09:04:2013,66055.0,1145.0,14399.0,4692.0,0.0,0.0,0.0,1,0.0,0.0,47,"0,Haldeman Center,New Hampshire Hall,New Hampshire Hall,Hopkins Center for the Arts,New Hampshire Hall,Alumni Gymnasium,Alumni Gymnasium,New Hampshire Hall,New Hampshire Hall,Starbucks,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Sudikoff Hall,Sudikoff Hall",4.0
09:05:2013,41981.0,3600.0,34656.0,3699.0,1245.0,1200.0,0.0,3,1.0,7800.0,47,"Haldeman Center,Haldeman Center,Baker Memorial Library,Baker Memorial Library,La Casa,Baker Memorial Library,East Wheelock Street,Hopkins Center for the Arts,Hopkins Center for the Arts,0,0,Baker Memorial Library,Baker Memorial Library,Sherman House,Baker Memorial Library,Baker Memorial Library,Berry Library,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College",1.0
10:04:2013,50400.0,0.0,2400.0,6103.0,28805.0,0.0,0.0,2,0.0,7800.0,47,"Sudikoff Hall,New Hampshire Hall,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Baker Memorial Library,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Haldeman Center,Haldeman Center",
10:05:2013,38440.0,0.0,7179.0,2400.0,39600.0,0.0,0.0,4,1.0,6000.0,47,"Baker Memorial Library,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Haldeman Center",
11:04:2013,51597.0,0.0,0.0,0.0,33520.0,0.0,0.0,3,1.0,7800.0,47,"Dartmouth College,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College",
11:05:2013,44399.0,3600.0,6089.0,1200.0,38375.0,0.0,0.0,5,0.0,0.0,47,"Haldeman Center,Baker Memorial Library,Baker Memorial Library,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Nugget Arcade,USPS,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College",
12:04:2013,39691.0,0.0,27600.0,7192.0,12000.0,1200.0,0.0,4,0.0,6000.0,47,"Dartmouth College,Baker Memorial Library,Baker Memorial Library,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Haldeman Center,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Rauner Hall,Baker Memorial Library,Baker Memorial Library,Haldeman Center",3.0
12:05:2013,41954.0,0.0,11999.0,0.0,20447.0,2402.0,2398.0,-1,0.0,0.0,47,"Dartmouth College,Baker Memorial Library,Baker Memorial Library,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College",
13:04:2013,67200.0,0.0,20459.0,0.0,2341.0,0.0,0.0,5,0.0,0.0,47,"0,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Baker Memorial Library,Baker Memorial Library,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1.0
13:05:2013,43201.0,0.0,4757.0,32417.0,5982.0,0.0,0.0,0,0.0,7800.0,47,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Baker Memorial Library,Sudikoff Hall,Sudikoff Hall,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,0",
14:04:2013,55446.0,0.0,0.0,1200.0,33313.0,0.0,0.0,-1,0.0,0.0,47,"Dartmouth College,Silsby Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,New Hampshire Hall,New Hampshire Hall,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College",3.0
14:05:2013,49200.0,3600.0,7143.0,20400.0,4900.0,0.0,0.0,1,0.0,0.0,47,"0,Sigma Alpha Epsilon Fraternity,Baker Memorial Library,Sudikoff Hall,Sudikoff Hall,Hanover High School,Co-Op Food Stores - Hanover,Co-Op Food Stores - Hanover,New Hampshire Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Carpenter Hall,Berry Library,Baker Memorial Library,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College",
15:04:2013,34844.0,2400.0,7241.0,23956.0,10800.0,0.0,0.0,0,0.0,7800.0,47,"Dartmouth College,Carpenter Hall,Carpenter Hall,Berry Library,Carpenter Hall,Berry Library,Carpenter Hall,Carpenter Hall,Sigma Alpha Epsilon Fraternity,Berry Library,Blunt Alumni Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Buskey Alley,0,0",3.0
15:05:2013,45599.0,0.0,3519.0,25201.0,28881.0,0.0,0.0,2,0.0,7800.0,47,"Dartmouth College,Dartmouth College,0,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Thornton Hall,Dartmouth College,Dartmouth College,Sudikoff Hall",
16:04:2013,67270.0,0.0,0.0,1109.0,13200.0,3621.0,0.0,1,0.0,0.0,47,"Haldeman Center,New Hampshire Hall,Hanover Inn Valet Lot,Dartmouth College,South Block Parking Garage,South Block Parking Garage,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College",
16:05:2013,46800.0,3600.0,2400.0,7138.0,28773.0,0.0,0.0,3,0.0,7800.0,47,"Sudikoff Hall,Baker Memorial Library,0,0,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity",
17:04:2013,50379.0,0.0,22800.0,3619.0,10802.0,0.0,0.0,2,1.0,7800.0,47,"Dartmouth College,0,Baker Memorial Library,Berry Library,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,New Hampshire Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Haldeman Center",3.0
17:05:2013,54000.0,0.0,0.0,2400.0,13289.0,0.0,0.0,4,1.0,6000.0,47,"Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Wentworth Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Parkhurst Hall,Dartmouth College,Dartmouth College",
18:04:2013,48000.0,0.0,3600.0,2463.0,32337.0,0.0,0.0,3,1.0,7800.0,47,"Haldeman Center,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Baker Memorial Library,Dartmouth College,Dartmouth College,McCulloch Hall,Brace Commons,Baker Memorial Library,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
18:05:2013,68830.0,0.0,7230.0,0.0,7199.0,1099.0,0.0,5,0.0,0.0,47,"Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Fahey Hall,Dartmouth College,Berry Library,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Webster Southbound,Dartmouth College,Dartmouth College",
19:04:2013,50399.0,0.0,2693.0,9539.0,20387.0,2400.0,0.0,4,0.0,6000.0,47,"Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Zahm Courtyard,Zahm Courtyard,Winfred-Raven House,Winfred-Raven House,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,New Hampshire Hall,New Hampshire Hall,Baker Memorial Library,Baker Memorial Library,Haldeman Center",
19:05:2013,82049.0,2400.0,0.0,0.0,0.0,2399.0,0.0,-1,0.0,0.0,47,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Vox Lane Parking Lot,0,0,Heating & Electric Plant,New Hampshire Hall,New Hampshire Hall,Dartmouth College",
20:04:2013,51342.0,6000.0,13268.0,4902.0,10800.0,0.0,0.0,5,0.0,0.0,47,"Haldeman Center,Baker Memorial Library,Baker Memorial Library,Chi Heorot,New Hampshire Hall,Blunt Alumni Center,Rollins Chapel,Topliff Courts,Bartlett Hall,New Hampshire Hall,Dartmouth College,Collis Student Center,0,0,0,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,New Hampshire Hall,New Hampshire Hall",
20:05:2013,46722.0,3619.0,3657.0,31202.0,0.0,0.0,0.0,0,0.0,7800.0,47,"Dartmouth College,0,0,0,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Sudikoff Hall,Sudikoff Hall,The Church of Christ at Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
21:04:2013,48000.0,0.0,40819.0,0.0,1200.0,0.0,0.0,-1,0.0,0.0,47,"0,Baker Memorial Library,Baker Memorial Library,New Hampshire Hall,New Hampshire Hall,Berry Library,Berry Library,Hopkins Center for the Arts,New Hampshire Hall,Berry Library,Sigma Alpha Epsilon Fraternity,Dartmouth College",
21:05:2013,44347.0,1200.0,2430.0,14325.0,24000.0,1200.0,0.0,1,0.0,0.0,47,"Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Dartmouth College,Dartmouth College,Jewel of India,Jewel of India,0,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall",
22:04:2013,34801.0,5998.0,2400.0,10800.0,33601.0,0.0,0.0,0,0.0,7800.0,47,"Dartmouth College,Johnson Audiology,Nugget Arcade,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,0,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Haldeman Center,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",
22:05:2013,50160.0,0.0,1144.0,4816.0,70910.0,0.0,0.0,2,1.0,7800.0,47,"Sudikoff Hall,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall,Kemeny Hall,Sigma Alpha Epsilon Fraternity",
23:04:2013,57614.0,0.0,6000.0,1200.0,10799.0,5987.0,0.0,1,0.0,0.0,47,"Sudikoff Hall,Berry Library,Zahm Courtyard,Zahm Courtyard,New Hampshire Hall,Alumni Gymnasium,Alumni Gymnasium,New Hampshire Hall,New Hampshire Hall,Amarna,Kappa Kappa Gamma,Kappa Kappa Gamma,Amarna,0,New Hampshire Hall,New Hampshire Hall,Sigma Alpha Epsilon Fraternity,Berry Library,Dartmouth College,Dartmouth College",
23:05:2013,45609.0,0.0,0.0,0.0,1200.0,0.0,0.0,3,1.0,7800.0,47,"Sigma Alpha Epsilon Fraternity,Dartmouth College",
24:04:2013,54016.0,4800.0,28977.0,0.0,8400.0,0.0,0.0,2,1.0,7800.0,47,"Dartmouth College,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,0,Baker Memorial Library,Baker Memorial Library,0,0,0,Baker Memorial Library,Baker Memorial Library,Berry Library,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College",
24:05:2013,2368.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,6000.0,47,"Dartmouth College,Sudikoff Hall",
25:04:2013,50561.0,0.0,19342.0,0.0,10719.0,2384.0,0.0,3,1.0,7800.0,47,"Dartmouth College,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Sigma Alpha Epsilon Fraternity,0,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Zahm Courtyard,Zahm Courtyard,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
26:04:2013,44544.0,0.0,32353.0,2400.0,0.0,0.0,0.0,4,1.0,6000.0,47,"Baker Memorial Library,Baker Memorial Library,Hopkins Center for the Arts,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Berry Library,Berry Library,Hopkins Center for the Arts,Hopkins Center for the Arts,Baker Memorial Library,Dartmouth College,Dartmouth College,Haldeman Center,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Baker Memorial Library,Baker Memorial Library",3.0
27:04:2013,13608.0,0.0,17611.0,2400.0,0.0,57177.0,0.0,5,0.0,0.0,47,"0,Haldeman Center,Anonymous Hall,New Hampshire Hall,Dartmouth College,0,Dartmouth College,New Hampshire Hall,0,0,0,0,0,0,0,0,0,0,0,0,0",
28:03:2013,0.0,0.0,0.0,350004.0,0.0,0.0,0.0,3,0.0,7800.0,47,Sudikoff Hall,
28:04:2013,21270.0,0.0,6694.0,0.0,0.0,67338.0,0.0,-1,0.0,0.0,47,"0,Universel Déjeuners et Grillades,0,P1,P1,P1,Place Marie-Victorin,0,0,Universel Déjeuners et Grillades,0,0,0,0,0,0,0,0,0,0",
29:04:2013,37200.0,0.0,2400.0,38373.0,2400.0,0.0,0.0,0,0.0,7800.0,47,"Baker Memorial Library,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Carson Hall,Dartmouth College,Dartmouth College,Sudikoff Hall",3.0
30:04:2013,61681.0,0.0,9637.0,3627.0,10763.0,0.0,0.0,1,0.0,0.0,47,"Sudikoff Hall,Baker Memorial Library,Baker Memorial Library,Sigma Alpha Epsilon Fraternity,Baker Memorial Library,Baker Memorial Library,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Baker Memorial Library,Dartmouth College,Dartmouth College",3.0
