date,home_time,orthers,travel_time,school_time,shopping,working,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,location_names,level
14:04:2013,6000.0,54001.0,0.0,26968.0,0.0,0.0,0.0,-1,0.0,0.0,46,"0,Remsen Medical Sciences Building,Anonymous Hall,Remsen Medical Sciences Building,Anonymous Hall,0,0,0,0,0,0,0,0,0,0,0,0",5.0
14:05:2013,32400.0,124930.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,46,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0",
15:04:2013,0.0,49713.0,0.0,38398.0,0.0,0.0,0.0,0,0.0,0.0,46,"Anonymous Hall,Anonymous Hall,0,0",5.0
15:05:2013,10800.0,7262.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,46,"0,Dartmouth College",
16:04:2013,37065.0,140839.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,46,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0",5.0
16:05:2013,2401.0,0.0,0.0,0.0,0.0,1200.0,183239.0,3,0.0,0.0,46,"Dartmouth College,0,0,0,Baker Memorial Library,Baker Memorial Library,Berry Library,Berry Library",
18:04:2013,15600.0,55140.0,9659.0,0.0,0.0,0.0,0.0,3,0.0,0.0,46,"F Lot Parking,F Lot Parking,Dartmouth College,0,0,0,0,0,0,0,0,0",5.0
18:05:2013,2399.0,157021.0,6000.0,0.0,0.0,0.0,0.0,5,0.0,0.0,46,"Dick's House,0,0,0,0,0,0",2.0
19:04:2013,7128.0,0.0,196916.0,0.0,0.0,0.0,0.0,4,0.0,0.0,46,"Dartmouth College,Dartmouth College,F Lot Parking,F Lot Parking,0,0,0,0",
20:05:2013,26399.0,50400.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,46,"Dartmouth College,Dartmouth College,0",1.0
21:04:2013,0.0,46806.0,13200.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,46,"0,0,0,0,F Lot Parking",
21:05:2013,4800.0,68400.0,7198.0,0.0,0.0,0.0,4802.0,1,0.0,0.0,46,"0,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,0,0,0,0,0,0,0,0,0",3.0
22:04:2013,38421.0,34779.0,8400.0,0.0,0.0,0.0,0.0,0,0.0,0.0,46,"F Lot Parking,0,0,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,0,0",
22:05:2013,70799.0,195490.0,0.0,0.0,0.0,0.0,1202.0,2,0.0,0.0,46,"0,Dartmouth College,Dartmouth College,Dartmouth College,0,Jewel of India,Dartmouth College,0",
23:04:2013,36018.0,46707.0,0.0,0.0,0.0,2475.0,0.0,1,0.0,0.0,46,"0,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",
24:04:2013,9619.0,0.0,1181.0,339409.0,0.0,0.0,0.0,2,0.0,0.0,46,"G Lot Parking,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center",
25:05:2013,38405.0,44400.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,46,"Dartmouth College,Dartmouth College,Thomas Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0",1.0
26:05:2013,86184.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,46,"Dartmouth College,Dartmouth College",
27:05:2013,79200.0,7200.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,46,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0",
28:03:2013,443288.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,46,Dartmouth College,
28:04:2013,79115.0,0.0,20484.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,46,"F Lot Parking,F Lot Parking,F Lot Parking,F Lot Parking,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College",
28:05:2013,25200.0,66000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,46,"0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,0",
29:04:2013,39645.0,26354.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,46,"0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,0,0,0",
29:05:2013,22800.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,46,"Dartmouth College,Dartmouth College,Dartmouth College",
30:04:2013,44400.0,41600.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,46,"0,0,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0",4.0
