date,home_time,recreational_activities,school_time,orthers,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,level
07:04:2013,91200.0,0.0,1200.0,0.0,0.0,-1.0,0.0,0.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College",1.0
08:04:2013,74400.0,4800.0,0.0,0.0,0.0,0.0,1.0,11700.0,2.0,"Dartmouth College,0,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
08:05:2013,72606.0,2400.0,0.0,0.0,0.0,2.0,1.0,11700.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
09:04:2013,73199.0,13201.0,0.0,0.0,0.0,1.0,1.0,3900.0,2.0,"Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,0,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College",1.0
09:05:2013,75600.0,1799.0,3600.0,0.0,601.0,3.0,1.0,7800.0,2.0,"Dartmouth College,The Irving Institute for Energy & Society,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Dartmouth College,Dartmouth College",
10:04:2013,76802.0,0.0,13199.0,0.0,0.0,2.0,0.0,11700.0,2.0,"Dartmouth College,Haldeman Center,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",2.0
10:05:2013,61801.0,19800.0,0.0,0.0,4800.0,4.0,1.0,9000.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Black Family Visual Arts Center,Black Family Visual Arts Center,Hopkins Center for the Arts,Black Family Visual Arts Center,Black Family Visual Arts Center,Zahm Courtyard,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
11:04:2013,78000.0,0.0,4800.0,0.0,0.0,3.0,1.0,7800.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College,Dartmouth College",1.0
11:05:2013,34793.0,7200.0,0.0,36008.0,8998.0,5.0,0.0,0.0,2.0,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Dartmouth College,Maynard Parking Lot,Dick's House,Dick's House,New Hampshire Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Maynard Parking Lot,Dick's House,Dick's House,Ripley Hall,Dick's House,Dick's House,Dartmouth College",
12:04:2013,69598.0,12001.0,3600.0,0.0,0.0,4.0,1.0,9000.0,2.0,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts",1.0
12:05:2013,67063.0,25803.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Bildner Hall,Dartmouth College,Dartmouth College,Dartmouth College,Goldstein Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts",
13:04:2013,76800.0,9600.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College",
13:05:2013,76200.0,3000.0,0.0,0.0,0.0,0.0,1.0,11700.0,2.0,"Hopkins Center for the Arts,Berry Sports Center,Berry Sports Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
14:04:2013,165559.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",4.0
14:05:2013,68998.0,16203.0,1199.0,0.0,0.0,1.0,1.0,3900.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Dartmouth College,Hopkins Center for the Arts,Wilson Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hood Museum of Art,Hood Museum of Art,Wilson Hall,Hopkins Center for the Arts",
15:04:2013,7241.0,0.0,0.0,0.0,0.0,0.0,1.0,11700.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1.0
15:05:2013,102599.0,7200.0,1201.0,0.0,0.0,2.0,1.0,11700.0,2.0,"Hopkins Center for the Arts,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
16:04:2013,81631.0,14400.0,0.0,0.0,0.0,1.0,1.0,3900.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College",1.0
16:05:2013,59400.0,4200.0,0.0,0.0,0.0,3.0,1.0,7800.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts",
17:04:2013,73200.0,0.0,3600.0,0.0,0.0,2.0,1.0,11700.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",1.0
17:05:2013,68400.0,12601.0,4200.0,0.0,0.0,4.0,1.0,9000.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Carson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
18:04:2013,81600.0,1200.0,0.0,0.0,3600.0,3.0,1.0,7800.0,2.0,"Hopkins Center for the Arts,Zahm Courtyard,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",
18:05:2013,59399.0,35400.0,0.0,1801.0,1200.0,5.0,0.0,0.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dick's House,Dick's House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts",
19:04:2013,65998.0,24002.0,2398.0,3602.0,0.0,4.0,1.0,9000.0,2.0,"Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Reed Hall,Hanover Information booth,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts",4.0
19:05:2013,63600.0,6602.0,0.0,8998.0,0.0,-1.0,0.0,0.0,2.0,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,0,Jewel of India,0,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts",
20:04:2013,18001.0,18000.0,1199.0,43200.0,0.0,5.0,0.0,0.0,2.0,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Dartmouth College,Hanover Information booth,Dartmouth College,Dartmouth College,Dick's House,Dick's House,Hopkins Center for the Arts,Dick's House,Dick's House,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts",4.0
20:05:2013,162601.0,601.0,5998.0,0.0,0.0,0.0,1.0,11700.0,2.0,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College",
21:04:2013,56399.0,24985.0,0.0,0.0,1200.0,-1.0,0.0,0.0,2.0,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts",
22:04:2013,71290.0,15600.0,702.0,0.0,0.0,0.0,1.0,11700.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College",
22:05:2013,67200.0,18600.0,600.0,0.0,0.0,2.0,1.0,11700.0,2.0,"Dartmouth College,Haldeman Center,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College",
23:04:2013,96033.0,12012.0,0.0,0.0,1200.0,1.0,1.0,3900.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
23:05:2013,62400.0,17401.0,1199.0,0.0,4800.0,3.0,1.0,7800.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Floren Varsity House,Leverone Field House,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Zahm Courtyard,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,0,0,Dartmouth College",
24:04:2013,67131.0,1203.0,0.0,0.0,0.0,2.0,1.0,11700.0,2.0,"Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
24:05:2013,87353.0,21600.0,0.0,600.0,1800.0,4.0,1.0,9000.0,2.0,"Dartmouth College,Zahm Courtyard,Dartmouth College,White Mountains Insurance Group,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Zahm Courtyard,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
25:04:2013,73203.0,1199.0,7198.0,0.0,0.0,3.0,0.0,7800.0,2.0,"Dartmouth College,The Irving Institute for Energy & Society,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts",
25:05:2013,37805.0,22379.0,600.0,0.0,0.0,5.0,0.0,0.0,2.0,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Haldeman Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts",
26:04:2013,70804.0,12000.0,0.0,0.0,7196.0,4.0,1.0,9000.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Zahm Courtyard,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Zahm Courtyard",1.0
26:05:2013,53400.0,29400.0,600.0,0.0,6000.0,-1.0,0.0,0.0,2.0,"Zahm Courtyard,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Zahm Courtyard,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Zahm Courtyard,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,0,Carson Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts",
27:03:2013,33600.0,0.0,13200.0,0.0,0.0,2.0,0.0,11700.0,2.0,"Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",4.0
27:04:2013,81605.0,6001.0,11999.0,0.0,0.0,5.0,0.0,0.0,2.0,"Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
27:05:2013,81600.0,11400.0,1800.0,0.0,6000.0,0.0,1.0,11700.0,2.0,"Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College",
28:03:2013,84000.0,2400.0,0.0,0.0,0.0,3.0,1.0,7800.0,2.0,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College",
28:04:2013,146395.0,1200.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,"Dartmouth College,0,Dartmouth College",2.0
28:05:2013,70201.0,0.0,0.0,0.0,0.0,1.0,1.0,3900.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
29:03:2013,61201.0,16798.0,8401.0,0.0,0.0,4.0,0.0,9000.0,2.0,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts",2.5
29:04:2013,7200.0,1200.0,0.0,0.0,0.0,0.0,1.0,11700.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts",3.0
29:05:2013,19198.0,0.0,18001.0,4200.0,0.0,2.0,0.0,11700.0,2.0,"Dartmouth College,Dartmouth Co-Op,Dartmouth Co-Op,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall",
30:03:2013,81600.0,9600.0,2400.0,0.0,0.0,5.0,0.0,0.0,2.0,"Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",5.0
30:04:2013,73200.0,13200.0,0.0,0.0,0.0,1.0,1.0,3900.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College",2.0
31:03:2013,121200.0,0.0,0.0,2400.0,0.0,-1.0,0.0,0.0,2.0,"Dartmouth College,0,Ledyard Bridge,Ledyard Bridge,0,Dartmouth College",1.0
