date,home_time,recreational_activities,travel_time,school_time,working,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,level
14:04:2013,1429.0,4802.0,55142.0,14403.0,3875.0,5724.0,-1.0,0.0,0.0,50.0,"N52,N52,N52,N52,0,N52,N52,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Sidney Street,Sidney Street,Novartis Amenities Building,Novartis Amenities Building,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,0,Dr. Paul Dudley White Path,Dartmouth College,Black Family Visual Arts Center",5.0
14:05:2013,24600.0,15600.0,0.0,49200.0,0.0,0.0,1.0,0.0,0.0,50.0,"Little Hall,Little Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Little Hall,Reed Hall,Reed Hall,Haldeman Center,Kemeny Hall,Baker Memorial Library,Berry Library,Baker Memorial Library,Berry Library",
15:04:2013,44412.0,19365.0,1203.0,20364.0,0.0,0.0,0.0,0.0,0.0,50.0,"Black Family Visual Arts Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Little Hall,Hopkins Center for the Arts,Zahm Courtyard,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Berry Library,Berry Library,Little Hall,Little Hall,Reed Hall,Reed Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Berry Library,Berry Library,Haldeman Center,Haldeman Center",4.0
15:05:2013,24600.0,34201.0,0.0,20399.0,0.0,0.0,2.0,0.0,0.0,50.0,"Berry Library,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Berry Library,Berry Library,Berry Library,Berry Library,Berry Library,Little Hall,Little Hall,Reed Hall,Reed Hall,Berry Library,Berry Library,0,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College",2.0
16:04:2013,65971.0,9600.0,1200.0,8430.0,0.0,0.0,1.0,0.0,0.0,50.0,"Haldeman Center,Little Hall,Little Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,0,Little Hall,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Little Hall,Little Hall,Reed Hall,Reed Hall,Dartmouth College,Dartmouth College,Little Hall,Little Hall,Dartmouth College,Berry Library,Berry Library,Carpenter Hall",1.0
16:05:2013,51369.0,41400.0,0.0,9831.0,0.0,600.0,3.0,0.0,0.0,50.0,"Little Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,0,Baker Memorial Library,Berry Library,Berry Library,Berry Library,Little Hall,Little Hall,Reed Hall,Reed Hall,Berry Library,Berry Library,Sudikoff Hall,Sudikoff Hall,Little Hall,Dartmouth College,Little Hall,Dartmouth College,Dartmouth College,0,0,Consolidated Communications,0,Dartmouth College,Dartmouth College,0,Little Hall",
17:04:2013,221276.0,12533.0,0.0,4787.0,0.0,1213.0,2.0,0.0,0.0,50.0,"Dartmouth College,Dartmouth College,Haldeman Center,Haldeman Center,Dartmouth College,Little Hall,Sudikoff Hall,Sudikoff Hall,X-Delta,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Little Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Berry Library,Baker Memorial Library,Baker Memorial Library,Berry Library,Little Hall",4.0
17:05:2013,12600.0,60000.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,50.0,"Little Hall,Berry Library,Berry Library,Berry Library,Baker Memorial Library,Berry Library,Berry Library,Berry Library,Baker Memorial Library,Berry Library,Berry Library,Berry Library,Berry Library,Berry Library,Little Hall,Little Hall,Berry Library,Berry Library,Dartmouth College,0,Baker Memorial Library,Baker Memorial Library,Berry Library,Baker Memorial Library",5.0
18:05:2013,90000.0,13200.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,50.0,"Baker Memorial Library,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,0,Little Hall",4.0
19:04:2013,22322.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,50.0,Little Hall,
19:05:2013,73200.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,50.0,"Dartmouth College,Dartmouth College,Little Hall",5.0
20:04:2013,67072.0,1200.0,0.0,15659.0,0.0,0.0,5.0,0.0,0.0,50.0,"Haldeman Center,Haldeman Center,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Little Hall,Little Hall,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Little Hall,Little Hall,Class of 1953 Commons",1.0
20:05:2013,48000.0,25200.0,0.0,10200.0,0.0,0.0,0.0,0.0,0.0,50.0,"Little Hall,Berry Library,Berry Library,Dartmouth College,Little Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Little Hall,Baker Memorial Library,Baker Memorial Library,Little Hall,Dartmouth College,Reed Hall,Reed Hall,Berry Library,Berry Library,Baker Memorial Library,Baker Memorial Library,0,0,Baker Memorial Library,Baker Memorial Library,Sudikoff Hall",
21:04:2013,81133.0,1199.0,27602.0,0.0,0.0,0.0,-1.0,0.0,0.0,50.0,"Dartmouth College,Little Hall,Berry Library,Dartmouth College,Little Hall,0,State Route 10",
21:05:2013,53400.0,24600.0,0.0,6000.0,0.0,0.0,1.0,0.0,0.0,50.0,"Sudikoff Hall,Little Hall,Little Hall,Reed Hall,Reed Hall,Baker Memorial Library,Berry Library,Berry Library,Berry Library,Baker Memorial Library,Sudikoff Hall,Sudikoff Hall,Winfred-Raven House,Baker Memorial Library,Berry Library,Berry Library",1.0
22:04:2013,17979.0,3598.0,2056.0,39600.0,0.0,0.0,0.0,0.0,0.0,50.0,"Little Hall,Class of 1953 Commons,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Little Hall,Reed Hall,Reed Hall,Life Sciences Greenhouse,0,Berry Library,Berry Library,Dartmouth College",
22:05:2013,23403.0,57600.0,0.0,4197.0,0.0,0.0,2.0,0.0,0.0,50.0,"Berry Library,Baker Memorial Library,Baker Memorial Library,Little Hall,Little Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Baker Memorial Library,Baker Memorial Library,Berry Library,Berry Library,Reed Hall,Reed Hall,Reed Hall,Berry Library,Berry Library,Dartmouth College,Kemeny Hall,Baker Memorial Library,Baker Memorial Library,Berry Library,Berry Library,Berry Library",
23:04:2013,46219.0,31755.0,8401.0,17994.0,0.0,0.0,1.0,0.0,0.0,50.0,"Haldeman Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Little Hall,Dartmouth College,Reed Hall,Reed Hall,Reed Hall,Dartmouth College,Dartmouth College,Berry Library",5.0
23:05:2013,23401.0,4200.0,35662.0,45000.0,0.0,4799.0,3.0,0.0,0.0,50.0,"Berry Library,Berry Library,Sudikoff Hall,Sudikoff Hall,Little Hall,Little Hall,Dartmouth College,Dartmouth College,Dartmouth College,Little Hall,Little Hall,Sudikoff Hall,Sudikoff Hall,X-Delta,Brown/Little Lounge,Dartmouth College,0,0,0",4.5
24:04:2013,310318.0,16086.0,0.0,8400.0,0.0,0.0,2.0,0.0,0.0,50.0,"Sudikoff Hall,Sudikoff Hall,0,Haldeman Center,Haldeman Center,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College",
24:05:2013,31200.0,32669.0,0.0,3190.0,0.0,0.0,4.0,0.0,0.0,50.0,"Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Berry Library,Berry Library,Baker Memorial Library",4.0
25:05:2013,59001.0,21399.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,50.0,"Baker Memorial Library,Hood Museum of Art,Hopkins Center for the Arts,Hopkins Center for the Arts,Baker Memorial Library,Baker Memorial Library,Berry Library,Little Hall,Hood Museum of Art,Little Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Little Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Little Hall,Hanover Inn Dartmouth,Little Hall,Hanover Inn Dartmouth,Hanover Inn Dartmouth,Little Hall,Hanover Inn Dartmouth,Little Hall,Hanover Inn Dartmouth,Dartmouth College",
26:05:2013,91200.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,50.0,"Brown/Little Lounge,Dartmouth College,Dartmouth College,Little Hall,Little Hall,Dartmouth College,Little Hall,Dartmouth College,Little Hall,Dartmouth College,Little Hall,Dartmouth College,Little Hall,Dartmouth College,Little Hall,Dartmouth College,Dartmouth College,Dartmouth College,Little Hall,Dartmouth College,Dartmouth College,Dartmouth College,Little Hall,Dartmouth College,Little Hall,Dartmouth College,Dartmouth College,Dartmouth College,Little Hall,Dartmouth College,Little Hall,Dartmouth College,Little Hall,Dartmouth College,Little Hall,Dartmouth College,Little Hall,Dartmouth College,Little Hall,Dartmouth College,Dartmouth College,Little Hall,Little Hall,Dartmouth College",
27:05:2013,64448.0,14738.0,0.0,2009.0,0.0,0.0,0.0,0.0,0.0,50.0,"Dartmouth College,0,Little Hall,Little Hall,Berry Library,Berry Library,Little Hall,Berry Library,Little Hall,Berry Library,Little Hall,Berry Library,Little Hall,Berry Library,Little Hall,Berry Library,Little Hall,Berry Library,Little Hall,Berry Library,Little Hall,Little Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Berry Library,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Berry Library",1.0
28:03:2013,0.0,0.0,0.0,151815.0,0.0,0.0,3.0,0.0,0.0,50.0,"Sudikoff Hall,Sudikoff Hall",
28:04:2013,160890.0,0.0,0.0,43196.0,0.0,0.0,-1.0,0.0,0.0,50.0,"Sudikoff Hall,Sudikoff Hall,Little Hall,Little Hall",
28:05:2013,45332.0,14074.0,359.0,26996.0,0.0,0.0,1.0,0.0,0.0,50.0,"Berry Library,Berry Library,Little Hall,Dartmouth College,Dartmouth College,Little Hall,Dartmouth College,Dartmouth College,Little Hall,Baker Memorial Library,Little Hall,Baker Memorial Library,Little Hall,Baker Memorial Library,Little Hall,Dartmouth College,Little Hall,Little Hall,Dartmouth College,Little Hall,Dartmouth College,Little Hall,Dartmouth College,Dartmouth College,Little Hall,Little Hall,Sudikoff Hall,Little Hall,Sudikoff Hall,McNutt Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Berry Library,Sudikoff Hall,Berry Library,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Little Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Little Hall,Sudikoff Hall,Little Hall,Sudikoff Hall,Little Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Little Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Little Hall,Sudikoff Hall,Little Hall,Sudikoff Hall,Little Hall,Sudikoff Hall,Little Hall,Sudikoff Hall,Little Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Little Hall,Sudikoff Hall,Sudikoff Hall,Little Hall,Little Hall,Berry Library,Little Hall,Berry Library,Little Hall,Berry Library,Reed Hall,Berry Library,Reed Hall,Berry Library,Reed Hall,0,Reed Hall,Reed Hall,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Berry Library",
29:03:2013,4800.0,10061.0,0.0,8400.0,0.0,0.0,4.0,0.0,0.0,50.0,"Little Hall,Little Hall,Dartmouth College,Reed Hall,Reed Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Berry Library,Berry Library,Berry Library",3.0
29:05:2013,30021.0,50441.0,104.0,4964.0,0.0,3000.0,2.0,0.0,0.0,50.0,"Berry Library,0,0,Dartmouth College,Baker Memorial Library,Haldeman Center,Baker Memorial Library,Haldeman Center,Baker Memorial Library,Haldeman Center,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Dartmouth College,Berry Library,Dartmouth College,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Dartmouth College,Berry Library,Dartmouth College,Baker Memorial Library,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Baker Memorial Library,Berry Library,Baker Memorial Library,Berry Library,Baker Memorial Library,Berry Library,Berry Library,Baker Memorial Library,Berry Library,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Baker Memorial Library,0,Baker Memorial Library,0,Baker Memorial Library,0,Baker Memorial Library,0,Baker Memorial Library,0,Baker Memorial Library,0,Baker Memorial Library,Dartmouth College,Baker Memorial Library,0,Baker Memorial Library,0,Baker Memorial Library,0,Baker Memorial Library,0,Baker Memorial Library,Berry Library,Baker Memorial Library,Berry Library,Baker Memorial Library,Berry Library,Baker Memorial Library,Berry Library,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Reed Hall,Reed Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Berry Library,Berry Library,Baker Memorial Library,Berry Library,Baker Memorial Library,Berry Library,Berry Library,Baker Memorial Library,Berry Library,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Life Sciences Greenhouse,0,Life Sciences Greenhouse,0,Reed Hall,0,0,Reed Hall,Reed Hall,Dartmouth College,0,Dana Circle Parking Lot,Haldeman Center,Life Sciences Greenhouse,Kemeny Hall,Kemeny Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Baker Memorial Library,Little Hall,Life Sciences Greenhouse,Little Hall,Life Sciences Greenhouse,Little Hall,Life Sciences Greenhouse,Little Hall",
30:03:2013,80174.0,0.0,0.0,0.0,0.0,6000.0,5.0,0.0,0.0,50.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Little Hall,Dartmouth College,Dartmouth College,0,0,Little Hall",3.0
30:04:2013,0.0,0.0,0.0,499524.0,0.0,0.0,1.0,0.0,0.0,50.0,Sudikoff Hall,5.0
30:05:2013,55179.0,16113.0,0.0,14631.0,0.0,0.0,3.0,0.0,0.0,50.0,"Little Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Little Hall,Sudikoff Hall,Little Hall,Sudikoff Hall,Little Hall,Sudikoff Hall,Little Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Little Hall,Sudikoff Hall,Little Hall,Sudikoff Hall,Little Hall,Sudikoff Hall,Little Hall,Sudikoff Hall,Little Hall,Sudikoff Hall,Little Hall,Dartmouth College,Little Hall,Dartmouth College,Little Hall,Dartmouth College,Dartmouth College,Little Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Dartmouth College,Little Hall,Little Hall,Baker Memorial Library,Little Hall,Berry Library,Little Hall,Baker Memorial Library,Little Hall,Baker Memorial Library,Little Hall,Baker Memorial Library,Little Hall,Baker Memorial Library,Little Hall,Baker Memorial Library,Little Hall,Berry Library,Little Hall,Little Hall,Sudikoff Hall,Little Hall,Baker Memorial Library,Little Hall,Baker Memorial Library,Little Hall,Baker Memorial Library,Berry Library,Little Hall,Berry Library,Little Hall,Baker Memorial Library,Little Hall,Baker Memorial Library,Little Hall,Berry Library,Little Hall,Baker Memorial Library,Little Hall,Baker Memorial Library,Little Hall,Berry Library,Little Hall,Baker Memorial Library,Little Hall,Berry Library,Little Hall,Baker Memorial Library,Little Hall,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Sudikoff Hall,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Baker Memorial Library",5.0
31:03:2013,285012.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,50.0,"Little Hall,Dartmouth College,New Hampshire Hall,Dartmouth College,Little Hall,Little Hall",2.3333333333333335
31:05:2013,41817.0,23575.0,474.0,10200.0,7197.0,0.0,4.0,0.0,0.0,50.0,"Baker Memorial Library,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Little Hall,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Seven Allen,Seven Allen,Little Hall,Dartmouth College,Dartmouth College,Baker Memorial Library,Hopkins Center for the Arts,Baker Memorial Library,Zahm Courtyard,Berry Library,Berry Library,Little Hall,Baker Memorial Library,Little Hall,Baker Memorial Library,Baker Memorial Library,Little Hall,Baker Memorial Library,Little Hall,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Little Hall,Little Hall,Sudikoff Hall,Sudikoff Hall,Little Hall,Little Hall,Berry Library,Haldeman Center,Haldeman Center,Kemeny Hall,Kemeny Hall,Haldeman Center,Kemeny Hall,Baker Memorial Library",2.0
