date,home_time,recreational_activities,school_time,travel_time,orthers,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,level
13:04:2013,0.0,127838.0,14399.0,33600.0,0.0,0.0,5,0.0,0.0,26,"Moore Psychology Building,Moore Psychology Building,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,Alumni Gymnasium",3.0
13:05:2013,0.0,0.0,0.0,173270.0,0.0,0.0,0,1.0,3900.0,26,Lodge Parking Lot,
15:04:2013,21603.0,7196.0,46800.0,8400.0,0.0,0.0,0,0.0,3900.0,26,"The Lodge,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Bartlett Hall,Bartlett Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Lodge Parking Lot,Lodge Parking Lot,Moore Psychology Building",3.0
15:05:2013,0.0,0.0,41998.0,3599.0,2404.0,0.0,2,0.0,17100.0,26,"Sudikoff Hall,Bartlett Hall,0,Four Seasons | Sotheby's,Moore Psychology Building",
16:04:2013,6000.0,28798.0,43200.0,7202.0,0.0,0.0,1,0.0,13200.0,26,"Moore Psychology Building,Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot,West Stands,Alumni Gymnasium,Alumni Gymnasium,The Lodge,Lodge Parking Lot,Sudikoff Hall,Sudikoff Hall,Lodge Parking Lot,Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,The Lodge,Lodge Parking Lot,Bartlett Hall,Bartlett Hall,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Reed Hall",4.0
16:05:2013,775906.0,8400.0,8396.0,3602.0,9602.0,0.0,3,0.0,9900.0,26,"Moore Psychology Building,Alumni Gymnasium,Alumni Gymnasium,Lodge Parking Lot,0,Carson Hall,Dartmouth Outing Club House,Dartmouth Outing Club House,Dartmouth College,Dartmouth College,House Center B,House Center B,Dartmouth College",
17:04:2013,0.0,0.0,2406.0,85357.0,0.0,0.0,2,1.0,17100.0,26,"Lodge Parking Lot,Lodge Parking Lot,Moore Psychology Building",
18:04:2013,32400.0,12568.0,6000.0,28802.0,6000.0,0.0,3,1.0,9900.0,26,"Moore Psychology Building,Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,Alumni Gymnasium,Alumni Gymnasium,Vox Lane Parking Lot,Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,Sudikoff Hall,Sudikoff Hall,0,Lodge Parking Lot,Lodge Parking Lot,Lodge Parking Lot,4 Currier Place Parking Lot,Lodge Parking Lot,Four Seasons | Sotheby's,The Lodge,The Lodge,Four Seasons | Sotheby's,Lodge Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse",1.0
19:04:2013,1200.0,12000.0,51599.0,14401.0,7200.0,0.0,4,0.0,3000.0,26,"Lodge Parking Lot,Lodge Parking Lot,Alumni Gymnasium,Alumni Gymnasium,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Bartlett Hall,Bartlett Hall,0,Four Seasons | Sotheby's,Lodge Parking Lot,Collis Student Center,Lodge Parking Lot,Lodge Parking Lot,Bartlett Hall,Bartlett Hall,South Fayerweather Hall,Bartlett Hall,Bartlett Hall,Moore Psychology Building",
20:04:2013,16800.0,1200.0,7200.0,79807.0,0.0,0.0,5,0.0,0.0,26,"Moore Psychology Building,Hopkins Center for the Arts,Lodge Parking Lot,The Lodge,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Lodge Parking Lot,Lodge Parking Lot",
21:04:2013,67200.0,0.0,6006.0,1200.0,2400.0,0.0,-1,0.0,0.0,26,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Gile Hall,House Center B,0,Four Seasons | Sotheby's,Four Seasons | Sotheby's,The Lodge",
22:04:2013,10800.0,5999.0,57600.0,3601.0,0.0,0.0,0,0.0,3900.0,26,"Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Bartlett Hall,Bartlett Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Lodge Parking Lot,The Lodge,Moore Psychology Building",
23:04:2013,27861.0,9600.0,26400.0,22788.0,0.0,1215.0,1,0.0,13200.0,26,"Moore Psychology Building,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Lodge Parking Lot,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Lodge Parking Lot,Alumni Gymnasium,Alumni Gymnasium,Lodge Parking Lot,Lodge Parking Lot,Observatory Road,Lodge Parking Lot",
24:04:2013,52800.0,5998.0,1199.0,20401.0,1200.0,3600.0,2,1.0,17100.0,26,"Alumni Gymnasium,Observatory Road,Observatory Road,The Lodge,Lodge Parking Lot,Carpenter Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Lodge Parking Lot,Four Seasons | Sotheby's,Hanover Public Parking Garage,Lodge Parking Lot,Lodge Parking Lot,The Lodge,Lodge Parking Lot,Hopkins Center for the Arts",
25:04:2013,140966.0,9600.0,0.0,4800.0,0.0,0.0,3,1.0,9900.0,26,"Hopkins Center for the Arts,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Lodge Parking Lot,Lodge Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
25:05:2013,14399.0,0.0,61630.0,0.0,0.0,0.0,5,0.0,0.0,26,"Dartmouth College,Dartmouth College,Dartmouth College,Andres Hall,Bartlett Hall,Bartlett Hall",
26:04:2013,8399.0,0.0,7200.0,1200.0,0.0,0.0,4,0.0,3000.0,26,"Lodge Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Moore Psychology Building",
26:05:2013,0.0,0.0,99679.0,0.0,0.0,0.0,-1,0.0,0.0,26,Sudikoff Hall,
27:04:2013,0.0,10800.0,8400.0,90000.0,0.0,0.0,5,0.0,0.0,26,"Moore Psychology Building,Hopkins Center for the Arts,Hopkins Center for the Arts,Alumni Gymnasium,Alumni Gymnasium,Lodge Parking Lot,Lodge Parking Lot,Parker House,Sudikoff Hall,Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot",
27:05:2013,0.0,0.0,57617.0,0.0,0.0,0.0,0,0.0,3900.0,26,Sudikoff Hall,
28:03:2013,4799.0,4799.0,70147.0,7203.0,0.0,0.0,3,0.0,9900.0,26,"Sudikoff Hall,Sudikoff Hall,Lodge Parking Lot,Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Bartlett Hall,Thornton Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Lodge Parking Lot,Lodge Parking Lot,Parker House,Sudikoff Hall,Dana Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",4.0
28:04:2013,0.0,2400.0,0.0,93124.0,0.0,0.0,-1,0.0,0.0,26,"Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Lodge Parking Lot",
28:05:2013,0.0,0.0,120376.0,0.0,0.0,0.0,1,0.0,13200.0,26,Sudikoff Hall,
29:03:2013,0.0,69556.0,9604.0,7200.0,0.0,0.0,4,0.0,3000.0,26,"Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,Alumni Gymnasium,Alumni Gymnasium,Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Black Family Visual Arts Center,Black Family Visual Arts Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Moore Psychology Building",1.0
29:04:2013,4800.0,2400.0,42000.0,4800.0,0.0,0.0,0,0.0,3900.0,26,"Bartlett Hall,Dartmouth Row Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Lodge Parking Lot,Lodge Parking Lot,Hopkins Center for the Arts",
29:05:2013,0.0,0.0,1201.0,4799.0,0.0,0.0,2,1.0,17100.0,26,"Sudikoff Hall,Lodge Parking Lot,Lodge Parking Lot,Sudikoff Hall",
30:03:2013,0.0,24000.0,2400.0,72000.0,0.0,0.0,5,0.0,0.0,26,"Moore Psychology Building,Parker House,Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,Alumni Gymnasium",4.0
30:04:2013,0.0,7200.0,22800.0,63600.0,0.0,0.0,1,0.0,13200.0,26,"Hopkins Center for the Arts,0,Lodge Parking Lot,Lodge Parking Lot,Lodge Parking Lot,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Parker House,Lodge Parking Lot",
31:03:2013,0.0,1201.0,104399.0,0.0,0.0,0.0,-1,0.0,0.0,26,"Alumni Gymnasium,Wilson Hall",
