date,home_time,orthers,school_time,travel_time,shopping,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,location_names
11:05:2013,243733.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,16,"Dartmouth College,Dartmouth College"
12:04:2013,0.0,0.0,0.0,103987.0,0.0,0.0,4,1.0,3000.0,16,"0,0,0,0"
13:05:2013,13200.0,0.0,4800.0,4799.0,0.0,0.0,0,0.0,3900.0,16,"Dartmouth College,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,0,0,Dartmouth College"
14:04:2013,79200.0,0.0,0.0,2399.0,0.0,0.0,-1,0.0,0.0,16,"Ledyard Parking Lot,Ledyard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College"
14:05:2013,74400.0,0.0,3600.0,1200.0,0.0,0.0,1,1.0,6600.0,16,"Ledyard Parking Lot,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth College"
15:04:2013,62400.0,0.0,8400.0,13200.0,0.0,1200.0,0,0.0,3900.0,16,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ledyard Parking Lot,Dartmouth Hall,Dartmouth Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0,0,Dartmouth College,Dartmouth College"
15:05:2013,72002.0,0.0,3604.0,0.0,0.0,10797.0,2,1.0,10500.0,16,"Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Berry Library,Berry Library,Dartmouth College,Berry Library,Dartmouth College"
16:04:2013,70803.0,0.0,1197.0,14401.0,0.0,0.0,1,1.0,6600.0,16,"Dartmouth College,Ledyard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Anonymous Hall,0,0"
16:05:2013,869067.0,0.0,0.0,0.0,0.0,2400.0,3,1.0,6900.0,16,"Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College"
17:04:2013,67594.0,0.0,6003.0,2404.0,0.0,9593.0,2,1.0,10500.0,16,"Floren Varsity House,Floren Varsity House,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,0,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College"
18:04:2013,83597.0,0.0,3605.0,0.0,0.0,0.0,3,1.0,6900.0,16,"Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
19:04:2013,73121.0,0.0,3600.0,4799.0,0.0,4801.0,4,0.0,3000.0,16,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0,0,Dartmouth College"
20:04:2013,196074.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,16,"Dartmouth College,Dartmouth College"
22:04:2013,54005.0,0.0,7199.0,3600.0,0.0,0.0,0,0.0,3900.0,16,"Dartmouth College,Dartmouth College,Thornton Hall,Dartmouth College,Vail,Vail,0,0,Anonymous Hall,Dartmouth College"
23:04:2013,66001.0,0.0,14400.0,4799.0,0.0,0.0,1,0.0,6600.0,16,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth College,Dana Circle Parking Lot,0,0"
24:04:2013,163388.0,0.0,4800.0,0.0,0.0,0.0,2,1.0,10500.0,16,"Floren Varsity House,Floren Varsity House,Dartmouth College"
25:04:2013,0.0,0.0,2402.0,1199.0,0.0,0.0,3,1.0,6900.0,16,"Class of 1978 Life Sciences Center,0,Vail"
26:04:2013,260215.0,0.0,0.0,0.0,0.0,4799.0,4,1.0,3000.0,16,"Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College"
26:05:2013,93096.0,0.0,0.0,0.0,0.0,3608.0,-1,0.0,0.0,16,"Berry Library,Berry Library,Dartmouth College,Dartmouth College"
27:03:2013,40960.0,0.0,2396.0,3605.0,0.0,0.0,2,1.0,10500.0,16,"Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,0,0,Dartmouth College"
27:05:2013,79669.0,0.0,2399.0,0.0,0.0,0.0,0,1.0,3900.0,16,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College"
28:03:2013,108689.0,0.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,16,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
28:05:2013,58799.0,0.0,19202.0,0.0,0.0,0.0,1,0.0,6600.0,16,"Sudikoff Hall,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Dartmouth College"
29:03:2013,57601.0,0.0,1199.0,4800.0,0.0,0.0,4,1.0,3000.0,16,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,0,0,Dartmouth College,Dartmouth College"
29:04:2013,69600.0,0.0,8399.0,4800.0,0.0,0.0,0,0.0,3900.0,16,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Vail,Class of 1978 Life Sciences Center,0,0,Dartmouth College"
29:05:2013,45055.0,0.0,0.0,0.0,0.0,64543.0,2,1.0,10500.0,16,"Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Life Sciences Greenhouse,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College"
30:03:2013,192000.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,16,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
30:04:2013,59997.0,0.0,3603.0,18000.0,0.0,3600.0,1,1.0,6600.0,16,"Dartmouth College,Dartmouth College,Ledyard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,0"
30:05:2013,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,16,Dartmouth College
