date,home_time,school_time,recreational_activities,travel_time,orthers,working,date_in_week,cut_class,class_schedule,volunteer,location_names
21:04:2013,7199.0,74859.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,25,"Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
22:04:2013,51662.0,33598.0,0.0,0.0,0.0,0.0,0,0.0,7800.0,25,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College"
23:04:2013,45600.0,57598.0,0.0,0.0,0.0,0.0,1,0.0,10500.0,25,"Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
24:04:2013,39603.0,32400.0,0.0,0.0,0.0,0.0,2,0.0,14400.0,25,"Dartmouth College,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
25:04:2013,41888.0,8401.0,0.0,0.0,32445.0,1199.0,3,0.0,6900.0,25,"Dartmouth College,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Delta,Dartmouth College,Citizens Bank"
26:04:2013,18064.0,3600.0,0.0,0.0,0.0,0.0,4,1.0,6000.0,25,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
28:03:2013,157199.0,2403.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,25,"Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
29:03:2013,2399.0,10800.0,0.0,0.0,0.0,0.0,4,0.0,6000.0,25,"Carson Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Haldeman Center"
30:03:2013,88801.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,25,"Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
31:03:2013,152668.0,5998.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,25,"Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College"
