date,home_time,school_time,orthers,recreational_activities,travel_time,shopping,working,date_in_week,cut_class,class_schedule,volunteer,location_names
09:04:2013,42000.0,22802.0,0.0,1198.0,1200.0,0.0,0.0,1,0.0,0.0,35,"Dana Circle Parking Lot,Class of 1953 Commons,Class of 1953 Commons,Baker Memorial Library,Anonymous Hall,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
09:05:2013,0.0,163353.0,0.0,0.0,0.0,0.0,0.0,3,0.0,3900.0,35,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons"
10:04:2013,123338.0,34801.0,9600.0,0.0,0.0,1199.0,0.0,2,0.0,3900.0,35,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hanover Park,Anonymous Hall,Anonymous Hall,Remsen Medical Sciences Building,Remsen Medical Sciences Building,Anonymous Hall,Sudikoff Hall,Anonymous Hall,0,0,0"
10:05:2013,2400.0,1200.0,0.0,0.0,2400.0,0.0,0.0,4,1.0,3000.0,35,"Mass Parking Lot,Dartmouth College,Sudikoff Hall"
11:04:2013,3599.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,3900.0,35,"Life Sciences Greenhouse,Life Sciences Greenhouse"
11:05:2013,0.0,42000.0,0.0,0.0,0.0,0.0,45601.0,5,0.0,0.0,35,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Wheelock Office Park"
12:04:2013,2397.0,38403.0,45600.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,35,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Dartmouth College,Anonymous Hall,0,0"
12:05:2013,0.0,116630.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,35,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
13:04:2013,7201.0,18001.0,44400.0,0.0,20399.0,0.0,0.0,5,0.0,0.0,35,"Anonymous Hall,0,0,0"
13:05:2013,144778.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,3900.0,35,0
14:04:2013,1200.0,0.0,139347.0,8688.0,18911.0,0.0,0.0,-1,0.0,0.0,35,"0,0,Hopkins Center for the Arts,0,0,0"
15:04:2013,0.0,1203.0,0.0,0.0,0.0,0.0,0.0,0,1.0,3900.0,35,Sudikoff Hall
15:05:2013,0.0,528484.0,0.0,0.0,0.0,0.0,0.0,2,0.0,3900.0,35,"Sudikoff Hall,Thornton Hall,Dartmouth Hall"
16:04:2013,0.0,39599.0,152207.0,0.0,0.0,0.0,1198.0,1,0.0,0.0,35,"0,Anonymous Hall,Sudikoff Hall,0"
18:04:2013,0.0,22800.0,42000.0,0.0,2400.0,0.0,0.0,3,0.0,3900.0,35,"F Lot Parking,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,0,0"
19:04:2013,55514.0,31198.0,4802.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,35,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,0,0,Vail"
20:04:2013,9599.0,15601.0,52800.0,2400.0,0.0,0.0,0.0,5,0.0,0.0,35,"0,0,0,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Collis Student Center,Collis Student Center,0,0"
21:04:2013,30001.0,0.0,137819.0,0.0,0.0,0.0,2399.0,-1,0.0,0.0,35,"0,Alpha Xi Delta,0"
21:05:2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,35,Sudikoff Hall
22:04:2013,0.0,10800.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3900.0,35,Sudikoff Hall
23:04:2013,0.0,28800.0,54000.0,0.0,0.0,0.0,0.0,1,0.0,0.0,35,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
24:04:2013,8400.0,26400.0,48000.0,0.0,1200.0,0.0,0.0,2,0.0,3900.0,35,"F Lot Parking,0,0,Kellogg Medical Auditorium,Remsen Medical Sciences Building,Remsen Medical Sciences Building,0,0,0"
25:04:2013,3599.0,239408.0,0.0,0.0,18001.0,0.0,0.0,3,0.0,3900.0,35,"F Lot Parking,Dartmouth College,Sudikoff Hall,Sudikoff Hall"
28:03:2013,1198.0,3604.0,0.0,0.0,0.0,0.0,0.0,3,0.0,3900.0,35,"Life Sciences Greenhouse,Class of 1978 Life Sciences Center"
28:04:2013,0.0,18008.0,103200.0,0.0,2399.0,0.0,0.0,-1,0.0,0.0,35,"0,0,0,Four Seasons | Sotheby's,0"
29:03:2013,5998.0,249303.0,0.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,35,"Collis Student Center,Collis Student Center,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Anonymous Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Berry Hall,Anonymous Hall"
29:04:2013,3601.0,11999.0,34800.0,0.0,2400.0,0.0,0.0,0,0.0,3900.0,35,"0,0,Life Sciences Greenhouse,Class of 1953 Commons,0"
30:04:2013,8400.0,590894.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,35,"Sudikoff Hall,0,Class of 1953 Commons"
31:03:2013,9600.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,35,0
