date,home_time,orthers,recreational_activities,school_time,working,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names
06:04:2013,76800.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,17,"Dartmouth College,Dartmouth College,Dartmouth College"
06:05:2013,63000.0,0.0,0.0,18002.0,0.0,600.0,0,0.0,6900.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse,0,Sudikoff Hall"
07:04:2013,92400.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
07:05:2013,59399.0,0.0,0.0,7199.0,0.0,12000.0,1,0.0,9600.0,17,"Kemeny Hall,Dartmouth College,0,0,Winfred-Raven House,Winfred-Raven House,Sudikoff Hall,Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
08:04:2013,67198.0,0.0,3600.0,10802.0,0.0,0.0,0,0.0,6900.0,17,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,Dartmouth College"
08:05:2013,45600.0,1202.0,3600.0,3599.0,599.0,44401.0,2,1.0,13500.0,17,"Dartmouth College,Dartmouth College,The Church of Christ at Dartmouth College,0,Dartmouth College,Dartmouth College,Phi Tau,Dartmouth College,Dartmouth College,Dartmouth College,Mass Parking Lot,Bartlett Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Mass Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Collis Student Center,Collis Student Center,Collis Student Center,Collis Student Center,Dartmouth College"
09:04:2013,69999.0,0.0,0.0,4800.0,0.0,7200.0,1,1.0,9600.0,17,"0,Class of 1953 Commons,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College"
09:05:2013,49199.0,0.0,0.0,30600.0,0.0,600.0,3,0.0,9900.0,17,"Dartmouth College,Dartmouth College,Mass Parking Lot,Kemeny Hall,Dartmouth College,Sudikoff Hall"
10:04:2013,73198.0,0.0,0.0,10802.0,0.0,0.0,2,0.0,13500.0,17,"McNutt Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
10:05:2013,69602.0,0.0,10799.0,600.0,0.0,1201.0,4,1.0,6000.0,17,"Dartmouth College,Dartmouth College,Mass Parking Lot,Black Family Visual Arts Center,Black Family Visual Arts Center,Black Family Visual Arts Center,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Collis Student Center,Dartmouth College"
11:04:2013,66400.0,0.0,0.0,19200.0,0.0,1197.0,3,0.0,9900.0,17,"Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dana Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse"
11:05:2013,67801.0,4802.0,4197.0,600.0,0.0,4798.0,5,0.0,0.0,17,"Dartmouth College,Dartmouth College,Robinson Hall,Black Family Visual Arts Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Howe Little Free Library,Dartmouth College,0,0,0,0,0,0,Dartmouth College,0,0,0,Dartmouth College,Dartmouth College,West Stands,Berry Sports Center"
12:04:2013,89998.0,0.0,2395.0,7202.0,2405.0,0.0,4,0.0,6000.0,17,"Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Chi Heorot,Alumni Gymnasium,Dartmouth College"
12:05:2013,77926.0,1800.0,3000.0,4800.0,600.0,4200.0,-1,0.0,0.0,17,"Berry Sports Center Parking Lot,Berry Sports Center,Berry Sports Center,Berry Sports Center,0,South Block Parking Garage,South Block Parking Garage,0,Dartmouth College,Bartlett Hall,Dartmouth College,Phi Tau,Dartmouth College,Dartmouth College,Dartmouth College"
13:04:2013,87600.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
13:05:2013,76198.0,0.0,0.0,6002.0,0.0,0.0,0,0.0,6900.0,17,"Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College"
14:04:2013,145200.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,17,"Dartmouth College,Dartmouth College"
14:05:2013,99001.0,0.0,0.0,16199.0,0.0,0.0,1,0.0,9600.0,17,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College"
15:04:2013,1200.0,0.0,0.0,26401.0,0.0,0.0,0,0.0,6900.0,17,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Rauner Hall,Sudikoff Hall"
15:05:2013,43802.0,600.0,3000.0,17398.0,0.0,0.0,2,0.0,13500.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Bartlett Hall,0,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,McNutt Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
16:04:2013,82438.0,0.0,0.0,0.0,0.0,0.0,1,1.0,9600.0,17,"Dartmouth College,Dartmouth College,Dartmouth College"
16:05:2013,61998.0,0.0,0.0,43199.0,0.0,0.0,3,0.0,9900.0,17,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall"
17:04:2013,80400.0,2400.0,3961.0,7200.0,1200.0,0.0,2,1.0,13500.0,17,"Hanover Country Club,Dartmouth College,Alumni Gymnasium,0,Chi Heorot,Dartmouth College,Thel,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
17:05:2013,51146.0,0.0,0.0,17401.0,0.0,0.0,4,0.0,6000.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall"
18:04:2013,49200.0,0.0,0.0,15600.0,0.0,0.0,3,0.0,9900.0,17,"Sudikoff Hall,Dartmouth College,Sudikoff Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center"
18:05:2013,56477.0,0.0,0.0,33001.0,0.0,600.0,5,0.0,0.0,17,"0,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall"
19:04:2013,87600.0,3600.0,1200.0,10800.0,0.0,0.0,4,0.0,6000.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Collis Student Center,Bartlett Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Alumni Gymnasium,0,Rauner Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Steele Hall,Dartmouth College"
19:05:2013,70200.0,0.0,0.0,25018.0,0.0,0.0,-1,0.0,0.0,17,"Dartmouth College,Parker House"
20:04:2013,88799.0,2401.0,1199.0,0.0,0.0,50401.0,5,0.0,0.0,17,"0,0,Hood Museum of Art,Dartmouth College,Mass Parking Lot,Dartmouth College,Dartmouth College"
20:05:2013,49202.0,0.0,0.0,21598.0,0.0,0.0,0,0.0,6900.0,17,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College"
21:04:2013,24000.0,0.0,0.0,10800.0,0.0,0.0,-1,0.0,0.0,17,"Sudikoff Hall,Dartmouth College"
21:05:2013,90598.0,0.0,0.0,9601.0,0.0,0.0,1,0.0,9600.0,17,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College"
22:04:2013,49200.0,0.0,0.0,8400.0,1200.0,13200.0,0,0.0,6900.0,17,"Sudikoff Hall,Dartmouth College,Wheeler Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sigma Alpha Epsilon Fraternity,Mass Parking Lot"
22:05:2013,54000.0,600.0,2999.0,12600.0,0.0,0.0,2,0.0,13500.0,17,"Jewel of India,0,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College"
23:04:2013,143095.0,0.0,0.0,24003.0,0.0,2399.0,1,0.0,9600.0,17,"Sudikoff Hall,Dartmouth College,Mass Parking Lot,Dartmouth College,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
23:05:2013,55201.0,0.0,1201.0,43199.0,0.0,0.0,3,0.0,9900.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Jewel of India,Jewel of India,Wilson Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall"
24:05:2013,85199.0,0.0,0.0,0.0,0.0,0.0,4,1.0,6000.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
25:04:2013,56038.0,0.0,0.0,44515.0,0.0,0.0,3,0.0,9900.0,17,"Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall"
25:05:2013,79840.0,0.0,3000.0,1760.0,0.0,0.0,5,0.0,0.0,17,"Jewel of India,Jewel of India,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College"
26:04:2013,1200.0,0.0,0.0,6000.0,0.0,79199.0,4,0.0,6000.0,17,"Mass Parking Lot,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Anonymous Hall,Collis Student Center,Collis Student Center,Mass Parking Lot"
26:05:2013,64200.0,0.0,0.0,7800.0,0.0,0.0,-1,0.0,0.0,17,"Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College"
27:03:2013,16799.0,0.0,0.0,7199.0,0.0,0.0,2,1.0,13500.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Collis Student Center,Collis Student Center,Dartmouth College"
27:04:2013,75542.0,0.0,0.0,8400.0,0.0,0.0,5,0.0,0.0,17,"Sudikoff Hall,Dartmouth College"
27:05:2013,68400.0,0.0,0.0,21000.0,0.0,0.0,0,0.0,6900.0,17,"Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
28:03:2013,57602.0,0.0,0.0,20397.0,0.0,0.0,3,0.0,9900.0,17,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Little Hall,Little Hall,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,25331.0,0.0,0.0,0.0,0.0,61127.0,-1,0.0,0.0,17,"Dartmouth College,Dartmouth College,Mass Parking Lot,Dartmouth College,Dartmouth College"
28:05:2013,74400.0,0.0,0.0,9600.0,0.0,0.0,1,0.0,9600.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Collis Student Center"
29:03:2013,52801.0,0.0,0.0,33600.0,0.0,0.0,4,0.0,6000.0,17,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Anonymous Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall"
29:04:2013,55169.0,0.0,0.0,7201.0,0.0,9600.0,0,0.0,6900.0,17,"Dartmouth College,Dartmouth College,Mass Parking Lot,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Byrne II Hall,Dartmouth College"
29:05:2013,25200.0,0.0,2993.0,600.0,0.0,0.0,2,1.0,13500.0,17,"Collis Student Center,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall"
30:03:2013,86399.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
30:04:2013,75278.0,0.0,0.0,36030.0,0.0,0.0,1,0.0,9600.0,17,"Sudikoff Hall,Sudikoff Hall,Dartmouth College"
31:03:2013,85204.0,0.0,0.0,1196.0,0.0,0.0,-1,0.0,0.0,17,"Dartmouth College,Little Hall,Dartmouth College,Dartmouth College,Little Hall,Dartmouth College,Little Hall,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Little Hall,Dartmouth College,Dartmouth College,Dartmouth College"
