date,home_time,school_time,recreational_activities,orthers,travel_time,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
08:04:2013,82810.0,3600.0,1200.0,0.0,0.0,0.0,0,0.0,0.0,52,"Dartmouth College,Hood Museum of Art,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,0"
08:05:2013,61200.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,52,"0,Dartmouth College,Dartmouth College,Dartmouth College"
09:04:2013,85200.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,52,"Dartmouth College,0"
09:05:2013,94802.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,52,"0,Dartmouth College"
10:04:2013,86400.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,52,"Dartmouth College,Dartmouth College,0"
10:05:2013,100200.0,4198.0,0.0,0.0,0.0,0.0,4,0.0,0.0,52,"Steele Hall,Steele Hall,Dartmouth College,0,Life Sciences Greenhouse,Dartmouth College"
11:04:2013,84000.0,1200.0,1200.0,0.0,0.0,0.0,3,0.0,0.0,52,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,0,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse"
11:05:2013,62347.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,52,"0,0,0,Dartmouth College,Dartmouth College,Dartmouth College,0"
12:04:2013,98400.0,7200.0,0.0,0.0,0.0,0.0,4,0.0,0.0,52,"Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College"
12:05:2013,79199.0,0.0,2400.0,0.0,1255.0,0.0,-1,0.0,0.0,52,"0,Dartmouth College,Dartmouth College,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,0,0"
13:04:2013,69600.0,2400.0,0.0,0.0,0.0,0.0,5,0.0,0.0,52,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,0"
13:05:2013,85267.0,1792.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52,"0,0,Dartmouth College,0,Dartmouth College,Reed Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
14:04:2013,81601.0,3600.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,52,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,Dartmouth College"
14:05:2013,87600.0,600.0,0.0,0.0,0.0,0.0,1,0.0,0.0,52,"Anonymous Hall,Dartmouth College,Dartmouth College,0,Dartmouth College"
15:04:2013,79200.0,0.0,5999.0,0.0,0.0,0.0,0,0.0,0.0,52,"Alumni Gymnasium,Dartmouth College,0,Dartmouth College,Dartmouth College,0"
15:05:2013,111596.0,3604.0,0.0,0.0,0.0,0.0,2,0.0,0.0,52,"0,0,Dartmouth College,Dartmouth College,0,Anonymous Hall,Reed Hall,Dartmouth College,Dartmouth College"
16:04:2013,90000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,52,"Dartmouth College,0"
16:05:2013,74403.0,0.0,0.0,1200.0,0.0,0.0,3,0.0,0.0,52,"0,0,Dartmouth College,Dartmouth College"
17:04:2013,80346.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,52,"Dartmouth College,0,0,Dartmouth College,Dartmouth College"
17:05:2013,62971.0,0.0,1200.0,0.0,0.0,0.0,4,0.0,0.0,52,"Dartmouth College,Dartmouth College,Starbucks,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
18:04:2013,90054.0,1200.0,0.0,0.0,0.0,0.0,3,0.0,0.0,52,"Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,0,Life Sciences Greenhouse"
18:05:2013,100218.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,52,"Dartmouth College,Dartmouth College,0,0"
19:04:2013,117600.0,6000.0,0.0,0.0,0.0,0.0,4,0.0,0.0,52,"Dartmouth College,Steele Hall,Steele Hall,Dartmouth College,0,Hanover High School,Dartmouth College"
19:05:2013,71959.0,0.0,0.0,0.0,0.0,2453.0,-1,0.0,0.0,52,"Dartmouth College,Dartmouth College,Hanover Park,0,0,Dartmouth College"
20:04:2013,50400.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,52,0
20:05:2013,88199.0,1173.0,0.0,0.0,1200.0,600.0,0,0.0,0.0,52,"Steele Hall,0,0,Hanover Park,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College"
21:04:2013,99601.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,52,"Dartmouth College,Dartmouth College,Dartmouth College,0"
21:05:2013,84626.0,0.0,0.0,0.0,600.0,0.0,1,0.0,0.0,52,"0,0,Dartmouth College,0,0,Dartmouth College"
22:04:2013,104400.0,0.0,1199.0,0.0,0.0,0.0,0,0.0,0.0,52,"Starbucks,Dartmouth College,0,Dartmouth College"
22:05:2013,92872.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,52,"Dartmouth College,0,Dartmouth College"
23:04:2013,61200.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,52,"0,0,Dartmouth College,Dartmouth College"
23:05:2013,77391.0,0.0,1200.0,0.0,0.0,0.0,3,0.0,0.0,52,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,Dartmouth College"
24:04:2013,82374.0,1200.0,1200.0,3600.0,0.0,0.0,2,0.0,0.0,52,"0,0,Dartmouth College,Dartmouth College,Hood Museum of Art,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College"
24:05:2013,101409.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,52,"Dartmouth College,Dartmouth College,0,Dartmouth College"
25:04:2013,62400.0,1200.0,7626.0,0.0,0.0,0.0,3,0.0,0.0,52,"Starbucks,Sudikoff Hall,Dartmouth College,Dartmouth College,0,0,Life Sciences Greenhouse"
25:05:2013,161400.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,52,"0,0"
26:04:2013,112800.0,1200.0,0.0,0.0,0.0,0.0,4,0.0,0.0,52,"Dartmouth College,Sudikoff Hall,Dartmouth College,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
27:04:2013,90000.0,0.0,0.0,1200.0,0.0,0.0,5,0.0,0.0,52,"0,0,Dartmouth College"
27:05:2013,82200.0,0.0,600.0,600.0,0.0,0.0,0,0.0,0.0,52,"Nugget Arcade,0,West Stands,Dartmouth College"
28:03:2013,49217.0,3600.0,0.0,0.0,0.0,0.0,3,0.0,0.0,52,"0,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,91200.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,52,"0,Dartmouth College"
28:05:2013,85200.0,600.0,0.0,0.0,0.0,0.0,1,0.0,0.0,52,"Sudikoff Hall,Dartmouth College,Dartmouth College"
29:03:2013,106801.0,2399.0,0.0,0.0,0.0,0.0,4,0.0,0.0,52,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,Life Sciences Greenhouse,Dartmouth College"
29:04:2013,54000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52,0
29:05:2013,106779.0,6599.0,0.0,0.0,0.0,0.0,2,0.0,0.0,52,"Sudikoff Hall,Dartmouth College,0,Anonymous Hall,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
30:03:2013,63599.0,0.0,0.0,1200.0,0.0,1201.0,5,0.0,0.0,52,"Hanover Park,Dartmouth College,Dartmouth College,Dartmouth Real Estate - Sachem Village,0"
30:04:2013,92400.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,52,"Dartmouth College,0"
30:05:2013,85813.0,0.0,0.0,0.0,6009.0,0.0,3,0.0,0.0,52,"0,0,Dartmouth College"
31:03:2013,103156.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,52,"Dartmouth College,0,Dartmouth College"
31:05:2013,84600.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,52,"0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
