date,home_time,recreational_activities,school_time,working,orthers,travel_time,date_in_week,cut_class,class_schedule,volunteer
11:04:2013 ,25201.0,0.0,2399.0,55201.0,3599.0,0.0,3,1.0,6900.0,10
11:05:2013 ,23398.0,0.0,3600.0,63601.0,0.0,601.0,5,0.0,0.0,10
12:04:2013 ,14400.0,7200.0,2401.0,62400.0,0.0,1200.0,4,1.0,6000.0,10
12:05:2013 ,28199.0,0.0,599.0,51602.0,600.0,0.0,-1,0.0,0.0,10
13:04:2013 ,10787.0,0.0,1209.0,80427.0,0.0,0.0,5,0.0,0.0,10
13:05:2013 ,9598.0,6000.0,4800.0,67134.0,600.0,0.0,0,1.0,7800.0,10
14:04:2013 ,8379.0,0.0,0.0,79204.0,0.0,0.0,-1,0.0,0.0,10
14:05:2013 ,12001.0,16800.0,0.0,52202.0,0.0,2997.0,1,1.0,10500.0,10
15:04:2013 ,4800.0,3600.0,4796.0,66929.0,0.0,0.0,0,1.0,7800.0,10
15:05:2013 ,13804.0,9000.0,4800.0,59400.0,0.0,1196.0,2,1.0,14400.0,10
16:04:2013 ,7201.0,7200.0,21213.0,55205.0,0.0,0.0,1,0.0,10500.0,10
16:05:2013 ,10801.0,11399.0,0.0,60001.0,0.0,3600.0,3,1.0,6900.0,10
17:04:2013 ,15599.0,1200.0,4800.0,60000.0,0.0,0.0,2,1.0,14400.0,10
17:05:2013 ,1800.0,11999.0,4799.0,67802.0,0.0,0.0,4,1.0,6000.0,10
18:04:2013 ,15598.0,4797.0,1202.0,63603.0,0.0,0.0,3,1.0,6900.0,10
18:05:2013 ,16202.0,598.0,7800.0,53401.0,10199.0,600.0,5,0.0,0.0,10
19:04:2013 ,10800.0,1200.0,4800.0,70800.0,0.0,0.0,4,1.0,6000.0,10
19:05:2013 ,25605.0,0.0,0.0,57657.0,0.0,0.0,-1,0.0,0.0,10
20:04:2013 ,170398.0,0.0,1202.0,15600.0,0.0,0.0,5,0.0,0.0,10
20:05:2013 ,13800.0,12600.0,0.0,66001.0,0.0,0.0,0,1.0,7800.0,10
21:05:2013 ,66259.0,13800.0,1210.0,600.0,0.0,0.0,1,1.0,10500.0,10
22:04:2013 ,9597.0,8400.0,8051.0,49200.0,0.0,0.0,0,0.0,7800.0,10
22:05:2013 ,10200.0,600.0,3600.0,71400.0,0.0,0.0,2,1.0,14400.0,10
23:04:2013 ,8396.0,1200.0,14400.0,68330.0,0.0,0.0,1,0.0,10500.0,10
23:05:2013 ,4798.0,9602.0,600.0,71400.0,0.0,0.0,3,1.0,6900.0,10
24:04:2013 ,7140.0,26578.0,0.0,45555.0,0.0,0.0,2,1.0,14400.0,10
24:05:2013 ,369876.0,1800.0,0.0,4200.0,0.0,0.0,4,1.0,6000.0,10
25:04:2013 ,5986.0,0.0,9679.0,68302.0,0.0,0.0,3,0.0,6900.0,10
26:04:2013 ,62285.0,3580.0,8400.0,13160.0,0.0,0.0,4,0.0,6000.0,10
27:03:2013 ,1199.0,3599.0,7175.0,3625.0,0.0,0.0,2,1.0,14400.0,10
27:04:2013 ,22808.0,2305.0,9633.0,56453.0,0.0,0.0,5,0.0,0.0,10
28:03:2013 ,5998.0,9599.0,3602.0,66001.0,0.0,0.0,3,1.0,6900.0,10
28:04:2013 ,5929.0,0.0,20383.0,59340.0,7935.0,1213.0,-1,0.0,0.0,10
28:05:2013 ,9000.0,3600.0,5896.0,36000.0,0.0,0.0,1,1.0,10500.0,10
29:03:2013 ,9600.0,13198.0,2400.0,62402.0,0.0,0.0,4,1.0,6000.0,10
29:04:2013 ,14445.0,4800.0,14417.0,39538.0,0.0,0.0,0,0.0,7800.0,10
29:05:2013 ,43798.0,12600.0,20999.0,18603.0,0.0,0.0,2,0.0,14400.0,10
30:03:2013 ,8399.0,0.0,1200.0,232391.0,3598.0,0.0,5,0.0,0.0,10
30:04:2013 ,10542.0,8382.0,38454.0,29002.0,0.0,3620.0,1,0.0,10500.0,10
30:05:2013 ,0.0,12000.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,10
