date,home_time,orthers,school_time,recreational_activities,working,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names
07:05:2013,54602.0,0.0,34365.0,1804.0,598.0,0.0,1,0.0,3900.0,33,"Dartmouth College,Dartmouth College,Kappa Kappa Gamma,0,Alumni Gymnasium,Reed Hall,McNutt Hall,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Sudikoff Hall"
08:04:2013,84000.0,0.0,3600.0,0.0,0.0,0.0,0,1.0,7800.0,33,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
08:05:2013,67801.0,0.0,14399.0,0.0,0.0,0.0,2,0.0,7800.0,33,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall,North Fayerweather Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Collis Student Center,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
09:04:2013,81600.0,0.0,3600.0,0.0,0.0,0.0,1,0.0,3900.0,33,"Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall"
09:05:2013,93003.0,0.0,600.0,0.0,0.0,0.0,3,1.0,3900.0,33,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,McNutt Hall,Dartmouth College,Dartmouth College"
10:04:2013,73200.0,0.0,15600.0,0.0,0.0,0.0,2,0.0,7800.0,33,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
10:05:2013,61801.0,1199.0,16197.0,0.0,0.0,0.0,4,0.0,6000.0,33,"Parker House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Nugget Arcade,Nugget Arcade,Collis Student Center,Dartmouth College"
11:04:2013,79200.0,0.0,4800.0,0.0,0.0,0.0,3,0.0,3900.0,33,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse"
11:05:2013,169801.0,0.0,1800.0,601.0,5399.0,0.0,5,0.0,0.0,33,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Sigma Phi Epsilon,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College"
12:04:2013,64800.0,0.0,18000.0,6000.0,0.0,0.0,4,0.0,6000.0,33,"Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Carpenter Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
13:04:2013,69601.0,0.0,1199.0,4800.0,0.0,8400.0,5,0.0,0.0,33,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall,North Fayerweather Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Sports Center,Alumni Gymnasium,Alumni Gymnasium"
13:05:2013,80399.0,0.0,0.0,0.0,0.0,0.0,0,1.0,7800.0,33,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
14:04:2013,69600.0,7200.0,0.0,9908.0,0.0,0.0,-1,0.0,0.0,33,"Berry Sports Center,Berry Sports Center,Battle Field,Red Rolfe Field at Biondi Park,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
14:05:2013,78000.0,0.0,6600.0,0.0,0.0,0.0,1,0.0,3900.0,33,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
15:04:2013,87600.0,0.0,0.0,0.0,0.0,0.0,0,1.0,7800.0,33,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
15:05:2013,75001.0,0.0,12599.0,0.0,0.0,0.0,2,0.0,7800.0,33,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
16:04:2013,80400.0,0.0,4800.0,0.0,0.0,0.0,1,0.0,3900.0,33,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall"
16:05:2013,85806.0,0.0,600.0,1461.0,0.0,933.0,3,1.0,3900.0,33,"Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Lot 3,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College"
17:04:2013,76803.0,0.0,11999.0,0.0,0.0,0.0,2,0.0,7800.0,33,"Dartmouth College,Sudikoff Hall,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
17:05:2013,20056.0,0.0,0.0,0.0,0.0,0.0,4,1.0,6000.0,33,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
18:04:2013,82799.0,0.0,1199.0,0.0,0.0,0.0,3,1.0,3900.0,33,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
19:04:2013,68401.0,1199.0,6000.0,1200.0,10800.0,0.0,4,0.0,6000.0,33,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,0,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Collis Student Center,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
20:04:2013,97200.0,0.0,1199.0,3601.0,0.0,0.0,5,0.0,0.0,33,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Class of 1953 Commons,Dartmouth College,Dartmouth College"
21:04:2013,80402.0,0.0,0.0,5998.0,0.0,0.0,-1,0.0,0.0,33,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
22:04:2013,62400.0,0.0,8400.0,0.0,0.0,0.0,0,0.0,7800.0,33,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
23:04:2013,44399.0,0.0,40801.0,0.0,0.0,0.0,1,0.0,3900.0,33,"Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Rockefeller Center,Dartmouth College,Wentworth Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall"
24:04:2013,72695.0,0.0,0.0,4800.0,0.0,13200.0,2,1.0,7800.0,33,"Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College"
25:04:2013,77163.0,0.0,4800.0,0.0,0.0,0.0,3,0.0,3900.0,33,"0,0,Collis Student Center,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
26:04:2013,64804.0,0.0,22793.0,2399.0,0.0,0.0,4,0.0,6000.0,33,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College,Berry Sports Center,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,0,Collis Student Center,Collis Student Center,Dartmouth College"
27:04:2013,85200.0,0.0,0.0,2400.0,0.0,0.0,5,0.0,0.0,33,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College"
28:04:2013,88743.0,7199.0,3593.0,6006.0,0.0,0.0,-1,0.0,0.0,33,"Topliff Courts,McKenzie Shops,Burnham Field,Bartlett Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Coldwell Banker,Coldwell Banker,Dartmouth College,Dartmouth College,Coldwell Banker,Coldwell Banker,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
29:04:2013,37131.0,0.0,19325.0,0.0,7202.0,0.0,0,0.0,7800.0,33,"Alpha Delta,Wentworth Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
30:03:2013,93600.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,33,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
30:04:2013,80400.0,0.0,1200.0,3600.0,0.0,0.0,1,1.0,3900.0,33,"Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sarner Underground,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
31:03:2013,1200.0,68400.0,0.0,0.0,0.0,16800.0,-1,0.0,0.0,33,"0,0,0,0,0,0,0"
