date,home_time,school_time,orthers,shopping,travel_time,recreational_activities,working,date_in_week,cut_class,class_schedule,volunteer,location_names
21:05:2013,46800.0,10805.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,57,"Kemeny Hall,Kemeny Hall,Dartmouth College,Dartmouth College,0,Moore Psychology Building"
22:04:2013,0.0,31200.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,57,Moore Psychology Building
22:05:2013,45597.0,44401.0,0.0,0.0,1198.0,0.0,0.0,2,0.0,0.0,57,"Dartmouth College,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Dartmouth College,0,Dartmouth College,Native American House Parking Lot,Moore Psychology Building"
23:04:2013,51600.0,8400.0,0.0,0.0,0.0,3600.0,0.0,1,0.0,0.0,57,"Hanover Inn Dartmouth,0,Moore Psychology Building"
23:05:2013,52800.0,33600.0,1199.0,0.0,0.0,0.0,0.0,3,0.0,0.0,57,"White Mountains Insurance Group,Dartmouth College,Moore Psychology Building,Moore Psychology Building,0,Moore Psychology Building"
24:04:2013,46800.0,36000.0,0.0,0.0,0.0,0.0,1200.0,2,0.0,0.0,57,"Sigma Alpha Epsilon Fraternity,Collis Student Center,Moore Psychology Building,0,Moore Psychology Building,Dartmouth College"
24:05:2013,33600.0,26400.0,1200.0,0.0,15600.0,6000.0,0.0,4,0.0,0.0,57,"White Mountains Insurance Group,Moore Psychology Building,Hood Museum of Art,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Hanover Inn Valet Lot,0,Moore Psychology Building"
25:04:2013,69600.0,20400.0,0.0,0.0,1200.0,1200.0,0.0,3,0.0,0.0,57,"Dartmouth College,Moore Psychology Building,Moore Psychology Building,0,0,Moore Psychology Building,0,0,0,Moore Psychology Building"
25:05:2013,53999.0,55200.0,1201.0,0.0,0.0,1200.0,0.0,5,0.0,0.0,57,"0,Moore Psychology Building,0,Moore Psychology Building,Dartmouth College,Dartmouth College,0,Moore Psychology Building"
26:04:2013,49200.0,32400.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,57,"0,Moore Psychology Building,0,Moore Psychology Building"
26:05:2013,76546.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,57,0
27:03:2013,0.0,9599.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,57,"Moore Psychology Building,Moore Psychology Building,Collis Student Center"
27:04:2013,226801.0,21600.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,57,"Moore Psychology Building,0,0,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,0"
27:05:2013,40799.0,27601.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,57,"Dartmouth College,Moore Psychology Building,0,Moore Psychology Building,Dartmouth College,0,0"
28:03:2013,0.0,39602.0,53999.0,0.0,0.0,0.0,0.0,3,0.0,0.0,57,"Moore Psychology Building,0,Moore Psychology Building"
28:05:2013,35270.0,32400.0,0.0,0.0,0.0,0.0,22800.0,1,0.0,0.0,57,"Dartmouth College,Moore Psychology Building,Phi Tau,0"
29:03:2013,46797.0,21030.0,0.0,0.0,0.0,222158.0,0.0,4,0.0,0.0,57,"Dartmouth College,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,0,0,Collis Student Center,Boloco"
29:04:2013,0.0,24000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,57,Moore Psychology Building
29:05:2013,54000.0,31200.0,0.0,0.0,1200.0,0.0,0.0,2,0.0,0.0,57,"Moore Psychology Building,Native American House Parking Lot,Moore Psychology Building,0,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building"
30:04:2013,55201.0,46801.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,57,"0,0,Moore Psychology Building,0,Moore Psychology Building"
30:05:2013,43200.0,51601.0,0.0,0.0,1200.0,0.0,0.0,3,0.0,0.0,57,"Native American House Parking Lot,Moore Psychology Building,0,0,Moore Psychology Building,0,Moore Psychology Building"
31:05:2013,2397.0,10798.0,6000.0,0.0,4804.0,2400.0,48000.0,4,0.0,0.0,57,"Bartlett Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Collis Student Center,Collis Student Center,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Dartmouth College,White Mountains Insurance Group,White Mountains Insurance Group,Dartmouth College,Moore Psychology Building,Moore Psychology Building,Phi Tau,Hood Museum of Art,Sigma Alpha Epsilon Fraternity"
