date,home_time,school_time,travel_time,recreational_activities,orthers,working,date_in_week,cut_class,class_schedule,volunteer,location_names
13:04:2013,68403.0,19205.0,0.0,0.0,0.0,0.0,5,0.0,0.0,20,"Dartmouth College,Berry Hall,0,Class of 1953 Commons"
13:05:2013,4800.0,31200.0,39600.0,0.0,0.0,0.0,0,0.0,11700.0,20,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Gilman Parking Lot,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
14:04:2013,73200.0,10800.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,20,"0,0,Class of 1953 Commons,Dartmouth College,Berry Hall,Dartmouth College"
14:05:2013,19200.0,27600.0,30000.0,8400.0,0.0,0.0,1,0.0,7800.0,20,"Dartmouth College,Sudikoff Hall,Berry Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Gilman Parking Lot,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Black Family Visual Arts Center,Sudikoff Hall,Sudikoff Hall"
15:04:2013,56400.0,24001.0,4800.0,0.0,2399.0,0.0,0,0.0,11700.0,20,"South Block Parking Garage,South Block Parking Garage,Robinson Hall,Collis Student Center,Collis Student Center,Collis Student Center,Sarner Underground,Edgerton House,Edgerton House,Dartmouth College,Berry Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Berry Hall,Berry Hall,Dartmouth College"
15:05:2013,15600.0,39600.0,32400.0,2400.0,0.0,0.0,2,0.0,11700.0,20,"Dartmouth College,Dartmouth College,Sudikoff Hall,Gilman Parking Lot,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College"
16:04:2013,74400.0,0.0,0.0,10800.0,0.0,0.0,1,1.0,7800.0,20,"Dartmouth College,Berry Hall,Black Family Visual Arts Center"
16:05:2013,1200.0,40800.0,24000.0,16800.0,0.0,0.0,3,0.0,3900.0,20,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Black Family Visual Arts Center,Black Family Visual Arts Center,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Collis Student Center,Collis Student Center,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Gilman Parking Lot,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Gilman Parking Lot,Dartmouth College,Black Family Visual Arts Center,Parker House,Sudikoff Hall"
17:04:2013,17999.0,20399.0,33602.0,15600.0,0.0,0.0,2,0.0,11700.0,20,"Dartmouth College,Dartmouth College,Black Family Visual Arts Center,Collis Student Center,Dartmouth College,Sudikoff Hall,Gilman Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Berry Hall,Berry Hall,Dartmouth College"
17:05:2013,51600.0,7200.0,0.0,27600.0,0.0,1200.0,4,0.0,9000.0,20,"Sudikoff Hall,Dartmouth College,Black Family Visual Arts Center,Black Family Visual Arts Center,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Berry Hall,Dartmouth College,Black Family Visual Arts Center,Dartmouth College,Dartmouth College,Dartmouth College"
18:04:2013,24000.0,15598.0,33601.0,10801.0,1200.0,0.0,3,0.0,3900.0,20,"Dartmouth College,Gilman Parking Lot,Black Family Visual Arts Center,The Lodge,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,0,Gilman Parking Lot,Dartmouth College,0,0,Collis Student Center,Sudikoff Hall,Gilman Parking Lot,Black Family Visual Arts Center,Black Family Visual Arts Center,Fairchild Physical Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse"
18:05:2013,49199.0,19201.0,0.0,25200.0,6000.0,0.0,5,0.0,0.0,20,"Dartmouth College,Black Family Visual Arts Center,Heating & Electric Plant,Black Family Visual Arts Center,Heating & Electric Plant,Heating & Electric Plant,Black Family Visual Arts Center,Heating & Electric Plant,Heating & Electric Plant,Black Family Visual Arts Center,Black Family Visual Arts Center,Black Family Visual Arts Center,Sudikoff Hall,Berry Hall,Sudikoff Hall"
19:04:2013,17999.0,14400.0,48001.0,7200.0,0.0,0.0,4,0.0,9000.0,20,"Dartmouth College,Dartmouth College,Black Family Visual Arts Center,Dartmouth College,Sudikoff Hall,Gilman Parking Lot,Collis Student Center,Berry Hall,Berry Hall,Gilman Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Gilman Parking Lot,Gilman Parking Lot,Dartmouth College"
19:05:2013,59994.0,10806.0,4800.0,0.0,0.0,0.0,-1,0.0,0.0,20,"Dartmouth College,Dartmouth College,Robinson Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Gilman Parking Lot,Gilman Parking Lot,Collis Student Center,Berry Hall"
20:04:2013,2400.0,1200.0,186000.0,0.0,0.0,0.0,5,0.0,0.0,20,"Dartmouth College,Sudikoff Hall,Gilman Parking Lot,Dartmouth College,Gilman Parking Lot"
20:05:2013,72002.0,13199.0,0.0,0.0,0.0,0.0,0,0.0,11700.0,20,"Dartmouth College,Class of 1953 Commons,Bildner Hall,Dartmouth College,Sudikoff Hall"
21:05:2013,19196.0,22799.0,33602.0,8402.0,0.0,0.0,1,0.0,7800.0,20,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Berry Hall,Sudikoff Hall,Sudikoff Hall,0,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Gilman Parking Lot,Sudikoff Hall,Sudikoff Hall,Black Family Visual Arts Center,Dartmouth College,Dartmouth College"
22:04:2013,25200.0,0.0,45600.0,0.0,0.0,0.0,0,1.0,11700.0,20,"Dartmouth College,Gilman Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
22:05:2013,10798.0,45599.0,34803.0,0.0,0.0,0.0,2,0.0,11700.0,20,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Dartmouth College,Dartmouth College,Gilman Parking Lot,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
23:04:2013,37200.0,24000.0,12000.0,10800.0,0.0,0.0,1,0.0,7800.0,20,"Gilman Parking Lot,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Berry Hall,Black Family Visual Arts Center,Hopkins Center for the Arts,Hopkins Center for the Arts"
23:05:2013,51602.0,21599.0,0.0,8400.0,0.0,0.0,3,0.0,3900.0,20,"Berry Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Berry Hall,Dartmouth College,Dartmouth College,Black Family Visual Arts Center,Black Family Visual Arts Center,Dartmouth College,Sudikoff Hall"
24:04:2013,17874.0,8400.0,79278.0,13248.0,0.0,0.0,2,0.0,11700.0,20,"Dartmouth College,Dartmouth College,Black Family Visual Arts Center,The Lodge,Black Family Visual Arts Center,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Gilman Parking Lot"
24:05:2013,51867.0,39600.0,1202.0,0.0,0.0,0.0,4,0.0,9000.0,20,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Gilman Parking Lot,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Byrne II Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
25:04:2013,4800.0,9494.0,33600.0,7306.0,0.0,0.0,3,0.0,3900.0,20,"Sudikoff Hall,Gilman Parking Lot,Collis Student Center,Collis Student Center,Collis Student Center,Black Family Visual Arts Center,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
25:05:2013,56433.0,25167.0,1200.0,0.0,0.0,0.0,5,0.0,0.0,20,"Gilman Parking Lot,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Berry Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Berry Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Berry Hall"
26:04:2013,10725.0,20398.0,40803.0,14400.0,0.0,0.0,4,0.0,9000.0,20,"Black Family Visual Arts Center,Dartmouth College,Sudikoff Hall,Vail,Life Sciences Greenhouse,Life Sciences Greenhouse,Collis Student Center,Gilman Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Gilman Parking Lot,Gilman Parking Lot,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
26:05:2013,0.0,50400.0,39600.0,0.0,0.0,0.0,-1,0.0,0.0,20,"Gilman Parking Lot,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Gilman Parking Lot,Sudikoff Hall"
27:03:2013,6000.0,4799.0,0.0,0.0,0.0,0.0,2,1.0,11700.0,20,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Berry Hall,Berry Hall,Dartmouth College"
27:04:2013,1220.0,32516.0,68341.0,0.0,0.0,0.0,5,0.0,0.0,20,"Dartmouth College,Gilman Parking Lot,Sudikoff Hall"
27:05:2013,36000.0,44400.0,0.0,0.0,0.0,0.0,0,0.0,11700.0,20,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Berry Hall,Sudikoff Hall"
28:03:2013,45599.0,32402.0,0.0,8399.0,0.0,0.0,3,0.0,3900.0,20,"Dartmouth College,Dartmouth College,McNutt Hall,Collis Student Center,0,Collis Student Center,Collis Student Center,Black Family Visual Arts Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse"
28:04:2013,69500.0,21706.0,1199.0,0.0,0.0,0.0,-1,0.0,0.0,20,"Dartmouth College,Class of 1953 Commons,Gilman Parking Lot,Sudikoff Hall,Berry Hall"
28:05:2013,3012.0,44402.0,29398.0,9600.0,0.0,0.0,1,0.0,7800.0,20,"Sudikoff Hall,0,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Gilman Parking Lot,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Black Family Visual Arts Center,Sudikoff Hall,Sudikoff Hall"
29:03:2013,54001.0,8400.0,0.0,25199.0,0.0,0.0,4,0.0,9000.0,20,"Black Family Visual Arts Center,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Berry Hall,0,Dartmouth College,Leverone Field House,Topliff Courts,Collis Student Center,Berry Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College"
29:04:2013,8563.0,14334.0,41899.0,0.0,0.0,0.0,0,0.0,11700.0,20,"0,Dartmouth College,Gilman Parking Lot,Life Sciences Greenhouse,Gilman Parking Lot,Gilman Parking Lot,Dartmouth College"
29:05:2013,16874.0,64802.0,5924.0,0.0,0.0,0.0,2,0.0,11700.0,20,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Gilman Parking Lot,Gilman Parking Lot,Dartmouth College"
30:03:2013,65711.0,19200.0,0.0,7198.0,0.0,0.0,5,0.0,0.0,20,"Dartmouth College,Berry Hall,Berry Hall,Collis Student Center,0,Black Family Visual Arts Center,0,0,Collis Student Center"
30:04:2013,14370.0,82820.0,18011.0,9600.0,0.0,0.0,1,0.0,7800.0,20,"Dartmouth College,Winfred-Raven House,Gilman Parking Lot,Berry Hall,Class of 1953 Commons,Class of 1953 Commons,Gilman Parking Lot,Sudikoff Hall,Gilman Parking Lot,Sudikoff Hall,Black Family Visual Arts Center,Sudikoff Hall"
30:05:2013,159179.0,4755.0,0.0,0.0,0.0,0.0,3,0.0,3900.0,20,"Dartmouth College,Collis Student Center,Collis Student Center,Parker House,Berry Hall"
31:03:2013,109271.0,1202.0,0.0,1200.0,0.0,0.0,-1,0.0,0.0,20,"Parkhurst Hall,Dartmouth College,Bildner Hall,Hopkins Center for the Arts,0"
31:05:2013,0.0,3600.0,0.0,3600.0,0.0,0.0,4,1.0,9000.0,20,"Black Family Visual Arts Center,Black Family Visual Arts Center,Sudikoff Hall,Sudikoff Hall"
