date,home_time,recreational_activities,school_time,travel_time,orthers,working,date_in_week,cut_class,class_schedule,volunteer,location_names
06:05:2013,80400.0,6000.0,0.0,0.0,0.0,0.0,0,1.0,3900.0,5,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Topliff Hall,Topliff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
07:04:2013,73201.0,4800.0,0.0,0.0,0.0,2399.0,-1,0.0,0.0,5,"Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Berry Library,Berry Library,Dartmouth College"
07:05:2013,68427.0,0.0,6000.0,9600.0,0.0,0.0,1,0.0,0.0,5,"Dartmouth College,Dartmouth College,Dartmouth College,Ledyard Parking Lot,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
08:04:2013,70800.0,2400.0,4800.0,0.0,6000.0,0.0,0,0.0,3900.0,5,"0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
08:05:2013,64803.0,14400.0,2400.0,7200.0,0.0,0.0,2,1.0,3900.0,5,"Dartmouth College,Dartmouth College,Ledyard Parking Lot,Dartmouth College,Floren Varsity House,Floren Varsity House,Red Rolfe Field at Biondi Park,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College"
09:04:2013,58551.0,3600.0,3600.0,12001.0,0.0,0.0,1,0.0,0.0,5,"Ledyard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Sudikoff Hall,Sudikoff Hall"
09:05:2013,69601.0,5999.0,0.0,8400.0,0.0,0.0,3,1.0,3900.0,5,"Topliff Hall,Berry Library,Dartmouth College,Dartmouth College,Ledyard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
10:04:2013,74399.0,7201.0,2400.0,1199.0,0.0,1201.0,2,1.0,3900.0,5,"Floren Varsity House,Floren Varsity House,Dartmouth College,Hopkins Center for the Arts,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Delta,Dartmouth College,Dartmouth College,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Black Family Visual Arts Center,0,Dartmouth College"
10:05:2013,67200.0,13200.0,0.0,9600.0,0.0,0.0,4,1.0,3000.0,5,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Hopkins Center for the Arts,Ledyard Parking Lot,Dartmouth College,Topliff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College"
11:04:2013,84884.0,2400.0,0.0,0.0,0.0,0.0,3,1.0,3900.0,5,"Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
11:05:2013,53995.0,0.0,1200.0,26405.0,0.0,1200.0,5,0.0,0.0,5,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth College,Ledyard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Topliff Hall,Dartmouth College,0,Ledyard Parking Lot,Dartmouth College,Ledyard Parking Lot,Dartmouth College"
12:04:2013,80399.0,4801.0,0.0,0.0,1198.0,0.0,4,1.0,3000.0,5,"Nugget Arcade,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,0,0,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College"
12:05:2013,78000.0,6000.0,0.0,2400.0,0.0,0.0,-1,0.0,0.0,5,"Dartmouth College,Topliff Hall,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Maynard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
13:04:2013,57601.0,3600.0,0.0,26400.0,0.0,0.0,5,0.0,0.0,5,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ledyard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Ledyard Parking Lot,Dartmouth College"
13:05:2013,88800.0,4800.0,0.0,0.0,0.0,0.0,0,1.0,3900.0,5,"Dartmouth College,Dartmouth College,North Fayerweather Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Topliff Hall,Topliff Hall,Dartmouth College,Topliff Hall,Topliff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Ripley Hall"
14:04:2013,63604.0,9598.0,1198.0,1198.0,8399.0,4803.0,-1,0.0,0.0,5,"0,Alpha Delta,Thompson Arena Parking Lot,Upper Valley Esthetic Dentistry,Bartlett Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Outing Club House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library"
14:05:2013,65998.0,6002.0,0.0,7200.0,0.0,0.0,1,0.0,0.0,5,"Ledyard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
15:04:2013,75604.0,14395.0,0.0,0.0,0.0,0.0,0,1.0,3900.0,5,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
15:05:2013,73195.0,6000.0,0.0,8405.0,0.0,0.0,2,1.0,3900.0,5,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Ledyard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Topliff Hall,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
16:04:2013,57600.0,3600.0,4800.0,13200.0,0.0,0.0,1,0.0,0.0,5,"Ledyard Parking Lot,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall,Sudikoff Hall,Sudikoff Hall,Floren Varsity House"
16:05:2013,75600.0,0.0,0.0,9600.0,0.0,0.0,3,1.0,3900.0,5,"Dartmouth College,Topliff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ledyard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
17:04:2013,64800.0,4800.0,3600.0,13200.0,0.0,0.0,2,0.0,3900.0,5,"Floren Varsity House,Bartlett Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ledyard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Life Sciences Greenhouse,Dartmouth College"
17:05:2013,66001.0,4799.0,0.0,15600.0,0.0,0.0,4,1.0,3000.0,5,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ledyard Parking Lot,Dartmouth College,Dartmouth College,Ledyard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College"
18:04:2013,67202.0,1200.0,4798.0,13200.0,0.0,0.0,3,0.0,3900.0,5,"Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Ledyard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ledyard Parking Lot,Ledyard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Carpenter Hall,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse"
18:05:2013,67200.0,0.0,0.0,134402.0,2398.0,0.0,5,0.0,0.0,5,"Dartmouth College,Dartmouth College,Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Martha E. Diebold Real Estate,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Ledyard Parking Lot"
19:04:2013,60000.0,4800.0,0.0,225600.0,0.0,0.0,4,1.0,3000.0,5,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ledyard Parking Lot,Berry Library,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Ripley Hall,Dartmouth College,Dartmouth College,Ledyard Parking Lot"
20:05:2013,45600.0,13200.0,1200.0,0.0,1200.0,0.0,0,1.0,3900.0,5,"Dartmouth College,Murphy's on the Green,Dartmouth College,Berry Library,Dartmouth College,Sudikoff Hall,Dartmouth College,Martha E. Diebold Real Estate,Dartmouth College"
21:05:2013,63600.0,7200.0,2400.0,6000.0,1200.0,0.0,1,0.0,0.0,5,"Dartmouth College,Berry Library,Berry Library,Ledyard Parking Lot,Ledyard Parking Lot,Dartmouth College,Dartmouth College,Martha E. Diebold Real Estate,Dartmouth College,Dartmouth College,Topliff Hall,Topliff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College"
22:04:2013,60000.0,0.0,2400.0,0.0,0.0,0.0,0,1.0,3900.0,5,"Parker House,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
22:05:2013,79197.0,6000.0,1200.0,9604.0,0.0,0.0,2,1.0,3900.0,5,"Topliff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Ledyard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College"
23:04:2013,69600.0,4800.0,4800.0,0.0,0.0,0.0,1,0.0,0.0,5,"Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Parker House"
23:05:2013,19199.0,0.0,0.0,6000.0,0.0,0.0,3,1.0,3900.0,5,"Dartmouth College,Ledyard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
24:04:2013,59054.0,3601.0,5742.0,19203.0,0.0,0.0,2,0.0,3900.0,5,"Floren Varsity House,Floren Varsity House,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Ledyard Parking Lot,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Bartlett Hall,Dartmouth College,Dartmouth College,Dartmouth College,Ledyard Parking Lot,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College"
25:04:2013,55197.0,9601.0,8402.0,12000.0,0.0,0.0,3,0.0,3900.0,5,"Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Ledyard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Black Family Visual Arts Center,Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall"
26:04:2013,69602.0,7200.0,1198.0,8400.0,0.0,0.0,4,1.0,3000.0,5,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Ledyard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Topliff Hall,Dartmouth College,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
27:03:2013,15601.0,2400.0,2400.0,0.0,0.0,0.0,2,1.0,3900.0,5,"Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Alumni Gymnasium,Dartmouth College,Dartmouth College"
27:04:2013,63601.0,1199.0,0.0,22802.0,0.0,0.0,5,0.0,0.0,5,"Dartmouth College,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ledyard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Topliff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Ledyard Parking Lot"
28:03:2013,72000.0,1199.0,2400.0,10800.0,0.0,0.0,3,1.0,3900.0,5,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ledyard Parking Lot,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse"
28:04:2013,82684.0,0.0,1199.0,1198.0,0.0,0.0,-1,0.0,0.0,5,"Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sanborn House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Topliff Hall,Dartmouth College,Topliff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
29:03:2013,66003.0,3599.0,5999.0,12000.0,0.0,0.0,4,0.0,3000.0,5,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ledyard Parking Lot,Hopkins Center for the Arts,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
29:04:2013,80294.0,7306.0,1317.0,0.0,0.0,0.0,0,1.0,3900.0,5,"Carpenter Hall,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Topliff Hall,0,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College"
30:03:2013,70801.0,1199.0,2399.0,12000.0,0.0,0.0,5,0.0,0.0,5,"Berry Sports Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Hall,North Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ledyard Parking Lot,Dartmouth College,Dartmouth College"
30:04:2013,72000.0,6000.0,0.0,9600.0,0.0,0.0,1,0.0,0.0,5,"Dartmouth College,Dartmouth College,Dartmouth College,Ledyard Parking Lot,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Topliff Hall,Dartmouth College,Dartmouth College,Dartmouth College"
31:03:2013,76802.0,4799.0,0.0,4800.0,0.0,0.0,-1,0.0,0.0,5,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Vox Lane Parking Lot,Dartmouth College,Dartmouth College,Vox Lane Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College"
