,home_time,orthers,recreational_activities,school_time,travel_time,working,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
13:05:2013,49200.0,0.0,0.0,39600.0,3600.0,0.0,0.0,0.0,3900.0,5.0,"Ripley Hall,Ripley Hall,North Fayerweather Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Topliff Hall,Topliff Hall,Hallgarten Hall,0,0,Topliff Hall,Topliff Hall,0,Wentworth Hall,Ripley Hall,Collis Student Center,Collis Student Center,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall",24829,2390.0,60.0,400.46774193548384,402.9955341957313,164.25,237.0,431.25,62.0,,14305.0,2400.0,1146.0,1430.5,501.31676612696685,1200.0,1200.0,1200.0,10.0,
14:04:2013,62402.0,8399.0,1200.0,4798.0,1198.0,9602.0,-1.0,0.0,0.0,5.0,"0,Alpha Delta,Thompson Arena Parking Lot,Upper Valley Esthetic Dentistry,Bartlett Hall,Ripley Hall,Ripley Hall,Dartmouth College,Hood Museum of Art,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Ripley Hall,Dartmouth Outing Club House,Dartmouth Outing Club House,Ripley Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Ripley Hall,Ripley Hall,Collis Student Center,0,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College",24190,4872.0,40.0,806.3333333333334,1066.9989281361427,136.0,272.5,1275.75,30.0,,10239.0,2400.0,639.0,1279.875,493.33860799947246,1200.0,1200.0,1200.0,8.0,
14:05:2013,70800.0,0.0,0.0,8400.0,1200.0,0.0,1.0,0.0,0.0,5.0,"Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Ripley Hall,Ripley Hall,Dartmouth College,Ripley Hall,Ripley Hall,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Ripley Hall",23304,1896.0,30.0,394.9830508474576,379.8016039045424,126.0,242.0,509.0,59.0,,8343.0,1200.0,1143.0,1191.857142857143,21.54397496152595,1200.0,1200.0,1200.0,7.0,
15:04:2013,73199.0,4802.0,2398.0,9601.0,0.0,0.0,0.0,0.0,3900.0,5.0,"Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Collis Student Center,Dartmouth College,Ripley Hall,Ripley Hall,Collis Student Center,Collis Student Center,Dartmouth College,Collis Student Center,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Collis Student Center,Ripley Hall",25664,3803.0,61.0,503.2156862745098,625.851206397351,156.0,333.0,595.0,51.0,1.0,9600.0,2400.0,1200.0,1371.428571428571,453.55736761107266,1200.0,1200.0,1200.0,7.0,2.0
15:05:2013,67199.0,1199.0,0.0,16798.0,2404.0,0.0,2.0,0.0,3900.0,5.0,"Ripley Hall,Dartmouth College,McKenzie Fuel Oil Facility,McKenzie Fuel Oil Facility,Ripley Hall,Dick's House,Robinson Hall,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Collis Student Center,Dartmouth College,Topliff Hall,Topliff Hall,Dartmouth Row Parking Lot,Bildner Hall,Bildner Hall,0,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Robinson Hall,Robinson Hall,Ripley Hall,Ripley Hall",27559,2724.0,61.0,626.3409090909091,596.5726897046831,237.0,478.5,791.0,44.0,,1203.0,1203.0,1203.0,1203.0,,1203.0,1203.0,1203.0,1.0,
16:04:2013,68401.0,0.0,1200.0,10799.0,0.0,0.0,1.0,0.0,0.0,5.0,"Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Parker House,Hood Museum of Art,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Collis Student Center,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Floren Varsity House",34499,1976.0,41.0,574.9833333333333,439.70893653649625,232.0,469.0,776.75,60.0,1.0,8399.0,1200.0,1199.0,1199.857142857143,0.3779644730092272,1200.0,1200.0,1200.0,7.0,2.6666666666666665
16:05:2013,70800.0,0.0,0.0,14400.0,0.0,0.0,3.0,0.0,3900.0,5.0,"Ripley Hall,Topliff Hall,Topliff Hall,Smith Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Collis Student Center,Ripley Hall,Ripley Hall,Topliff Hall,Ripley Hall,Ripley Hall,Robinson Hall,Robinson Hall,Dartmouth College,Collis Student Center,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Ripley Hall",34099,2500.0,40.0,568.3166666666667,576.0068705942243,131.0,292.5,841.75,60.0,,3599.0,1200.0,1.0,899.75,599.1674084371857,898.75,1199.0,1200.0,4.0,
17:04:2013,73204.0,3600.0,2396.0,6000.0,1200.0,0.0,2.0,0.0,3900.0,5.0,"Floren Varsity House,Bartlett Hall,Dartmouth College,Hood Museum of Art,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Hood Museum of Art,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Ripley Hall,Ripley Hall,Collis Student Center,0,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Ripley Hall,Ripley Hall",30399,2986.0,90.0,706.953488372093,634.3755442310918,226.5,525.0,923.0,43.0,1.0,5481.0,2400.0,1.0,1096.2,879.5067936065076,680.0,1200.0,1200.0,5.0,1.0
17:05:2013,67204.0,0.0,5999.0,13197.0,0.0,0.0,4.0,0.0,3000.0,5.0,"Robinson Hall,Wentworth Hall,McKenzie Fuel Oil Facility,McKenzie Fuel Oil Facility,Hood Museum of Art,Hood Museum of Art,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hood Museum of Art,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Hood Museum of Art,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wilson Hall,Ripley Hall,Wentworth Hall",37738,3218.0,60.0,618.655737704918,681.3147066577945,192.0,343.0,796.0,61.0,,2402.0,1200.0,1.0,600.5,692.2429727583612,1.0,600.5,1200.0,4.0,
18:04:2013,82800.0,0.0,1200.0,2400.0,0.0,0.0,3.0,1.0,3900.0,5.0,"Dartmouth College,0,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Topliff Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Topliff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse",20994,1745.0,30.0,437.375,437.1468726845387,106.0,227.0,715.25,48.0,1.0,7204.0,2402.0,1200.0,1801.0,692.8212852773313,1201.5,1801.0,2400.5,4.0,1.0
18:05:2013,195948.0,2707.0,0.0,0.0,1202.0,4143.0,5.0,0.0,0.0,5.0,"Ripley Hall,Ripley Hall,Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Ripley Hall,Ripley Hall,Dartmouth College,Ripley Hall,0,Ripley Hall,Ripley Hall,Alpha Delta,Dartmouth College,Ripley Hall,Ripley Hall,Casque & Gauntlet Senior Society,Dartmouth College",20723,1886.0,50.0,345.3833333333333,370.6494571107547,111.0,197.0,461.5,60.0,,132001.0,106805.0,1.0,26400.2,45948.19705603257,1200.0,1200.0,22795.0,5.0,
19:04:2013,284400.0,3600.0,0.0,1200.0,1200.0,0.0,4.0,1.0,3000.0,5.0,"Dartmouth College,Ripley Hall,Ripley Hall,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,East Wheelock Street,Ripley Hall,Topliff Hall,Ripley Hall,Ripley Hall,0,0,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College",28782,2481.0,50.0,496.2413793103448,517.323350996051,194.5,338.0,531.75,58.0,,119465.0,115867.0,1198.0,39821.666666666664,65859.93275378691,1799.0,2400.0,59133.5,3.0,
20:05:2013,54000.0,0.0,3600.0,2400.0,0.0,0.0,0.0,1.0,3900.0,5.0,"Ripley Hall,Ripley Hall,Left Bank Books,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Robinson Hall,0,Ripley Hall",15660,2340.0,60.0,460.5882352941176,569.6627985921336,113.5,222.0,461.5,34.0,,4800.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,4.0,
22:04:2013,50400.0,0.0,0.0,10800.0,0.0,0.0,0.0,0.0,3900.0,5.0,"Parker House,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Ripley Hall,Collis Student Center,Collis Student Center,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Sudikoff Hall,Ripley Hall",31731,3469.0,60.0,647.5714285714286,818.9619445778094,232.0,322.0,615.0,49.0,1.0,4801.0,1200.0,1.0,960.2,536.2091010044496,1200.0,1200.0,1200.0,5.0,1.0
22:05:2013,82800.0,0.0,0.0,12000.0,0.0,0.0,2.0,0.0,3900.0,5.0,"Topliff Hall,Topliff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Robinson Hall,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Thornton Hall,Ripley Hall",17437,3087.0,60.0,447.1025641025641,545.4796438322494,141.0,276.0,459.0,39.0,,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,
