,home_time,recreational_activities,school_time,orthers,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
16:05:2013,59400.0,4200.0,0.0,0.0,0.0,3.0,1.0,7800.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts",48170.0,7309.0,70.0,523.5869565217391,882.6918140037988,171.0,242.0,484.75,92.0,,10665.0,1543.0,596.0,666.5625,236.0539398103747,599.75,600.0,600.0,16.0,
17:04:2013,73200.0,0.0,3600.0,0.0,0.0,2.0,1.0,11700.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",39884.0,3066.0,70.0,699.719298245614,620.3194094976384,242.0,464.0,1059.0,57.0,1.0,10164.0,1202.0,347.0,1016.4,283.96251708827896,945.0,1145.5,1198.25,10.0,1.0
17:05:2013,68400.0,12601.0,4200.0,0.0,0.0,4.0,1.0,9000.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Carson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",28854.0,3863.0,50.0,627.2608695652174,891.0110221236847,83.25,201.5,897.5,46.0,,6429.0,1198.0,1.0,584.4545454545455,272.33228366698046,598.0,600.0,600.0,11.0,
18:04:2013,81600.0,1200.0,0.0,0.0,3600.0,3.0,1.0,7800.0,2.0,"Hopkins Center for the Arts,Zahm Courtyard,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",33878.0,4720.0,80.0,891.5263157894736,1198.7900372220386,126.25,358.0,1240.75,38.0,,6884.0,1429.0,654.0,1147.3333333333333,260.46855216449194,1161.75,1200.0,1239.0,6.0,
18:05:2013,59399.0,35400.0,0.0,1801.0,1200.0,5.0,0.0,0.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dick's House,Dick's House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts",47115.0,9134.0,61.0,736.171875,1389.4863108664715,100.0,201.5,590.0,64.0,,15515.0,2400.0,1.0,775.75,553.7094882412808,600.0,600.0,600.0,20.0,
19:04:2013,65998.0,24002.0,2398.0,3602.0,0.0,4.0,1.0,9000.0,2.0,"Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Reed Hall,Hanover Information booth,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts",43196.0,6496.0,51.0,1079.9,1526.242794140784,158.5,333.0,1346.25,40.0,2.0,1198.0,1198.0,1198.0,1198.0,,1198.0,1198.0,1198.0,1.0,4.0
19:05:2013,63600.0,6602.0,0.0,8998.0,0.0,-1.0,0.0,0.0,2.0,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,0,Jewel of India,0,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts",776.0,413.0,363.0,388.0,35.35533905932738,375.5,388.0,400.5,2.0,,19418.0,10423.0,600.0,1387.0,2609.589180753878,600.0,600.0,603.0,14.0,
20:04:2013,18001.0,18000.0,1199.0,43200.0,0.0,5.0,0.0,0.0,2.0,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Dartmouth College,Hanover Information booth,Dartmouth College,Dartmouth College,Dick's House,Dick's House,Hopkins Center for the Arts,Dick's House,Dick's House,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts",16804.0,2471.0,50.0,400.0952380952381,458.4991852812832,90.25,232.0,545.0,42.0,2.0,17943.0,4800.0,1141.0,2242.875,1196.589133149482,1201.5,2400.0,2400.0,8.0,4.0
20:05:2013,162601.0,601.0,5998.0,0.0,0.0,0.0,1.0,11700.0,2.0,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College",,,,,,,,,,,12223.0,1203.0,496.0,643.3157894736842,199.39660440427068,577.0,596.0,598.0,19.0,
21:04:2013,56399.0,24985.0,0.0,0.0,1200.0,-1.0,0.0,0.0,2.0,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts",28036.0,4333.0,60.0,467.26666666666665,675.7909331374124,101.0,221.5,476.5,60.0,,5676.0,1202.0,1.0,946.0,466.6373324113706,1066.0,1106.0,1182.75,6.0,
22:04:2013,71290.0,15600.0,702.0,0.0,0.0,0.0,1.0,11700.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College",31670.0,6121.0,40.0,609.0384615384615,955.471076947838,208.5,363.5,622.5,52.0,,7202.0,1201.0,1199.0,1200.3333333333333,0.816496580927726,1200.0,1200.5,1201.0,6.0,
22:05:2013,67200.0,18600.0,600.0,0.0,0.0,2.0,1.0,11700.0,2.0,"Dartmouth College,Haldeman Center,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College",,,,,,,,,,,8917.0,1196.0,542.0,685.9230769230769,226.69747151157992,597.0,598.0,600.0,13.0,
23:04:2013,96033.0,12012.0,0.0,0.0,1200.0,1.0,1.0,3900.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",20900.0,2712.0,50.0,870.8333333333334,833.3119707406765,264.25,630.5,1255.0,24.0,,9097.0,4295.0,1200.0,1819.4,1383.9027422474455,1200.0,1200.0,1202.0,5.0,
23:05:2013,62400.0,17401.0,1199.0,0.0,4800.0,3.0,1.0,7800.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Floren Varsity House,Leverone Field House,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Zahm Courtyard,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,0,0,Dartmouth College",,,,,,,,,,,11291.0,4200.0,491.0,940.9166666666666,1041.7289351085649,600.0,600.0,600.0,12.0,
24:04:2013,67131.0,1203.0,0.0,0.0,0.0,2.0,1.0,11700.0,2.0,"Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",20059.0,2633.0,60.0,668.6333333333333,626.3766347061065,177.0,524.5,965.25,30.0,,5955.0,2400.0,1154.0,1488.75,607.8954816962096,1188.5,1200.5,1500.75,4.0,
24:05:2013,87353.0,21600.0,0.0,600.0,1800.0,4.0,1.0,9000.0,2.0,"Dartmouth College,Zahm Courtyard,Dartmouth College,White Mountains Insurance Group,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Zahm Courtyard,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",,,,,,,,,,,7200.0,1800.0,600.0,800.0,424.2640687119286,600.0,600.0,600.0,9.0,
25:04:2013,73203.0,1199.0,7198.0,0.0,0.0,3.0,0.0,7800.0,2.0,"Dartmouth College,The Irving Institute for Energy & Society,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts",42455.0,5205.0,70.0,544.2948717948718,832.983093465488,153.0,222.0,576.75,78.0,,5771.0,2400.0,971.0,1442.75,647.2327633857853,1142.75,1200.0,1500.0,4.0,
25:05:2013,37805.0,22379.0,600.0,0.0,0.0,5.0,0.0,0.0,2.0,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Haldeman Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts",24546.0,4579.0,61.0,944.0769230769232,962.4894357062592,489.0,605.5,1174.75,26.0,,10803.0,1200.0,1.0,720.2,336.164330562981,600.0,600.0,901.5,15.0,
26:04:2013,70804.0,12000.0,0.0,0.0,7196.0,4.0,1.0,9000.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Zahm Courtyard,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Zahm Courtyard",37241.0,5706.0,40.0,610.5081967213115,879.414665614783,121.0,232.0,897.0,61.0,1.0,13813.0,2400.0,1200.0,1534.7777777777778,507.2005958636528,1200.0,1202.0,1510.0,9.0,1.0
26:05:2013,53400.0,29400.0,600.0,0.0,6000.0,-1.0,0.0,0.0,2.0,"Zahm Courtyard,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Zahm Courtyard,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Zahm Courtyard,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,0,Carson Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts",48505.0,5437.0,80.0,1276.4473684210527,1251.2224011561852,438.75,842.5,1596.25,38.0,,22509.0,10706.0,498.0,1324.0588235294117,2432.557051504348,600.0,600.0,1200.0,17.0,
27:03:2013,33600.0,0.0,13200.0,0.0,0.0,2.0,0.0,11700.0,2.0,"Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",12201.0,3045.0,60.0,1016.75,1047.6814336255256,229.25,665.5,1368.5,12.0,2.0,19117.0,4797.0,319.0,1737.909090909091,1336.7381534575466,1196.0,1202.0,1800.0,11.0,4.0
