,home_time,orthers,recreational_activities,school_time,working,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
06:04:2013,9600.0,30001.0,10799.0,0.0,27600.0,1200.0,5.0,0.0,0.0,15.0,"Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Wheeler Hall,Wheeler Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Blunt Alumni Center Parking Lot,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Thel,Thel,Berry Library",31257.0,4300.0,60.0,710.3863636363636,946.8556584555328,128.5,434.0,824.5,44.0,1.0,1918.0,1918.0,1918.0,1918.0,,1918.0,1918.0,1918.0,1.0,2.0
06:05:2013,38402.0,0.0,2398.0,30000.0,0.0,1200.0,0.0,0.0,10500.0,15.0,"Sudikoff Hall,Zahm Courtyard,Sudikoff Hall,Sudikoff Hall,Wheeler Hall,Wheeler Hall,Alumni Gymnasium,Alumni Gymnasium,Wheeler Hall,Wheeler Hall,Life Sciences Greenhouse,Sudikoff Hall",23284.0,2087.0,51.0,541.4883720930233,474.4724073513264,237.0,313.0,702.0,43.0,,,,,,,,,,,
07:04:2013,0.0,36000.0,15600.0,8400.0,27600.0,0.0,-1.0,0.0,0.0,15.0,"Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,0,Wilder Hall,Thel,Sigma Alpha Epsilon Fraternity,Thel,Wilder Hall,Thel,Thel,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Thel,Thel,Berry Library,Berry Library,Berry Library",33609.0,5973.0,70.0,1120.3,1407.436215250979,143.5,524.5,1553.0,30.0,,2396.0,1200.0,1196.0,1198.0,2.8284271247461903,1197.0,1198.0,1199.0,2.0,
08:04:2013,10802.0,38400.0,3599.0,4800.0,25200.0,0.0,0.0,1.0,10500.0,15.0,"Dartmouth College,Wheeler Hall,Wheeler Hall,Starbucks,Thel,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Thel,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Thel,Thel,Wheeler Hall,Thel,Thel,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College",18337.0,4114.0,60.0,611.2333333333333,886.035325960864,118.5,246.5,502.25,30.0,1.0,2324.0,1200.0,1124.0,1162.0,53.74011537017761,1143.0,1162.0,1181.0,2.0,2.0
08:05:2013,44401.0,0.0,39259.0,0.0,4800.0,0.0,2.0,1.0,3900.0,15.0,"Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Hopkins Center for the Arts,Richardson Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Berry Library,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Baker Memorial Library,Berry Library,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Berry Library",25908.0,5336.0,50.0,785.0909090909091,1163.2271479497342,131.0,433.0,837.0,33.0,0.0,5910.0,1216.0,1090.0,1182.0,53.51635264103861,1180.0,1208.0,1216.0,5.0,3.0
09:04:2013,20399.0,25200.0,4801.0,20399.0,18000.0,0.0,1.0,0.0,0.0,15.0,"Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Collis Student Center,Thel,Thel,Berry Library,Berry Library,Dartmouth College,Thomas Hall,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity",30669.0,3035.0,40.0,730.2142857142857,857.0897023297626,121.0,313.5,945.5,42.0,1.0,,,,,,,,,,2.0
09:05:2013,28801.0,1200.0,18000.0,36000.0,0.0,0.0,3.0,0.0,10500.0,15.0,"Berry Library,Berry Library,Berry Library,0,Sudikoff Hall,Sudikoff Hall,Wheeler Hall,Wheeler Hall,Berry Library,Berry Library,Dartmouth College,Dartmouth College",27623.0,8150.0,60.0,587.7234042553191,1248.5959366968902,106.0,262.0,484.0,47.0,0.0,,,,,,,,,,3.0
10:04:2013,7196.0,25200.0,10804.0,13200.0,44400.0,0.0,2.0,0.0,3900.0,15.0,"Sigma Alpha Epsilon Fraternity,Winfred-Raven House,Winfred-Raven House,Wilder Hall,Sigma Alpha Epsilon Fraternity,The Tabard,The Tabard,Thel,Sigma Alpha Epsilon Fraternity,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Thel,Richardson Hall,Thel,Thel,Wilder Hall,Berry Library,Berry Library,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sigma Alpha Epsilon Fraternity,Collis Student Center,Sigma Alpha Epsilon Fraternity",49121.0,9756.0,60.0,1292.657894736842,2115.872477078974,178.75,514.5,1293.0,38.0,1.0,2399.0,1202.0,1197.0,1199.5,3.5355339059327378,1198.25,1199.5,1200.75,2.0,
10:05:2013,7200.0,0.0,154291.0,9597.0,1203.0,0.0,4.0,0.0,3000.0,15.0,"Carson Hall,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Sigma Alpha Epsilon Fraternity,Class of 1953 Commons,Class of 1953 Commons,Black Family Visual Arts Center,Hopkins Center for the Arts,Hood Museum of Art",394.0,394.0,394.0,394.0,,394.0,394.0,394.0,1.0,,144697.0,144697.0,144697.0,144697.0,,144697.0,144697.0,144697.0,1.0,
11:04:2013,33600.0,7200.0,9600.0,3600.0,15600.0,0.0,3.0,1.0,10500.0,15.0,"Berry Library,Class of 1953 Commons,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Rollins Chapel,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Rollins Chapel,Wheeler Hall,Wheeler Hall,Wheeler Hall,Rollins Chapel,Wheeler Hall,Wheeler Hall,Rollins Chapel,Wheeler Hall,Wheeler Hall,Wilder Hall,Berry Library,Berry Library,Life Sciences Greenhouse,Class of 1978 Life Sciences Center",33729.0,7242.0,30.0,1405.375,1965.2137578722663,70.75,398.5,2390.25,24.0,1.0,3584.0,1202.0,1185.0,1194.6666666666667,8.736894948054104,1191.0,1197.0,1199.5,3.0,2.0
11:05:2013,0.0,0.0,0.0,18000.0,0.0,0.0,5.0,0.0,0.0,15.0,Sudikoff Hall,2653.0,938.0,81.0,294.77777777777777,302.2750311296724,121.0,162.0,263.0,9.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
12:04:2013,7200.0,22800.0,25200.0,10800.0,32400.0,0.0,4.0,0.0,3000.0,15.0,"Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Thel,Wheeler Hall,Berry Library,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Berry Library",19497.0,3440.0,51.0,590.8181818181819,793.0490784996164,101.0,313.0,747.0,33.0,1.0,4791.0,1200.0,1194.0,1197.75,2.8722813232690143,1196.25,1198.5,1200.0,4.0,2.0
12:05:2013,4228.0,0.0,29118.0,35054.0,7200.0,0.0,-1.0,0.0,0.0,15.0,"Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Wilder Hall,Sigma Alpha Epsilon Fraternity,Berry Library,Wheeler Hall,Wilder Hall,Wheeler Hall,Wilder Hall",43120.0,4278.0,50.0,1268.235294117647,1085.5749784644509,368.25,1185.5,1615.5,34.0,,,,,,,,,,,
13:04:2013,1200.0,43184.0,0.0,16800.0,23197.0,0.0,5.0,0.0,0.0,15.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Thel,Thel,Sudikoff Hall",8543.0,2764.0,61.0,502.52941176470586,738.5491789352164,92.0,242.0,343.0,17.0,1.0,,,,,,,,,,2.0
13:05:2013,38298.0,1201.0,4800.0,36101.0,0.0,0.0,0.0,0.0,10500.0,15.0,"Sudikoff Hall,Sudikoff Hall,Wheeler Hall,Wheeler Hall,Sudikoff Hall,Sudikoff Hall,Steele Hall,Wheeler Hall,Thel,Berry Library,Berry Library,Dartmouth College,Collis Student Center",28325.0,5174.0,40.0,578.0612244897959,916.761746769648,141.0,263.0,645.0,49.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
14:04:2013,3599.0,31200.0,8400.0,27600.0,24001.0,0.0,-1.0,0.0,0.0,15.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Rollins Chapel,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,McCulloch Hall,Wheeler Hall,Sigma Alpha Epsilon Fraternity,0,Thel,Thel,Berry Library,Berry Library,Sudikoff Hall",31033.0,4926.0,50.0,886.6571428571428,1079.178144342671,111.0,484.0,1205.0,35.0,1.0,1099.0,1099.0,1099.0,1099.0,,1099.0,1099.0,1099.0,1.0,2.0
14:05:2013,48397.0,12806.0,0.0,20399.0,3602.0,1196.0,1.0,0.0,0.0,15.0,"Sigma Alpha Epsilon Fraternity,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Class of 1953 Commons,Class of 1953 Commons,Wheeler Hall,Wheeler Hall,0,Dartmouth College,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Zahm Courtyard",34783.0,12695.0,51.0,1288.2592592592594,2480.339843225468,206.5,433.0,1447.5,27.0,,4980.0,1203.0,331.0,996.0,373.96991857634754,1102.0,1148.0,1196.0,5.0,
15:04:2013,38400.0,0.0,4799.0,22800.0,2401.0,0.0,0.0,0.0,10500.0,15.0,"Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Berry Library,Berry Library,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Collis Student Center",22406.0,4144.0,40.0,659.0,793.6745764690547,161.25,343.5,894.5,34.0,1.0,1109.0,1109.0,1109.0,1109.0,,1109.0,1109.0,1109.0,1.0,2.0
15:05:2013,43197.0,0.0,21434.0,12169.0,10800.0,0.0,2.0,0.0,3900.0,15.0,"0,Reed Hall,Casque & Gauntlet Senior Society,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Berry Library,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Berry Library,Berry Library,Thornton Hall,Collis Student Center,Dartmouth College,Sudikoff Hall",22094.0,5820.0,70.0,960.608695652174,1430.8384299592392,217.0,312.0,934.0,23.0,,2455.0,1255.0,1200.0,1227.5,38.890872965260115,1213.75,1227.5,1241.25,2.0,
16:04:2013,10999.0,36000.0,10601.0,19200.0,9600.0,0.0,1.0,0.0,0.0,15.0,"Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Sudikoff Hall,Wheeler Hall,Dartmouth College,Wheeler Hall,Wheeler Hall,Thel,Wheeler Hall,Collis Student Center,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Collis Student Center,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Thel,Wheeler Hall,Sudikoff Hall,Sudikoff Hall,Collis Student Center",29528.0,6838.0,70.0,1283.8260869565215,1515.6407781461437,186.5,666.0,1972.0,23.0,1.0,11730.0,9402.0,1.0,2932.5,4347.807455105006,841.75,1163.5,3254.25,4.0,2.0
16:05:2013,3600.0,0.0,16800.0,64344.0,0.0,0.0,3.0,0.0,10500.0,15.0,"Sudikoff Hall,Berry Library,Berry Library,Wheeler Hall,Sudikoff Hall,Sudikoff Hall,Berry Library,Berry Library,Wheeler Hall",16226.0,7685.0,60.0,811.3,1708.301960858702,178.5,221.5,542.75,20.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
17:04:2013,21599.0,27600.0,13200.0,9601.0,15600.0,0.0,2.0,0.0,3900.0,15.0,"Sigma Alpha Epsilon Fraternity,Berry Library,Berry Sports Center,Berry Sports Center,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Hopkins Center for the Arts,Wheeler Hall,Rollins Chapel,Wheeler Hall,Thel,Rollins Chapel,Rollins Chapel,Richardson Hall,Rollins Chapel,Rollins Chapel,Richardson Hall,Rollins Chapel,Rollins Chapel,Wheeler Hall,Rollins Chapel,Rollins Chapel,Wheeler Hall,Rollins Chapel,Rollins Chapel,Richardson Hall,Rollins Chapel,Rollins Chapel,Thel,0,Berry Library,Berry Library,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Wilder Hall,Webster Hall",23587.0,8281.0,70.0,1387.470588235294,2018.78196933346,161.0,766.0,1594.0,17.0,1.0,,,,,,,,,,2.0
17:05:2013,69601.0,15599.0,1200.0,7200.0,2400.0,0.0,4.0,0.0,3000.0,15.0,"Sigma Alpha Epsilon Fraternity,Berry Library,Dartmouth College,Winfred-Raven House,Winfred-Raven House,Rollins Chapel,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Rollins Chapel,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Wheeler Hall",9893.0,1705.0,61.0,430.1304347826087,453.93204380750313,121.0,241.0,534.5,23.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,
18:04:2013,22799.0,10800.0,14400.0,8400.0,28801.0,0.0,3.0,0.0,10500.0,15.0,"Webster Hall,Berry Library,Berry Library,Wheeler Hall,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Collis Student Center,Wheeler Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,The Tabard,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Thel,Wheeler Hall,Berry Library,Sigma Alpha Epsilon Fraternity,Life Sciences Greenhouse,Life Sciences Greenhouse",22328.0,4651.0,60.0,1175.157894736842,1339.56959352862,146.5,635.0,2011.5,19.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0
18:05:2013,191943.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,15.0,Wheeler Hall,,,,,,,,,,,,,,,,,,,,
19:04:2013,34800.0,7200.0,8400.0,17999.0,21601.0,0.0,4.0,0.0,3000.0,15.0,"Collis Student Center,Collis Student Center,Sigma Alpha Epsilon Fraternity,Winfred-Raven House,Winfred-Raven House,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Phi Epsilon,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Wheeler Hall,Wheeler Hall,Wheeler Hall,Rollins Chapel,Wheeler Hall,Rollins Chapel,Rollins Chapel,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Thel,Wheeler Hall,Wheeler Hall,Wheeler Hall,Berry Library,Berry Library,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Wilder Hall,Dartmouth College,Dartmouth College",28844.0,6727.0,40.0,1068.2962962962963,1542.247331626426,176.5,434.0,1109.0,27.0,,2845.0,1200.0,543.0,948.3333333333334,354.4324101056975,822.5,1102.0,1151.0,3.0,
20:04:2013,14403.0,53999.0,3600.0,5998.0,12000.0,0.0,5.0,0.0,0.0,15.0,"Dartmouth College,Collis Student Center,0,Hood Museum of Art,Wheeler Hall,Wheeler Hall,Sudikoff Hall,Sudikoff Hall,Wheeler Hall,Wheeler Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Moore Psychology Building,Dartmouth Outing Club House,Dartmouth Outing Club House,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Bones Gate,Dartmouth College,Collis Student Center,0,Dartmouth College,0,Thel",28339.0,3943.0,41.0,944.6333333333332,972.5825373478712,234.25,640.5,1381.5,30.0,1.0,5995.0,2400.0,1195.0,1498.75,600.8379565240532,1198.75,1200.0,1500.0,4.0,2.0
20:05:2013,30000.0,0.0,0.0,42000.0,0.0,0.0,0.0,0.0,10500.0,15.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Collis Student Center,Sudikoff Hall",21804.0,4307.0,50.0,519.1428571428571,749.3737408558701,141.0,252.0,521.75,42.0,0.0,,,,,,,,,,3.0
21:04:2013,1200.0,26400.0,8400.0,37200.0,40800.0,0.0,-1.0,0.0,0.0,15.0,"0,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Thel,Wheeler Hall,Wide Babelki Bowl,Berry Library,Berry Library,Sudikoff Hall",29603.0,4237.0,40.0,822.3055555555555,1075.2308674205592,148.5,434.0,776.25,36.0,,2351.0,1200.0,1151.0,1175.5,34.64823227814083,1163.25,1175.5,1187.75,2.0,
22:04:2013,20400.0,16800.0,0.0,25200.0,6000.0,0.0,0.0,0.0,10500.0,15.0,"Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Rollins Chapel,Wheeler Hall,Wheeler Hall,Rollins Chapel,Rollins Chapel,Rollins Chapel,Rollins Chapel,Wilder Hall,Rollins Chapel,Rollins Chapel,Richardson Hall,Wheeler Hall,Wheeler Hall,Rollins Chapel,Richardson Hall,Wheeler Hall,Rollins Chapel,Rollins Chapel,Sigma Alpha Epsilon Fraternity,Life Sciences Greenhouse,Life Sciences Greenhouse,Guarini Institute for International Education,Dartmouth College,Sudikoff Hall",38604.0,5023.0,70.0,989.8461538461538,1068.8900671764625,242.0,685.0,1483.0,39.0,,2280.0,1182.0,1098.0,1140.0,59.39696961966999,1119.0,1140.0,1161.0,2.0,
22:05:2013,19200.0,0.0,8400.0,13202.0,0.0,0.0,2.0,0.0,3900.0,15.0,"Sudikoff Hall,Wheeler Hall,Wheeler Hall,Berry Library,Berry Library,Sudikoff Hall",19645.0,6222.0,40.0,677.4137931034483,1297.8930870904742,121.0,212.0,494.0,29.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
