,home_time,recreational_activities,school_time,travel_time,orthers,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
09:05:2013,99600.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7800.0,28.0,"Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall",9096.0,958.0,61.0,284.25,192.82182984433095,141.0,242.0,408.0,32.0,,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,
10:04:2013,54040.0,0.0,15559.0,0.0,0.0,0.0,2.0,0.0,11700.0,28.0,"Ripley Hall,Dartmouth College,Collis Student Center,Sudikoff Hall,Dartmouth College,Dartmouth College,Wentworth Hall,Ripley Hall,Ripley Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Thornton Hall,Reed Hall,Bartlett Hall,Thornton Hall,Dartmouth College,Dartmouth College",26487.0,4195.0,40.0,519.3529411764706,944.8491059111906,101.0,232.0,454.0,51.0,0.0,3600.0,2400.0,1200.0,1800.0,848.5281374238571,1500.0,1800.0,2100.0,2.0,3.0
10:05:2013,85200.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,9000.0,28.0,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall",15907.0,1784.0,50.0,345.80434782608694,346.2302136867394,141.0,233.5,426.25,46.0,,3602.0,1202.0,1200.0,1200.6666666666667,1.1547005383792517,1200.0,1200.0,1201.0,3.0,
11:04:2013,82800.0,0.0,2400.0,0.0,0.0,0.0,3.0,1.0,7800.0,28.0,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Collis Student Center,Collis Student Center,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",17880.0,5072.0,30.0,687.6923076923077,1298.4601270499074,91.0,171.5,312.75,26.0,,7200.0,2400.0,1200.0,1440.0,536.6563145999495,1200.0,1200.0,1200.0,5.0,
11:05:2013,73201.0,1200.0,3601.0,0.0,0.0,1198.0,5.0,0.0,0.0,28.0,"Ripley Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Collis Student Center,Collis Student Center,Robinson Hall,Chew & Co. Design,Ripley Hall,Ripley Hall,Ripley Hall",12697.0,3450.0,61.0,384.75757575757575,614.9134100781503,141.0,222.0,342.0,33.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
12:04:2013,70841.0,0.0,21559.0,1200.0,0.0,0.0,4.0,0.0,9000.0,28.0,"Moore Psychology Building,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Bartlett Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Woodward Smith Parking Lot,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Bartlett Hall",17577.0,3641.0,60.0,585.9,831.8047827175102,153.5,237.0,640.75,30.0,,,,,,,,,,,
12:05:2013,101996.0,2404.0,0.0,1200.0,0.0,0.0,-1.0,0.0,0.0,28.0,"Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Woodward Smith Parking Lot,Ripley Hall",10347.0,1381.0,61.0,344.9,354.01396329367645,123.5,216.5,317.0,30.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
13:04:2013,75536.0,0.0,5997.0,0.0,0.0,0.0,5.0,0.0,0.0,28.0,"Bartlett Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Robinson Hall,Robinson Hall,Dartmouth College,Dartmouth College",6111.0,4266.0,50.0,763.875,1424.7677943641002,151.0,277.5,446.5,8.0,,6001.0,2400.0,1200.0,1500.25,599.8335185699445,1200.0,1200.5,1500.75,4.0,
13:05:2013,56400.0,0.0,12935.0,0.0,0.0,0.0,0.0,0.0,11700.0,28.0,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Bartlett Hall,Bartlett Hall",12500.0,1987.0,30.0,390.625,442.95181052978313,138.5,282.5,423.0,32.0,,4800.0,2400.0,1200.0,1600.0,692.8203230275509,1200.0,1200.0,1800.0,3.0,
14:04:2013,80400.0,0.0,0.0,16806.0,0.0,0.0,-1.0,0.0,0.0,28.0,"Ripley Woodward Smith Parking Lot,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall",10289.0,4460.0,51.0,411.56,864.3226191648579,141.0,181.0,272.0,25.0,,8400.0,3600.0,1200.0,1680.0,1073.312629199899,1200.0,1200.0,1200.0,5.0,
14:05:2013,93601.0,0.0,0.0,0.0,0.0,7200.0,1.0,1.0,3900.0,28.0,"Ripley Hall,Ripley Hall,Observatory Road,Observatory Road,Ripley Hall",11972.0,756.0,51.0,315.05263157894734,185.09251848276588,194.25,307.5,374.0,38.0,,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,
15:04:2013,58800.0,0.0,14400.0,0.0,0.0,0.0,0.0,0.0,11700.0,28.0,"Ripley Hall,Collis Student Center,Collis Student Center,Collis Student Center,Class of 1953 Commons,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Bartlett Hall,Bartlett Hall,Bartlett Hall",17076.0,4185.0,50.0,334.8235294117647,586.8449439462643,116.0,191.0,337.5,51.0,1.0,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,1.5
15:05:2013,65645.0,0.0,8755.0,0.0,0.0,0.0,2.0,0.0,11700.0,28.0,"Ripley Hall,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Bartlett Hall,Bartlett Hall,Dartmouth College",25071.0,3671.0,62.0,677.5945945945946,903.6713531004592,131.0,312.0,625.0,37.0,,4659.0,2206.0,1.0,1164.75,903.2110772128516,900.25,1226.0,1490.5,4.0,
16:04:2013,87600.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3900.0,28.0,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall",2442.0,706.0,60.0,222.0,191.9713520294109,101.5,141.0,282.5,11.0,1.0,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,1.0
16:05:2013,72000.0,0.0,6000.0,0.0,0.0,0.0,3.0,0.0,7800.0,28.0,"Dartmouth College,Bartlett Hall,Dartmouth Hall,Dartmouth Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College",14315.0,2732.0,50.0,386.8918918918919,453.58025038965656,151.0,253.0,524.0,37.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
17:04:2013,80400.0,0.0,4800.0,3600.0,0.0,0.0,2.0,1.0,11700.0,28.0,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Woodward Smith Parking Lot,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Bartlett Hall,Bartlett Hall,Dartmouth College",18677.0,4347.0,50.0,667.0357142857143,967.7006914882712,142.0,252.0,753.75,28.0,1.0,2400.0,2400.0,2400.0,2400.0,,2400.0,2400.0,2400.0,1.0,2.0
17:05:2013,168000.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,9000.0,28.0,"Dartmouth College,Ripley Hall",9898.0,1029.0,40.0,329.93333333333334,267.5668054940651,141.0,221.5,428.0,30.0,,10800.0,4800.0,1200.0,2160.0,1564.6085772486356,1200.0,1200.0,2400.0,5.0,
18:04:2013,80400.0,0.0,2400.0,0.0,0.0,0.0,3.0,1.0,7800.0,28.0,"Dartmouth College,Dartmouth College,Bartlett Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Vail,Life Sciences Greenhouse,Life Sciences Greenhouse",,,,,,,,,,,2385.0,1199.0,1186.0,1192.5,9.192388155425116,1189.25,1192.5,1195.75,2.0,2.6666666666666665
18:05:2013,1201.0,0.0,18000.0,0.0,0.0,0.0,5.0,0.0,0.0,28.0,"Ripley Hall,Sudikoff Hall",13606.0,2250.0,30.0,367.72972972972974,459.7720237398246,111.0,222.0,403.0,37.0,,3600.0,2400.0,1200.0,1800.0,848.5281374238571,1500.0,1800.0,2100.0,2.0,
19:04:2013,73202.0,0.0,13199.0,0.0,0.0,0.0,4.0,0.0,9000.0,28.0,"Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Thornton Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Bartlett Hall,Bartlett Hall,Dartmouth College",,,,,,,,,,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
19:05:2013,34800.0,1200.0,1199.0,108510.0,0.0,0.0,-1.0,0.0,0.0,28.0,"Sudikoff Hall,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Ripley Woodward Smith Parking Lot",14193.0,2249.0,70.0,354.825,373.76675076089776,121.0,262.0,469.0,40.0,,13200.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,11.0,
20:04:2013,97199.0,0.0,7200.0,0.0,0.0,0.0,5.0,0.0,0.0,28.0,"Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Collis Student Center,Collis Student Center,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall",,,,,,,,,,,4800.0,2400.0,1200.0,1600.0,692.8203230275509,1200.0,1200.0,1800.0,3.0,
20:05:2013,7200.0,0.0,4800.0,0.0,0.0,0.0,0.0,1.0,11700.0,28.0,"Ripley Hall,Dartmouth College,Dartmouth College,Bartlett Hall,Bartlett Hall,Dartmouth College",15572.0,4207.0,60.0,486.625,921.6255887324588,138.5,187.0,317.0,32.0,,18000.0,6000.0,1200.0,2000.0,1587.4507866387544,1200.0,1200.0,2400.0,9.0,
21:04:2013,78000.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,28.0,"Ripley Hall,Dartmouth College,Ripley Hall",11627.0,2724.0,60.0,645.9444444444445,758.4469792025268,138.75,226.5,953.5,18.0,,8400.0,2400.0,1200.0,1400.0,489.8979485566357,1200.0,1200.0,1200.0,6.0,
22:04:2013,72000.0,0.0,4800.0,0.0,0.0,0.0,0.0,1.0,11700.0,28.0,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Bartlett Hall,Bartlett Hall,Thornton Hall,Dartmouth College",19889.0,4197.0,60.0,452.02272727272725,837.8425641265527,121.0,186.5,424.0,44.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
22:05:2013,7199.0,0.0,9600.0,0.0,0.0,0.0,2.0,0.0,11700.0,28.0,"Ripley Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Bartlett Hall,Bartlett Hall,Dartmouth Hall,Dartmouth College",27086.0,4197.0,50.0,732.0540540540541,1066.0680337354424,191.0,273.0,635.0,37.0,,9601.0,1200.0,1.0,1066.7777777777778,399.6666666666667,1200.0,1200.0,1200.0,9.0,
23:04:2013,100800.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3900.0,28.0,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall",19020.0,6878.0,50.0,613.5483870967741,1200.8631573083776,146.5,322.0,655.5,31.0,,5999.0,1200.0,1199.0,1199.8,0.4472135954999579,1200.0,1200.0,1200.0,5.0,
23:05:2013,127203.0,1197.0,0.0,0.0,0.0,0.0,3.0,1.0,7800.0,28.0,"Dartmouth College,Baker Memorial Library,Ripley Hall",15779.0,1695.0,40.0,322.0204081632653,352.9051743384192,111.0,172.0,333.0,49.0,,7201.0,2400.0,1.0,1200.1666666666667,758.6304546132238,1200.0,1200.0,1200.0,6.0,
24:04:2013,79634.0,3599.0,0.0,0.0,0.0,0.0,2.0,1.0,11700.0,28.0,"Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall",10832.0,2128.0,50.0,349.4193548387097,387.5289042289661,131.5,252.0,423.5,31.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
24:05:2013,154835.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,9000.0,28.0,"Ripley Hall,Ripley Hall",9315.0,1039.0,50.0,238.84615384615384,235.4182770776013,86.0,151.0,287.0,39.0,,16800.0,3600.0,1200.0,1680.0,839.0470785361213,1200.0,1200.0,2100.0,10.0,
25:04:2013,75197.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7800.0,28.0,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",18495.0,5346.0,40.0,462.375,948.4644996262548,90.75,156.5,335.5,40.0,2.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,4.0
26:04:2013,73497.0,0.0,13200.0,0.0,0.0,0.0,4.0,0.0,9000.0,28.0,"Latin American, Latino/a, and Caribbean House,Bartlett Hall,Bartlett Hall,Dartmouth Hall,Dartmouth Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Bartlett Hall,Bartlett Hall,Dartmouth College,Dartmouth College",12577.0,4217.0,40.0,419.23333333333335,991.909328563833,110.25,151.0,198.75,30.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,1.0
26:05:2013,80400.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,28.0,"Ripley Hall,Ripley Hall",17419.0,10099.0,50.0,483.8611111111111,1654.186691014699,91.0,146.0,310.25,36.0,,7200.0,2400.0,1200.0,1440.0,536.6563145999495,1200.0,1200.0,1200.0,5.0,
27:04:2013,93600.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,28.0,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall",10636.0,917.0,80.0,312.8235294117647,198.7880660079115,158.75,293.0,391.25,34.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
27:05:2013,41680.0,0.0,27599.0,0.0,0.0,0.0,0.0,0.0,11700.0,28.0,"Ripley Hall,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Ripley Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",25099.0,3973.0,60.0,557.7555555555556,785.2005868669238,151.0,343.0,606.0,45.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,
28:03:2013,1202.0,0.0,84980.0,0.0,0.0,0.0,3.0,0.0,7800.0,28.0,"Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse",16173.0,2813.0,60.0,646.92,762.3851782399761,132.0,363.0,827.0,25.0,1.0,1145.0,1145.0,1145.0,1145.0,,1145.0,1145.0,1145.0,1.0,1.5
28:04:2013,94800.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,28.0,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall",6138.0,686.0,40.0,180.52941176470588,131.8601727942917,81.0,136.0,259.5,34.0,,7200.0,2400.0,1200.0,1440.0,536.6563145999495,1200.0,1200.0,1200.0,5.0,
28:05:2013,44397.0,0.0,43203.0,1200.0,0.0,0.0,1.0,0.0,3900.0,28.0,"Sudikoff Hall,Dartmouth College,Bartlett Hall,Bartlett Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Wheeler Hall,Ripley Hall,Ripley Woodward Smith Parking Lot,Ripley Hall",12716.0,1240.0,50.0,289.0,276.0864374253697,108.5,207.0,375.75,44.0,,4800.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,4.0,
29:03:2013,68327.0,5999.0,12072.0,0.0,0.0,0.0,4.0,0.0,9000.0,28.0,"Dartmouth College,Dartmouth College,Black Family Visual Arts Center,Black Family Visual Arts Center,Hopkins Center for the Arts,Bartlett Hall,Bartlett Hall,Ripley Hall,Ripley Hall,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Bartlett Hall,Bartlett Hall,Baker Memorial Library",34535.0,3985.0,51.0,627.9090909090909,834.8161978394312,177.0,312.0,736.0,55.0,1.0,8284.0,2400.0,1085.0,1380.6666666666667,501.47688547595754,1197.75,1200.0,1201.5,6.0,3.0
