,home_time,recreational_activities,school_time,orthers,shopping,travel_time,working,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
06:04:2013,7200.0,3605.0,1200.0,21562.0,0.0,0.0,53999.0,5.0,0.0,0.0,10.0,"Dartmouth Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Rollins Chapel,Alpha Theta,Dartmouth College,Dartmouth College",31024,6645.0,70.0,1477.3333333333333,1810.2326738111135,111.0,685.0,1967.0,21.0,,2853.0,1203.0,454.0,951.0,430.4288559100098,825.0,1196.0,1199.5,3.0,
06:05:2013,67200.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,1.0,7800.0,10.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall",17680,6497.0,50.0,609.6551724137931,1201.3152695472122,111.0,283.0,625.0,29.0,,3543.0,1200.0,1149.0,1181.0,27.874719729532707,1171.5,1194.0,1197.0,3.0,
07:04:2013,91203.0,7197.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,10.0,"Dartmouth College,Dartmouth College,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",27047,4529.0,61.0,711.7631578947369,977.3007624204516,116.0,287.5,985.25,38.0,,9601.0,6000.0,1201.0,3200.3333333333335,2497.598913623509,1800.5,2400.0,4200.0,3.0,
08:04:2013,66000.0,0.0,7200.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,10.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Wentworth Hall",32559,4157.0,40.0,638.4117647058823,816.762491216892,161.0,373.0,680.5,51.0,,13952.0,7198.0,873.0,3488.0,3061.8490056391306,1028.25,2940.5,5400.25,4.0,
08:05:2013,67800.0,4201.0,14999.0,0.0,0.0,0.0,600.0,2.0,0.0,14400.0,10.0,"Dartmouth College,Phi Tau,Dartmouth College,Dartmouth College,Kemeny Hall,Kemeny Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hood Museum of Art,Dartmouth Hall",25832,4782.0,60.0,645.8,943.1813921306646,128.5,297.0,584.25,40.0,,10786.0,4795.0,1.0,898.8333333333334,1238.9645848143691,598.25,600.0,600.25,12.0,
09:04:2013,63600.0,2399.0,19201.0,0.0,0.0,0.0,0.0,1.0,0.0,10500.0,10.0,"Wentworth Hall,Reed Hall,Hopkins Center for the Arts,Wilson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall,Dartmouth College,Dartmouth College,Sudikoff Hall",30073,4336.0,31.0,639.8510638297872,888.0456553755852,121.0,262.0,822.0,47.0,,1196.0,1196.0,1196.0,1196.0,,1196.0,1196.0,1196.0,1.0,
09:05:2013,72590.0,5899.0,10197.0,0.0,0.0,6600.0,0.0,3.0,0.0,6900.0,10.0,"Wentworth Hall,Reed Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,63 South Main Street Parking Deck,63 South Main Street Parking Deck,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,Dartmouth College",15316,2360.0,61.0,638.1666666666666,583.7310776500535,229.5,448.5,923.5,24.0,,1800.0,1200.0,600.0,900.0,424.2640687119286,750.0,900.0,1050.0,2.0,
10:04:2013,79202.0,1198.0,4800.0,0.0,0.0,0.0,1200.0,2.0,1.0,14400.0,10.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,0",39984,5201.0,71.0,1025.2307692307693,1426.2610387328427,212.0,332.0,807.0,39.0,,10883.0,9594.0,1.0,3627.6666666666665,5206.912936984191,644.5,1288.0,5441.0,3.0,
10:05:2013,72659.0,714.0,3600.0,0.0,0.0,0.0,541.0,4.0,1.0,6000.0,10.0,"Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Kappa Pi Kappa,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Parker House,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall",35005,3822.0,30.0,729.2708333333334,983.4493516273792,223.75,358.0,713.5,48.0,,10793.0,7188.0,3605.0,5396.5,2533.5635969913997,4500.75,5396.5,6292.25,2.0,
11:04:2013,62401.0,2400.0,3601.0,3599.0,0.0,14399.0,0.0,3.0,1.0,6900.0,10.0,"Dartmouth Hall,Dartmouth Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Coldwell Banker,Coldwell Banker,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",38127,3786.0,71.0,907.7857142857144,956.940871219561,141.0,564.5,1290.75,42.0,,,,,,,,,,,
11:05:2013,72600.0,14400.0,3600.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,"Wentworth Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library",21515,5244.0,41.0,977.9545454545456,1237.1398457068212,208.5,526.0,1157.25,22.0,,3000.0,1200.0,600.0,750.0,300.0,600.0,600.0,750.0,4.0,
12:04:2013,75600.0,4800.0,2401.0,1200.0,0.0,3600.0,0.0,4.0,1.0,6000.0,10.0,"Dana Circle Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,The Church of Christ at Dartmouth College,Dartmouth College,Dartmouth College,Berry Sports Center,Berry Sports Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall",29414,4236.0,50.0,840.4,923.5203809974348,192.0,454.0,1233.0,35.0,,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,
12:05:2013,76801.0,1200.0,600.0,1800.0,0.0,0.0,599.0,-1.0,0.0,0.0,10.0,"0,Dartmouth College,Berry Library,Dartmouth College,0,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Moore Psychology Building,Dartmouth College,Dartmouth College,Dartmouth College,Latin American, Latino/a, and Caribbean House,Latin American, Latino/a, and Caribbean House,Dartmouth College,Dartmouth College,0,0,Wheelock House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Casque & Gauntlet Senior Society,Dartmouth College",30092,7618.0,70.0,885.0588235294117,1496.7895125634016,131.0,378.5,691.0,34.0,,7799.0,4204.0,3595.0,3899.5,430.62802974260745,3747.25,3899.5,4051.75,2.0,
13:04:2013,82806.0,0.0,1209.0,2397.0,0.0,1200.0,3590.0,5.0,0.0,0.0,10.0,"Wentworth Hall,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,The Church of Christ at Dartmouth College,The Church of Christ at Dartmouth College,0,Dartmouth College",41423,6871.0,70.0,1380.7666666666669,1640.3044856815843,307.25,888.0,1560.25,30.0,,4498.0,1201.0,897.0,1124.5,151.6673992656299,1124.25,1200.0,1200.25,4.0,
13:05:2013,82732.0,600.0,4200.0,600.0,0.0,0.0,0.0,0.0,1.0,7800.0,10.0,"Dartmouth College,Simon Pearce,Hanover Inn Dartmouth,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall",16928,4532.0,60.0,445.4736842105263,735.6419420182145,143.5,216.0,463.75,38.0,,9496.0,6000.0,497.0,3165.3333333333335,2755.2681055268167,1748.0,2999.0,4499.5,3.0,
14:04:2013,87600.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,10.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",18074,2436.0,40.0,583.0322580645161,709.6367842716426,131.0,273.0,530.0,31.0,,11999.0,5999.0,1200.0,3999.6666666666665,2497.598913623509,3000.0,4800.0,5399.5,3.0,
14:05:2013,72602.0,0.0,11998.0,0.0,0.0,0.0,0.0,1.0,0.0,10500.0,10.0,"Wentworth Hall,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",10568,1644.0,50.0,422.72,432.5606431472933,111.0,332.0,484.0,25.0,,3601.0,603.0,1.0,514.4285714285714,226.40734465623177,598.0,600.0,600.5,7.0,
15:04:2013,77729.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,1.0,7800.0,10.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Wentworth Hall",17834,4851.0,51.0,614.9655172413793,1096.5720119262126,182.0,313.0,484.0,29.0,,15213.0,10412.0,4801.0,7606.5,3967.5761492377183,6203.75,7606.5,9009.25,2.0,
15:05:2013,66600.0,8996.0,10804.0,0.0,0.0,600.0,600.0,2.0,0.0,14400.0,10.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Alpha Theta,Kemeny Hall,Kemeny Hall,Carpenter Hall,Hopkins Center for the Arts,Zahm Courtyard,Dartmouth College,Dartmouth College,Haldeman Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Wentworth Hall",29694,7646.0,20.0,761.3846153846154,1378.4999592498446,116.0,252.0,817.0,39.0,,14060.0,6002.0,393.0,1562.2222222222222,1842.2213342713312,600.0,701.0,1200.0,9.0,
16:04:2013,68405.0,0.0,21213.0,0.0,0.0,0.0,0.0,1.0,0.0,10500.0,10.0,"Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College",28960,4197.0,71.0,998.6206896551724,1113.6897302529712,242.0,746.0,1281.0,29.0,,3486.0,2399.0,1087.0,1743.0,927.7240969167505,1415.0,1743.0,2071.0,2.0,
16:05:2013,84001.0,1200.0,600.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,10.0,"Dartmouth Hall,Hood Museum of Art,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",34410,3106.0,70.0,688.2,762.3617171363619,177.0,484.0,766.75,50.0,,1801.0,1199.0,1.0,600.3333333333334,599.000278241449,301.0,601.0,900.0,3.0,
17:04:2013,76800.0,0.0,4800.0,0.0,0.0,1200.0,0.0,2.0,1.0,14400.0,10.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Dartmouth College,Dartmouth College,Dartmouth Hall",32520,3519.0,40.0,739.0909090909091,751.5365908306088,232.0,479.0,910.5,44.0,,14402.0,5999.0,1.0,2400.3333333333335,2399.9002201480516,1200.0,1200.0,3901.5,6.0,
17:05:2013,70202.0,10199.0,5999.0,0.0,0.0,600.0,0.0,4.0,0.0,6000.0,10.0,"Dartmouth College,0,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Moore Psychology Building,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth Hall",50399,8874.0,71.0,1199.9761904761904,1762.0516103304296,182.0,529.5,1126.5,42.0,,4800.0,2998.0,1.0,1600.0,1508.5764813227072,901.0,1801.0,2399.5,3.0,
18:04:2013,81600.0,2398.0,1202.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,10.0,"Dartmouth Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",32875,4800.0,60.0,996.2121212121212,1270.625996250858,182.0,434.0,1543.0,33.0,,1455.0,1200.0,255.0,727.5,668.2159082212875,491.25,727.5,963.75,2.0,
18:05:2013,66602.0,8400.0,7799.0,4199.0,0.0,1200.0,0.0,5.0,0.0,0.0,10.0,"Dartmouth Hall,Hood Museum of Art,Dartmouth College,Dartmouth College,0,63 South Main Street Parking Deck,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Hanover Inn Dartmouth,Hopkins Center for the Arts,Hood Museum of Art,Hood Museum of Art,Guarini Institute for International Education,Sudikoff Hall",31414,8407.0,50.0,698.0888888888888,1283.2945850112485,141.0,373.0,757.0,45.0,,7126.0,3598.0,532.0,1781.5,1487.1084918951497,583.0,1498.0,2696.5,4.0,
19:04:2013,82800.0,0.0,4800.0,0.0,0.0,0.0,0.0,4.0,0.0,6000.0,10.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth Hall",32427,4491.0,30.0,704.9347826086956,939.907049829312,151.0,297.0,822.0,46.0,,9600.0,6002.0,3598.0,4800.0,1699.8847019724603,4199.0,4800.0,5401.0,2.0,
19:05:2013,76064.0,3000.0,1200.0,3598.0,0.0,0.0,0.0,-1.0,0.0,0.0,10.0,"Sudikoff Hall,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Native American House,Dartmouth College,Dartmouth College,Dartmouth College,0,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Berry Library",7817,2320.0,70.0,558.3571428571429,659.6221071005915,106.0,312.5,630.75,14.0,,4183.0,1198.0,584.0,697.1666666666666,245.44524168674909,599.25,600.0,601.5,6.0,
20:04:2013,91198.0,0.0,2402.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,"Dartmouth Hall,Dartmouth College,Dartmouth College,Choate House,Dartmouth College,Dartmouth College,Dartmouth College",35158,5855.0,50.0,703.16,1142.234801266574,151.25,262.5,736.75,50.0,,62399.0,61199.0,1200.0,31199.5,42425.69976441166,16199.75,31199.5,46199.25,2.0,
20:05:2013,86401.0,1800.0,0.0,0.0,0.0,3599.0,0.0,0.0,1.0,7800.0,10.0,"Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",28471,9167.0,50.0,790.8611111111111,1596.3539735065522,176.75,363.5,695.5,36.0,,64460.0,62660.0,1800.0,32230.0,43034.51870301328,17015.0,32230.0,47445.0,2.0,
21:04:2013,34800.0,0.0,57600.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,10.0,"Middlebury College,Reed Road",33570,4509.0,51.0,658.2352941176471,751.2704330195699,186.0,481.0,832.5,51.0,,57600.0,57600.0,57600.0,57600.0,,57600.0,57600.0,57600.0,1.0,
22:04:2013,68397.0,0.0,8051.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,10.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Dartmouth College,Dartmouth College,Wentworth Hall,Wentworth Hall",14188,3460.0,60.0,472.9333333333333,698.0991893426888,118.5,217.0,451.25,30.0,,,,,,,,,,,
22:05:2013,73200.0,0.0,13200.0,0.0,0.0,0.0,0.0,2.0,0.0,14400.0,10.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth Hall",24682,5285.0,50.0,667.081081081081,978.2806169323125,121.0,333.0,786.0,37.0,,11587.0,4201.0,308.0,1448.375,1701.0436239891926,544.25,600.0,1499.75,8.0,
23:04:2013,68359.0,0.0,22796.0,0.0,0.0,0.0,0.0,1.0,0.0,10500.0,10.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",21223,5236.0,31.0,624.2058823529412,1023.5739164264552,92.75,207.0,804.75,34.0,,,,,,,,,,,
23:05:2013,81600.0,4200.0,600.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,10.0,"Dartmouth Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hood Museum of Art,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",34257,4742.0,100.0,1007.5588235294116,1125.5911898811075,300.5,595.0,1125.0,34.0,,5096.0,2712.0,548.0,1019.2,946.814501367612,600.0,601.0,635.0,5.0,
24:04:2013,75709.0,0.0,3535.0,0.0,0.0,0.0,0.0,2.0,1.0,14400.0,10.0,"Dartmouth College,Dartmouth College,Kemeny Hall,Kemeny Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",14554,2593.0,61.0,519.7857142857143,696.9041783935822,81.0,176.5,610.0,28.0,,13217.0,6003.0,1217.0,3304.25,2044.7685076800256,2104.25,2998.5,4198.5,4.0,
24:05:2013,374076.0,1800.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,6000.0,10.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College",33453,4317.0,40.0,880.3421052631579,983.9429030983504,133.5,479.0,1352.25,38.0,,,,,,,,,,,
25:04:2013,75394.0,0.0,7275.0,0.0,0.0,0.0,2498.0,3.0,0.0,6900.0,10.0,"Dartmouth College,Dartmouth College,Phi Tau,Dartmouth College,Dartmouth College,Dartmouth College,Phi Tau,Dartmouth College,Dartmouth College,0,Life Sciences Greenhouse",19974,6123.0,51.0,868.4347826086956,1271.7218044156068,201.5,545.0,953.5,23.0,,2432.0,1228.0,1204.0,1216.0,16.97056274847714,1210.0,1216.0,1222.0,2.0,
26:04:2013,79025.0,0.0,3601.0,0.0,0.0,4799.0,0.0,4.0,1.0,6000.0,10.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Maynard Parking Lot,Maynard Parking Lot,Dartmouth Hall",29931,7423.0,30.0,935.34375,1431.5836394475425,284.5,499.0,1021.5,32.0,,11684.0,8222.0,1137.0,3894.6666666666665,3794.36375869965,1731.0,2325.0,5273.5,3.0,
