,home_time,recreational_activities,school_time,travel_time,shopping,orthers,working,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
09:04:2013,64800.0,1200.0,19200.0,1200.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"South Block Parking Garage,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,Wheeler Hall,Baker Memorial Library,Dartmouth College",21795.0,5306.0,41.0,838.2692307692307,1489.920227601258,83.5,202.0,569.5,26.0,1.0,56407.0,10800.0,1200.0,5640.7,3440.9377291016986,3600.5,4206.5,8100.0,10.0,3.0
09:05:2013,8400.0,0.0,3602.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,"0,Sudikoff Hall,Sudikoff Hall",21675.0,4135.0,51.0,619.2857142857143,980.8177132141436,116.0,232.0,630.0,35.0,2.0,13102.0,6000.0,1105.0,2620.4,2163.4089534805944,1197.0,1200.0,3600.0,5.0,4.0
10:04:2013,10800.0,4801.0,65999.0,73201.0,0.0,1200.0,0.0,2.0,0.0,0.0,1.0,"0,Baker Memorial Library,Baker Memorial Library,Parker House,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Native American House,Moore Psychology Building,Sudikoff Hall,0,Dartmouth College,Baker Memorial Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Sudikoff Hall,Irving,South Block Parking Garage,South Block Parking Garage",22402.0,4801.0,40.0,658.8823529411765,1217.6644998621744,135.75,223.0,504.0,34.0,1.0,67138.0,36009.0,1200.0,9591.142857142857,13281.956261893696,1764.5,2400.0,12000.0,7.0,1.0
10:05:2013,9598.0,2397.0,68403.0,4800.0,0.0,1201.0,0.0,4.0,0.0,0.0,1.0,"Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,South Block Parking Garage,South Block Parking Garage,Steele Hall,Steele Hall,Sudikoff Hall,Sudikoff Hall,0,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Guarini Institute for International Education,Black Family Visual Arts Center,0,0,Life Sciences Greenhouse,Class of 1978 Life Sciences Center",24681.0,4458.0,50.0,851.0689655172414,1183.604088338256,142.0,343.0,838.0,29.0,,43200.0,24000.0,1200.0,10800.0,10135.08756745594,3900.0,9000.0,15900.0,4.0,
11:04:2013,1200.0,1198.0,12000.0,2401.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,"South Block Parking Garage,South Block Parking Garage,Six South Street,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse",27686.0,4542.0,51.0,838.969696969697,1207.5509949078885,121.0,293.0,817.0,33.0,,35991.0,33591.0,1200.0,11997.0,18700.95256932117,1200.0,1200.0,17395.5,3.0,
11:05:2013,12001.0,0.0,63600.0,0.0,25200.0,1198.0,0.0,5.0,0.0,0.0,1.0,"Life Sciences Greenhouse,Life Sciences Greenhouse,0,Sudikoff Hall,Sudikoff Hall,0,King Arthur Baking Company",20982.0,2085.0,41.0,567.081081081081,622.5319437755953,120.0,202.0,1161.0,37.0,,74408.0,45604.0,1198.0,12401.333333333334,18637.23969547708,1201.5,1225.0,18278.0,6.0,
12:04:2013,17905.0,1200.0,7296.0,51813.0,5789.0,2400.0,0.0,4.0,0.0,0.0,1.0,"Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Citizens Bank,Dartmouth College,Dartmouth College,House Center A,King Arthur Baking Company,King Arthur Baking Company,Co-op Food Stores Norwich Service Center,0,Baker Memorial Library,Wheeler Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,South Block Parking Garage",31550.0,5188.0,60.0,901.4285714285714,1301.398055615446,161.0,343.0,781.5,35.0,1.0,31113.0,8313.0,1200.0,4444.714285714285,3057.710838426121,1800.0,3600.0,7200.0,7.0,
12:05:2013,16801.0,3600.0,0.0,0.0,0.0,50400.0,0.0,-1.0,0.0,0.0,1.0,"0,Systems Plus Computers,0,Berry Sports Center,Berry Sports Center",27583.0,7887.0,70.0,811.2647058823529,1375.8944927138175,179.0,348.5,811.75,34.0,,61924.0,37200.0,5.0,6192.4,11495.238958417136,997.5,1200.0,6375.0,10.0,
13:04:2013,74518.0,0.0,12004.0,2400.0,3478.0,0.0,0.0,5.0,0.0,0.0,1.0,"South Block Parking Garage,South Block Parking Garage,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Hanover Park,Hanover Park,Dartmouth College,0",23283.0,4339.0,30.0,485.0625,705.2450730291669,118.5,226.5,572.5,48.0,,115200.0,67200.0,1200.0,8861.538461538461,18003.589385709474,1200.0,3600.0,3600.0,13.0,2.0
13:05:2013,26396.0,2403.0,15599.0,0.0,0.0,43201.0,0.0,0.0,0.0,0.0,1.0,"Alumni Gymnasium,0,0,0,0,0,Big Green Real Estate,Sudikoff Hall,Sudikoff Hall,Dartmouth Hall,Sudikoff Hall",26022.0,4033.0,71.0,1131.391304347826,1125.644249434334,291.0,655.0,1622.5,23.0,,43201.0,30000.0,1200.0,7200.166666666667,11409.364582073213,1200.25,1800.5,6000.0,6.0,
14:04:2013,132000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,"0,0,0,0,0,0",15696.0,3368.0,30.0,373.7142857142857,633.7340861797342,83.5,156.0,325.25,42.0,0.0,22794.0,7200.0,1200.0,3799.0,2202.58166704438,2395.5,3600.0,4800.0,6.0,
14:05:2013,10800.0,0.0,57600.0,0.0,0.0,21600.0,0.0,1.0,0.0,0.0,1.0,"Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,White River Junction Historic District",14383.0,1886.0,60.0,449.46875,418.9712427097377,153.5,326.5,629.25,32.0,,68006.0,26400.0,885.0,6800.6,8364.13017593581,1499.0,2400.0,10200.0,10.0,
15:04:2013,21600.0,0.0,8400.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Anonymous Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,South Block Parking Garage,South Block Parking Garage,South Block Parking Garage,South Block Parking Garage",30994.0,4852.0,50.0,885.5428571428571,1288.062369307826,125.5,282.0,1079.0,35.0,0.0,28806.0,8400.0,1200.0,3200.6666666666665,2683.0587023022813,1200.0,2400.0,2406.0,9.0,3.0
15:05:2013,69600.0,0.0,12001.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,"0,0,Sudikoff Hall,Wheeler Hall,Dartmouth College,Thornton Hall,Sudikoff Hall",37712.0,5266.0,54.0,769.6326530612245,1149.939268212992,121.0,297.0,938.0,49.0,1.0,49094.0,42000.0,1089.0,7013.428571428572,15427.684486631417,1199.0,1200.0,1203.5,7.0,2.5
16:04:2013,107242.0,0.0,27600.0,2400.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"South Block Parking Garage,South Block Parking Garage,La Casa,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0",23855.0,5707.0,30.0,745.46875,1229.83867246166,151.0,217.0,699.25,32.0,0.0,81977.0,59242.0,1194.0,8197.7,18054.26391034662,1200.0,1203.0,4483.75,10.0,3.0
16:05:2013,2400.0,0.0,21604.0,0.0,0.0,82360.0,0.0,3.0,0.0,0.0,1.0,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Steele Hall,Steele Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Positive Tracks,0,0",28112.0,8434.0,70.0,1405.6,2052.078391854412,118.5,650.0,1523.5,20.0,2.0,72771.0,42765.0,1200.0,14554.2,16987.58338316548,1202.0,13204.0,14400.0,5.0,4.0
17:04:2013,21600.0,3600.0,6000.0,4800.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,"0,0,0,0,0,Dartmouth College,Baker Memorial Library,Dartmouth College,Baker Memorial Library,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,South Block Parking Garage,South Block Parking Garage",26313.0,5336.0,41.0,1144.0434782608695,1497.061469505598,201.0,363.0,1300.5,23.0,0.0,25158.0,6000.0,1190.0,2287.090909090909,1560.1821338898517,1200.0,1206.0,3000.0,11.0,3.0
17:05:2013,24004.0,6912.0,0.0,0.0,0.0,36287.0,0.0,4.0,0.0,0.0,1.0,"0,Hanover Inn Dartmouth,Hanover Inn Dartmouth,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",35092.0,8736.0,81.0,1754.6,2258.620384682929,305.5,685.5,2511.0,20.0,2.0,40707.0,32400.0,1107.0,10176.75,14894.299656244331,2076.75,3600.0,11700.0,4.0,4.0
18:04:2013,21600.0,1200.0,20400.0,0.0,43200.0,0.0,0.0,3.0,0.0,0.0,1.0,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Observatory Road,0,Dartmouth College,Wheeler Hall,Dartmouth College,Baker Memorial Library,Wheeler Hall,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center",17851.0,3953.0,60.0,1115.6875,1333.7807275435744,169.5,474.0,1722.5,16.0,2.0,41896.0,34800.0,1.0,6982.666666666667,13655.776970449782,1200.0,1747.5,2373.75,6.0,4.0
18:05:2013,267184.0,1200.0,7200.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,"Dartmouth College,Dartmouth College,Dartmouth College,0,Sudikoff Hall,Sudikoff Hall,0,0",2552.0,989.0,111.0,425.3333333333333,337.2712064002302,224.5,277.0,587.5,6.0,2.0,19207.0,14379.0,4828.0,9603.5,6753.576867112715,7215.75,9603.5,11991.25,2.0,4.0
19:04:2013,13274.0,0.0,69526.0,3600.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,"Sudikoff Hall,Sudikoff Hall,Steele Hall,Steele Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,South Block Parking Garage",32907.0,5074.0,50.0,914.0833333333334,1270.5572764960827,206.75,394.5,856.25,36.0,,103322.0,61159.0,1195.0,10332.2,19647.721461335463,1200.25,1810.0,3301.5,10.0,
20:04:2013,16806.0,0.0,22800.0,0.0,0.0,51559.0,0.0,5.0,0.0,0.0,1.0,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Sudikoff Hall,Arlington Coin,Arlington Coin,0,0,0,0",32759.0,6818.0,80.0,1424.304347826087,1792.7621511050431,191.5,888.0,1693.5,23.0,,45601.0,45601.0,45601.0,45601.0,,45601.0,45601.0,45601.0,1.0,
21:04:2013,45600.0,7197.0,0.0,0.0,0.0,50398.0,0.0,-1.0,0.0,0.0,1.0,"Nelson Fitness Center,Kabob and Curry,257 Thayer,0,0,0,0",18215.0,2088.0,50.0,413.9772727272728,486.8023087902848,179.0,242.0,395.75,44.0,,61420.0,24000.0,1200.0,6824.444444444444,7502.224855186478,1200.0,4800.0,9600.0,9.0,
22:04:2013,51554.0,0.0,15606.0,3640.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"0,0,0,0,0,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,South Block Parking Garage,South Block Parking Garage,Dartmouth College,Class of 1978 Life Sciences Center",14086.0,3420.0,60.0,541.7692307692307,763.8626739246948,124.25,227.0,514.5,26.0,,21565.0,7273.0,1082.0,2156.5,2124.3262592068,1142.25,1204.0,1301.75,10.0,
23:04:2013,45600.0,2399.0,51591.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Alumni Gymnasium,0,0,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",32167.0,4084.0,70.0,1037.645161290323,1298.598617700047,96.0,232.0,1725.0,31.0,1.0,33681.0,9556.0,1200.0,3742.3333333333335,3237.692503929303,1203.0,2400.0,4800.0,9.0,1.0
23:05:2013,55176.0,0.0,8366.0,0.0,0.0,3001.0,0.0,3.0,0.0,0.0,1.0,"Sudikoff Hall,0,0,The Peoples Barber Shop and Shave Parlor,0,0,Nugget Arcade,Dartmouth College,Dartmouth College,Sudikoff Hall",21086.0,4015.0,70.0,638.969696969697,780.4297087521915,172.0,434.0,766.0,33.0,1.0,9360.0,3600.0,528.0,1337.142857142857,1091.5175107117964,600.0,1054.0,1489.0,7.0,1.0
24:04:2013,14400.0,0.0,54000.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,"Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,0",23043.0,3490.0,75.0,698.2727272727273,718.9937531338187,202.0,495.0,1036.0,33.0,,48003.0,31200.0,1200.0,5333.666666666667,9897.317868998653,1200.0,1200.0,2400.0,9.0,
24:05:2013,21001.0,2399.0,600.0,2553.0,0.0,59847.0,0.0,4.0,0.0,0.0,1.0,"Sudikoff Hall,Co-op Food Stores Norwich Service Center,0,0,0,0,0,0,Alumni Gymnasium,Berry Sports Center,Berry Sports Center,Gym Lot,0,0",15815.0,1997.0,50.0,405.5128205128205,417.3838238483333,121.5,202.0,574.5,39.0,1.0,91941.0,52941.0,600.0,7661.75,14765.440375324832,1200.0,2100.0,5100.0,12.0,1.0
25:04:2013,25241.0,13238.0,2399.0,0.0,45780.0,0.0,0.0,3.0,0.0,0.0,1.0,"King Arthur Baking Company,King Arthur Baking Company,0,0,0,0,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center",29460.0,7426.0,50.0,950.3225806451612,1601.0019651684122,136.0,292.0,786.5,31.0,1.0,48419.0,22799.0,1106.0,3724.5384615384614,5876.5123388988795,1200.0,1318.0,3604.0,13.0,1.0
25:05:2013,0.0,25341.0,0.0,0.0,0.0,62653.0,0.0,5.0,0.0,0.0,1.0,"0,Midtown Center,Midtown Center,Midtown Center,Midtown Center,Natural Resources Defense Council,Natural Resources Defense Council,Natural Resources Defense Council,Midtown Center,Midtown Center,Midtown Center,Embassy of Djibouti,0,0,0,0,Embassy of Djibouti,WRC",27577.0,3499.0,30.0,641.3255813953489,707.6930233387864,146.0,433.0,953.0,43.0,1.0,73658.0,73658.0,73658.0,73658.0,,73658.0,73658.0,73658.0,1.0,2.0
26:04:2013,73202.0,4799.0,1201.0,5999.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,"Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Vail,Life Sciences Greenhouse,Life Sciences Greenhouse,South Block Parking Garage,South Block Parking Garage",31576.0,5843.0,70.0,986.75,1500.4064610588348,126.75,262.5,1047.5,32.0,1.0,27602.0,13200.0,1195.0,2760.2,3754.3723783817127,1200.0,1202.5,2100.75,10.0,1.0
26:05:2013,0.0,0.0,0.0,0.0,0.0,125605.0,0.0,-1.0,0.0,0.0,1.0,"New Executive Office Building,Reconstruction Finance Corporation Building,Norwich Inn,Norwich Inn",12133.0,2289.0,40.0,356.8529411764706,441.9329533923869,141.0,186.0,370.5,34.0,,83993.0,82800.0,1193.0,41996.5,57704.86309229059,21594.75,41996.5,62398.25,2.0,
27:03:2013,4800.0,0.0,18000.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,"0,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall",22971.0,5829.0,61.0,1093.857142857143,1464.581622365728,232.0,464.0,1464.0,21.0,1.0,34743.0,18000.0,1131.0,4963.285714285715,6334.263932883486,1201.0,1204.0,6003.0,7.0,1.0
27:04:2013,3600.0,1201.0,16801.0,0.0,74397.0,0.0,0.0,5.0,0.0,0.0,1.0,"Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Berry Sports Center,Hanover Park,Hanover Park",27618.0,7717.0,60.0,726.7894736842105,1404.1342847519718,214.5,314.5,587.5,38.0,,74534.0,14399.0,1200.0,6775.818181818182,3959.175894505871,4199.0,7203.0,8467.0,11.0,
27:05:2013,46800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"0,0,0,0,0,0,0",34268.0,4680.0,60.0,796.9302325581396,1047.4578158422382,242.0,424.0,812.5,43.0,,79021.0,45600.0,1.0,7183.727272727273,12980.131702651628,1500.0,3000.0,6297.5,11.0,
28:03:2013,54361.0,3600.0,28806.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,"Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Wheeler Hall,0,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",20902.0,4165.0,41.0,995.3333333333334,1275.8226888299694,172.0,312.0,1330.0,21.0,1.0,48335.0,20764.0,1167.0,5370.555555555556,7708.422522006547,1200.0,1200.0,3606.0,9.0,2.4
28:04:2013,78670.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,"0,0,0,0,0,0,0",16907.0,2500.0,40.0,497.2647058823529,662.3597076762303,131.0,237.0,403.0,34.0,1.0,20404.0,7200.0,5.0,2914.8571428571427,2757.9606250858274,1200.0,1200.0,4799.5,7.0,1.0
28:05:2013,60596.0,600.0,21004.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,0,Dartmouth College,Baker Memorial Library,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",32764.0,7598.0,40.0,1129.7931034482758,1918.1599884731493,142.0,272.0,1150.0,29.0,,45116.0,41548.0,600.0,9023.2,18184.239843886793,603.0,1167.0,1198.0,5.0,
29:03:2013,8400.0,1200.0,68400.0,5997.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,"South Block Parking Garage,South Block Parking Garage,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0,South Block Parking Garage,South Block Parking Garage,Dartmouth College",28747.0,5052.0,40.0,898.34375,1443.6225404566514,107.75,327.0,695.75,32.0,1.0,37177.0,34800.0,1177.0,12392.333333333334,19405.61198038684,1188.5,1200.0,18000.0,3.0,2.5
