,home_time,school_time,orthers,travel_time,recreational_activities,working,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
24:05:2013,169164.0,13200.0,0.0,1198.0,0.0,0.0,4.0,0.0,3000.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Maynard Parking Lot,Sudikoff Hall,Sudikoff Hall,Dartmouth College",8957.0,2057.0,41.0,639.7857142857143,627.2863630900017,153.75,318.0,1046.25,14.0,,6008.0,1204.0,1200.0,1201.6,2.1908902300206647,1200.0,1200.0,1204.0,5.0,
25:04:2013,60622.0,25200.0,0.0,0.0,1199.0,0.0,3.0,0.0,6900.0,19.0,"Hopkins Center for the Arts,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Native American House,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College,Dartmouth College",18590.0,2673.0,60.0,715.0,728.0830721833876,173.75,438.5,895.25,26.0,,2205.0,1119.0,1086.0,1102.5,23.33452377915607,1094.25,1102.5,1110.75,2.0,
26:04:2013,15715.0,77885.0,0.0,0.0,0.0,0.0,4.0,0.0,3000.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sherman House,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Reed Hall,Reed Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",41559.0,4369.0,30.0,554.12,789.178052735198,136.0,283.0,580.0,75.0,0.0,124557.0,112813.0,1115.0,17793.85714285714,41920.57141558931,1125.5,1200.0,3589.0,7.0,3.0
26:05:2013,29984.0,291088.0,0.0,1200.0,0.0,0.0,-1.0,0.0,0.0,19.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Maynard Parking Lot,Dartmouth College,Dartmouth College,Sudikoff Hall",20654.0,4609.0,70.0,688.4666666666667,983.9011981983213,126.25,308.0,671.25,30.0,,,,,,,,,,,
27:03:2013,33599.0,13201.0,0.0,0.0,0.0,0.0,2.0,0.0,10500.0,19.0,"Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons",25163.0,8451.0,60.0,811.7096774193549,1551.2986429343296,141.5,293.0,837.0,31.0,2.0,7766.0,2407.0,448.0,1294.3333333333333,629.5251120222819,1198.5,1200.5,1284.25,6.0,4.0
27:04:2013,184800.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,19.0,Dartmouth College,719.0,679.0,40.0,359.5,451.8412331782039,199.75,359.5,519.25,2.0,,,,,,,,,,,
28:03:2013,102000.0,4801.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,19.0,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College,Dartmouth College,Dartmouth College",11795.0,1876.0,60.0,512.8260869565217,480.4113438383168,151.0,434.0,570.0,23.0,,28773.0,4800.0,1197.0,1918.2,1089.286542388444,1200.5,1202.0,2399.5,15.0,
29:03:2013,45598.0,19202.0,0.0,0.0,0.0,0.0,4.0,0.0,3000.0,19.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons",24224.0,5768.0,30.0,692.1142857142858,1119.4516980208125,131.0,343.0,560.0,35.0,1.0,13046.0,2402.0,1086.0,1449.5555555555557,540.1738403308492,1196.0,1200.0,1204.0,9.0,
29:04:2013,45600.0,20400.0,0.0,0.0,0.0,0.0,0.0,0.0,3900.0,19.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall",,,,,,,,,,,2299.0,1200.0,1099.0,1149.5,71.4177848998413,1124.25,1149.5,1174.75,2.0,
29:05:2013,7720.0,1200.0,0.0,0.0,0.0,1201.0,2.0,1.0,10500.0,19.0,"Sudikoff Hall,Life Sciences Greenhouse,Phi Tau",9823.0,5356.0,100.0,982.3,1607.6837064547242,194.0,408.0,728.75,10.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
30:03:2013,100799.0,6001.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,19.0,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College",14967.0,2804.0,40.0,498.9,591.2950340070338,138.75,247.0,632.75,30.0,2.0,14390.0,1203.0,1195.0,1199.1666666666667,2.5878504008094625,1197.0,1200.0,1200.25,12.0,1.0
30:04:2013,172799.0,70801.0,0.0,0.0,0.0,0.0,1.0,0.0,6600.0,19.0,"Class of 1953 Commons,Class of 1953 Commons,Carson Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Moore Psychology Building,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College",,,,,,,,,,,2098.0,1197.0,901.0,1049.0,209.30360723121808,975.0,1049.0,1123.0,2.0,3.0
30:05:2013,1199.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,19.0,"Dartmouth College,Dartmouth College",,,,,,,,,,,,,,,,,,,,
31:03:2013,30004.0,49200.0,0.0,0.0,2396.0,0.0,-1.0,0.0,0.0,19.0,"Dartmouth College,Wheeler Hall,Alumni Gymnasium,Alumni Gymnasium,Moore Psychology Building,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College",12784.0,2037.0,81.0,799.0,610.8286175352298,442.5,590.0,1111.75,16.0,,11950.0,2400.0,1107.0,1327.7777777777778,405.86444097068227,1198.0,1200.0,1204.0,9.0,4.0
14:05:2013,,,,,,,,,,,,6504.0,1524.0,50.0,722.6666666666666,450.2604801667586,383.0,796.0,957.0,9.0,,1204.0,1204.0,1204.0,1204.0,,1204.0,1204.0,1204.0,1.0,
22:05:2013,,,,,,,,,,,,5476.0,3307.0,41.0,497.8181818181818,946.70669356267,96.0,131.0,363.5,11.0,,5893.0,1202.0,1090.0,1178.6,49.53584560699454,1200.0,1200.0,1201.0,5.0,
25:05:2013,,,,,,,,,,,,15971.0,2834.0,50.0,665.4583333333334,699.351002198011,133.5,367.5,1092.5,24.0,,3699.0,1296.0,1162.0,1233.0,67.35725647619564,1201.5,1241.0,1268.5,3.0,
13:04:2013,,,,,,,,,,,,,,,,,,,,,,2398.0,1200.0,1198.0,1199.0,1.4142135623730951,1198.5,1199.0,1199.5,2.0,
28:04:2013,,,,,,,,,,,,,,,,,,,,,,73204.0,73204.0,73204.0,73204.0,,73204.0,73204.0,73204.0,1.0,
01:05:2013,,,,,,,,,,,,,,,,,,,,,,1129.0,1129.0,1129.0,1129.0,,1129.0,1129.0,1129.0,1.0,
