,home_time,school_time,shopping,orthers,recreational_activities,working,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
05:05:2013,70800.0,1200.0,1200.0,0.0,2400.0,0.0,0.0,-1.0,0.0,0.0,11.0,"Dartmouth College,Sudikoff Hall,Hopkins Center for the Arts,Woodward Hall,Ripley Hall,Ripley Hall,Dartmouth College,Alumni Gymnasium,Observatory Road,Dartmouth College",4627.0,827.0,70.0,220.33333333333331,200.59868726722357,80.0,151.0,242.0,21.0,,,,,,,,,,,
06:04:2013,75601.0,15599.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Ripley Hall,Dartmouth College,Sudikoff Hall",12059.0,3661.0,40.0,309.20512820512823,565.7374869880338,100.5,252.0,282.0,39.0,2.0,,,,,,,,,,3.5
06:05:2013,76800.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,1.0,7800.0,11.0,"Dartmouth College,Ripley Hall,Ripley Hall,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",17295.0,3954.0,60.0,524.0909090909091,877.2181300721462,120.0,242.0,534.0,33.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
07:04:2013,78000.0,1200.0,0.0,0.0,6000.0,0.0,0.0,-1.0,0.0,0.0,11.0,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Alumni Gymnasium,Dartmouth College",9184.0,2128.0,50.0,382.6666666666667,441.68744277084585,131.75,201.5,489.0,24.0,1.0,,,,,,,,,,2.0
08:04:2013,70800.0,9600.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,7800.0,11.0,"Dartmouth College,Ripley Hall,Woodward Hall,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",15419.0,4277.0,71.0,571.074074074074,936.570746677881,141.0,242.0,458.5,27.0,2.0,4800.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,4.0,3.5
08:05:2013,72000.0,0.0,0.0,0.0,1200.0,0.0,0.0,2.0,1.0,14400.0,11.0,"Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Woodward Hall,Smith Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Woodward Hall,Ripley Hall,Woodward Hall,Ripley Hall,Smith Hall,Ripley Hall,Smith Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",23927.0,5760.0,40.0,996.9583333333334,1396.7584049028187,188.5,383.0,1162.5,24.0,1.0,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,1.0
09:04:2013,74402.0,4802.0,1200.0,0.0,5996.0,0.0,0.0,1.0,1.0,10500.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Sudikoff Hall,Berry Library,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dewey Field Road,Sudikoff Hall",17677.0,3288.0,30.0,431.1463414634146,540.1929544605155,171.0,262.0,464.0,41.0,1.0,,,,,,,,,,3.0
09:05:2013,81601.0,0.0,1200.0,0.0,1200.0,0.0,5999.0,3.0,1.0,6900.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Hopkins Center for the Arts,Ripley Hall,Observatory Road,Ripley Hall,Ripley Hall,Smith Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College",15348.0,3035.0,50.0,383.7,626.3206846336785,81.0,126.0,398.25,40.0,1.0,7199.0,1200.0,1199.0,1199.8333333333333,0.4082482904638629,1200.0,1200.0,1200.0,6.0,1.0
10:04:2013,76802.0,8400.0,0.0,0.0,1198.0,1200.0,0.0,2.0,1.0,14400.0,11.0,"Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Woodward Hall,Ripley Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",20676.0,4460.0,50.0,397.61538461538464,794.533780025626,105.75,206.5,304.5,52.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,2.5
10:05:2013,80401.0,2399.0,0.0,0.0,1200.0,0.0,0.0,4.0,1.0,6000.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Vail,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",19342.0,4469.0,60.0,568.8823529411765,878.6519897394439,115.25,227.0,517.25,34.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
11:04:2013,79200.0,0.0,1200.0,0.0,4800.0,0.0,0.0,3.0,1.0,6900.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Alumni Gymnasium,Alumni Gymnasium,Ripley Hall,Ripley Hall,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Observatory Road,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",22740.0,3751.0,40.0,554.6341463414634,845.1129733975679,101.0,201.0,575.0,41.0,1.0,,,,,,,,,,1.8
11:05:2013,62400.0,12000.0,0.0,1200.0,16634.0,0.0,0.0,5.0,0.0,0.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,0,Alumni Gymnasium,Alumni Gymnasium,Rollins Chapel,Dartmouth College",14049.0,2283.0,30.0,390.25,542.7023585723578,96.0,156.5,380.5,36.0,,1670.0,1200.0,470.0,835.0,516.1879502661797,652.5,835.0,1017.5,2.0,
12:04:2013,86400.0,0.0,1200.0,0.0,0.0,0.0,0.0,4.0,1.0,6000.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Observatory Road,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",12135.0,4358.0,70.0,551.5909090909091,1034.9418046252836,116.0,176.5,242.0,22.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,2.5
12:05:2013,81601.0,4799.0,0.0,0.0,13200.0,0.0,0.0,-1.0,0.0,0.0,11.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College",5022.0,2189.0,60.0,313.875,515.8898945834599,96.0,146.0,304.75,16.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
13:04:2013,84000.0,0.0,0.0,0.0,13200.0,0.0,0.0,5.0,0.0,0.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Middle Fayerweather Hall,Ripley Hall,Ripley Hall,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College",4853.0,726.0,41.0,173.32142857142858,168.55509124042734,78.5,121.0,157.0,28.0,1.0,,,,,,,,,,1.0
13:05:2013,63599.0,0.0,0.0,1201.0,2400.0,0.0,0.0,0.0,1.0,7800.0,11.0,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College",16487.0,3761.0,31.0,374.70454545454544,656.4579931138354,88.5,141.0,354.75,44.0,,1201.0,1201.0,1201.0,1201.0,,1201.0,1201.0,1201.0,1.0,
14:04:2013,87600.0,1200.0,0.0,0.0,7200.0,0.0,0.0,-1.0,0.0,0.0,11.0,"Dartmouth College,Sudikoff Hall,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College",8776.0,1039.0,40.0,258.11764705882354,233.2809159355957,100.0,146.0,393.75,34.0,,,,,,,,,,,1.0
14:05:2013,84000.0,0.0,0.0,0.0,1200.0,0.0,0.0,1.0,1.0,10500.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College",15619.0,3934.0,60.0,822.0526315789474,1152.641674766862,156.0,312.0,706.0,19.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
15:04:2013,62400.0,1200.0,1200.0,0.0,1200.0,0.0,0.0,0.0,1.0,7800.0,11.0,"Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Observatory Road,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College",20380.0,4468.0,50.0,497.0731707317073,1038.7590045396455,101.0,171.0,302.0,41.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,1.5
15:05:2013,85200.0,0.0,0.0,0.0,1200.0,0.0,0.0,2.0,1.0,14400.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College",12551.0,5660.0,61.0,392.21875,982.819634763066,101.0,151.0,297.0,32.0,0.0,,,,,,,,,,3.0
16:04:2013,62401.0,21599.0,1200.0,0.0,0.0,0.0,0.0,1.0,0.0,10500.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,Ripley Hall,Observatory Road,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",28231.0,5567.0,71.0,613.7173913043479,965.9953453544052,131.0,303.0,629.75,46.0,1.0,,,,,,,,,,1.0
16:05:2013,85914.0,1199.0,0.0,0.0,1200.0,0.0,0.0,3.0,1.0,6900.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Remsen Medical Sciences Building,Dartmouth College,Dartmouth College",17102.0,3166.0,90.0,900.1052631578947,861.9598401792693,221.5,706.0,1442.0,19.0,,1176.0,1176.0,1176.0,1176.0,,1176.0,1176.0,1176.0,1.0,
17:04:2013,76941.0,3600.0,0.0,0.0,1200.0,0.0,5859.0,2.0,1.0,14400.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Ripley Hall,Dartmouth Row Parking Lot,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Ripley Hall,Ripley Hall,Dartmouth College",16234.0,3178.0,40.0,773.047619047619,946.7580723812432,191.0,393.0,978.0,21.0,1.0,,,,,,,,,,1.6666666666666667
17:05:2013,84000.0,0.0,0.0,0.0,1200.0,0.0,0.0,4.0,1.0,6000.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,North Fayerweather Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",10946.0,2471.0,40.0,312.74285714285713,433.2827050794993,96.0,182.0,317.5,35.0,1.0,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,1.0
18:04:2013,74403.0,2398.0,0.0,0.0,3600.0,0.0,4799.0,3.0,1.0,6900.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Dartmouth College,Ripley Hall,Ripley Hall,Steele Hall,0,0,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",16667.0,2995.0,70.0,641.0384615384615,808.053487376633,163.5,257.5,811.75,26.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,2.5
18:05:2013,78000.0,0.0,0.0,0.0,13200.0,0.0,0.0,5.0,0.0,0.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Woodward Hall,Ripley Hall,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College",6373.0,1372.0,50.0,303.4761904761905,362.37282169716025,101.0,151.0,282.0,21.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,2.0
19:04:2013,85200.0,0.0,0.0,1200.0,1200.0,0.0,0.0,4.0,1.0,6000.0,11.0,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,The Church of Christ at Dartmouth College,Dartmouth College",20740.0,2833.0,40.0,715.1724137931035,831.6042615230223,131.0,332.0,1311.0,29.0,,,,,,,,,,,
19:05:2013,63603.0,0.0,0.0,0.0,17997.0,0.0,0.0,-1.0,0.0,0.0,11.0,"Dartmouth College,Ripley Hall,Ripley Hall,Alumni Gymnasium,Alumni Gymnasium,Ripley Hall,Ripley Hall,0,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College",19202.0,2481.0,70.0,640.0666666666667,619.4428494043344,153.5,469.0,849.5,30.0,,,,,,,,,,,
20:04:2013,64802.0,11999.0,0.0,0.0,14399.0,0.0,0.0,5.0,0.0,0.0,11.0,"Dartmouth College,Sudikoff Hall,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College",9854.0,1525.0,40.0,240.34146341463412,273.5510564552893,80.0,141.0,333.0,41.0,1.0,,,,,,,,,,2.5
20:05:2013,87210.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,1.0,7800.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College",12969.0,1525.0,60.0,370.54285714285714,350.2171883154747,111.0,232.0,539.5,35.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
21:04:2013,79205.0,10795.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,11.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Ripley Hall,Dartmouth College,Bartlett Hall,Dartmouth College",10014.0,1956.0,61.0,385.1538461538461,419.59587150568507,123.5,262.5,410.75,26.0,2.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,4.0
22:04:2013,70770.0,0.0,2430.0,0.0,4800.0,0.0,0.0,0.0,1.0,7800.0,11.0,"Dartmouth College,Ripley Hall,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Observatory Road,Ripley Hall,Ripley Hall,Dartmouth College,Hanover Park,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",15943.0,4004.0,50.0,468.9117647058824,937.858630157247,73.25,116.0,320.5,34.0,2.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,4.0
22:05:2013,92614.0,2399.0,0.0,0.0,1200.0,0.0,0.0,2.0,1.0,14400.0,11.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",23665.0,2117.0,30.0,415.1754385964912,389.64173667279726,202.0,312.0,443.0,57.0,,2400.0,2400.0,2400.0,2400.0,,2400.0,2400.0,2400.0,1.0,
23:04:2013,82800.0,0.0,1200.0,0.0,1200.0,0.0,0.0,1.0,1.0,10500.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Observatory Road,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College",20822.0,1937.0,70.0,452.6521739130435,448.5792494032343,126.0,333.0,519.0,46.0,1.0,,,,,,,,,,1.6666666666666667
23:05:2013,76801.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College",19300.0,3479.0,50.0,428.8888888888889,621.2456775859224,202.0,232.0,403.0,45.0,2.0,1202.0,1200.0,1.0,400.6666666666667,692.2429727583612,1.0,1.0,600.5,3.0,4.0
24:04:2013,91205.0,7198.0,0.0,0.0,3600.0,0.0,1197.0,2.0,1.0,14400.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Ripley Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall,Dartmouth Row Parking Lot,Dartmouth College",13725.0,2996.0,50.0,305.0,456.3621966656031,81.0,174.0,352.0,45.0,1.0,,,,,,,,,,2.5
24:05:2013,92399.0,0.0,0.0,0.0,1200.0,0.0,0.0,4.0,1.0,6000.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",25231.0,5243.0,70.0,350.43055555555554,614.241220368421,172.0,221.5,393.0,72.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
25:04:2013,66000.0,0.0,0.0,0.0,3600.0,0.0,0.0,3.0,1.0,6900.0,11.0,"Dartmouth College,Hopkins Center for the Arts,Alumni Gymnasium,Alumni Gymnasium,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",18965.0,3805.0,71.0,729.4230769230769,1057.051377108111,226.25,308.0,510.0,26.0,1.0,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,2.5
25:05:2013,70799.0,0.0,0.0,0.0,12001.0,0.0,0.0,5.0,0.0,0.0,11.0,"Ripley Hall,Ripley Hall,Smith Hall,Ripley Hall,Ripley Hall,Alumni Gymnasium,Dartmouth College",29177.0,6908.0,50.0,648.3777777777777,1084.8601981338193,151.0,333.0,710.0,45.0,,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,
