,home_time,school_time,working,orthers,travel_time,recreational_activities,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
05:05:2013,88203.0,0.0,0.0,1201.0,1197.0,0.0,0.0,-1,0.0,0.0,13,"0,Pulsifer Building,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",5630,1735.0,81.0,511.8181818181818,554.7954250319334,166.0,293.0,550.0,11.0,,3145.0,548.0,500.0,524.1666666666666,25.031313722349186,502.0,524.0,546.75,6.0,
06:04:2013,16800.0,19208.0,0.0,10800.0,0.0,44392.0,0.0,5,0.0,0.0,13,"Haldeman Center,Sonesta Select,Newport State Airport,Newport State Airport,Sonesta Select,Sonesta Select,0",23932,3731.0,60.0,725.2121212121212,883.7714197395642,151.0,273.0,848.0,33.0,0.0,59019.0,59019.0,59019.0,59019.0,,59019.0,59019.0,59019.0,1.0,3.0
06:05:2013,58201.0,14999.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10500.0,13,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dartmouth College,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Haldeman Center",17016,3804.0,40.0,567.2,923.4602618263624,164.25,262.0,518.75,30.0,,6139.0,1200.0,506.0,613.9,207.9703237376803,537.25,539.0,585.25,10.0,
07:04:2013,60222.0,0.0,0.0,4800.0,16797.0,0.0,0.0,-1,0.0,0.0,13,"Newport State Airport,0,0,0,0,0,0,0,0,Hanover Street",19658,2653.0,50.0,634.1290322580645,611.2039344297169,181.5,444.0,877.0,31.0,,103940.0,95673.0,1135.0,14848.57142857143,35642.73802079531,1200.0,1204.0,1764.0,7.0,
08:04:2013,7218.0,0.0,0.0,26988.0,3600.0,48268.0,0.0,0,1.0,10500.0,13,"Patrick Leahy Burlington International Airport,Langley Inn,Langley Inn,0,0,0,0,0,Commissary,0",15636,3268.0,66.0,868.6666666666666,945.4067285316628,252.25,474.5,1178.25,18.0,,87353.0,87353.0,87353.0,87353.0,,87353.0,87353.0,87353.0,1.0,
08:05:2013,67799.0,8406.0,0.0,600.0,1795.0,0.0,0.0,2,0.0,10500.0,13,"Dartmouth College,Parker House,Dana Circle Parking Lot,Dartmouth College,Peaney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bildner Hall,Bildner Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Parking Lot,Sudikoff Hall,Sudikoff Hall,Haldeman Center",25769,4998.0,40.0,780.8787878787879,1149.423898023912,121.0,333.0,858.0,33.0,1.0,8153.0,1800.0,1.0,679.4166666666666,439.1621068131973,581.75,600.0,603.0,12.0,1.0
09:04:2013,3708.0,3600.0,0.0,0.0,78845.0,0.0,0.0,1,1.0,6600.0,13,"0,0,0,0,0,Sudikoff Hall",21177,4881.0,30.0,705.9,1183.1811692679803,93.5,246.5,756.0,30.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,1.0
09:05:2013,91802.0,601.0,0.0,1199.0,1198.0,0.0,0.0,3,1.0,13500.0,13,"Haldeman Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,0,0,0,0,0",18920,5489.0,30.0,727.6923076923077,1100.504530448858,164.5,328.0,883.0,26.0,,10271.0,605.0,489.0,570.6111111111111,42.77869025425254,527.0,598.0,600.0,18.0,
10:04:2013,68401.0,8401.0,0.0,0.0,10799.0,0.0,0.0,2,0.0,10500.0,13,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Haldeman Center",24758,4608.0,40.0,1178.952380952381,1328.0363502626906,121.0,675.0,1715.0,21.0,1.0,35904.0,14399.0,1132.0,3989.3333333333335,5570.0619161729255,1164.0,1200.0,1267.0,9.0,4.0
10:05:2013,64833.0,8400.0,0.0,0.0,3004.0,0.0,1763.0,4,0.0,3000.0,13,"Dartmouth College,Dartmouth College,Dewey Parking Lot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sunless Beauty Spray Tans,Dartmouth College,Vail,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Parking Lot,Sudikoff Hall,Sudikoff Hall,Haldeman Center",21302,4700.0,50.0,1183.4444444444443,1386.1102248939494,378.0,449.0,1447.25,18.0,,5191.0,1200.0,586.0,741.5714285714286,259.84345103854173,587.5,600.0,815.0,7.0,
11:04:2013,67202.0,5930.0,0.0,0.0,12067.0,0.0,0.0,3,1.0,13500.0,13,"Haldeman Center,Dewey Parking Lot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anonymous Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse",15098,4318.0,70.0,1677.5555555555557,1433.0279228883776,678.0,1372.0,2269.0,9.0,1.0,6298.0,2403.0,1127.0,1574.5,585.0814758077146,1181.75,1384.0,1776.75,4.0,1.0
11:05:2013,85842.0,600.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,13,"Haldeman Center,Thomas Hall,0,0,0,0,0,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",18515,2653.0,71.0,578.59375,543.2577276664869,221.75,399.0,728.75,32.0,,14257.0,4800.0,490.0,1296.090909090909,1472.40778689502,578.5,613.0,924.0,11.0,
12:04:2013,79202.0,7200.0,0.0,0.0,1198.0,0.0,0.0,4,0.0,3000.0,13,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Sudikoff Hall,Sudikoff Hall,Haldeman Center",28489,4086.0,60.0,1055.148148148148,1200.635591410576,131.0,393.0,1618.0,27.0,,6039.0,2465.0,1163.0,1509.75,637.1485305641064,1194.5,1205.5,1520.75,4.0,
12:05:2013,84610.0,0.0,1200.0,0.0,2392.0,0.0,0.0,-1,0.0,0.0,13,"Stonecliff Animal Clinic,0,0,0,0,0,Dartmouth College",16097,2411.0,60.0,435.05405405405406,572.3912776892872,131.0,212.0,383.0,37.0,,5885.0,1201.0,539.0,653.8888888888889,206.4518372674632,570.0,600.0,602.0,9.0,
13:04:2013,80261.0,4803.0,0.0,1197.0,0.0,0.0,0.0,5,0.0,0.0,13,"Haldeman Center,Shaw's,0,0,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,0,0,0,0,0,0",10633,3232.0,40.0,664.5625,830.1556455468657,146.75,434.0,681.0,16.0,0.0,10769.0,1391.0,1087.0,1196.5555555555557,87.49587291854272,1200.0,1200.0,1200.0,9.0,
13:05:2013,72001.0,3600.0,600.0,0.0,8397.0,0.0,0.0,0,1.0,10500.0,13,"Dartmouth College,0,0,0,0,0,0,0,Stonecliff Animal Clinic,0,Bildner Hall,Bildner Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College",31106,5562.0,50.0,723.3953488372093,1202.25492779461,151.5,414.0,651.0,43.0,,8917.0,2293.0,587.0,891.7,630.5306495325981,597.5,600.0,600.0,10.0,
14:04:2013,130800.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,13,"0,0,0,0,0,0,0,0,0,0,0",4539,2028.0,80.0,648.4285714285714,734.2272257602676,86.0,282.0,988.5,7.0,,8424.0,1313.0,1106.0,1203.428571428571,59.90230141059452,1200.5,1201.0,1201.5,7.0,3.0
14:05:2013,84000.0,3600.0,0.0,0.0,0.0,0.0,0.0,1,1.0,6600.0,13,"Dartmouth College,Dartmouth College,0,0,0,0,Dartmouth College,Moore Psychology Building,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Haldeman Center",30325,3278.0,30.0,739.6341463414634,867.1105972163401,101.0,354.0,978.0,41.0,,16083.0,7200.0,480.0,2010.375,2554.320817611937,573.75,642.0,2100.0,8.0,
15:04:2013,33600.0,7134.0,0.0,0.0,1200.0,0.0,0.0,0,1.0,10500.0,13,"0,0,0,0,0,0,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,0,Sudikoff Hall,Sudikoff Hall,Haldeman Center",18592,5960.0,61.0,774.6666666666666,1427.5779935037638,131.0,257.5,562.5,24.0,1.0,4752.0,1200.0,1152.0,1188.0,24.0,1188.0,1200.0,1200.0,4.0,1.0
15:05:2013,17404.0,68996.0,0.0,0.0,0.0,0.0,0.0,2,0.0,10500.0,13,"Dartmouth College,Dartmouth College,Dartmouth College,Vail,0,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College",17187,3258.0,60.0,818.4285714285714,1016.1431282761582,121.0,333.0,1069.0,21.0,,5677.0,600.0,495.0,567.7,46.953996398366115,521.75,600.0,600.0,10.0,
16:04:2013,84000.0,1266.0,0.0,0.0,0.0,0.0,0.0,1,1.0,6600.0,13,"Haldeman Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dartmouth College,Dartmouth College",16625,4791.0,210.0,1511.3636363636365,1366.3305070682768,763.0,1041.0,1397.0,11.0,1.0,5885.0,1204.0,1088.0,1177.0,49.879855653359705,1194.0,1199.0,1200.0,5.0,1.0
16:05:2013,87000.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,13500.0,13,"Dartmouth College,0,0,0,Dartmouth College,Dartmouth College,Dartmouth College",21294,6395.0,50.0,417.52941176470586,912.2280494030244,95.5,181.0,384.0,51.0,,26293.0,11986.0,498.0,2390.2727272727275,3944.7280030671086,600.0,602.0,900.5,11.0,
17:04:2013,74400.0,13200.0,0.0,0.0,0.0,0.0,0.0,2,0.0,10500.0,13,"Haldeman Center,Haldeman Center,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Haldeman Center",15759,3702.0,50.0,875.5,1038.6946700773326,221.25,423.0,1154.75,18.0,,4749.0,1200.0,1149.0,1187.25,25.5,1187.25,1200.0,1200.0,4.0,
17:05:2013,78004.0,5399.0,0.0,0.0,597.0,600.0,0.0,4,0.0,3000.0,13,"Dartmouth College,Dartmouth College,Dartmouth College,Winfred-Raven House,Thomas Hall,Thomas Hall,Dartmouth College,0,0,0,0,Berry Library,Sudikoff Hall,Sudikoff Hall,Dartmouth College",21505,4105.0,60.0,448.0208333333333,735.7476582212232,108.5,236.5,375.5,48.0,,5211.0,1190.0,581.0,744.4285714285714,256.635186690405,599.5,600.0,820.5,7.0,
18:04:2013,78000.0,3600.0,0.0,3600.0,0.0,0.0,0.0,3,1.0,13500.0,13,"Haldeman Center,0,0,0,0,Pulsifer Building,Pulsifer Building,0,0,0,0,0,0,0,0,0,Dartmouth College,Dartmouth College,Bildner Hall,Bildner Hall,Life Sciences Greenhouse,Life Sciences Greenhouse",14241,4054.0,30.0,527.4444444444445,790.3055559686214,146.5,242.0,585.0,27.0,,7411.0,1399.0,1195.0,1235.1666666666667,80.37765029326664,1201.25,1205.5,1206.0,6.0,
18:05:2013,90002.0,0.0,0.0,598.0,0.0,0.0,0.0,5,0.0,0.0,13,"Dartmouth College,0,0,0,0,0,0,0",16176,5618.0,40.0,735.2727272727273,1286.2990906664556,90.25,256.5,516.5,22.0,,7795.0,5395.0,600.0,1559.0,2144.3891904222983,600.0,600.0,600.0,5.0,
19:04:2013,80400.0,6999.0,0.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,13,"Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,0,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Haldeman Center",24735,3984.0,60.0,1075.4347826086955,1077.985487593618,371.5,675.0,1368.0,23.0,2.0,5970.0,1200.0,1170.0,1194.0,13.41640786499874,1200.0,1200.0,1200.0,5.0,5.0
19:05:2013,87599.0,0.0,0.0,1200.0,0.0,0.0,1201.0,-1,0.0,0.0,13,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",30107,4631.0,50.0,860.2,1279.4328660869744,126.0,332.0,842.5,35.0,,5584.0,2033.0,561.0,797.7142857142857,544.8864451381022,596.5,598.0,599.5,7.0,
20:04:2013,121200.0,2601.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,13,"Haldeman Center,Parker House,Bildner Hall,0,0,0,0,Dartmouth College,0,0,0,0,0,0,0",11503,1815.0,70.0,396.6551724137931,447.4445916105996,91.0,202.0,504.0,29.0,,10650.0,2399.0,1105.0,1331.25,432.66805157897073,1179.5,1199.0,1200.0,8.0,
20:05:2013,69833.0,5403.0,0.0,4197.0,0.0,0.0,0.0,0,1.0,10500.0,13,"0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,0",20898,3954.0,61.0,653.0625,746.6275548391991,214.25,373.0,834.5,32.0,,11379.0,1200.0,501.0,632.1666666666666,145.23338216166988,600.0,600.0,600.0,18.0,
21:04:2013,84000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,13,"0,0,0,0,0,0,0,0",9096,2037.0,60.0,395.4782608695652,465.4383925217188,90.5,222.0,448.5,23.0,,21596.0,6002.0,1193.0,3085.1428571428573,2176.785124028202,1202.0,2391.0,4803.0,7.0,
22:04:2013,42001.0,9599.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10500.0,13,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Haldeman Center",17414,3994.0,70.0,1088.375,1451.8673894907436,136.0,530.0,908.25,16.0,,14252.0,6054.0,1101.0,1781.5,1727.462052508576,1115.0,1192.0,1224.75,8.0,
22:05:2013,59406.0,7799.0,0.0,17996.0,1799.0,600.0,0.0,2,0.0,10500.0,13,"Bildner Hall,Sudikoff Hall,Sudikoff Hall,Winfred-Raven House,Dartmouth College,Dartmouth College,Goldstein Hall,Byrne II Hall,0,0,0,0,0,0,Berry Library,Sudikoff Hall,Sudikoff Hall,0",21453,3520.0,70.0,579.8108108108108,659.303581981179,161.0,393.0,767.0,37.0,,10084.0,1202.0,493.0,775.6923076923077,281.0712793982411,600.0,601.0,1100.0,13.0,
23:04:2013,81600.0,3600.0,0.0,0.0,0.0,0.0,0.0,1,1.0,6600.0,13,"Haldeman Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dartmouth College,Dartmouth College",20973,3590.0,60.0,838.92,846.1942212045649,212.0,625.0,1392.0,25.0,,2923.0,1204.0,524.0,974.3333333333334,390.02606750489554,859.5,1195.0,1199.5,3.0,
23:05:2013,20400.0,0.0,0.0,0.0,2400.0,64800.0,0.0,3,1.0,13500.0,13,"0,0,0,Berry Library,0",9370,2380.0,60.0,446.1904761904762,589.0780609603128,120.0,181.0,426.0,21.0,1.0,6554.0,1200.0,572.0,655.4,192.0140041189126,581.25,600.0,613.75,10.0,2.0
24:04:2013,86400.0,3600.0,0.0,0.0,0.0,0.0,0.0,2,1.0,10500.0,13,"Haldeman Center,Haldeman Center,Dartmouth College,Dartmouth College,Thomas Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",5604,1101.0,50.0,266.85714285714283,252.33812349985595,131.0,202.0,232.0,21.0,,4685.0,1200.0,1130.0,1171.25,34.73110997362451,1148.75,1177.5,1200.0,4.0,
24:05:2013,80999.0,4200.0,0.0,0.0,0.0,1201.0,0.0,4,0.0,3000.0,13,"Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Berry Library,Dartmouth College",32726,3319.0,61.0,909.0555555555557,839.5195205573397,312.0,524.5,1552.75,36.0,,7024.0,1200.0,1.0,638.5454545454545,327.92815177607537,541.5,600.0,617.0,11.0,
25:04:2013,75642.0,5961.0,0.0,0.0,1197.0,0.0,0.0,3,1.0,13500.0,13,"Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G Lot Parking,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse",11009,1786.0,70.0,524.2380952380952,553.7167059753484,101.0,282.0,877.0,21.0,1.0,7187.0,1206.0,1178.0,1197.8333333333333,10.00832986400162,1200.0,1200.0,1202.25,6.0,1.0
25:05:2013,52244.0,9603.0,0.0,19797.0,0.0,6000.0,0.0,5,0.0,0.0,13,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Mobil,0,Pulsifer Building,Pulsifer Building,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library",22362,4982.0,61.0,677.6363636363636,979.5962120365532,131.0,353.0,748.0,33.0,,7728.0,603.0,559.0,594.4615384615385,14.133974344437972,598.0,600.0,600.0,13.0,
26:04:2013,72003.0,14400.0,0.0,0.0,0.0,1200.0,0.0,4,0.0,3000.0,13,"Dartmouth College,Carson Hall,Dartmouth College,Dartmouth College,0,0,0,Life Sciences Greenhouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Berry Library,Sudikoff Hall,Sudikoff Hall,Haldeman Center",21592,3570.0,71.0,830.4615384615385,1067.4059108237775,121.0,232.0,1381.5,26.0,,10991.0,2497.0,1199.0,1570.142857142857,603.0413000150235,1201.5,1205.0,1843.5,7.0,
26:05:2013,60599.0,0.0,0.0,0.0,15000.0,600.0,8402.0,-1,0.0,0.0,13,"Berry Library,Dartmouth College,Dartmouth College,Maynard Parking Lot,0,0,0,0,0,0,0,0,Dartmouth College,Dartmouth College",38966,10866.0,60.0,1217.6875,2122.5452985401366,196.0,413.0,1477.5,32.0,,2918.0,605.0,553.0,583.6,25.37321422287685,559.0,599.0,602.0,5.0,
27:03:2013,33600.0,13200.0,0.0,0.0,0.0,0.0,0.0,2,0.0,10500.0,13,"0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall",21151,4104.0,40.0,622.0882352941177,940.6662811989544,112.75,232.0,491.5,34.0,2.0,29919.0,4800.0,1198.0,1994.6,1253.6050186789869,1200.0,1203.0,2952.5,15.0,
27:04:2013,78496.0,1192.0,0.0,0.0,15597.0,5999.0,0.0,5,0.0,0.0,13,"Haldeman Center,Dartmouth College,Dartmouth College,G Lot Parking,0,0,Hanover Inn Dartmouth,0,Dartmouth College,Berry Sports Center Parking Lot,0,0,0,0,0,0,0,0,0,0",10759,5326.0,50.0,489.04545454545456,1131.986011913942,81.0,166.5,314.5,22.0,,24705.0,8403.0,1094.0,4117.5,3551.837200661089,1183.25,2816.0,7406.75,6.0,
27:05:2013,14402.0,68826.0,0.0,0.0,0.0,31800.0,0.0,0,0.0,10500.0,13,"Dartmouth College,Kemeny Hall,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Bildner Hall,Bildner Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Winfred-Raven House,Dartmouth College,Dartmouth College,Black Family Visual Arts Center",18587,3946.0,70.0,640.9310344827586,855.2759759714355,151.0,222.0,857.0,29.0,,31346.0,27432.0,600.0,6269.2,11832.952999991168,915.0,1199.0,1200.0,5.0,
28:03:2013,78000.0,8402.0,0.0,0.0,0.0,0.0,0.0,3,1.0,13500.0,13,"Haldeman Center,Haldeman Center,0,0,0,0,0,0,Class of 1978 Life Sciences Center",20857,3180.0,60.0,651.78125,755.3668083262381,141.0,342.5,890.75,32.0,2.0,23632.0,3582.0,1142.0,1688.0,862.5433768356678,1200.0,1200.0,2100.5,14.0,3.6666666666666665
28:04:2013,116403.0,0.0,0.0,3597.0,0.0,0.0,0.0,-1,0.0,0.0,13,"0,Interchange Drive,Interchange Drive,0,0,0,0,0,0,0,0,0,0,0,0,0,0",10610,1917.0,60.0,408.0769230769231,489.534303033152,95.75,267.5,409.0,26.0,,9583.0,3599.0,1189.0,2395.75,1387.0922523994814,1197.25,2397.5,3596.0,4.0,
28:05:2013,53403.0,3600.0,0.0,0.0,1197.0,0.0,0.0,1,1.0,6600.0,13,"0,0,0,0,0,Dartmouth College,Bildner Hall,Bildner Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College",18841,3237.0,61.0,607.7741935483871,845.793107470829,126.0,272.0,484.0,31.0,,7059.0,601.0,499.0,588.25,29.772241494996035,598.25,600.0,600.0,12.0,
29:03:2013,17999.0,8401.0,0.0,0.0,0.0,59999.0,0.0,4,0.0,3000.0,13,"Dartmouth College,Berry Library,0,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Haldeman Center",30043,4336.0,71.0,811.972972972973,1069.0493307006332,202.0,413.0,762.0,37.0,1.0,32407.0,6000.0,1119.0,2492.846153846154,1557.014763693323,1200.0,2083.0,3599.0,13.0,1.0
29:04:2013,30000.0,8400.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10500.0,13,"0,0,0,0,0,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Haldeman Center",18257,3803.0,60.0,676.1851851851852,1020.3018421049964,111.0,243.0,544.5,27.0,0.0,8372.0,1211.0,1162.0,1196.0,16.34013463836819,1195.0,1200.0,1204.5,7.0,3.0
29:05:2013,70805.0,7794.0,0.0,5401.0,0.0,1200.0,0.0,2,0.0,10500.0,13,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,0,0,0,0,Jiffy Mart,Dartmouth College,Dartmouth College,Moore Psychology Building,Life Sciences Greenhouse,Life Sciences Greenhouse,Guarini Institute for International Education,Dartmouth College,Dartmouth College,0,0,Haldeman Center",19673,3867.0,70.0,786.92,1015.4851024674527,131.0,282.0,1028.0,25.0,,7802.0,3000.0,1.0,866.8888888888889,854.3224573374573,600.0,600.0,600.0,9.0,
