,home_time,recreational_activities,school_time,travel_time,orthers,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
08:05:2013,100800.0,3600.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,11700.0,23.0,"North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall",,,,,,,,,,,1706.0,1200.0,506.0,853.0,490.732106143464,679.5,853.0,1026.5,2.0,
09:04:2013,76799.0,0.0,8401.0,0.0,0.0,0.0,0.0,1.0,0.0,3900.0,23.0,"Haldeman Center,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons",,,,,,,,,,,4718.0,1241.0,1135.0,1179.5,50.29579173913724,1140.25,1171.0,1210.25,4.0,4.0
09:05:2013,62400.0,1200.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7800.0,23.0,"North Massachusetts Hall,Berry Library,Dartmouth College,Dartmouth College,North Massachusetts Hall",,,,,,,,,,,2367.0,1238.0,1129.0,1183.5,77.07463914933368,1156.25,1183.5,1210.75,2.0,
10:04:2013,57601.0,8400.0,21599.0,0.0,0.0,0.0,0.0,2.0,0.0,11700.0,23.0,"Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Haldeman Center",,,,,,,,,,,8369.0,3600.0,1119.0,2092.25,1158.24878588324,1217.25,1825.0,2700.0,4.0,4.0
10:05:2013,89103.0,2400.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,9000.0,23.0,"North Massachusetts Hall,Dartmouth College,Alumni Gymnasium,North Massachusetts Hall",24832.0,1544.0,41.0,250.8282828282828,209.2922007968003,161.0,192.0,262.0,99.0,,314.0,313.0,1.0,157.0,220.6173157302028,79.0,157.0,235.0,2.0,
11:04:2013,73202.0,3599.0,6000.0,0.0,1199.0,1200.0,0.0,3.0,0.0,7800.0,23.0,"Haldeman Center,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Coldwell Banker,Sigma Delta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College",,,,,,,,,,,1197.0,1197.0,1197.0,1197.0,,1197.0,1197.0,1197.0,1.0,2.5
11:05:2013,156128.0,1199.0,0.0,0.0,0.0,11998.0,0.0,5.0,0.0,0.0,23.0,"North Massachusetts Hall,Hopkins Center for the Arts,Dartmouth College,Bones Gate,North Massachusetts Hall,North Massachusetts Hall,Goldstein Hall,Goldstein Hall,Zeta Psi,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall",17586.0,5730.0,60.0,1465.5,1925.611189868156,136.0,343.0,2613.5,12.0,,,,,,,,,,,
12:04:2013,67200.0,8400.0,12000.0,0.0,0.0,0.0,0.0,4.0,0.0,9000.0,23.0,"Class of 1953 Commons,Class of 1953 Commons,Collis Student Center,Collis Student Center,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Collis Student Center,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Haldeman Center",,,,,,,,,,,1173.0,1173.0,1173.0,1173.0,,1173.0,1173.0,1173.0,1.0,2.5
13:04:2013,64800.0,8400.0,9600.0,0.0,2400.0,0.0,0.0,5.0,0.0,0.0,23.0,"Haldeman Center,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,0,Brace Commons,Brace Commons,Collis Student Center,Dartmouth College,Dartmouth College,North Massachusetts Hall,Dartmouth College,Class of 1953 Commons",,,,,,,,,,,,,,,,,,,,2.5
13:05:2013,98402.0,3599.0,0.0,3600.0,0.0,0.0,0.0,0.0,1.0,11700.0,23.0,"North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,Six South Street,South Block Parking Garage,South Block Parking Garage,North Massachusetts Hall",,,,,,,,,,,,,,,,,,,,
14:04:2013,82800.0,0.0,3600.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,23.0,"Class of 1953 Commons,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall",,,,,,,,,,,,,,,,,,,,1.5
14:05:2013,57600.0,0.0,3601.0,0.0,0.0,0.0,0.0,1.0,0.0,3900.0,23.0,"North Massachusetts Hall,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons",,,,,,,,,,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
15:04:2013,79198.0,2402.0,6000.0,0.0,0.0,0.0,0.0,0.0,1.0,11700.0,23.0,"North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,0,North Massachusetts Hall,North Massachusetts Hall,Collis Student Center,North Massachusetts Hall,North Massachusetts Hall,Haldeman Center",,,,,,,,,,,,,,,,,,,,1.0
15:05:2013,85600.0,2400.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,11700.0,23.0,"Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College",12599.0,1997.0,61.0,449.9642857142857,547.7644453285898,131.0,201.0,499.0,28.0,,3378.0,2292.0,1.0,1126.0,1146.0501734217398,543.0,1085.0,1688.5,3.0,
16:04:2013,85200.0,0.0,6000.0,0.0,0.0,0.0,0.0,1.0,0.0,3900.0,23.0,"Haldeman Center,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall",5661.0,2572.0,638.0,1415.25,820.2314205962446,1044.5,1225.5,1596.25,4.0,1.0,2841.0,1195.0,518.0,947.0,373.0321701944753,823.0,1128.0,1161.5,3.0,1.0
16:05:2013,84000.0,0.0,2400.0,0.0,0.0,0.0,0.0,3.0,1.0,7800.0,23.0,"Dartmouth College,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons",23398.0,3359.0,60.0,324.97222222222223,487.0617559890171,131.0,176.5,280.5,72.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,1.0
17:04:2013,70801.0,6000.0,3599.0,0.0,0.0,0.0,0.0,2.0,1.0,11700.0,23.0,"North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Topliff Hall,Collis Student Center,Collis Student Center,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons",19604.0,4187.0,70.0,1225.25,1313.0410250001078,95.0,660.5,2405.0,16.0,1.0,1152.0,1152.0,1152.0,1152.0,,1152.0,1152.0,1152.0,1.0,1.0
17:05:2013,82141.0,7199.0,1200.0,0.0,0.0,0.0,0.0,4.0,1.0,9000.0,23.0,"Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Berry Library,Berry Library,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall",24041.0,4448.0,51.0,829.0,1095.4209236635934,182.0,423.0,1150.0,29.0,,3567.0,1221.0,1.0,891.75,594.6973319821325,859.0,1172.5,1205.25,4.0,
18:04:2013,78000.0,0.0,9600.0,0.0,0.0,0.0,0.0,3.0,0.0,7800.0,23.0,"Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Middle Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Life Sciences Greenhouse",17882.0,2987.0,50.0,812.8181818181819,838.6533216647949,161.25,509.0,1323.75,22.0,1.0,4799.0,3599.0,1200.0,2399.5,1696.3491680665277,1799.75,2399.5,2999.25,2.0,1.0
18:05:2013,80610.0,0.0,1199.0,8343.0,0.0,0.0,0.0,5.0,0.0,0.0,23.0,"North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,Dartmouth College,Dartmouth College,South Block Parking Garage,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,North Massachusetts Hall",12917.0,1731.0,40.0,369.0571428571429,418.24978062348896,90.5,231.0,413.5,35.0,,4698.0,1206.0,1147.0,1174.5,30.881493918958434,1148.5,1172.5,1198.5,4.0,
19:04:2013,26305.0,8496.0,6000.0,0.0,0.0,0.0,44943.0,4.0,1.0,9000.0,23.0,"Class of 1953 Commons,Class of 1953 Commons,Collis Student Center,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,Wheeler Hall,0,Dartmouth College,Wheeler Hall,Wheeler Hall,Observatory Road,North Massachusetts Hall,Class of 1953 Commons",13867.0,3208.0,40.0,385.19444444444446,586.495003970656,88.5,176.0,430.75,36.0,2.0,,,,,,,,,,4.0
19:05:2013,93517.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,23.0,"North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College",11216.0,3338.0,81.0,590.3157894736842,730.2299525668137,257.0,464.0,645.5,19.0,,,,,,,,,,,
20:04:2013,96000.0,0.0,7200.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,23.0,"Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College",19026.0,3278.0,51.0,704.6666666666666,869.4618140860738,106.0,312.0,958.0,27.0,1.0,7004.0,1208.0,1090.0,1167.3333333333333,50.14246370758687,1136.25,1194.5,1198.75,6.0,1.0
20:05:2013,92890.0,7201.0,2400.0,0.0,0.0,0.0,0.0,0.0,1.0,11700.0,23.0,"North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall",12804.0,2566.0,81.0,609.7142857142857,687.5102284953398,181.0,272.0,757.0,21.0,,42035.0,13198.0,1157.0,3821.363636363637,4432.816018576166,1196.0,2379.0,3032.5,11.0,
21:04:2013,62400.0,2400.0,4800.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,23.0,"North Massachusetts Hall,Collis Student Center,Collis Student Center,North Massachusetts Hall,North Massachusetts Hall,Berry Library,Berry Library,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Sarner Underground",14519.0,5043.0,71.0,1209.9166666666667,1446.4027766926615,156.75,786.5,1718.25,12.0,,,,,,,,,,,
22:04:2013,63600.0,2400.0,21565.0,0.0,0.0,0.0,0.0,0.0,0.0,11700.0,23.0,"North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Haldeman Center",,,,,,,,,,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
22:05:2013,97444.0,2400.0,0.0,0.0,1243.0,0.0,0.0,2.0,1.0,11700.0,23.0,"North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,North Massachusetts Hall,0,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall",12032.0,1885.0,51.0,343.77142857142854,360.25498206248363,90.5,191.0,538.0,35.0,,9449.0,2436.0,1116.0,1889.8,668.5631608157902,1205.0,2293.0,2399.0,5.0,
23:04:2013,81600.0,0.0,3635.0,0.0,0.0,0.0,0.0,1.0,0.0,3900.0,23.0,"Haldeman Center,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall",,,,,,,,,,,21447.0,4783.0,1096.0,2144.7,1361.695760603096,1195.5,1235.5,3253.75,10.0,4.0
23:05:2013,55200.0,1200.0,9600.0,3600.0,0.0,0.0,0.0,3.0,0.0,7800.0,23.0,"North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,Berry Library,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,0",7181.0,2514.0,70.0,398.94444444444446,572.6439682552196,93.5,211.5,453.75,18.0,2.0,5341.0,2310.0,633.0,1335.25,702.4772238300684,1056.75,1199.0,1477.5,4.0,4.0
24:04:2013,92400.0,1200.0,6000.0,0.0,0.0,0.0,0.0,2.0,1.0,11700.0,23.0,"Haldeman Center,Haldeman Center,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Topliff Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall",,,,,,,,,,,4727.0,2328.0,1199.0,1575.6666666666667,651.5399706336775,1199.5,1200.0,1764.0,3.0,
24:05:2013,102000.0,2400.0,1200.0,0.0,1200.0,0.0,0.0,4.0,1.0,9000.0,23.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,0,North Massachusetts Hall",14720.0,827.0,40.0,258.2456140350877,155.978968442836,181.0,231.0,273.0,57.0,,2394.0,1201.0,1193.0,1197.0,5.656854249492381,1195.0,1197.0,1199.0,2.0,
25:04:2013,68316.0,0.0,3600.0,0.0,1200.0,0.0,0.0,3.0,1.0,7800.0,23.0,"North Massachusetts Hall,0,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Collis Student Center",4083.0,1220.0,272.0,816.6,444.56698033029846,403.0,1038.0,1150.0,5.0,,242779.0,239178.0,1198.0,60694.75,118988.83335107545,1199.5,1201.5,60696.75,4.0,
25:05:2013,175176.0,0.0,4800.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,23.0,"North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall",5183.0,1281.0,60.0,345.53333333333336,333.5336493340593,116.0,242.0,403.5,15.0,,,,,,,,,,,
26:04:2013,270382.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,9000.0,23.0,North Massachusetts Hall,,,,,,,,,,,,,,,,,,,,
27:03:2013,43200.0,0.0,4800.0,0.0,0.0,0.0,0.0,2.0,1.0,11700.0,23.0,"Dartmouth College,North Massachusetts Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Haldeman Center",15823.0,3953.0,60.0,1130.2142857142858,1229.3470548704631,171.25,585.0,1703.0,14.0,1.0,7163.0,2401.0,1162.0,1790.75,704.2496598034913,1190.5,1800.0,2400.25,4.0,1.0
27:05:2013,34824.0,20349.0,1195.0,0.0,0.0,0.0,0.0,0.0,1.0,11700.0,23.0,"Berry Library,Berry Library,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Dartmouth College",39716.0,5993.0,91.0,1281.1612903225807,1276.3157941714946,323.0,817.0,1881.5,31.0,,,,,,,,,,,
28:03:2013,76802.0,1199.0,7200.0,0.0,0.0,0.0,0.0,3.0,0.0,7800.0,23.0,"Haldeman Center,Class of 1953 Commons,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,North Massachusetts Hall,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",25393.0,5053.0,61.0,906.8928571428572,1197.4968441707651,186.25,282.5,1066.5,28.0,2.0,3601.0,2400.0,1201.0,1800.5,847.8210306426705,1500.75,1800.5,2100.25,2.0,3.75
28:05:2013,34672.0,31292.0,3664.0,0.0,0.0,16744.0,0.0,1.0,0.0,3900.0,23.0,"North Massachusetts Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Berry Library,0,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,Berry Library,Berry Library,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College",32420.0,4992.0,282.0,1543.809523809524,1101.7337981131204,891.0,1382.0,1758.0,21.0,,1260.0,1260.0,1260.0,1260.0,,1260.0,1260.0,1260.0,1.0,
29:03:2013,61199.0,0.0,26400.0,0.0,0.0,0.0,0.0,4.0,0.0,9000.0,23.0,"Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,North Massachusetts Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Haldeman Center",25348.0,3400.0,20.0,649.9487179487179,820.2725461287387,126.0,424.0,605.0,39.0,1.0,6001.0,2400.0,1201.0,2000.3333333333333,692.2429727583612,1800.5,2400.0,2400.0,3.0,2.5
29:04:2013,0.0,425628.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11700.0,23.0,Red Rock Coffee,263.0,263.0,263.0,263.0,,263.0,263.0,263.0,1.0,,,,,,,,,,,
29:05:2013,151327.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,11700.0,23.0,Dartmouth College,,,,,,,,,,,,,,,,,,,,
30:03:2013,76228.0,0.0,4800.0,0.0,4172.0,0.0,0.0,5.0,0.0,0.0,23.0,"Haldeman Center,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,0,North Massachusetts Hall,North Massachusetts Hall",20323.0,3259.0,60.0,752.7037037037037,820.5152140723635,176.5,474.0,963.0,27.0,1.0,,,,,,,,,,2.0
30:05:2013,39599.0,0.0,2401.0,0.0,0.0,0.0,0.0,3.0,1.0,7800.0,23.0,"Haldeman Center,Dartmouth College,Haldeman Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall",8979.0,1402.0,60.0,309.62068965517244,323.55573750273066,91.0,151.0,475.0,29.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
31:03:2013,62400.0,10800.0,13200.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,23.0,"Class of 1953 Commons,Class of 1953 Commons,0,Baker Memorial Library,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College",6947.0,1321.0,41.0,385.94444444444446,443.75900616838817,82.5,156.0,655.75,18.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,2.25
31:05:2013,72847.0,0.0,3563.0,0.0,0.0,0.0,0.0,4.0,1.0,9000.0,23.0,"North Massachusetts Hall,Sudikoff Hall,Sudikoff Hall,Collis Student Center,North Massachusetts Hall",17323.0,2169.0,40.0,384.9555555555556,453.49716625132265,162.0,222.0,353.0,45.0,,228.0,228.0,228.0,228.0,,228.0,228.0,228.0,1.0,
