,home_time,school_time,recreational_activities,orthers,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
08:05:2013,259460.0,3594.0,0.0,0.0,0.0,2.0,1.0,10500.0,21.0,"0,0,Sudikoff Hall,0",6358.0,1563.0,51.0,397.375,467.6019496680198,81.0,186.5,581.75,16.0,,3918.0,1521.0,1196.0,1306.0,186.21224449536072,1198.5,1201.0,1361.0,3.0,
10:04:2013,141604.0,11998.0,13199.0,0.0,0.0,2.0,0.0,10500.0,21.0,"0,0,Wilder Hall,Wilder Hall,0,0,0,0,Collis Student Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Berry Library,Berry Library,0,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0",9882.0,4276.0,50.0,352.92857142857144,788.6353862760486,101.0,156.5,292.0,28.0,,1154.0,1154.0,1154.0,1154.0,,1154.0,1154.0,1154.0,1.0,
11:04:2013,4799.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,21.0,"0,Life Sciences Greenhouse,Life Sciences Greenhouse",19658.0,9311.0,61.0,854.695652173913,1978.323358870578,146.0,283.0,533.5,23.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
11:05:2013,87599.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,21.0,"0,0,0,0,Dartmouth College,Dartmouth College,0",6404.0,3650.0,61.0,711.5555555555555,1182.1769232131787,70.0,283.0,424.0,9.0,,14044.0,8148.0,4.0,2340.6666666666665,2947.322423262625,1112.0,1181.5,2125.5,6.0,
12:04:2013,103202.0,10799.0,0.0,0.0,1199.0,4.0,0.0,3000.0,21.0,"0,0,Moore Psychology Building,Winfred-Raven House,0,0,Life Sciences Greenhouse,0,0",20553.0,3026.0,30.0,411.06,482.62240321148863,136.0,277.5,509.0,50.0,,4757.0,2400.0,1157.0,1585.6666666666667,705.5610061031812,1178.5,1200.0,1800.0,3.0,2.0
12:05:2013,351193.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,21.0,"0,Dartmouth College",,,,,,,,,,,1199.0,1199.0,1199.0,1199.0,,1199.0,1199.0,1199.0,1.0,
13:04:2013,111739.0,14400.0,0.0,0.0,0.0,5.0,0.0,0.0,21.0,"0,0,0,Sarner Underground,Class of 1953 Commons,South Fairbanks,0",18444.0,2949.0,60.0,498.4864864864865,657.5367172519983,131.0,222.0,535.0,37.0,,10438.0,2399.0,1075.0,1304.75,445.8503112032109,1087.0,1196.0,1200.0,8.0,
14:04:2013,67200.0,15600.0,0.0,0.0,0.0,-1.0,0.0,0.0,21.0,"0,Sarner Underground,Class of 1953 Commons,0",16611.0,1574.0,60.0,405.1463414634146,370.8678040067383,151.0,283.0,464.0,41.0,,20276.0,4798.0,1084.0,1689.6666666666667,1087.7604459984689,1197.0,1200.0,1554.25,12.0,
15:04:2013,355909.0,0.0,0.0,0.0,0.0,0.0,1.0,3900.0,21.0,0,4294.0,1281.0,50.0,613.4285714285714,495.2106814756917,191.0,534.0,1023.5,7.0,,13197.0,2516.0,1085.0,1885.2857142857144,648.7926515936388,1256.0,2285.0,2399.5,7.0,
16:05:2013,94249.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,21.0,"0,Dartmouth College,Dartmouth College,0",1524.0,333.0,70.0,217.7142857142857,107.59602577188788,146.5,242.0,293.0,7.0,,3600.0,2400.0,1200.0,1800.0,848.5281374238571,1500.0,1800.0,2100.0,2.0,
17:05:2013,73200.0,0.0,0.0,0.0,0.0,4.0,1.0,3000.0,21.0,"0,0,0",9542.0,6082.0,61.0,1363.142857142857,2135.11431610983,120.5,1000.0,1079.0,7.0,,3501.0,1202.0,1099.0,1167.0,58.89821729050889,1149.5,1200.0,1201.0,3.0,
18:05:2013,84001.0,4799.0,0.0,0.0,0.0,5.0,0.0,0.0,21.0,"0,Dartmouth College,Dartmouth College,Parker House,Sudikoff Hall,Parker House,Parker House,0,0,Dartmouth College,Dartmouth College,0",17758.0,2693.0,40.0,572.8387096774194,559.3458141301732,171.5,363.0,741.0,31.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
19:04:2013,50102.0,0.0,0.0,0.0,0.0,4.0,1.0,3000.0,21.0,Life Sciences Greenhouse,,,,,,,,,,,,,,,,,,,,
19:05:2013,90998.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,21.0,0,5565.0,1502.0,91.0,795.0,577.8933004168388,322.5,736.0,1295.5,7.0,,,,,,,,,,,
20:04:2013,120005.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,21.0,0,6552.0,595.0,60.0,211.3548387096774,153.9747919600471,71.0,151.0,317.5,31.0,,6000.0,2400.0,1200.0,1500.0,600.0,1200.0,1200.0,1500.0,4.0,
20:05:2013,20401.0,19199.0,0.0,0.0,0.0,0.0,0.0,3900.0,21.0,"Dartmouth College,Dartmouth College,0,0,Dartmouth College,Dartmouth College,Dartmouth Hall,Hallgarten Hall,Hallgarten Hall,Topliff Hall,0",3940.0,524.0,61.0,164.16666666666666,117.38552857503596,100.0,131.0,172.0,24.0,,8360.0,1202.0,1175.0,1194.2857142857142,10.719363875937878,1191.5,1200.0,1200.0,7.0,
21:04:2013,188402.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,21.0,"0,0,0",4158.0,848.0,61.0,277.2,235.90803292808823,81.0,212.0,408.5,15.0,,6000.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,5.0,
24:04:2013,87521.0,8399.0,6000.0,0.0,0.0,2.0,0.0,10500.0,21.0,"0,Sudikoff Hall,Sudikoff Hall,0,0,0,0,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,0,0,0",3408.0,614.0,30.0,189.33333333333331,173.84002111474925,71.0,116.0,219.25,18.0,,7866.0,1278.0,607.0,1123.7142857142858,232.36803730699444,1161.0,1200.0,1229.5,7.0,
25:04:2013,70918.0,0.0,1162.0,0.0,0.0,3.0,1.0,6900.0,21.0,"0,Dartmouth College,Berry Library,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse",18024.0,3581.0,70.0,600.8,795.3050336516952,108.5,272.0,529.0,30.0,,56344.0,23985.0,1135.0,5634.4,8087.179060436064,1200.0,1253.5,5106.0,10.0,
26:04:2013,94767.0,7200.0,0.0,0.0,0.0,4.0,0.0,3000.0,21.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0",14506.0,1563.0,61.0,381.7368421052632,325.09106285241825,126.0,293.0,532.5,38.0,,15801.0,3597.0,1198.0,1755.6666666666667,1035.923863032414,1200.0,1264.0,1310.0,9.0,
27:04:2013,68526.0,3507.0,0.0,0.0,0.0,5.0,0.0,0.0,21.0,"0,Ripley Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",3410.0,686.0,70.0,284.1666666666667,221.0741682756895,123.5,187.0,429.0,12.0,,56481.0,20465.0,2468.0,9413.5,8552.249686486008,3858.0,4840.5,16462.5,6.0,
28:04:2013,95920.0,10800.0,2399.0,0.0,0.0,-1.0,0.0,0.0,21.0,"Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,0",11131.0,3257.0,50.0,412.2592592592592,668.8828569736829,101.0,162.0,358.0,27.0,,22830.0,9639.0,1195.0,4566.0,4611.393010794027,1200.0,1200.0,9596.0,5.0,
29:04:2013,73299.0,2382.0,0.0,0.0,0.0,0.0,1.0,3900.0,21.0,"0,Sudikoff Hall,Sudikoff Hall,Berry Hall,0",10186.0,3612.0,60.0,463.0,818.17939585981,106.0,217.0,350.25,22.0,,17873.0,7202.0,1082.0,3574.6,2839.980774582814,1200.0,2394.0,5995.0,5.0,
30:04:2013,68399.0,3602.0,0.0,3599.0,0.0,1.0,1.0,6600.0,21.0,"0,0,0,0,0,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,0,0,0",3608.0,564.0,50.0,150.33333333333334,130.8296824008277,61.0,106.0,178.75,24.0,,9351.0,2363.0,1091.0,1335.857142857143,455.76435013847106,1145.5,1200.0,1203.0,7.0,
27:03:2013,,,,,,,,,,,11025.0,5744.0,60.0,1002.2727272727273,1647.341014538829,262.0,450.0,694.0,11.0,2.0,,,,,,,,,,
28:03:2013,,,,,,,,,,,19427.0,3066.0,51.0,626.6774193548387,903.572627115894,85.5,212.0,666.0,31.0,,,,,,,,,,,
29:03:2013,,,,,,,,,,,9984.0,3217.0,40.0,384.0,637.7713696929331,101.0,172.0,325.5,26.0,1.0,,,,,,,,,,
30:03:2013,,,,,,,,,,,10084.0,1432.0,40.0,315.125,346.1986889895231,97.75,156.5,403.25,32.0,,,,,,,,,,,
09:04:2013,,,,,,,,,,,23598.0,6015.0,61.0,983.25,1501.3067134420226,151.0,248.5,1316.5,24.0,,4800.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,4.0,
22:04:2013,,,,,,,,,,,6039.0,2067.0,31.0,262.5652173913044,433.2185912747592,70.5,101.0,252.0,23.0,,6003.0,1202.0,1200.0,1200.6,0.8944271909999159,1200.0,1200.0,1201.0,5.0,
23:04:2013,,,,,,,,,,,11779.0,5748.0,50.0,619.9473684210526,1336.9216080103247,70.5,121.0,292.5,19.0,,9283.0,2399.0,1095.0,1326.142857142857,474.616486780442,1129.0,1135.0,1198.0,7.0,
04:05:2013,,,,,,,,,,,4571.0,1190.0,71.0,380.9166666666667,372.2519816989399,88.5,197.5,701.0,12.0,,2346.0,2346.0,2346.0,2346.0,,2346.0,2346.0,2346.0,1.0,
06:05:2013,,,,,,,,,,,6191.0,1955.0,50.0,343.94444444444446,477.0324285711578,111.0,151.5,317.0,18.0,,13116.0,6002.0,1095.0,1873.7142857142856,1820.9539362914256,1187.5,1200.0,1222.0,7.0,
10:05:2013,,,,,,,,,,,2125.0,856.0,80.0,265.625,294.86894788799214,90.0,106.0,300.25,8.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
13:05:2013,,,,,,,,,,,887.0,313.0,60.0,147.83333333333334,95.2521215861708,81.0,121.0,183.5,6.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
14:05:2013,,,,,,,,,,,5871.0,2703.0,40.0,652.3333333333334,856.7366865029185,191.0,333.0,585.0,9.0,,4753.0,1200.0,1153.0,1188.25,23.5,1188.25,1200.0,1200.0,4.0,
15:05:2013,,,,,,,,,,,8586.0,2612.0,40.0,505.05882352941177,626.3911987117391,101.0,383.0,495.0,17.0,,36757.0,22362.0,1196.0,9189.25,10151.127995613757,1199.0,6599.5,14589.75,4.0,
