,home_time,orthers,school_time,travel_time,recreational_activities,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
06:04:2013,12943.0,0.0,63600.0,9600.0,3600.0,2400.0,0.0,5.0,0.0,0.0,31.0,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,Alpha Phi,Alpha Phi,0,0",32120.0,12568.0,91.0,1284.8,2612.4650396384886,212.0,414.0,1321.0,25.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,
06:05:2013,34803.0,0.0,8399.0,33597.0,6001.0,0.0,0.0,0.0,0.0,0.0,31.0,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,New Hampshire Hall,Dartmouth College,Dartmouth College,Bartlett Hall,Bartlett Hall,0,New Hampshire Hall,New Hampshire Hall,0,0,0,0,0,0,0,0,Bartlett Hall,0,New Hampshire Hall,0,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Vail,Dartmouth College,Dartmouth College,Dartmouth College",23770.0,5678.0,50.0,720.3030303030303,1084.1451264950788,80.0,212.0,1139.0,33.0,,4366.0,2400.0,766.0,1455.3333333333333,846.3954946319914,983.0,1200.0,1800.0,3.0,
07:04:2013,21714.0,58800.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,31.0,"0,0,0,0,0,0,0,0,0,0,0",16381.0,2420.0,101.0,819.05,680.3125036566497,208.5,676.0,1311.5,20.0,1.0,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,3.5
08:04:2013,13200.0,39600.0,7200.0,25200.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,"0,0,0,0,Hanover Inn Valet Lot,0,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,0,Hanover Inn Valet Lot,0,New Hampshire Hall,0,New Hampshire Hall,Hanover Inn Valet Lot,Collis Student Center,Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",28486.0,3444.0,80.0,791.2777777777778,825.0775759582891,173.75,494.5,1130.0,36.0,,,,,,,,,,,
08:05:2013,37204.0,0.0,3595.0,36000.0,10800.0,0.0,0.0,2.0,0.0,0.0,31.0,"Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,New Hampshire Hall,0,Hanover Inn Valet Lot,0,New Hampshire Hall,0,0,0,0,0,0,Hanover Inn Valet Lot,0,0,New Hampshire Hall,0,Hanover Inn Valet Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Parkhurst Hall,Dartmouth College",29574.0,5710.0,41.0,1019.7931034482758,1262.389185499078,242.0,515.0,1311.0,29.0,,3525.0,1200.0,1128.0,1175.0,40.7308237088326,1162.5,1197.0,1198.5,3.0,
09:04:2013,32361.0,0.0,18000.0,36840.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,"Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,New Hampshire Hall,0,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,0,Dartmouth College,Dartmouth College",30015.0,3619.0,41.0,732.0731707317074,680.3533784087466,302.0,565.0,888.0,41.0,,,,,,,,,,,
09:05:2013,30004.0,0.0,10800.0,43200.0,0.0,1196.0,0.0,3.0,0.0,0.0,31.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Collis Student Center,Collis Student Center,0,0,New Hampshire Hall,Alpha Xi Delta,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,0,Bartlett Hall,0,0,0,0,0,0,0,0,0,Bartlett Hall,0,New Hampshire Hall,Bartlett Hall,0,0,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,Collis Student Center",23482.0,4499.0,80.0,1174.1,1046.247173171054,494.5,1084.0,1419.75,20.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
10:04:2013,40660.0,0.0,12532.0,19273.0,14335.0,0.0,0.0,2.0,0.0,0.0,31.0,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Bartlett Hall,Bartlett Hall,New Hampshire Hall,Hanover Inn Valet Lot,Alumni Gymnasium,Alumni Gymnasium,New Hampshire Hall,0,Hanover Inn Valet Lot,0,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,0,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,0,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,Collis Student Center,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",22070.0,3974.0,41.0,580.7894736842105,763.315356100724,113.5,256.5,693.5,38.0,2.0,3560.0,1200.0,5.0,890.0,590.3812327640505,867.5,1177.5,1200.0,4.0,4.5
10:05:2013,14402.0,0.0,19198.0,38400.0,15600.0,0.0,0.0,4.0,0.0,0.0,31.0,"Collis Student Center,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Class of 1953 Commons,Class of 1953 Commons,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,0,Hanover Inn Valet Lot,Bartlett Hall,0,0,0,New Hampshire Hall,0,New Hampshire Hall,0,0,Bartlett Hall,0,0,0,0,0,Collis Student Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Parker House,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College",29376.0,2706.0,60.0,1129.8461538461538,741.8396426348589,509.75,1029.0,1717.25,26.0,,7199.0,3596.0,1198.0,1799.75,1197.5036186444977,1199.5,1202.5,1802.75,4.0,
11:04:2013,44399.0,2399.0,3599.0,19203.0,13199.0,2400.0,0.0,3.0,0.0,0.0,31.0,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hanover Inn Valet Lot,Class of 1953 Commons,Class of 1953 Commons,New Hampshire Hall,Heating & Electric Plant,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,Alpha Phi,Alpha Phi,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,0,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,Hanover Inn Valet Lot,Hopkins Center for the Arts,Life Sciences Greenhouse,Life Sciences Greenhouse",44359.0,4835.0,40.0,1198.891891891892,1318.1814447644613,151.0,878.0,1584.0,37.0,2.0,1736.0,1116.0,620.0,868.0,350.72496346852756,744.0,868.0,992.0,2.0,
11:05:2013,27608.0,0.0,5992.0,14701.0,124499.0,8400.0,0.0,5.0,0.0,0.0,31.0,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,0,New Hampshire Hall,Dartmouth College,0,New Hampshire Hall,Hanover Inn Valet Lot,0,0,0,Alpha Phi,Alpha Phi,Dartmouth College,Dartmouth College,Collis Student Center,0,New Hampshire Hall,0,0,New Hampshire Hall,0,0,0,0",36277.0,7793.0,20.0,930.1794871794872,1508.3540501555938,146.0,474.0,1013.5,39.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
12:04:2013,32400.0,0.0,21600.0,22800.0,10800.0,0.0,0.0,4.0,0.0,0.0,31.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,Hanover Inn Valet Lot,0,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,Collis Student Center,Collis Student Center,New Hampshire Hall,0,0,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,Collis Student Center,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",34596.0,5749.0,60.0,864.9,1052.8719161393146,239.5,595.0,1039.0,40.0,,4673.0,1202.0,1126.0,1168.25,38.61239006674757,1140.25,1172.5,1200.5,4.0,4.0
13:04:2013,39600.0,0.0,4800.0,39600.0,4800.0,0.0,0.0,5.0,0.0,0.0,31.0,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,Hanover Inn Valet Lot,0,New Hampshire Hall,0,0,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,0,New Hampshire Hall,0,New Hampshire Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,0,New Hampshire Hall,0,New Hampshire Hall,0",52565.0,11581.0,70.0,1877.321428571429,2884.897944835553,279.75,746.5,1483.75,28.0,2.0,,,,,,,,,,
13:05:2013,7200.0,27600.0,12000.0,31200.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,"0,New Hampshire Hall,0,0,0,0,New Hampshire Hall,Collis Student Center,Collis Student Center,Dartmouth College,Collis Student Center,Reed Hall,Reed Hall,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College",26704.0,4034.0,60.0,809.2121212121212,871.6753537576274,182.0,524.0,1271.0,33.0,,2377.0,1197.0,1180.0,1188.5,12.020815280171307,1184.25,1188.5,1192.75,2.0,
14:04:2013,1200.0,81600.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,31.0,"0,0,0,0",29302.0,13855.0,81.0,4186.0,4650.870635339868,1615.0,2050.0,5043.0,7.0,,514.0,513.0,1.0,257.0,362.0386719675123,129.0,257.0,385.0,2.0,4.0
14:05:2013,34800.0,0.0,3600.0,46800.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,"Dartmouth College,Collis Student Center,Class of 1953 Commons,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Collis Student Center,Dartmouth College,Dartmouth College",18460.0,2118.0,61.0,595.483870967742,592.5184594012096,196.5,333.0,736.5,31.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
15:04:2013,39597.0,26400.0,1200.0,16803.0,3600.0,0.0,0.0,0.0,0.0,0.0,31.0,"0,0,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hanover Inn Valet Lot,0,Middle Fayerweather Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,0,New Hampshire Hall,0,New Hampshire Hall,New Hampshire Hall,0,0,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,0,New Hampshire Hall,0,Dartmouth College,0,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",29039.0,3903.0,40.0,708.2682926829268,980.1967665828691,90.0,252.0,877.0,41.0,2.0,1171.0,1171.0,1171.0,1171.0,,1171.0,1171.0,1171.0,1.0,4.0
15:05:2013,61200.0,0.0,6000.0,9600.0,9600.0,0.0,0.0,2.0,0.0,0.0,31.0,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Collis Student Center,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,New Hampshire Hall,0,New Hampshire Hall,New Hampshire Hall,0,Collis Student Center,Collis Student Center,0,Dartmouth College,Dartmouth College,Collis Student Center",14632.0,2299.0,50.0,395.4594594594595,515.53572969154,91.0,221.0,453.0,37.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
16:04:2013,34801.0,0.0,12000.0,31200.0,6000.0,0.0,1200.0,1.0,0.0,0.0,31.0,"Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,Observatory Road,New Hampshire Hall,Class of 1953 Commons,Class of 1953 Commons,0,New Hampshire Hall,0,Sudikoff Hall,Sudikoff Hall,Collis Student Center,Collis Student Center,0,0,New Hampshire Hall,New Hampshire Hall,0,0,0,New Hampshire Hall,0,0,0,0,New Hampshire Hall,New Hampshire Hall,0,0,Hanover Inn Valet Lot,0,New Hampshire Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",29279.0,3008.0,40.0,813.3055555555555,854.6015886931322,197.0,439.0,1021.0,36.0,2.0,,,,,,,,,,4.0
16:05:2013,1200.0,0.0,1200.0,72000.0,12000.0,0.0,0.0,3.0,0.0,0.0,31.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,0,New Hampshire Hall,0,0,0,Collis Student Center,0,Zahm Courtyard,Hopkins Center for the Arts",15996.0,2330.0,152.0,999.75,715.4426601762017,446.25,801.5,1378.75,16.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
17:04:2013,50400.0,0.0,10800.0,19197.0,7202.0,0.0,0.0,2.0,0.0,0.0,31.0,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,0,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,0,0,New Hampshire Hall,0,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,0,0,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,0,New Hampshire Hall,0,Collis Student Center,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",26361.0,3772.0,40.0,823.78125,1021.15098673096,148.5,312.5,1061.75,32.0,1.0,1156.0,1156.0,1156.0,1156.0,,1156.0,1156.0,1156.0,1.0,1.0
17:05:2013,0.0,0.0,0.0,2400.0,280988.0,0.0,0.0,4.0,0.0,0.0,31.0,"Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts",,,,,,,,,,,,,,,,,,,,
18:04:2013,13200.0,0.0,14400.0,52800.0,2400.0,2400.0,0.0,3.0,0.0,0.0,31.0,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,0,New Hampshire Hall,Dartmouth College,New Hampshire Hall,0,Class of 1953 Commons,Class of 1953 Commons,0,0,0,0,0,Alpha Phi,Alpha Phi,Class of 1953 Commons,Class of 1953 Commons,0,0,New Hampshire Hall,Hanover Inn Valet Lot,0,0,0,0,0,0,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",32618.0,3642.0,60.0,988.4242424242424,1021.8724550519696,192.0,666.0,1714.0,33.0,0.0,,,,,,,,,,3.0
19:04:2013,49200.0,0.0,5999.0,24000.0,8401.0,0.0,0.0,4.0,0.0,0.0,31.0,"Collis Student Center,Collis Student Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Collis Student Center,0,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,0,0,New Hampshire Hall,0,0,0,0,0,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College",28301.0,3934.0,60.0,744.7631578947369,925.4770700858144,244.5,353.0,811.25,38.0,1.0,1155.0,1153.0,2.0,577.5,813.8799051457162,289.75,577.5,865.25,2.0,2.0
20:04:2013,39599.0,0.0,32399.0,21602.0,0.0,0.0,0.0,5.0,0.0,0.0,31.0,"Dartmouth College,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,0,0,Dartmouth College,0,New Hampshire Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,0,New Hampshire Hall,Reed Hall",49062.0,5285.0,60.0,1582.645161290323,1732.357691093982,216.5,887.0,2305.0,31.0,1.0,13754.0,7385.0,1.0,2750.8,2978.7150249730166,1171.0,1200.0,3997.0,5.0,
20:05:2013,9601.0,0.0,13200.0,38400.0,1200.0,0.0,0.0,0.0,0.0,0.0,31.0,"Dartmouth College,Dartmouth College,Collis Student Center,0,0,0,0,0,New Hampshire Hall,Collis Student Center,Collis Student Center,Dartmouth College",35025.0,5295.0,40.0,1207.7586206896551,1356.4946594379733,242.0,766.0,1694.0,29.0,,,,,,,,,,,
21:04:2013,0.0,78000.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,31.0,"0,0,0,0,0,0",21533.0,4377.0,70.0,652.5151515151515,932.4681335443896,192.0,282.0,665.0,33.0,,2401.0,1200.0,1.0,800.3333333333334,692.2429727583614,600.5,1200.0,1200.0,3.0,1.0
22:04:2013,26400.0,31201.0,2400.0,25200.0,2399.0,0.0,0.0,0.0,0.0,0.0,31.0,"0,0,0,0,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,0,New Hampshire Hall,New Hampshire Hall,0,0,New Hampshire Hall,New Hampshire Hall,0,0,Collis Student Center,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",24661.0,3561.0,51.0,880.75,950.9746511011936,153.5,509.5,1337.0,28.0,2.0,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,4.0
