,home_time,school_time,travel_time,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
10:04:2013,1200.0,12001.0,1200.0,0.0,2.0,0.0,7800.0,4.0,"0,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall",12255.0,3984.0,50.0,817.0,1269.1925442129395,151.0,323.0,520.0,15.0,,19200.0,9600.0,1200.0,6400.0,4543.126676640219,4800.0,8400.0,9000.0,3.0,
11:04:2013,246000.0,4799.0,0.0,0.0,3.0,1.0,7800.0,4.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0",,,,,,,,,,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
13:04:2013,2400.0,6000.0,0.0,0.0,5.0,0.0,0.0,4.0,"0,Sudikoff Hall",2826.0,524.0,71.0,176.625,127.28963037105576,88.5,156.0,164.5,16.0,,26400.0,13200.0,1200.0,6600.0,6311.8935352238,1200.0,6000.0,11400.0,4.0,
13:05:2013,1201.0,0.0,0.0,0.0,0.0,1.0,7800.0,4.0,0,7706.0,2925.0,60.0,856.2222222222222,1150.7703699889237,111.0,242.0,938.0,9.0,,32689.0,21889.0,1200.0,4669.857142857143,7710.54862787708,1200.0,1200.0,3000.0,7.0,
14:04:2013,147600.0,16800.0,0.0,0.0,-1.0,0.0,0.0,4.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0",514.0,514.0,514.0,514.0,,514.0,514.0,514.0,1.0,2.0,4799.0,1200.0,1199.0,1199.75,0.5,1199.75,1200.0,1200.0,4.0,
14:05:2013,135599.0,25488.0,0.0,0.0,1.0,0.0,0.0,4.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0",,,,,,,,,,,7038.0,2402.0,1036.0,1407.6,560.40413988478,1200.0,1200.0,1200.0,5.0,
15:04:2013,7200.0,0.0,0.0,0.0,0.0,1.0,7800.0,4.0,"0,0",6993.0,1967.0,51.0,582.75,676.0856757165403,106.0,237.0,760.5,12.0,,8403.0,3600.0,1200.0,2100.75,1148.1298924773278,1202.25,1801.5,2700.0,4.0,4.0
15:05:2013,4800.0,0.0,0.0,0.0,2.0,1.0,7800.0,4.0,"0,Andres Hall,0",5143.0,2078.0,131.0,571.4444444444445,663.3784951125397,141.0,272.0,474.0,9.0,,6822.0,2341.0,1200.0,1705.5,593.2736861404412,1200.0,1640.5,2146.0,4.0,
16:04:2013,152401.0,7200.0,0.0,0.0,1.0,0.0,0.0,4.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0",,,,,,,,,,,6811.0,1200.0,1082.0,1135.1666666666667,57.63129936646116,1085.0,1123.5,1188.25,6.0,
17:04:2013,8522.0,0.0,0.0,4677.0,2.0,1.0,7800.0,4.0,"0,0,0,0",5478.0,3794.0,40.0,391.2857142857143,985.474616507305,63.5,105.5,146.75,14.0,1.0,11922.0,2522.0,1088.0,1987.0,659.0490118344766,1475.5,2358.5,2400.0,6.0,2.0
18:04:2013,79200.0,15600.0,0.0,0.0,3.0,0.0,7800.0,4.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall",4115.0,1826.0,60.0,411.5,541.6815895380278,101.0,156.5,509.5,10.0,,16602.0,6000.0,1096.0,2371.714285714286,2097.9358676475085,1154.5,1197.0,3000.0,7.0,
19:04:2013,237019.0,1200.0,0.0,0.0,4.0,1.0,6000.0,4.0,"Sudikoff Hall,0,0",,,,,,,,,,,4785.0,1197.0,1196.0,1196.25,0.5,1196.0,1196.0,1196.25,4.0,
21:04:2013,1204.0,1201.0,14395.0,0.0,-1.0,0.0,0.0,4.0,"0,F Lot Parking,0,F Lot Parking",15715.0,1341.0,51.0,341.6304347826087,322.52747401978723,112.75,186.0,564.75,46.0,1.0,21544.0,9601.0,1143.0,3077.714285714286,3170.1570263046233,1200.0,1200.0,3600.0,7.0,2.0
22:04:2013,80398.0,1202.0,0.0,0.0,0.0,1.0,7800.0,4.0,"0,Rauner Hall,0,0,0",4225.0,4044.0,181.0,2112.5,2731.553495723633,1146.75,2112.5,3078.25,2.0,,9521.0,3601.0,1122.0,1904.2,1087.58916875813,1198.0,1200.0,2400.0,5.0,
23:04:2013,248315.0,4800.0,0.0,0.0,1.0,0.0,0.0,4.0,"0,Sudikoff Hall,Sudikoff Hall,0",2319.0,756.0,31.0,210.8181818181818,248.59759378635115,70.0,101.0,212.0,11.0,1.0,14463.0,5259.0,1093.0,2410.5,1662.8415137949858,1159.5,1800.0,3123.75,6.0,1.0
25:04:2013,5987.0,0.0,0.0,0.0,3.0,1.0,7800.0,4.0,"0,Life Sciences Greenhouse,Life Sciences Greenhouse",13635.0,3228.0,61.0,909.0,917.442874827326,126.0,635.0,1452.5,15.0,1.0,24074.0,6012.0,1200.0,2407.4,1763.234729442201,1205.25,1273.5,3310.5,10.0,1.0
26:04:2013,82756.0,4857.0,0.0,0.0,4.0,0.0,6000.0,4.0,"Sudikoff Hall,Sudikoff Hall,0,0,Vail,Life Sciences Greenhouse,Life Sciences Greenhouse,0",15157.0,3903.0,61.0,1010.4666666666668,1379.6465834546525,136.0,424.0,796.5,15.0,1.0,30254.0,2496.0,1179.0,1779.6470588235295,618.8108496520232,1201.0,1276.0,2400.0,17.0,1.0
27:03:2013,0.0,9598.0,0.0,0.0,2.0,0.0,7800.0,4.0,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall",14701.0,3722.0,30.0,1050.071428571429,1101.2146066458208,193.75,836.5,1185.0,14.0,2.0,51607.0,51607.0,51607.0,51607.0,,51607.0,51607.0,51607.0,1.0,4.5
27:04:2013,201600.0,4800.0,0.0,0.0,5.0,0.0,0.0,4.0,"0,Sudikoff Hall,Sudikoff Hall,0",4331.0,504.0,60.0,160.40740740740742,101.3566662295766,81.0,142.0,222.0,27.0,,2403.0,1203.0,1200.0,1201.5,2.1213203435596424,1200.75,1201.5,1202.25,2.0,
28:03:2013,75598.0,9602.0,0.0,0.0,3.0,0.0,7800.0,4.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",3044.0,1190.0,50.0,434.8571428571428,429.01259832761264,116.0,202.0,685.0,7.0,1.0,6054.0,2460.0,1194.0,2018.0,714.2352553605849,1797.0,2400.0,2430.0,3.0,1.0
29:03:2013,84000.0,2400.0,1200.0,0.0,4.0,1.0,6000.0,4.0,"0,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,0,0",9419.0,4235.0,272.0,2354.75,2161.688441165069,597.5,2456.0,4213.25,4.0,,11992.0,3600.0,1192.0,2398.4,851.3593835742929,2400.0,2400.0,2400.0,5.0,
29:04:2013,54000.0,0.0,0.0,0.0,0.0,1.0,7800.0,4.0,"0,0,0,0",5314.0,3529.0,70.0,664.25,1190.3433778296317,71.0,151.5,514.0,8.0,2.0,20308.0,4800.0,1088.0,2030.8,1277.7694801662954,1200.0,1215.0,2398.25,10.0,3.3333333333333335
30:03:2013,235200.0,6000.0,0.0,0.0,5.0,0.0,0.0,4.0,"0,Sudikoff Hall,Sudikoff Hall,0",887.0,827.0,60.0,443.5,542.3509011700819,251.75,443.5,635.25,2.0,,,,,,,,,,,
30:04:2013,590403.0,4800.0,8398.0,0.0,1.0,0.0,0.0,4.0,"Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,Maynard Parking Lot,0",3963.0,1381.0,61.0,304.84615384615387,350.1304152630956,101.0,222.0,343.0,13.0,2.0,18507.0,6925.0,1104.0,1850.7,1826.3604396601336,1108.5,1172.5,1206.75,10.0,5.0
12:04:2013,,,,,,,,,,4669.0,878.0,151.0,389.0833333333333,228.6304912192412,249.5,327.5,428.75,12.0,,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,
20:04:2013,,,,,,,,,,2156.0,625.0,70.0,215.6,181.7563692908113,95.75,161.5,206.25,10.0,,,,,,,,,,,
24:04:2013,,,,,,,,,,171.0,171.0,171.0,171.0,,171.0,171.0,171.0,1.0,,4680.0,1200.0,1141.0,1170.0,33.49626844888845,1141.0,1169.5,1198.5,4.0,
28:04:2013,,,,,,,,,,2580.0,434.0,50.0,184.28571428571428,113.4998668731368,98.5,156.0,232.0,14.0,1.0,14401.0,6011.0,1196.0,3600.25,2774.464678095578,1198.25,3597.0,5999.0,4.0,
01:05:2013,,,,,,,,,,333.0,262.0,71.0,166.5,135.0573952066306,118.75,166.5,214.25,2.0,,4799.0,1200.0,1199.0,1199.75,0.5,1199.75,1200.0,1200.0,4.0,
02:05:2013,,,,,,,,,,643.0,221.0,60.0,107.16666666666669,58.197651728112426,75.0,95.5,101.0,6.0,,4800.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,4.0,
03:05:2013,,,,,,,,,,3650.0,2390.0,50.0,730.0,969.7533191487412,91.0,363.0,756.0,5.0,,,,,,,,,,,
04:05:2013,,,,,,,,,,7593.0,1431.0,50.0,271.17857142857144,321.5535268581588,87.75,131.0,342.25,28.0,,2401.0,1201.0,1200.0,1200.5,0.7071067811865476,1200.25,1200.5,1200.75,2.0,
05:05:2013,,,,,,,,,,4034.0,594.0,61.0,224.11111111111111,162.2981602189548,103.5,187.0,270.25,18.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
06:05:2013,,,,,,,,,,5416.0,2411.0,41.0,492.3636363636364,765.6018903747915,55.5,91.0,509.0,11.0,,16406.0,2400.0,1089.0,1367.1666666666667,483.93948407050254,1132.75,1189.5,1203.75,12.0,
09:05:2013,,,,,,,,,,80.0,80.0,80.0,80.0,,80.0,80.0,80.0,1.0,,5934.0,1200.0,1136.0,1186.8,28.41126537132762,1198.0,1200.0,1200.0,5.0,
10:05:2013,,,,,,,,,,6699.0,1947.0,41.0,478.5,550.1897225223594,78.0,242.0,681.5,14.0,,6000.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,5.0,
12:05:2013,,,,,,,,,,70.0,70.0,70.0,70.0,,70.0,70.0,70.0,1.0,1.0,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,
16:05:2013,,,,,,,,,,202.0,202.0,202.0,202.0,,202.0,202.0,202.0,1.0,,2400.0,2400.0,2400.0,2400.0,,2400.0,2400.0,2400.0,1.0,
11:05:2013,,,,,,,,,,,,,,,,,,,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
