,orthers,school_time,travel_time,home_time,working,shopping,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
09:04:2013,46800.0,26294.0,0.0,3706.0,6000.0,0.0,0.0,1.0,0.0,0.0,46.0,"Anonymous Hall,0,0,Anonymous Hall,Anonymous Hall,Dartmouth College,Anonymous Hall,Anonymous Hall,Sudikoff Hall,Anonymous Hall,0,0",12876.0,3308.0,50.0,559.8260869565217,811.9733903036877,136.0,201.0,494.0,23.0,1.0,14399.0,2408.0,1197.0,1309.0,364.502126194073,1197.0,1200.0,1200.0,11.0,1.0
09:05:2013,86399.0,2400.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,46.0,"Sudikoff Hall,0,0",3892.0,1573.0,131.0,432.44444444444446,466.4550115260611,161.0,162.0,575.0,9.0,,5919.0,1200.0,1119.0,1183.8,36.2243012354966,1200.0,1200.0,1200.0,5.0,
10:04:2013,0.0,86032.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,"Sudikoff Hall,Sudikoff Hall",13301.0,1826.0,50.0,604.5909090909091,572.8204787416394,146.75,363.0,918.0,22.0,,691.0,691.0,691.0,691.0,,691.0,691.0,691.0,1.0,
10:05:2013,51007.0,0.0,25200.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,46.0,"F Lot Parking,F Lot Parking,F Lot Parking,F Lot Parking,F Lot Parking,F Lot Parking,F Lot Parking,F Lot Parking,0,0",5305.0,2502.0,71.0,482.27272727272725,695.2657176805269,120.5,272.0,444.0,11.0,,15601.0,15600.0,1.0,7800.5,11030.158679728956,3900.75,7800.5,11700.25,2.0,
11:04:2013,3600.0,43172.0,0.0,38400.0,0.0,0.0,0.0,3.0,0.0,0.0,46.0,"Anonymous Hall,Anonymous Hall,Dartmouth College,Anonymous Hall,0,0,Steele Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",34240.0,3407.0,61.0,778.1818181818181,801.3919365334315,158.5,504.0,1260.25,44.0,,21914.0,4801.0,1200.0,2434.8888888888887,1427.913551693908,1203.0,2281.0,2400.0,9.0,
11:05:2013,61201.0,11999.0,9606.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,46.0,"F Lot Parking,F Lot Parking,Hanover Post Office,Guarini Institute for International Education,0,0,0,0",8127.0,1674.0,50.0,478.05882352941177,444.7346780087308,212.0,292.0,616.0,17.0,,17996.0,2400.0,1198.0,1384.3076923076924,450.7779173486993,1200.0,1200.0,1200.0,13.0,
12:04:2013,1441.0,39627.0,0.0,45359.0,0.0,0.0,0.0,4.0,0.0,0.0,46.0,"Sudikoff Hall,Sudikoff Hall,Anonymous Hall,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse",31829.0,4015.0,61.0,795.725,953.6921232901324,151.0,429.0,1117.0,40.0,2.0,16553.0,4706.0,1094.0,1504.8181818181818,1062.9175714213984,1175.0,1200.0,1210.5,11.0,
12:05:2013,10800.0,73200.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,46.0,"Dick's House,Dick's House,Dick's House,Dick's House,Dick's House,Dick's House,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",10343.0,887.0,50.0,272.1842105263158,227.73263784216144,101.0,182.0,396.0,38.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
13:04:2013,44400.0,34882.0,1200.0,8318.0,0.0,0.0,0.0,5.0,0.0,0.0,46.0,"Dartmouth College,Dartmouth College,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,0,0,0,0,0,0",31345.0,3752.0,41.0,870.6944444444445,997.1500193607334,136.75,348.0,989.25,36.0,2.0,31581.0,14330.0,507.0,2255.785714285714,3541.4960588944377,1197.25,1200.0,1200.0,14.0,5.0
13:05:2013,43200.0,44400.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",24958.0,1917.0,50.0,594.2380952380952,590.4881324894832,131.0,368.0,836.75,42.0,,17042.0,7199.0,7.0,2130.25,2364.7405022236885,902.75,1313.5,2699.5,8.0,
14:04:2013,54001.0,26968.0,0.0,6000.0,0.0,0.0,0.0,-1.0,0.0,0.0,46.0,"0,Remsen Medical Sciences Building,Anonymous Hall,Remsen Medical Sciences Building,Anonymous Hall,0,0,0,0,0,0,0,0,0,0,0,0",20619.0,10654.0,60.0,1718.25,3227.502358987941,194.25,413.0,852.25,12.0,2.0,46436.0,13483.0,1198.0,3316.8571428571427,3213.8486120380503,1203.0,2399.5,4012.75,14.0,5.0
14:05:2013,124930.0,32400.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Guarini Institute for International Education,0,0,0,0,0,0,0",6610.0,1220.0,60.0,330.5,324.07171071263,136.0,206.0,415.75,20.0,,54127.0,25326.0,2402.0,9021.166666666666,8658.45287373366,3903.25,5397.5,10498.5,6.0,
15:04:2013,49713.0,38398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,"Anonymous Hall,Anonymous Hall,0,0",7899.0,1231.0,91.0,493.6875,388.9755294359788,169.25,378.0,763.75,16.0,,38926.0,11312.0,1.0,3243.8333333333335,3159.3670491912067,1201.75,2399.0,4206.75,12.0,5.0
15:05:2013,7262.0,10800.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,"0,Sudikoff Hall",11863.0,3934.0,31.0,515.7826086956521,799.2578350923571,131.5,282.0,524.5,23.0,,22755.0,4798.0,1200.0,1896.25,1184.295120237427,1200.0,1200.0,2415.5,12.0,
16:04:2013,140839.0,35865.0,0.0,1200.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0",4686.0,1159.0,80.0,292.875,295.92045665459943,106.0,166.0,360.5,16.0,2.0,11175.0,11175.0,11175.0,11175.0,,11175.0,11175.0,11175.0,1.0,5.0
16:05:2013,0.0,2401.0,0.0,0.0,1200.0,0.0,183239.0,3.0,0.0,0.0,46.0,"Sudikoff Hall,0,0,0,Baker Memorial Library,Baker Memorial Library,Berry Library,Berry Library",,,,,,,,,,,,,,,,,,,,
18:04:2013,55140.0,12000.0,9659.0,3600.0,0.0,0.0,0.0,3.0,0.0,0.0,46.0,"F Lot Parking,F Lot Parking,0,0,0,0,0,0,0,0,0,0",13849.0,3388.0,80.0,692.45,873.3494793940708,101.0,433.5,743.75,20.0,2.0,25635.0,2400.0,681.0,1602.1875,624.8984150777362,1200.0,1202.0,2326.25,16.0,5.0
18:05:2013,157021.0,0.0,6000.0,2399.0,0.0,0.0,0.0,5.0,0.0,0.0,46.0,"Dick's House,0,0,0,0,0,0",3157.0,1624.0,121.0,631.4,624.2093398852664,202.0,353.0,857.0,5.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,2.0
19:04:2013,0.0,7128.0,196916.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,46.0,"Sudikoff Hall,Sudikoff Hall,F Lot Parking,F Lot Parking,0,0,0,0",4621.0,1927.0,111.0,660.1428571428571,639.1834448657726,247.5,393.0,847.5,7.0,,128198.0,125798.0,2400.0,64099.0,87255.56258485759,33249.5,64099.0,94948.5,2.0,
20:05:2013,76799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,"Dick's House,Dick's House,0",12677.0,2390.0,70.0,745.7058823529412,910.8914428120594,101.0,272.0,746.0,17.0,1.0,19903.0,2894.0,619.0,1531.0,658.9228584085798,1198.0,1201.0,1981.0,13.0,2.0
21:04:2013,46806.0,0.0,13200.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,46.0,"0,0,0,0,F Lot Parking",11842.0,2583.0,61.0,473.68,611.447852777869,81.0,221.0,545.0,25.0,,19790.0,3053.0,1164.0,1649.1666666666667,684.2423591539814,1199.5,1203.0,2325.5,12.0,
22:04:2013,34779.0,24021.0,8400.0,14400.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,"F Lot Parking,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,0,0,0",23782.0,3117.0,60.0,396.3666666666667,469.3488445209037,151.0,252.0,403.25,60.0,,21513.0,7200.0,1092.0,1955.7272727272727,1804.478156748321,1200.0,1200.0,1812.0,11.0,
22:05:2013,195490.0,9601.0,0.0,0.0,0.0,0.0,62400.0,2.0,0.0,0.0,46.0,"0,Sudikoff Hall,Sudikoff Hall,Steele Hall,0,Jewel of India,Black Family Visual Arts Center,0",3419.0,998.0,50.0,310.8181818181818,325.5189144064652,116.0,181.0,317.0,11.0,,19201.0,6001.0,1200.0,1920.1,1620.156401915157,1200.0,1200.0,1200.0,10.0,
23:04:2013,46707.0,21618.0,0.0,14400.0,2475.0,0.0,0.0,1.0,0.0,0.0,46.0,"0,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",27290.0,5043.0,50.0,593.2608695652174,941.8922664221708,111.0,292.0,592.5,46.0,,37721.0,5501.0,131.0,2357.5625,1750.6567898458377,1196.0,1256.0,3594.75,16.0,
24:04:2013,0.0,9619.0,1181.0,339409.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,"G Lot Parking,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College",,,,,,,,,,,,,,,,,,,,
25:05:2013,44400.0,16812.0,0.0,21593.0,0.0,0.0,0.0,5.0,0.0,0.0,46.0,"Sudikoff Hall,Sudikoff Hall,Thomas Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0",25620.0,6132.0,31.0,582.2727272727273,1049.5118990348062,128.5,242.0,488.5,44.0,1.0,19168.0,7168.0,1200.0,2396.0,2017.554955881004,1200.0,1800.0,2400.0,8.0,1.0
26:05:2013,0.0,86184.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,46.0,"Sudikoff Hall,Sudikoff Hall",28193.0,3338.0,41.0,503.44642857142856,550.9720639558236,159.25,292.5,675.0,56.0,,,,,,,,,,,
27:05:2013,7200.0,76801.0,0.0,2399.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,0",16598.0,2674.0,30.0,386.0,520.3610925757869,90.5,171.0,459.0,43.0,,64666.0,33144.0,864.0,10777.666666666666,12128.073394676778,2100.75,7800.0,13092.75,6.0,
28:03:2013,0.0,443288.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,46.0,Sudikoff Hall,,,,,,,,,,,,,,,,,,,,
28:04:2013,0.0,15559.0,20484.0,0.0,0.0,0.0,63556.0,-1.0,0.0,0.0,46.0,"F Lot Parking,F Lot Parking,F Lot Parking,F Lot Parking,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0",16642.0,1695.0,20.0,361.7826086956522,387.2503590440041,90.0,221.0,491.25,46.0,,32302.0,10806.0,1199.0,3589.1111111111113,3172.7656092297634,1227.0,2398.0,4714.0,9.0,
28:05:2013,66000.0,20400.0,0.0,4800.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,0,0",18818.0,3358.0,40.0,522.7222222222222,710.9143252022551,108.5,257.0,605.0,36.0,,38007.0,26400.0,1200.0,7601.4,10691.529535103944,1200.0,3204.0,6003.0,5.0,
29:04:2013,26354.0,26445.0,0.0,13200.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,0,0,0,0",23138.0,2280.0,50.0,482.0416666666667,531.8757637025628,118.5,247.0,718.5,48.0,2.0,21821.0,4710.0,1129.0,1983.7272727272727,1313.009146267389,1180.0,1200.0,2643.0,11.0,4.0
29:05:2013,0.0,22800.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",7141.0,1614.0,40.0,714.1,572.287699597948,234.5,630.5,1046.25,10.0,,,,,,,,,,,
30:04:2013,41600.0,26566.0,0.0,17834.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,"0,0,Sudikoff Hall,Berry Hall,Sudikoff Hall,0,0,0,0",23891.0,3439.0,61.0,746.59375,865.3232794881885,176.0,330.0,1093.75,32.0,,19202.0,10800.0,1200.0,2400.25,3394.0116065968728,1200.0,1200.0,1200.5,8.0,
01:04:2013,,,,,,,,,,,,,4447.0,1553.0,141.0,1111.75,654.0649177770251,1026.0,1376.5,1462.25,4.0,,6002.0,6002.0,6002.0,6002.0,,6002.0,6002.0,6002.0,1.0,
17:04:2013,,,,,,,,,,,,,8018.0,4589.0,1634.0,2672.6666666666665,1661.544562548153,1714.5,1795.0,3192.0,3.0,,12419.0,7616.0,4803.0,6209.5,1989.0913754777584,5506.25,6209.5,6912.75,2.0,
04:05:2013,,,,,,,,,,,,,3558.0,1099.0,71.0,254.14285714285717,267.25725352259303,96.0,167.0,302.0,14.0,,,,,,,,,,,
05:05:2013,,,,,,,,,,,,,17229.0,4267.0,70.0,638.1111111111111,947.4044434596976,111.0,212.0,829.0,27.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
17:05:2013,,,,,,,,,,,,,3731.0,1452.0,938.0,1243.6666666666667,270.47057757422215,1139.5,1341.0,1396.5,3.0,,2404.0,2404.0,2404.0,2404.0,,2404.0,2404.0,2404.0,1.0,
19:05:2013,,,,,,,,,,,,,6847.0,4992.0,605.0,2282.333333333333,2368.697180589645,927.5,1250.0,3121.0,3.0,,8403.0,8403.0,8403.0,8403.0,,8403.0,8403.0,8403.0,1.0,
24:05:2013,,,,,,,,,,,,,5808.0,2623.0,90.0,829.7142857142857,1011.7326251346768,100.5,424.0,1235.0,7.0,,,,,,,,,,,
