,home_time,orthers,recreational_activities,school_time,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
06:04:2013,76800.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,17.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",19112.0,2109.0,40.0,434.3636363636364,431.1693721545441,146.0,277.0,564.5,44.0,2.0,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,2.5
06:05:2013,63003.0,0.0,0.0,17997.0,600.0,0.0,0.0,6900.0,17.0,"Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse,0,Sudikoff Hall",15440.0,4886.0,40.0,812.6315789473684,1210.193612174254,207.0,373.0,630.0,19.0,0.0,1795.0,600.0,596.0,598.3333333333334,2.0816659994661326,597.5,599.0,599.5,3.0,3.0
07:04:2013,91200.0,0.0,0.0,2400.0,0.0,-1.0,0.0,0.0,17.0,"Dartmouth College,Little Hall,Sanborn House,Dartmouth College,Little Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",23901.0,4034.0,40.0,645.972972972973,880.817785623946,80.0,222.0,1019.0,37.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,1.0
08:04:2013,65998.0,0.0,2400.0,10802.0,1200.0,0.0,0.0,6900.0,17.0,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gym,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,Dartmouth College",21362.0,4115.0,60.0,647.3333333333334,1095.7137704102593,101.0,132.0,343.0,33.0,1.0,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,2.0
08:05:2013,47399.0,0.0,3600.0,4801.0,42600.0,2.0,1.0,13500.0,17.0,"Dartmouth College,Dartmouth College,Parker House,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Little Hall,Mass Parking Lot,Dartmouth College,Bartlett Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Collis Student Center,Collis Student Center,Collis Student Center,Collis Student Center,Dartmouth College",24636.0,3475.0,51.0,615.9,683.6276089307014,188.75,388.5,724.25,40.0,1.0,1080.0,600.0,480.0,540.0,84.8528137423857,510.0,540.0,570.0,2.0,1.0
09:04:2013,71199.0,0.0,0.0,12000.0,0.0,1.0,0.0,9600.0,17.0,"Dartmouth College,Parker House,Sudikoff Hall,Class of 1953 Commons,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College",15041.0,1372.0,61.0,366.8536585365854,280.86816845057484,171.0,283.0,506.0,41.0,1.0,10799.0,9597.0,1202.0,5399.5,5936.1614280610665,3300.75,5399.5,7498.25,2.0,1.6666666666666667
09:05:2013,48600.0,0.0,0.0,30000.0,1800.0,3.0,0.0,9900.0,17.0,"Dartmouth College,Dartmouth College,Dartmouth College,Mass Parking Lot,Kemeny Hall,Sudikoff Hall,Dartmouth College,Mass Parking Lot,Sudikoff Hall",9288.0,3913.0,70.0,488.8421052631579,868.5362695143987,85.0,212.0,474.5,19.0,1.0,597.0,597.0,597.0,597.0,,597.0,597.0,597.0,1.0,2.5
10:04:2013,60000.0,0.0,0.0,24000.0,0.0,2.0,0.0,13500.0,17.0,"Dartmouth College,Robinson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",24780.0,4368.0,40.0,669.7297297297297,947.2248837950156,141.0,353.0,696.0,37.0,1.0,,,,,,,,,,2.0
10:05:2013,69600.0,0.0,7799.0,600.0,4201.0,4.0,1.0,6000.0,17.0,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Mass Parking Lot,Black Family Visual Arts Center,Black Family Visual Arts Center,Black Family Visual Arts Center,Black Family Visual Arts Center,Dartmouth College,Dartmouth College,Alumni Gym,Alumni Gymnasium,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College",35419.0,5882.0,70.0,885.475,1183.0592457041846,158.5,449.0,1210.5,40.0,0.0,3532.0,604.0,530.0,588.6666666666666,28.862894287764465,597.0,600.0,601.5,6.0,3.0
11:04:2013,66400.0,0.0,0.0,19200.0,1197.0,3.0,0.0,9900.0,17.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dana Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse",16422.0,3872.0,111.0,966.0,1109.2459713697408,293.0,454.0,1442.0,17.0,1.0,1203.0,1203.0,1203.0,1203.0,,1203.0,1203.0,1203.0,1.0,3.0
11:05:2013,68403.0,4802.0,4197.0,600.0,4798.0,5.0,0.0,0.0,17.0,"Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall,Black Family Visual Arts Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Howe Little Free Library,Dartmouth College,0,0,0,0,0,0,Dartmouth College,Dartmouth College,0,0,0,Dartmouth College,Dartmouth College,Dartmouth College,West Stands,Berry Sports Center",9572.0,3681.0,232.0,1367.428571428571,1281.805348865791,449.0,897.0,1932.0,7.0,1.0,3001.0,1200.0,1.0,600.2,423.9106037833921,600.0,600.0,600.0,5.0,2.0
12:04:2013,88798.0,0.0,0.0,7202.0,4800.0,4.0,0.0,6000.0,17.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gym,Alumni Gym,Dartmouth College",11478.0,3782.0,61.0,573.9,890.0649237112159,91.0,217.0,519.5,20.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
12:05:2013,77926.0,1800.0,3000.0,4800.0,4200.0,-1.0,0.0,0.0,17.0,"Berry Sports Center Parking Lot,Berry Sports Center,Berry Sports Center,Berry Sports Center,0,South Block Parking Garage,South Block Parking Garage,0,Dartmouth College,Bartlett Hall,Bartlett Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Little Hall,Dartmouth College",856.0,716.0,140.0,428.0,407.29350596345137,284.0,428.0,572.0,2.0,1.0,4200.0,1200.0,600.0,700.0,244.94897427831785,600.0,600.0,600.0,6.0,1.0
13:04:2013,87600.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,17.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",11101.0,1472.0,50.0,358.0967741935484,406.5399820303623,80.5,141.0,524.5,31.0,1.0,483.0,483.0,483.0,483.0,,483.0,483.0,483.0,1.0,4.0
13:05:2013,76198.0,0.0,0.0,6002.0,0.0,0.0,0.0,6900.0,17.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College",121.0,121.0,121.0,121.0,,121.0,121.0,121.0,1.0,,6053.0,1856.0,600.0,1008.8333333333334,632.8817951771616,600.0,601.0,1496.75,6.0,
14:04:2013,144000.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,17.0,"Dartmouth College,Dartmouth College,Dartmouth College",15935.0,2614.0,51.0,306.4423076923077,416.3952408545695,91.0,167.0,357.75,52.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,2.0
14:05:2013,99001.0,0.0,0.0,16199.0,0.0,1.0,0.0,9600.0,17.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College",9954.0,1342.0,30.0,331.8,349.73175927884483,96.0,167.0,403.0,30.0,1.0,3600.0,1200.0,600.0,720.0,268.32815729997475,600.0,600.0,600.0,5.0,2.0
15:04:2013,3600.0,0.0,0.0,25200.0,0.0,0.0,0.0,6900.0,17.0,"Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Rauner Hall,Sudikoff Hall",29564.0,4256.0,80.0,547.4814814814815,775.8009066896,202.0,252.0,373.0,54.0,0.0,,,,,,,,,,2.0
15:05:2013,43802.0,0.0,3600.0,17398.0,0.0,2.0,0.0,13500.0,17.0,"Dartmouth College,Dartmouth College,Dartmouth College,Little Hall,Dartmouth College,Dartmouth College,Dartmouth College,Bartlett Hall,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,McNutt Hall,Dartmouth College,Dartmouth College,Sanborn House,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",16436.0,3540.0,30.0,498.06060606060606,803.0273944344125,111.0,142.0,384.0,33.0,1.0,3000.0,1200.0,600.0,750.0,300.0,600.0,600.0,750.0,4.0,2.6666666666666665
16:04:2013,72000.0,0.0,0.0,1201.0,0.0,1.0,1.0,9600.0,17.0,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College",10134.0,2210.0,60.0,375.3333333333333,438.8394660044569,101.0,232.0,454.0,27.0,1.0,6491.0,6491.0,6491.0,6491.0,,6491.0,6491.0,6491.0,1.0,1.0
16:05:2013,61998.0,0.0,0.0,43198.0,0.0,3.0,0.0,9900.0,17.0,"Parker House,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall",20241.0,2371.0,60.0,493.6829268292683,530.3132771779522,120.0,303.0,626.0,41.0,1.0,600.0,600.0,600.0,600.0,,600.0,600.0,600.0,1.0,2.0
17:04:2013,89638.0,2400.0,2761.0,7200.0,2400.0,2.0,1.0,13500.0,17.0,"Dartmouth College,Hanover Country Club,Dartmouth College,Dartmouth College,Alumni Gym,0,Alumni Gym,Dartmouth College,Thel,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College",22162.0,3381.0,51.0,764.2068965517242,965.0957901868876,100.0,353.0,867.0,29.0,1.0,1197.0,1197.0,1197.0,1197.0,,1197.0,1197.0,1197.0,1.0,1.0
17:05:2013,51146.0,0.0,0.0,17402.0,0.0,4.0,0.0,6000.0,17.0,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall",10786.0,1814.0,41.0,513.6190476190476,440.2090953388487,212.0,353.0,626.0,21.0,2.0,6600.0,1200.0,600.0,660.0,189.73665961010275,600.0,600.0,600.0,10.0,4.0
18:04:2013,50400.0,0.0,0.0,15600.0,0.0,3.0,0.0,9900.0,17.0,"Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center",33299.0,6022.0,30.0,723.8913043478261,1187.2709739989784,231.25,312.5,501.5,46.0,1.0,4802.0,3601.0,1201.0,2401.0,1697.056274847714,1801.0,2401.0,3001.0,2.0,1.5
18:05:2013,56477.0,0.0,0.0,33601.0,0.0,5.0,0.0,0.0,17.0,"Sudikoff Hall,Kemeny Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall",6256.0,1322.0,131.0,481.2307692307692,331.6715629067793,303.0,343.0,565.0,13.0,1.0,6603.0,603.0,600.0,600.2727272727273,0.9045340337332908,600.0,600.0,600.0,11.0,1.0
19:04:2013,82800.0,2400.0,0.0,12000.0,2400.0,4.0,0.0,6000.0,17.0,"Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Collis Student Center,Bartlett Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gym,Alumni Gym,0,Rauner Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Steele Hall,Dartmouth College",28203.0,3892.0,40.0,640.9772727272727,922.3411437846466,161.75,288.0,650.25,44.0,1.0,4801.0,2400.0,1198.0,1600.3333333333333,692.5361603074119,1200.5,1203.0,1801.5,3.0,2.3333333333333335
19:05:2013,70200.0,0.0,0.0,4800.0,0.0,-1.0,0.0,0.0,17.0,"Sudikoff Hall,Dartmouth College,Dartmouth College,Parker House",234.0,234.0,234.0,234.0,,234.0,234.0,234.0,1.0,1.0,600.0,600.0,600.0,600.0,,600.0,600.0,600.0,1.0,2.5
20:04:2013,93600.0,2401.0,1199.0,0.0,49200.0,5.0,0.0,0.0,17.0,"Dartmouth College,0,0,Hood Museum of Art,Dartmouth College,Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College",15150.0,1694.0,40.0,329.3478260869565,297.92275041928457,121.0,262.5,453.0,46.0,1.0,2400.0,2400.0,2400.0,2400.0,,2400.0,2400.0,2400.0,1.0,2.0
20:05:2013,48600.0,0.0,0.0,42416.0,0.0,0.0,0.0,6900.0,17.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College",,,,,,,,,,,2401.0,600.0,1.0,480.2,267.8809437044748,600.0,600.0,600.0,5.0,2.25
21:04:2013,22800.0,0.0,0.0,10800.0,0.0,-1.0,0.0,0.0,17.0,"Sudikoff Hall,Sudikoff Hall,Dartmouth College",4759.0,1422.0,50.0,226.6190476190476,290.9882259113719,71.0,171.0,221.0,21.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0
22:04:2013,49198.0,0.0,0.0,8400.0,14402.0,0.0,0.0,6900.0,17.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Mass Parking Lot,Wheeler Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,0,Mass Parking Lot",20664.0,4307.0,60.0,765.3333333333334,1069.3260638220834,86.0,363.0,913.0,27.0,0.0,,,,,,,,,,3.0
22:05:2013,53401.0,600.0,2999.0,12600.0,0.0,2.0,0.0,13500.0,17.0,"Dartmouth College,Jewel of India,0,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College",29949.0,3126.0,50.0,831.9166666666666,918.6313849573024,158.75,479.5,1159.5,36.0,1.0,1196.0,599.0,597.0,598.0,1.4142135623730951,597.5,598.0,598.5,2.0,1.0
23:04:2013,144295.0,0.0,0.0,24003.0,1199.0,1.0,0.0,9600.0,17.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College",21261.0,4912.0,40.0,644.2727272727273,947.5933421280748,141.0,295.0,717.0,33.0,1.0,31243.0,15651.0,15592.0,15621.5,41.71930009000631,15606.75,15621.5,15636.25,2.0,1.0
23:05:2013,54001.0,0.0,1201.0,44998.0,0.0,3.0,0.0,9900.0,17.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall,Dartmouth College,Jewel of India,Jewel of India,Wilson Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall",13956.0,3559.0,70.0,581.5,904.639827440349,138.5,242.0,496.75,24.0,1.0,2312.0,600.0,513.0,578.0,43.3358973600409,577.5,599.5,600.0,4.0,3.0
24:05:2013,83289.0,0.0,0.0,1799.0,0.0,4.0,1.0,6000.0,17.0,"Sudikoff Hall,Sanborn House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College",10971.0,3288.0,50.0,914.25,1028.379848906212,232.25,398.0,1732.0,12.0,1.0,1203.0,603.0,600.0,601.5,2.1213203435596424,600.75,601.5,602.25,2.0,1.6666666666666667
25:04:2013,56038.0,0.0,0.0,44515.0,1200.0,3.0,0.0,9900.0,17.0,"Mass Parking Lot,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall",9996.0,2734.0,40.0,476.0,710.7583274221977,111.0,152.0,313.0,21.0,,,,,,,,,,,
25:05:2013,79952.0,0.0,3000.0,1760.0,0.0,5.0,0.0,0.0,17.0,"Dartmouth College,Jewel of India,Jewel of India,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College",,,,,,,,,,,1623.0,600.0,423.0,541.0,102.19099764656376,511.5,600.0,600.0,3.0,
26:04:2013,56399.0,0.0,0.0,6000.0,22800.0,4.0,0.0,6000.0,17.0,"Dartmouth College,Mass Parking Lot,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Anonymous Hall,Collis Student Center,Collis Student Center,Mass Parking Lot",21493.0,4267.0,50.0,228.6489361702128,483.311109035511,91.0,121.0,181.0,94.0,0.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,3.0
26:05:2013,64200.0,0.0,0.0,7800.0,0.0,-1.0,0.0,0.0,17.0,"Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",,,,,,,,,,,1200.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,2.0,
27:03:2013,46801.0,0.0,0.0,7199.0,0.0,2.0,1.0,13500.0,17.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Collis Student Center,Collis Student Center,Dartmouth College",21485.0,3550.0,40.0,740.8620689655172,803.9418388761507,201.0,403.0,918.0,29.0,1.0,3598.0,1200.0,1.0,899.5,599.0016694467554,898.0,1198.5,1200.0,4.0,
27:04:2013,73086.0,0.0,0.0,8400.0,1200.0,5.0,0.0,0.0,17.0,"Mass Parking Lot,Sudikoff Hall,Sudikoff Hall,Dartmouth College",10021.0,4529.0,61.0,527.421052631579,1022.87320360017,111.0,252.0,421.0,19.0,,3707.0,1307.0,1200.0,1235.6666666666667,61.776478803289955,1200.0,1200.0,1253.5,3.0,
27:05:2013,69000.0,0.0,0.0,20314.0,0.0,0.0,0.0,6900.0,17.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",,,,,,,,,,,1704.0,600.0,504.0,568.0,55.42562584220407,552.0,600.0,600.0,3.0,
28:03:2013,58804.0,0.0,0.0,20397.0,0.0,3.0,0.0,9900.0,17.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",29824.0,4993.0,61.0,1065.142857142857,1347.6796716410388,130.75,438.5,1366.75,28.0,1.0,4748.0,1202.0,1149.0,1187.0,25.41653005427767,1185.0,1198.5,1200.5,4.0,1.0
28:04:2013,84018.0,0.0,0.0,0.0,3696.0,-1.0,0.0,0.0,17.0,"Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Mass Parking Lot,Dartmouth College,Dartmouth College",13937.0,2722.0,51.0,435.53125,545.8698878632218,115.25,237.0,479.75,32.0,0.0,1270.0,1270.0,1270.0,1270.0,,1270.0,1270.0,1270.0,1.0,3.0
28:05:2013,74400.0,0.0,0.0,10286.0,0.0,1.0,0.0,9600.0,17.0,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Collis Student Center",,,,,,,,,,,,,,,,,,,,3.0
29:03:2013,52801.0,0.0,0.0,33600.0,0.0,4.0,0.0,6000.0,17.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Anonymous Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall",27317.0,8375.0,50.0,881.1935483870968,1874.894440039312,90.5,222.0,630.5,31.0,1.0,2403.0,1203.0,1200.0,1201.5,2.1213203435596424,1200.75,1201.5,1202.25,2.0,1.0
29:04:2013,64769.0,0.0,0.0,7201.0,1200.0,0.0,0.0,6900.0,17.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Mass Parking Lot,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Byrne II Hall,Dartmouth College,Dartmouth College",9359.0,4246.0,30.0,623.9333333333333,1075.5579592981142,76.0,363.0,483.5,15.0,0.0,1198.0,1198.0,1198.0,1198.0,,1198.0,1198.0,1198.0,1.0,3.0
29:05:2013,25200.0,0.0,2993.0,600.0,0.0,2.0,1.0,13500.0,17.0,"Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall",25252.0,6297.0,41.0,870.7586206896551,1282.777863387901,131.0,373.0,1109.0,29.0,,,,,,,,,,,
