,home_time,school_time,travel_time,orthers,working,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
05:05:2013,81600.0,1200.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,53.0,"Dartmouth College,South Massachusetts Hall,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",2687,1263.0,30.0,298.55555555555554,381.6104398175944,71.0,182.0,344.0,9.0,,10770.0,2400.0,1082.0,1346.25,429.473348582723,1188.0,1206.0,1231.0,8.0,
06:04:2013,86262.0,2398.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College",1506,587.0,80.0,215.14285714285717,182.6767897785855,96.0,121.0,263.0,7.0,0.0,10754.0,2389.0,1186.0,1344.25,422.2740308648605,1188.5,1190.0,1211.25,8.0,3.0
06:05:2013,80042.0,6000.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Thomas Hall,Thomas Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",1143,435.0,41.0,163.28571428571428,145.93687480747087,65.5,71.0,232.5,7.0,,2375.0,1188.0,1187.0,1187.5,0.7071067811865476,1187.25,1187.5,1187.75,2.0,
07:04:2013,91201.0,1199.0,0.0,4800.0,0.0,0.0,-1.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Maven,Maven,Dartmouth College",8028,2184.0,30.0,535.2,699.3220390390354,106.0,192.0,738.0,15.0,0.0,3601.0,1201.0,1200.0,1200.3333333333333,0.5773502691896258,1200.0,1200.0,1200.5,3.0,3.0
08:04:2013,73063.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,"Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",8363,3499.0,30.0,696.9166666666666,967.5076187939,71.0,444.5,861.75,12.0,0.0,16770.0,3601.0,1187.0,1524.5454545454545,775.9517206162203,1188.5,1200.0,1212.5,11.0,3.0
08:05:2013,64147.0,21182.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,53.0,"Thomas Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Class of 1953 Commons,Rockefeller Center,Dartmouth College,Dartmouth College",1203,344.0,71.0,171.85714285714286,110.23373435784616,76.0,131.0,252.5,7.0,,2374.0,1188.0,1186.0,1187.0,1.4142135623730951,1186.5,1187.0,1187.5,2.0,
09:04:2013,81701.0,11999.0,1201.0,2401.0,0.0,0.0,1.0,0.0,0.0,53.0,"Dartmouth College,Dick's House,Dick's House,0,Dartmouth College,Dartmouth College,Rockefeller Center,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Vail,Class of 1953 Commons,Dartmouth College,Dartmouth College",5610,2891.0,61.0,467.5,837.7349873861716,88.5,121.5,265.75,12.0,2.0,13066.0,2402.0,1149.0,1306.6,385.1164903131403,1187.25,1188.0,1188.75,10.0,5.0
09:05:2013,35223.0,8399.0,0.0,42000.0,0.0,0.0,3.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,0,Thomas Hall,Dartmouth College,Dartmouth College,Thomas Hall",1698,697.0,41.0,283.0,267.47411089673705,71.0,202.0,447.0,6.0,,14436.0,2400.0,1184.0,1443.6,501.4062890178649,1188.0,1200.0,1271.75,10.0,
10:04:2013,67200.0,6000.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,53.0,"Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College",6348,1658.0,81.0,453.4285714285714,438.4638769939565,192.0,303.5,488.25,14.0,1.0,8378.0,1202.0,1187.0,1196.857142857143,6.229729031789731,1193.5,1200.0,1201.0,7.0,
10:05:2013,45603.0,0.0,0.0,39597.0,2400.0,0.0,4.0,0.0,0.0,53.0,"Goldstein Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Goldstein Hall,0,Thomas Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",383,131.0,60.0,95.75,31.468237955119125,75.75,96.0,116.0,4.0,,10597.0,1191.0,1098.0,1177.4444444444443,29.84171204501809,1186.0,1187.0,1188.0,9.0,
11:04:2013,74402.0,8400.0,2398.0,0.0,0.0,0.0,3.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Dana Circle Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Remsen Medical Sciences Building,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Remsen Medical Sciences Building,Vail,Life Sciences Greenhouse,Dana Circle Parking Lot,Class of 1978 Life Sciences Center",16378,2578.0,51.0,564.7586206896551,739.6839892419509,111.0,222.0,637.0,29.0,2.0,8390.0,1202.0,1188.0,1198.571428571429,4.720774754816659,1200.0,1200.0,1200.0,7.0,1.0
11:05:2013,75604.0,0.0,4801.0,0.0,0.0,7199.0,5.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Maynard Parking Lot,Thomas Hall,Maynard Parking Lot,Thomas Hall,Maynard Parking Lot,Thomas Hall,Hood Museum of Art,Hopkins Center for the Arts,Dartmouth College",3600,1011.0,91.0,514.2857142857143,447.7889064748084,156.5,223.0,981.0,7.0,,20336.0,3600.0,1188.0,2033.6,810.1677741197944,1201.25,2345.0,2399.75,10.0,
12:04:2013,85885.0,1200.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Dartmouth College,Native American House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",9799,4337.0,71.0,699.9285714285714,1179.7516990572935,106.0,233.0,558.75,14.0,1.0,11984.0,2414.0,1185.0,1498.0,557.5008007681629,1186.0,1205.0,1508.25,8.0,3.0
12:05:2013,97193.0,1199.0,10799.0,0.0,0.0,0.0,-1.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Maynard Parking Lot,Goldstein Hall,Thomas Hall,Thomas Hall,Maynard Parking Lot,Goldstein Hall,Thomas Hall,Maynard Parking Lot,Byrne II Hall,Dartmouth College,Thomas Hall,Thomas Hall,Dartmouth College,Dartmouth College,Kemeny Hall,Maynard Parking Lot,Thomas Hall,Thomas Hall,Maynard Parking Lot,Thomas Hall",596,596.0,596.0,596.0,,596.0,596.0,596.0,1.0,,2389.0,1201.0,1188.0,1194.5,9.192388155425116,1191.25,1194.5,1197.75,2.0,
13:04:2013,105598.0,1200.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",10785,1931.0,40.0,539.25,614.6143741789386,98.5,308.5,632.0,20.0,2.0,17931.0,3612.0,1184.0,1494.25,750.2285863776332,1188.75,1189.0,1205.25,12.0,
13:05:2013,52796.0,0.0,8404.0,0.0,1198.0,0.0,0.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Goldstein Hall,Thomas Hall,Maynard Parking Lot,Thomas Hall,0,Thomas Hall,Thomas Hall,Thomas Hall,Thomas Hall,Maynard Parking Lot,Thomas Hall,Maynard Parking Lot,Thomas Hall,Thomas Hall,Dartmouth College,Dartmouth College",556,303.0,81.0,185.33333333333331,111.59898446371872,126.5,172.0,237.5,3.0,,10748.0,2399.0,1185.0,1535.428571428571,589.950522542034,1188.0,1189.0,1799.5,7.0,
14:04:2013,65872.0,0.0,0.0,0.0,0.0,2404.0,-1.0,0.0,0.0,53.0,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College",11021,2709.0,50.0,440.84,629.0130284819227,122.0,212.0,415.0,25.0,1.0,10015.0,2400.0,1096.0,1430.7142857142858,488.1293251744235,1165.5,1198.0,1495.0,7.0,5.0
14:05:2013,79202.0,5999.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53.0,"Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Goldstein Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Goldstein Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Thomas Hall,Thomas Hall",4589,849.0,71.0,254.94444444444449,212.71147877492268,96.0,162.0,348.0,18.0,,15533.0,3597.0,1189.0,1553.3,812.283892627585,1189.0,1190.0,1204.5,10.0,
15:04:2013,79201.0,3599.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,53.0,"Dartmouth College,Kemeny Hall,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College",2931,2255.0,91.0,586.2,939.64950912561,101.0,121.0,363.0,5.0,1.0,29974.0,3613.0,1187.0,2141.0,1071.2025593121607,1200.25,1799.5,3297.25,14.0,1.5
15:05:2013,62746.0,11999.0,1200.0,2401.0,0.0,8401.0,2.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Martha E. Diebold Real Estate,Martha E. Diebold Real Estate,Dartmouth College,0,Thomas Hall,Dartmouth College,Thomas Hall,Thomas Hall,Native American House,Native American House,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Thomas Hall",8105,3034.0,61.0,623.4615384615385,816.6474775348923,111.0,313.0,960.0,13.0,,3592.0,1206.0,1186.0,1197.3333333333333,10.263202878893768,1193.0,1200.0,1203.0,3.0,
16:04:2013,72000.0,13200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Native American House,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Vail,Remsen Medical Sciences Building,Life Sciences Greenhouse,Vail,Dartmouth College,Dartmouth College,Dartmouth College",2315,1375.0,70.0,463.0,536.6707556780042,71.0,354.0,445.0,5.0,1.0,28624.0,9601.0,1097.0,2602.181818181818,2940.87863803258,1188.0,1189.0,1793.0,11.0,1.0
16:05:2013,83999.0,2401.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Thomas Hall,Kemeny Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1610,415.0,51.0,230.0,143.27595750857853,112.0,233.0,343.5,7.0,1.0,4729.0,1200.0,1143.0,1182.25,26.688012290165037,1176.75,1193.0,1198.5,4.0,2.0
17:04:2013,88800.0,3600.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College",930,536.0,41.0,186.0,205.35457141247184,60.0,91.0,202.0,5.0,1.0,6000.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,5.0,2.5
17:05:2013,84002.0,3598.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Goldstein Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall",12939,4641.0,80.0,761.1176470588235,1146.9437585575492,111.0,314.0,849.0,17.0,1.0,8370.0,2400.0,1124.0,1395.0,494.50540947496216,1187.5,1195.0,1252.0,6.0,1.0
18:04:2013,75606.0,3597.0,1199.0,0.0,0.0,0.0,3.0,0.0,0.0,53.0,"Dartmouth College,Vail,Vail,Dartmouth College,Moore Psychology Building,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse",8324,4116.0,51.0,554.9333333333333,1173.8361084596988,75.5,101.0,223.0,15.0,2.0,13208.0,2402.0,1188.0,1320.8,379.93853304039703,1200.0,1201.5,1202.0,10.0,4.5
18:05:2013,75595.0,8402.0,2400.0,1199.0,0.0,0.0,5.0,0.0,0.0,53.0,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Goldstein Hall,Thomas Hall,Thomas Hall,Dartmouth College,Dartmouth College,0,Native American House,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,0,Thomas Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Goldstein Hall",677,172.0,61.0,112.83333333333331,49.80127173744328,73.5,101.0,158.5,6.0,,35974.0,8400.0,1189.0,2997.8333333333335,2533.6104254361576,1193.0,1805.5,3890.5,12.0,
19:04:2013,85767.0,2400.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons",12305,7826.0,31.0,1025.4166666666667,2172.0649771937105,93.25,359.0,758.25,12.0,,27473.0,3601.0,1186.0,1831.5333333333333,889.699537297096,1190.0,1213.0,2393.0,15.0,
19:05:2013,68397.0,2401.0,0.0,13204.0,0.0,1200.0,-1.0,0.0,0.0,53.0,"Thomas Hall,Thomas Hall,0,Thomas Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall",4379,3792.0,61.0,875.8,1633.5261552849406,81.0,122.0,323.0,5.0,1.0,40738.0,7198.0,1186.0,3133.6923076923076,1996.126389811668,1189.0,2400.0,4800.0,13.0,2.0
20:04:2013,84000.0,1200.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,53.0,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1072,1072.0,1072.0,1072.0,,1072.0,1072.0,1072.0,1.0,,23900.0,4800.0,1186.0,1707.142857142857,1127.7076719640572,1187.0,1188.0,1213.0,14.0,
20:05:2013,69602.0,16800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,"Thomas Hall,Thomas Hall,Goldstein Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Thomas Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Sudikoff Hall,Sudikoff Hall,Rauner Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Dartmouth College",4316,1445.0,40.0,359.6666666666667,384.5371085848385,128.5,237.5,457.75,12.0,,4789.0,2388.0,587.0,1197.25,846.0257580791103,596.75,907.0,1507.5,4.0,
21:04:2013,99601.0,2399.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College",950,455.0,51.0,190.0,158.927656498169,111.0,121.0,212.0,5.0,,34681.0,3601.0,1145.0,2040.0588235294117,1023.9052367399678,1187.0,1214.0,2401.0,17.0,
22:04:2013,62622.0,9596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Parkhurst Hall,Dartmouth College",8726,2619.0,40.0,459.2631578947368,712.8328339258841,70.0,162.0,439.5,19.0,,8357.0,2412.0,1157.0,1671.4,665.403486615452,1200.0,1200.0,2388.0,5.0,
22:05:2013,73311.0,11891.0,0.0,598.0,0.0,0.0,2.0,0.0,0.0,53.0,"Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Goldstein Hall,Dartmouth College,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Sudikoff Hall,Sudikoff Hall,Goldstein Hall,Dartmouth College,Dartmouth College,Robinson Hall,Collis Student Center,Collis Student Center,Winfred-Raven House,Thomas Hall,Thomas Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Byrne II Hall,0,Sudikoff Hall,Sudikoff Hall,Goldstein Hall,Thomas Hall",2799,941.0,80.0,311.0,266.1554996613822,121.0,252.0,303.0,9.0,1.0,5368.0,601.0,589.0,596.4444444444445,5.592653911854173,589.0,600.0,600.0,9.0,1.0
23:04:2013,73651.0,8400.0,0.0,2400.0,0.0,0.0,1.0,0.0,0.0,53.0,"Dartmouth College,Dick's House,Dick's House,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College",7837,1881.0,70.0,489.8125,557.140223971189,131.0,253.0,560.75,16.0,1.0,19224.0,2400.0,1168.0,1281.6,311.18065492572,1186.0,1188.0,1206.0,15.0,2.0
23:05:2013,81000.0,1802.0,5400.0,600.0,0.0,0.0,3.0,0.0,0.0,53.0,"Thomas Hall,Thomas Hall,Thomas Hall,Maynard Parking Lot,Maynard Parking Lot,Goldstein Hall,Thomas Hall,Thomas Hall,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Maynard Parking Lot,Maynard Parking Lot,Thomas Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Goldstein Hall,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Thomas Hall,Thomas Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Dartmouth College",10202,1820.0,40.0,443.5652173913044,527.2028095254628,71.0,263.0,511.0,23.0,,9561.0,2400.0,586.0,796.75,533.9354957636397,596.25,600.0,600.0,12.0,
24:04:2013,82910.0,6000.0,0.0,12000.0,0.0,0.0,2.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Kemeny Hall,0,Thomas Hall",2435,1840.0,60.0,811.6666666666666,921.687763471629,297.5,535.0,1187.5,3.0,,58899.0,58899.0,58899.0,58899.0,,58899.0,58899.0,58899.0,1.0,
