,home_time,school_time,recreational_activities,travel_time,orthers,working,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
09:05:2013,21000.0,45605.0,89566.0,0.0,0.0,0.0,3.0,0.0,6900.0,18.0,"House Center B,Black Family Visual Arts Center,Hood Museum of Art,Hood Museum of Art,Black Family Visual Arts Center,Hood Museum of Art,Black Family Visual Arts Center,Dartmouth College,House Center B,Dartmouth College,Dartmouth College,House Center B,House Center B,0,Hopkins Center for the Arts,Hopkins Center for the Arts",6567.0,3681.0,71.0,820.875,1206.10618313646,174.25,403.0,711.5,8.0,0.0,1852.0,652.0,600.0,617.3333333333334,30.02221399786054,600.0,600.0,626.0,3.0,3.0
10:04:2013,2400.0,8402.0,3599.0,0.0,1199.0,0.0,2.0,1.0,14400.0,18.0,"House Center B,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Rollins Chapel,Black Family Visual Arts Center",19101.0,5780.0,70.0,1061.1666666666667,1486.5832617507997,161.75,307.0,1507.0,18.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
10:05:2013,50886.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,6000.0,18.0,Life Sciences Greenhouse,,,,,,,,,,,,,,,,,,,,
11:04:2013,1201.0,75600.0,7200.0,0.0,0.0,0.0,3.0,0.0,6900.0,18.0,"Sudikoff Hall,Sudikoff Hall,House Center B,House Center B,Hopkins Center for the Arts,Hopkins Center for the Arts,Class of 1978 Life Sciences Center,Life Sciences Greenhouse",14696.0,3388.0,71.0,506.7586206896552,661.7286698582095,171.0,283.0,595.0,29.0,0.0,3600.0,1200.0,1.0,900.0,599.3335187244801,899.5,1199.5,1200.0,4.0,
11:05:2013,31203.0,38400.0,0.0,1200.0,0.0,0.0,5.0,0.0,0.0,18.0,"Dartmouth College,House Center B,Native American House Parking Lot,House Center B",13646.0,3510.0,81.0,1049.6923076923076,1109.530334917691,152.0,837.0,1331.0,13.0,0.0,6600.0,1200.0,600.0,660.0,189.73665961010275,600.0,600.0,600.0,10.0,3.0
12:04:2013,54000.0,31199.0,0.0,1200.0,0.0,0.0,4.0,0.0,6000.0,18.0,"Sudikoff Hall,House Center B,Dartmouth College,Sudikoff Hall,Sudikoff Hall,House Center B,House Center B,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Sudikoff Hall,Sudikoff Hall",10838.0,4446.0,90.0,903.1666666666666,1345.079979597924,111.0,211.5,1248.25,12.0,,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,3.0
12:05:2013,30600.0,50400.0,1200.0,0.0,600.0,0.0,-1.0,0.0,0.0,18.0,"Rollins Chapel,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,House Center B,0,Hopkins Center for the Arts,Dartmouth College,Dartmouth College",6426.0,918.0,71.0,378.0,318.33845981910514,141.0,222.0,716.0,17.0,,7800.0,1200.0,600.0,650.0,173.20508075688772,600.0,600.0,600.0,12.0,
13:04:2013,0.0,176401.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,"Sudikoff Hall,Sanborn House,House Center B",4769.0,988.0,81.0,366.84615384615387,297.16068777510657,131.0,313.0,565.0,13.0,,,,,,,,,,,
13:05:2013,56399.0,15601.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,18.0,"House Center B,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,House Center B,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,House Center B",10934.0,3146.0,71.0,546.7,705.5856917632703,161.75,257.5,660.25,20.0,,7431.0,1745.0,288.0,675.5454545454545,370.34912275753095,600.0,600.0,600.0,11.0,
14:05:2013,600.0,81600.0,9000.0,0.0,0.0,0.0,1.0,0.0,10500.0,18.0,"Dartmouth College,Sudikoff Hall,House Center B,House Center B,Hopkins Center for the Arts,Hopkins Center for the Arts,House Center B",11869.0,2381.0,70.0,456.5,552.2636508045772,129.25,257.0,473.75,26.0,,5486.0,686.0,600.0,609.5555555555555,28.666666666666668,600.0,600.0,600.0,9.0,
15:04:2013,16799.0,67271.0,1199.0,0.0,0.0,0.0,0.0,0.0,7800.0,18.0,"Dartmouth College,Dartmouth College,House Center B,House Center B,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,House Center B,House Center B,Dartmouth College,Dartmouth College,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,House Center B",20401.0,4290.0,70.0,784.6538461538462,1091.9145732998602,113.0,438.5,920.75,26.0,0.0,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,3.0
15:05:2013,0.0,76800.0,0.0,0.0,0.0,0.0,2.0,0.0,14400.0,18.0,"Sudikoff Hall,Sudikoff Hall,Collis Student Center,Collis Student Center,House Center B,House Center B,Sudikoff Hall",11961.0,2461.0,70.0,478.44,561.4689869737538,111.0,303.0,545.0,25.0,0.0,1200.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,2.0,3.0
16:04:2013,1197.0,91203.0,8400.0,0.0,0.0,0.0,1.0,0.0,10500.0,18.0,"House Center B,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,House Center B,House Center B,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,House Center B",12314.0,2058.0,40.0,362.1764705882353,376.5435682939352,121.0,292.5,456.25,34.0,0.0,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,3.0
16:05:2013,154800.0,3600.0,6000.0,0.0,0.0,0.0,3.0,1.0,6900.0,18.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hood Museum of Art,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College",5335.0,2876.0,60.0,410.38461538461536,764.2235207997657,101.0,121.0,242.0,13.0,,1200.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,2.0,
17:04:2013,10798.0,58803.0,0.0,0.0,0.0,0.0,2.0,0.0,14400.0,18.0,"House Center B,Sudikoff Hall,Sudikoff Hall,Dartmouth College,House Center B,House Center B,Sudikoff Hall,Sudikoff Hall,Hitchcock Hall,House Center B,Dartmouth College,House Center B,Life Sciences Greenhouse,Life Sciences Greenhouse,Berry Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College",15543.0,4903.0,40.0,777.15,1316.3851729961907,81.0,136.0,857.0,20.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,2.0
17:05:2013,0.0,11400.0,0.0,0.0,0.0,0.0,4.0,0.0,6000.0,18.0,"Webster Hall,Sudikoff Hall,Sudikoff Hall,House Center B",15677.0,4873.0,60.0,653.2083333333334,1048.3583845881292,136.0,307.5,580.25,24.0,0.0,1800.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,3.0,3.0
18:04:2013,76799.0,8400.0,0.0,1200.0,0.0,0.0,3.0,0.0,6900.0,18.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,Dartmouth College,House Center B,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Life Sciences Greenhouse",18960.0,2764.0,71.0,677.1428571428571,696.8677388878363,246.75,433.5,824.5,28.0,0.0,3582.0,1200.0,1182.0,1194.0,10.392304845413264,1191.0,1200.0,1200.0,3.0,3.0
18:05:2013,29397.0,217203.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,"Dartmouth College,Sanborn House,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,House Center B,Dartmouth College,Dartmouth College,House Center B",10181.0,1321.0,71.0,290.8857142857143,287.9865980775301,121.0,151.0,312.0,35.0,0.0,1200.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,2.0,3.0
19:04:2013,55200.0,21600.0,9600.0,0.0,0.0,0.0,4.0,0.0,6000.0,18.0,"Dartmouth College,House Center B,House Center B,Berry Sports Center,Berry Sports Center,Berry Sports Center,Robinson Hall,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts",20640.0,5124.0,71.0,1376.0,1576.5402446043497,227.5,655.0,1967.0,15.0,0.0,6910.0,1200.0,929.0,1151.6666666666667,109.34837294933412,1185.75,1200.0,1200.0,6.0,3.0
20:04:2013,69056.0,19200.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,"House Center B,House Center B,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,House Center B,Dartmouth College,Dartmouth College,House Center B,Dartmouth College",8771.0,1352.0,71.0,398.6818181818182,356.5479178861065,161.0,236.5,590.5,22.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,2.0
20:05:2013,600.0,14400.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,18.0,"House Center B,Dartmouth College,Sudikoff Hall,Sudikoff Hall,House Center B",18378.0,4358.0,81.0,1021.0,1283.6401364868582,141.0,444.0,1230.75,18.0,0.0,600.0,600.0,600.0,600.0,,600.0,600.0,600.0,1.0,3.0
21:04:2013,86400.0,3600.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,18.0,"Dartmouth College,Dartmouth College,House Center B,House Center B,Dartmouth College,House Center B,Dartmouth College",18663.0,1715.0,70.0,518.4166666666666,470.4405458108996,158.5,358.0,790.25,36.0,0.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,3.0
22:04:2013,10695.0,64905.0,10800.0,0.0,0.0,0.0,0.0,0.0,7800.0,18.0,"House Center B,Baker Memorial Library,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,House Center B,House Center B,Robinson Hall,Collis Student Center,House Center B,House Center B,Sudikoff Hall,Sudikoff Hall,Dartmouth College",16499.0,4246.0,30.0,687.4583333333334,942.9246352459048,85.75,515.0,820.0,24.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,3.0
22:05:2013,0.0,19200.0,0.0,0.0,0.0,0.0,2.0,0.0,14400.0,18.0,"House Center B,Parker House,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",18511.0,3812.0,71.0,974.2631578947368,987.7398354101856,312.0,534.0,1411.0,19.0,0.0,9600.0,1200.0,600.0,640.0,154.91933384829667,600.0,600.0,600.0,15.0,3.0
23:04:2013,1200.0,79477.0,7200.0,0.0,0.0,0.0,1.0,0.0,10500.0,18.0,"House Center B,Sudikoff Hall,Sudikoff Hall,House Center B,House Center B,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Dartmouth College,House Center B",12187.0,1453.0,60.0,369.3030303030303,331.2711771389571,121.0,202.0,575.0,33.0,0.0,1174.0,1174.0,1174.0,1174.0,,1174.0,1174.0,1174.0,1.0,3.0
23:05:2013,6596.0,67804.0,7800.0,0.0,0.0,0.0,3.0,0.0,6900.0,18.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sanborn House,Dartmouth College,House Center B,House Center B,Dartmouth College,Dartmouth College,House Center B,House Center B,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Life Sciences Greenhouse,House Center B",21583.0,8230.0,61.0,599.5277777777778,1386.2151860600477,113.5,211.5,426.5,36.0,,6120.0,720.0,481.0,612.0,67.72657446592798,600.0,600.0,600.0,10.0,
24:04:2013,6000.0,73200.0,0.0,0.0,0.0,0.0,2.0,0.0,14400.0,18.0,"House Center B,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,House Center B,House Center B,Dartmouth Hall,Dartmouth Hall,Dartmouth College",20229.0,4993.0,51.0,1011.45,1281.1310576370029,121.0,439.0,1603.25,20.0,,1163.0,1163.0,1163.0,1163.0,,1163.0,1163.0,1163.0,1.0,
24:05:2013,18492.0,75712.0,0.0,0.0,0.0,0.0,4.0,0.0,6000.0,18.0,"House Center B,Life Sciences Greenhouse,Life Sciences Greenhouse,Guarini Institute for International Education,Life Sciences Greenhouse,Life Sciences Greenhouse,House Center B,House Center B,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,House Center B",15733.0,4438.0,50.0,1573.3,1414.6853635270909,574.5,998.0,2582.5,10.0,0.0,600.0,600.0,600.0,600.0,,600.0,600.0,600.0,1.0,3.0
25:04:2013,7200.0,72000.0,7200.0,0.0,0.0,0.0,3.0,0.0,6900.0,18.0,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,House Center B,House Center B,Hopkins Center for the Arts,Hopkins Center for the Arts,Life Sciences Greenhouse,Life Sciences Greenhouse",15421.0,2078.0,50.0,531.7586206896551,568.5166573242795,101.0,262.0,998.0,29.0,,1121.0,1121.0,1121.0,1121.0,,1121.0,1121.0,1121.0,1.0,
25:05:2013,67800.0,11400.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,"House Center B,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,House Center B",8589.0,4195.0,70.0,505.2352941176471,972.5605719832932,141.0,201.0,373.0,17.0,0.0,,,,,,,,,,
26:04:2013,59200.0,25201.0,1200.0,3199.0,0.0,0.0,4.0,0.0,6000.0,18.0,"Dartmouth College,House Center B,House Center B,Sudikoff Hall,Dana Circle Parking Lot,Life Sciences Greenhouse,Dana Circle Parking Lot,Dartmouth College,Dartmouth College,House Center B,Baker Memorial Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Dartmouth College,House Center B",28426.0,6697.0,70.0,980.2068965517242,1352.36214980916,202.0,394.0,1351.0,29.0,0.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,3.0
26:05:2013,0.0,21185.0,0.0,217800.0,0.0,0.0,-1.0,0.0,0.0,18.0,"House Center B,Sanborn House,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Mass Parking Lot",6427.0,968.0,40.0,292.1363636363636,206.39843471502843,204.25,227.5,317.75,22.0,0.0,9000.0,1200.0,600.0,642.8571428571429,160.35674514745466,600.0,600.0,600.0,14.0,3.0
27:03:2013,4799.0,43201.0,0.0,0.0,0.0,0.0,2.0,0.0,14400.0,18.0,"House Center B,House Center B,Wheeler Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College",16235.0,4407.0,60.0,901.9444444444443,1347.250728759792,87.75,161.0,897.0,18.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
27:04:2013,62400.0,21600.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",10050.0,1765.0,81.0,528.9473684210526,471.5678899732266,222.0,302.0,776.0,19.0,,,,,,,,,,,
28:03:2013,15600.0,63603.0,7198.0,0.0,0.0,0.0,3.0,0.0,6900.0,18.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,House Center B,House Center B,Hopkins Center for the Arts,Hopkins Center for the Arts,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",15161.0,2474.0,51.0,606.44,702.0433319959674,172.0,333.0,746.0,25.0,1.0,5664.0,2398.0,956.0,1416.0,662.3735099373062,1071.5,1155.0,1499.5,4.0,
28:04:2013,4802.0,158475.0,1123.0,0.0,0.0,0.0,-1.0,0.0,0.0,18.0,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,House Center B",6122.0,1049.0,20.0,278.27272727272725,274.24844173159454,98.5,181.5,352.75,22.0,,2522.0,1332.0,1190.0,1261.0,100.40916292848976,1225.5,1261.0,1296.5,2.0,
28:05:2013,1199.0,9603.0,7800.0,0.0,598.0,0.0,1.0,0.0,10500.0,18.0,"House Center B,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Rollins Chapel,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Sudikoff Hall",21989.0,4047.0,40.0,709.3225806451613,903.4468583189891,166.0,302.0,938.0,31.0,0.0,6000.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,10.0,3.0
29:03:2013,3598.0,81603.0,0.0,0.0,0.0,0.0,4.0,0.0,6000.0,18.0,"Hallgarten Hall,Hallgarten Hall,House Center B,House Center B,Dartmouth College,Sudikoff Hall,Sudikoff Hall,House Center B,Dartmouth College,House Center B,House Center B,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall",16514.0,4841.0,71.0,971.4117647058824,1464.6177427414093,101.0,312.0,927.0,17.0,,3599.0,1200.0,1.0,899.75,599.1674084371857,898.75,1199.0,1200.0,4.0,1.0
29:04:2013,1200.0,9600.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,18.0,"House Center B,Hitchcock Hall,Sudikoff Hall",15208.0,4215.0,60.0,661.2173913043479,866.4757750651219,181.5,433.0,797.5,23.0,0.0,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,3.0
29:05:2013,3599.0,78006.0,0.0,0.0,0.0,1195.0,2.0,0.0,14400.0,18.0,"Sudikoff Hall,House Center B,House Center B,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,House Center B,Parker House,Life Sciences Greenhouse",18786.0,2986.0,31.0,521.8333333333334,689.4837198948209,131.0,207.0,611.0,36.0,,2286.0,1201.0,485.0,762.0,384.5087775331013,542.5,600.0,900.5,3.0,
30:03:2013,171597.0,74401.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,"Dartmouth College,House Center B,House Center B,Dartmouth College,Dartmouth College,House Center B,House Center B,Dartmouth College,Dartmouth College,House Center B,House Center B,Dartmouth College,House Center B,House Center B,Dartmouth College",12208.0,5849.0,71.0,436.0,1077.4891938961443,133.5,186.5,307.75,28.0,1.0,4800.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,4.0,
30:04:2013,0.0,104400.0,0.0,0.0,0.0,0.0,1.0,0.0,10500.0,18.0,"Sudikoff Hall,Sudikoff Hall,House Center B",7433.0,1805.0,50.0,285.88461538461536,362.4217793591414,73.25,182.0,372.75,26.0,0.0,3527.0,1232.0,1139.0,1175.6666666666667,49.52103929981007,1147.5,1156.0,1194.0,3.0,3.0
30:05:2013,0.0,12000.0,0.0,0.0,0.0,0.0,3.0,0.0,6900.0,18.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,House Center B",7462.0,1936.0,40.0,414.55555555555554,553.5101064194733,63.25,176.5,468.75,18.0,,1800.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,3.0,
