,home_time,orthers,school_time,travel_time,working,recreational_activities,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
07:04:2013,153175.0,0.0,0.0,1200.0,0.0,0.0,0.0,-1.0,0.0,0.0,43.0,"0,0,0,0",1926.0,1341.0,222.0,642.0,609.4431884925781,292.5,363.0,852.0,3.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
08:04:2013,13200.0,0.0,2401.0,0.0,4800.0,0.0,0.0,0.0,1.0,7800.0,43.0,"Wheelock Office Park,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College",13393.0,1938.0,40.0,382.6571428571429,462.2337034862943,106.0,181.0,337.5,35.0,1.0,11952.0,2400.0,1171.0,1494.0,559.2844918797077,1193.25,1200.0,1500.0,8.0,2.0
08:05:2013,58130.0,0.0,22798.0,0.0,4800.0,0.0,0.0,2.0,0.0,14400.0,43.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Wheelock Office Park,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",11937.0,1552.0,40.0,497.375,393.9468969400516,149.25,418.5,682.75,24.0,1.0,1557.0,1199.0,358.0,778.5,594.6768029778865,568.25,778.5,988.75,2.0,2.6666666666666665
09:04:2013,1199.0,0.0,67200.0,0.0,12000.0,0.0,0.0,1.0,0.0,10500.0,43.0,"Dartmouth College,Anonymous Hall,Anonymous Hall,Wheelock Office Park",26322.0,4054.0,70.0,674.9230769230769,800.5102775439184,217.0,434.0,826.5,39.0,2.0,7196.0,1200.0,1196.0,1199.3333333333333,1.632993161855452,1200.0,1200.0,1200.0,6.0,4.0
09:05:2013,0.0,0.0,164400.0,0.0,0.0,0.0,0.0,3.0,0.0,6900.0,43.0,"Sudikoff Hall,Sudikoff Hall",,,,,,,,,,,7146.0,2337.0,1209.0,1786.5,634.3587313184867,1251.75,1800.0,2334.75,4.0,
10:04:2013,3599.0,0.0,76802.0,0.0,5999.0,0.0,0.0,2.0,0.0,14400.0,43.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Sudikoff Hall,Wheelock Office Park,Class of 1978 Life Sciences Center,Dartmouth College,Sudikoff Hall",24040.0,5203.0,51.0,616.4102564102565,917.08074367438,111.0,263.0,856.5,39.0,,13201.0,3602.0,1.0,1885.857142857143,1361.0296872308882,1199.5,1200.0,2999.5,7.0,
10:05:2013,0.0,0.0,0.0,0.0,13200.0,0.0,0.0,4.0,1.0,6000.0,43.0,Wheelock Office Park,,,,,,,,,,,1198.0,1198.0,1198.0,1198.0,,1198.0,1198.0,1198.0,1.0,
11:04:2013,2400.0,0.0,38417.0,38384.0,4803.0,1196.0,0.0,3.0,0.0,6900.0,43.0,"Anonymous Hall,Anonymous Hall,0,Wheelock Office Park,Hopkins Center for the Arts,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center",32069.0,4347.0,30.0,1034.483870967742,1005.7601394291364,302.5,776.0,1280.0,31.0,,8553.0,5999.0,1.0,1710.6,2462.7550223276367,153.0,1200.0,1200.0,5.0,
11:05:2013,86491.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,43.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",3124.0,1371.0,61.0,347.1111111111111,427.4088921759948,71.0,141.0,343.0,9.0,,978.0,978.0,978.0,978.0,,978.0,978.0,978.0,1.0,
12:04:2013,20400.0,0.0,33600.0,0.0,38400.0,0.0,0.0,4.0,0.0,6000.0,43.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Anonymous Hall,Anonymous Hall,Wheelock Office Park,Wheelock Office Park,Life Sciences Greenhouse,Dartmouth College",20556.0,2823.0,51.0,708.8275862068965,744.8513307540696,232.0,484.0,878.0,29.0,,8170.0,1200.0,970.0,1167.142857142857,86.93182879212226,1200.0,1200.0,1200.0,7.0,
12:05:2013,0.0,0.0,0.0,160801.0,0.0,0.0,0.0,-1.0,0.0,0.0,43.0,"Maynard Parking Lot,Maynard Parking Lot,0",12849.0,1976.0,60.0,377.9117647058824,460.89388561445617,121.0,202.0,383.0,34.0,,2391.0,1213.0,1178.0,1195.5,24.748737341529164,1186.75,1195.5,1204.25,2.0,
13:04:2013,3601.0,0.0,68400.0,1200.0,3600.0,3599.0,0.0,5.0,0.0,0.0,43.0,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,La Casa,Anonymous Hall,Anonymous Hall,Wheelock Office Park,Wheelock Office Park,0,0",21261.0,2622.0,60.0,685.8387096774194,760.6169906408961,166.0,343.0,932.0,31.0,2.0,10812.0,1200.0,341.0,1081.2,279.74822013136503,1199.25,1200.0,1200.0,10.0,
13:05:2013,10800.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,1.0,7800.0,43.0,"Wheelock Office Park,Dartmouth College,Dartmouth College",9842.0,2309.0,30.0,578.9411764705883,680.285001909883,80.0,333.0,911.0,17.0,1.0,1863.0,1106.0,757.0,931.5,246.7802666341051,844.25,931.5,1018.75,2.0,1.0
14:04:2013,8400.0,0.0,19200.0,8400.0,51600.0,0.0,0.0,-1.0,0.0,0.0,43.0,"0,0,Vail Dartmouth Medical School,Anonymous Hall,Anonymous Hall,0,Wheelock Office Park,Wheelock Office Park",4385.0,1522.0,60.0,438.5,547.0212772623911,90.25,151.0,786.25,10.0,1.0,5857.0,1201.0,1124.0,1171.4,31.89514069572354,1165.0,1166.0,1201.0,5.0,4.0
14:05:2013,75600.0,0.0,2400.0,0.0,3600.0,0.0,0.0,1.0,1.0,10500.0,43.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wheelock Office Park,Sudikoff Hall,Dartmouth College",29260.0,4925.0,50.0,812.7777777777778,1033.5801057105516,146.75,477.5,1086.0,36.0,2.0,5865.0,1203.0,1107.0,1173.0,41.75523919222593,1156.0,1196.0,1203.0,5.0,4.0
15:04:2013,0.0,0.0,122400.0,0.0,37200.0,0.0,0.0,0.0,0.0,7800.0,43.0,"Wheelock Office Park,Anonymous Hall",4457.0,1181.0,61.0,278.5625,275.8475348811368,151.0,201.0,257.0,16.0,,3463.0,1200.0,1099.0,1154.3333333333333,51.189191567491406,1131.5,1164.0,1182.0,3.0,1.0
15:05:2013,9600.0,0.0,62400.0,0.0,517676.0,0.0,0.0,2.0,0.0,14400.0,43.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Wheelock Office Park",23630.0,3299.0,50.0,472.6,558.9941768890964,111.0,378.0,603.25,50.0,2.0,6004.0,2393.0,1195.0,1501.0,594.7004848380961,1203.25,1208.0,1505.75,4.0,5.0
16:04:2013,0.0,0.0,0.0,0.0,13200.0,0.0,0.0,1.0,1.0,10500.0,43.0,Wheelock Office Park,9653.0,2885.0,60.0,965.3,1132.319943989134,164.25,277.0,1766.75,10.0,,736.0,736.0,736.0,736.0,,736.0,736.0,736.0,1.0,
17:04:2013,3566.0,0.0,14435.0,62399.0,6000.0,0.0,0.0,2.0,0.0,14400.0,43.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,F Lot Parking,F Lot Parking,Wheelock Office Park,Life Sciences Greenhouse,0,0",19023.0,3601.0,81.0,760.92,891.7105715047529,211.0,393.0,959.0,25.0,,8100.0,1292.0,834.0,1157.142857142857,147.7920031343922,1181.0,1200.0,1206.0,7.0,
18:04:2013,0.0,0.0,70904.0,2400.0,10800.0,1200.0,0.0,3.0,0.0,6900.0,43.0,"Hood Museum of Art,Sudikoff Hall,Sudikoff Hall,0,Wheelock Office Park,0,Wheelock Office Park",10524.0,1872.0,70.0,751.7142857142857,515.8263614481477,391.5,690.5,1050.5,14.0,,14307.0,3602.0,1141.0,1589.6666666666667,854.7565442861494,1192.0,1200.0,1201.0,9.0,
19:04:2013,8400.0,0.0,12000.0,61200.0,4800.0,2400.0,0.0,4.0,0.0,6000.0,43.0,"Duende Tapas,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,F Lot Parking,0,0,0,0,Wheelock Office Park,0,Dartmouth College",19616.0,7797.0,90.0,1032.421052631579,1860.9978898963936,182.0,303.0,928.0,19.0,,4762.0,1221.0,1143.0,1190.5,33.331666624997915,1184.25,1199.0,1205.25,4.0,
20:04:2013,147617.0,0.0,3601.0,3600.0,0.0,8399.0,0.0,5.0,0.0,0.0,43.0,"Dartmouth College,Dartmouth College,Dartmouth College,0,Sudikoff Hall,Hopkins Center for the Arts,Class of 1953 Commons,Dartmouth College",,,,,,,,,,,,,,,,,,,,
21:04:2013,0.0,0.0,6000.0,0.0,3600.0,0.0,0.0,-1.0,0.0,0.0,43.0,"Wheelock Office Park,0,0",6671.0,1159.0,40.0,333.55,311.4959617884738,80.0,267.5,481.5,20.0,,6049.0,2398.0,1200.0,1512.25,590.9339359578756,1201.5,1225.5,1536.25,4.0,
22:04:2013,13200.0,0.0,7200.0,64800.0,6000.0,0.0,0.0,0.0,0.0,7800.0,43.0,"0,0,0,0,0,0,0,Wheelock Office Park,0,Dartmouth College",10743.0,3399.0,40.0,370.44827586206895,643.5008927847563,111.0,151.0,363.0,29.0,,9563.0,2380.0,1106.0,1366.142857142857,449.3967914777276,1199.0,1202.0,1238.5,7.0,
22:05:2013,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,2.0,1.0,14400.0,43.0,"Sudikoff Hall,Sudikoff Hall",2281.0,1695.0,101.0,456.2,693.0481224272958,151.0,162.0,172.0,5.0,2.0,,,,,,,,,,4.0
23:04:2013,12000.0,0.0,66000.0,0.0,3600.0,0.0,0.0,1.0,0.0,10500.0,43.0,"Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Wheelock Office Park,Dartmouth College",5617.0,1705.0,201.0,624.1111111111111,517.1814102528349,252.0,564.0,605.0,9.0,1.0,12505.0,2403.0,1039.0,1563.125,576.4567726328538,1193.5,1202.0,2014.75,8.0,1.0
24:04:2013,2400.0,0.0,72000.0,0.0,9600.0,0.0,0.0,2.0,0.0,14400.0,43.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Wheelock Office Park,Wheelock Office Park",,,,,,,,,,,3589.0,2401.0,1188.0,1794.5,857.7205255792821,1491.25,1794.5,2097.75,2.0,
25:04:2013,0.0,0.0,133374.0,19200.0,7200.0,0.0,0.0,3.0,0.0,6900.0,43.0,"Wheelock Office Park,0,0,Maynard Parking Lot,0,Sudikoff Hall",,,,,,,,,,,,,,,,,,,,
26:04:2013,14400.0,0.0,0.0,1200.0,3600.0,0.0,0.0,4.0,1.0,6000.0,43.0,"Wheelock Office Park,Life Sciences Greenhouse,0,Dartmouth College",16293.0,3550.0,61.0,708.3913043478261,884.275704596214,181.0,464.0,605.0,23.0,2.0,3439.0,2400.0,1039.0,1719.5,962.3723291948912,1379.25,1719.5,2059.75,2.0,4.0
27:04:2013,13200.0,21920.0,0.0,0.0,50400.0,0.0,0.0,5.0,0.0,0.0,43.0,"Dartmouth College,Wheelock Office Park,0",9543.0,2673.0,71.0,867.5454545454545,896.3214115077653,312.5,495.0,982.5,11.0,,5281.0,2881.0,1200.0,1760.3333333333333,970.5258025077608,1200.0,1200.0,2040.5,3.0,
28:03:2013,0.0,0.0,442980.0,0.0,0.0,0.0,0.0,3.0,0.0,6900.0,43.0,Sudikoff Hall,,,,,,,,,,,,,,,,,,,,
28:04:2013,0.0,0.0,140878.0,13922.0,0.0,0.0,0.0,-1.0,0.0,0.0,43.0,"F Lot Parking,F Lot Parking,F Lot Parking,0",26135.0,2228.0,50.0,442.96610169491527,452.7770238360728,151.0,293.0,509.5,59.0,,15506.0,3592.0,1088.0,1550.6,812.7641724387216,1164.5,1200.5,1280.25,10.0,
29:04:2013,13202.0,1198.0,0.0,0.0,4800.0,0.0,0.0,0.0,1.0,7800.0,43.0,"Wheelock Office Park,Life Sciences Greenhouse,0,Dartmouth College",28240.0,2955.0,70.0,656.7441860465116,666.9634491671318,156.0,363.0,943.0,43.0,1.0,11626.0,4804.0,939.0,1660.857142857143,1389.251288592939,1146.5,1195.0,1197.5,7.0,1.0
30:04:2013,2400.0,0.0,64800.0,0.0,15600.0,0.0,0.0,1.0,0.0,10500.0,43.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Wheelock Office Park",25566.0,2754.0,20.0,623.560975609756,714.6556880337724,172.0,293.0,846.0,41.0,,2396.0,1200.0,1196.0,1198.0,2.8284271247461903,1197.0,1198.0,1199.0,2.0,
27:03:2013,,,,,,,,,,,,,60.0,60.0,60.0,60.0,,60.0,60.0,60.0,1.0,,,,,,,,,,,
31:03:2013,,,,,,,,,,,,,3481.0,978.0,50.0,267.7692307692308,272.9518131606609,81.0,182.0,293.0,13.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
01:04:2013,,,,,,,,,,,,,17160.0,1896.0,50.0,418.5365853658537,440.04028778970775,141.0,242.0,565.0,41.0,,26402.0,22802.0,1200.0,8800.666666666666,12140.346013740029,1800.0,2400.0,12601.0,3.0,
05:05:2013,,,,,,,,,,,,,18427.0,1503.0,70.0,267.05797101449275,267.79913917501955,131.0,182.0,292.0,69.0,,7382.0,1200.0,486.0,1054.571428571429,253.17046769772676,1110.5,1130.0,1172.5,7.0,
18:05:2013,,,,,,,,,,,,,2179.0,1977.0,202.0,1089.5,1255.114536606122,645.75,1089.5,1533.25,2.0,,1096.0,1096.0,1096.0,1096.0,,1096.0,1096.0,1096.0,1.0,
19:05:2013,,,,,,,,,,,,,14837.0,2682.0,41.0,285.3269230769231,386.2116518765959,100.0,186.5,365.5,52.0,2.0,,,,,,,,,,
20:05:2013,,,,,,,,,,,,,878.0,636.0,242.0,439.0,278.6000717874997,340.5,439.0,537.5,2.0,,3573.0,1200.0,1173.0,1191.0,15.588457268119896,1186.5,1200.0,1200.0,3.0,
