date,home_time,orthers,school_time,travel_time,recreational_activities,shopping,date_in_week,volunteer,location_names
14:05:2013,14399.0,2400.0,42961.0,0.0,8400.0,0.0,1,32,"Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
15:04:2013,1199.0,0.0,58801.0,28800.0,0.0,0.0,0,32,"North Main Street,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,La Casa,Sudikoff Hall,Sudikoff Hall,North Main Street,Sudikoff Hall"
15:05:2013,0.0,0.0,74400.0,0.0,0.0,105600.0,2,32,"Wilder Hall,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Reed Hall,Hanover Park"
16:04:2013,56399.0,0.0,14401.0,13200.0,0.0,0.0,1,32,"0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,0,0,0"
17:04:2013,0.0,0.0,50400.0,43200.0,0.0,0.0,2,32,"Sudikoff Hall,Wilder Hall,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dewey Parking Lot,Sudikoff Hall,Guarini Institute for International Education,Sudikoff Hall"
17:05:2013,0.0,0.0,0.0,1200.0,0.0,97341.0,4,32,"0,Hanover Park"
18:04:2013,10802.0,0.0,33598.0,0.0,0.0,33600.0,3,32,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hanover Park,Life Sciences Greenhouse,Steele Hall"
18:05:2013,78000.0,0.0,0.0,0.0,0.0,0.0,5,32,0
19:04:2013,0.0,0.0,81618.0,1200.0,2398.0,1184.0,4,32,"Sudikoff Hall,Sudikoff Hall,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Sudikoff Hall,Sudikoff Hall,Hanover Park,Sudikoff Hall"
19:05:2013,1200.0,0.0,86180.0,0.0,0.0,0.0,-1,32,"0,Sudikoff Hall"
20:04:2013,0.0,0.0,57600.0,43200.0,0.0,0.0,5,32,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street"
20:05:2013,0.0,75679.0,0.0,0.0,0.0,0.0,0,32,"Stop & Shop,0"
21:04:2013,45600.0,0.0,34800.0,0.0,0.0,0.0,-1,32,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
21:05:2013,0.0,5121.0,58801.0,14400.0,3599.0,0.0,1,32,"0,The Cheesecake Factory,0,Sudikoff Hall,Sudikoff Hall,Nugget Arcade"
22:04:2013,3600.0,0.0,69600.0,1200.0,3600.0,0.0,0,32,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,F Lot Parking"
22:05:2013,43201.0,19309.0,13199.0,12000.0,0.0,1091.0,2,32,"0,Sudikoff Hall,La Casa,Wilder Hall,Wilder Hall,Nugget Arcade,Hanover Park,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,Sudikoff Hall"
23:04:2013,1201.0,0.0,98398.0,2400.0,1201.0,1200.0,1,32,"Hopkins Center for the Arts,Webster Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Lot 6,Roberts Flowers of Hanover,Dartmouth College,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
23:05:2013,94240.0,0.0,0.0,0.0,0.0,0.0,3,32,0
24:04:2013,80400.0,1200.0,0.0,2400.0,0.0,10800.0,2,32,"Hanover Park,0,Lot 6,0"
24:05:2013,0.0,0.0,101223.0,0.0,0.0,0.0,4,32,Sudikoff Hall
25:04:2013,0.0,0.0,63600.0,0.0,0.0,0.0,3,32,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
25:05:2013,6600.0,0.0,378963.0,3000.0,0.0,0.0,5,32,"0,North Main Street,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
26:04:2013,82706.0,0.0,25295.0,0.0,0.0,0.0,4,32,"Wilder Hall,Sudikoff Hall,0,Sudikoff Hall,Vail,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall,0"
27:04:2013,0.0,0.0,0.0,1200.0,0.0,117600.0,5,32,"South Block Parking Garage,Roberts Flowers of Hanover,Hanover Park"
28:03:2013,25200.0,0.0,1202.0,43200.0,0.0,0.0,3,32,"North Main Street,0,North Main Street,0,North Main Street,North Main Street,0,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,North Main Street,North Main Street,0,North Main Street,0,North Main Street,North Main Street,North Main Street,0,0,Sudikoff Hall"
28:04:2013,0.0,0.0,61153.0,0.0,0.0,0.0,-1,32,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
29:03:2013,18000.0,2400.0,36000.0,29998.0,0.0,0.0,4,32,"Sudikoff Hall,Sudikoff Hall,Wilder Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,North Main Street,North Main Street,North Main Street,Class of 1978 Life Sciences Center,Sudikoff Hall"
29:04:2013,0.0,0.0,51612.0,0.0,3636.0,0.0,0,32,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts"
29:05:2013,0.0,0.0,0.0,0.0,0.0,0.0,2,32,Life Sciences Greenhouse
30:03:2013,32404.0,0.0,6003.0,53993.0,0.0,0.0,5,32,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dewey Parking Lot,0,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,0,North Main Street,North Main Street,0,North Main Street,0,0,North Main Street,0,North Main Street,North Main Street,North Main Street,0"
30:04:2013,34707.0,1202.0,46798.0,0.0,3604.0,1196.0,1,32,"Hopkins Center for the Arts,Hanover Park,Hopkins Center for the Arts,0,Webster Hall,Sudikoff Hall,0"
31:03:2013,24000.0,0.0,0.0,67204.0,0.0,0.0,-1,32,"North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street"
