date,home_time,orthers,travel_time,recreational_activities,school_time,shopping,working,date_in_week,volunteer,location_names
10:04:2013,58799.0,0.0,0.0,0.0,26401.0,0.0,0.0,2,43,"Dartmouth College,Dartmouth College,Anonymous Hall,Anonymous Hall,Dartmouth College,Class of 1978 Life Sciences Center,Dartmouth College,Sudikoff Hall"
11:04:2013,2400.0,0.0,43187.0,1196.0,38417.0,0.0,0.0,3,43,"Anonymous Hall,0,Hopkins Center for the Arts,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center"
11:05:2013,1618.0,0.0,0.0,82891.0,0.0,0.0,0.0,5,43,"Dartmouth College,Berry Library,Berry Library"
12:04:2013,34802.0,0.0,0.0,0.0,20400.0,0.0,38400.0,4,43,"Dartmouth College,Dartmouth College,Dartmouth College,0,Anonymous Hall,Wheelock Office Park,Life Sciences Greenhouse,Dartmouth College"
12:05:2013,0.0,0.0,164401.0,0.0,0.0,0.0,0.0,-1,43,"F Lot Parking,0"
13:04:2013,2399.0,0.0,1200.0,3599.0,69600.0,0.0,2400.0,5,43,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Anonymous Hall,Wheelock Office Park,0,0"
13:05:2013,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43,"Dartmouth College,Dartmouth College"
14:04:2013,8400.0,0.0,9600.0,0.0,19200.0,0.0,224400.0,-1,43,"0,0,Vail Dartmouth Medical School,Anonymous Hall,0,Wheelock Office Park"
14:05:2013,80401.0,0.0,0.0,1199.0,0.0,0.0,0.0,1,43,"Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College"
15:05:2013,606475.0,0.0,0.0,1201.0,0.0,0.0,0.0,2,43,"Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College"
17:04:2013,14367.0,0.0,70833.0,0.0,0.0,0.0,0.0,2,43,"Dartmouth College,Dartmouth College,F Lot Parking,Life Sciences Greenhouse,F Lot Parking,Dartmouth College"
18:04:2013,6000.0,0.0,0.0,0.0,0.0,0.0,79304.0,3,43,"Dartmouth College,Dartmouth College,Dartmouth College,0,Wheelock Office Park"
19:04:2013,22800.0,0.0,64800.0,2400.0,0.0,0.0,0.0,4,43,"Duende Tapas,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,F Lot Parking,Dartmouth College,0,0,0,0,Dartmouth College"
20:04:2013,165617.0,0.0,0.0,0.0,0.0,0.0,0.0,5,43,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
21:04:2013,6000.0,0.0,0.0,0.0,1200.0,0.0,0.0,-1,43,"0,Dartmouth College"
22:04:2013,16800.0,0.0,70800.0,0.0,3600.0,0.0,0.0,0,43,"0,0,Dartmouth College,0,Dartmouth College,0,0,Dartmouth College"
22:05:2013,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,2,43,"Dartmouth College,Dartmouth College"
23:04:2013,82800.0,0.0,0.0,0.0,0.0,0.0,0.0,1,43,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
24:04:2013,73200.0,0.0,0.0,0.0,0.0,0.0,15600.0,2,43,"Dartmouth College,Dartmouth College,Dartmouth College,Wheelock Office Park"
25:04:2013,156174.0,0.0,0.0,0.0,0.0,0.0,0.0,3,43,"Dartmouth College,Dartmouth College,Dartmouth College"
26:04:2013,97520.0,0.0,1200.0,0.0,2400.0,0.0,0.0,4,43,"Class of 1978 Life Sciences Center,0,Dartmouth College"
28:04:2013,0.0,0.0,159600.0,0.0,0.0,0.0,0.0,-1,43,"F Lot Parking,F Lot Parking"
29:04:2013,15602.0,1198.0,0.0,0.0,0.0,0.0,0.0,0,43,"Life Sciences Greenhouse,0,Dartmouth College"
30:04:2013,81600.0,0.0,0.0,0.0,0.0,0.0,0.0,1,43,Dartmouth College
