date,home_time,recreational_activities,school_time,orthers,travel_time,shopping,date_in_week,volunteer,location_names
15:04:2013,59997.0,5999.0,19203.0,0.0,0.0,0.0,0,52,"Alumni Gymnasium,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,0"
15:05:2013,35996.0,0.0,79204.0,0.0,0.0,0.0,2,52,"0,0,Sudikoff Hall,Sudikoff Hall,0,Anonymous Hall,Reed Hall,Dartmouth College,Sudikoff Hall"
16:04:2013,50400.0,0.0,39600.0,0.0,0.0,0.0,1,52,"Sudikoff Hall,0"
16:05:2013,43803.0,0.0,30001.0,1200.0,599.0,0.0,3,52,"0,0,Dana Parking Lot,Sudikoff Hall"
17:04:2013,40800.0,0.0,39546.0,0.0,0.0,0.0,2,52,"Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall"
17:05:2013,37771.0,8399.0,18001.0,0.0,0.0,0.0,4,52,"Hanover Inn Dartmouth,Sudikoff Hall,Starbucks,0,Murdough Center,Dartmouth College,Murdough Center,Dartmouth College"
18:04:2013,43200.0,0.0,48054.0,0.0,0.0,0.0,3,52,"Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Life Sciences Greenhouse"
18:05:2013,79217.0,0.0,21001.0,0.0,0.0,0.0,5,52,"Dartmouth College,Sudikoff Hall,0,0"
19:04:2013,49200.0,0.0,74400.0,0.0,0.0,0.0,4,52,"Sudikoff Hall,Steele Hall,Steele Hall,Sudikoff Hall,0,Hanover High School,Sudikoff Hall"
19:05:2013,57583.0,0.0,14376.0,0.0,0.0,2453.0,-1,52,"Robinson Hall,Sudikoff Hall,Hanover Park,0,0,Sudikoff Hall"
20:04:2013,50400.0,0.0,0.0,0.0,0.0,0.0,5,52,0
20:05:2013,75000.0,0.0,14372.0,1200.0,0.0,600.0,0,52,"Steele Hall,Irving,0,Hanover Park,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
21:04:2013,20401.0,0.0,79200.0,0.0,0.0,0.0,-1,52,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
21:05:2013,40226.0,0.0,44400.0,0.0,600.0,0.0,1,52,"0,0,Sudikoff Hall,0,0,Sudikoff Hall"
22:04:2013,46800.0,1199.0,57600.0,0.0,0.0,0.0,0,52,"Starbucks,Sudikoff Hall,0,Sudikoff Hall"
22:05:2013,33600.0,0.0,59272.0,0.0,0.0,0.0,2,52,"Sudikoff Hall,0,Sudikoff Hall"
23:04:2013,43088.0,0.0,18112.0,0.0,0.0,0.0,1,52,"0,0,Class of 1953 Commons,Sudikoff Hall"
23:05:2013,43800.0,1200.0,33591.0,0.0,0.0,0.0,3,52,"Steele Hall,Steele Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,Sudikoff Hall"
24:04:2013,44400.0,1200.0,39174.0,3600.0,0.0,0.0,2,52,"0,0,Dartmouth Hall,Sudikoff Hall,Hood Museum of Art,0,0,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
24:05:2013,38400.0,0.0,63009.0,0.0,0.0,0.0,4,52,"Class of 1953 Commons,Sudikoff Hall,0,Sudikoff Hall"
25:04:2013,58800.0,7626.0,4800.0,0.0,0.0,0.0,3,52,"Starbucks,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Life Sciences Greenhouse"
25:05:2013,161400.0,0.0,0.0,0.0,0.0,0.0,5,52,"0,0"
26:04:2013,50400.0,0.0,63600.0,0.0,0.0,0.0,4,52,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall"
27:04:2013,56400.0,0.0,33600.0,1200.0,0.0,0.0,5,52,"0,0,Sudikoff Hall"
27:05:2013,63000.0,600.0,19200.0,600.0,0.0,0.0,0,52,"Nugget Arcade,0,West Stands,Sudikoff Hall"
28:03:2013,46817.0,0.0,6000.0,0.0,0.0,0.0,3,52,"0,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,50400.0,0.0,40800.0,0.0,0.0,0.0,-1,52,"0,Sudikoff Hall"
28:05:2013,0.0,0.0,85800.0,0.0,0.0,0.0,1,52,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
29:03:2013,46773.0,0.0,62427.0,0.0,0.0,0.0,4,52,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Life Sciences Greenhouse,Sudikoff Hall"
29:04:2013,54000.0,0.0,0.0,0.0,0.0,0.0,0,52,0
29:05:2013,46801.0,0.0,66577.0,0.0,0.0,0.0,2,52,"Sudikoff Hall,Sudikoff Hall,0,Anonymous Hall,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall"
30:03:2013,46800.0,0.0,16799.0,1200.0,0.0,1201.0,5,52,"Hanover Park,Sudikoff Hall,Sudikoff Hall,Dartmouth Real Estate - Sachem Village,0"
30:04:2013,55200.0,0.0,37200.0,0.0,0.0,0.0,1,52,"Sudikoff Hall,0"
30:05:2013,45613.0,0.0,40200.0,6009.0,0.0,0.0,3,52,"0,Irving,Sudikoff Hall"
31:03:2013,40800.0,0.0,62356.0,0.0,0.0,0.0,-1,52,"Sudikoff Hall,0,Sudikoff Hall"
31:05:2013,39000.0,0.0,45600.0,0.0,0.0,0.0,4,52,"0,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall"
