date,school_time,home_time,travel_time,orthers,date_in_week,volunteer,location_names
17:05:2013,68400.0,16800.0,0.0,0.0,4,45,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0"
18:04:2013,10800.0,32400.0,40801.0,0.0,3,45,"Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,G Lot Parking,0,0,0,0,0,0,0,0,Sudikoff Hall,Sudikoff Hall,0,0"
18:05:2013,82800.0,20400.0,0.0,0.0,5,45,"Sudikoff Hall,0"
19:04:2013,19200.0,69600.0,0.0,0.0,4,45,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,0,0,0,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,0"
19:05:2013,68400.0,27600.0,0.0,0.0,-1,45,"Sudikoff Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sudikoff Hall,Sudikoff Hall"
20:04:2013,12000.0,72001.0,0.0,0.0,5,45,"Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,0,0"
20:05:2013,0.0,62400.0,0.0,0.0,0,45,"0,0"
21:04:2013,39602.0,48000.0,0.0,0.0,-1,45,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,0"
21:05:2013,33600.0,50400.0,0.0,0.0,1,45,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
22:04:2013,70801.0,18001.0,0.0,0.0,0,45,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Kellogg Medical Auditorium,0,0,0,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
22:05:2013,90000.0,0.0,0.0,0.0,2,45,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
23:04:2013,30002.0,52802.0,0.0,0.0,1,45,"Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,Dartmouth College,Dartmouth College,Sudikoff Hall"
23:05:2013,21601.0,61199.0,0.0,0.0,3,45,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall,0,0"
24:04:2013,23997.0,63101.0,0.0,0.0,2,45,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,0,0,Dartmouth College"
24:05:2013,4762.0,81638.0,0.0,0.0,4,45,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0"
25:04:2013,58799.0,22803.0,2400.0,1700.0,3,45,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dewey Parking Lot,0,Sudikoff Hall"
25:05:2013,111600.0,0.0,0.0,0.0,5,45,Sudikoff Hall
26:04:2013,22799.0,64802.0,0.0,0.0,4,45,"Sudikoff Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,0,0,0,0,Life Sciences Greenhouse,Sudikoff Hall"
26:05:2013,53999.0,7201.0,0.0,0.0,-1,45,"0,0,Sudikoff Hall,0"
27:04:2013,93974.0,3599.0,0.0,0.0,5,45,"Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
27:05:2013,0.0,96002.0,0.0,0.0,0,45,0
28:04:2013,142800.0,0.0,0.0,0.0,-1,45,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
28:05:2013,190085.0,49201.0,0.0,0.0,1,45,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,0,0,0,0,0,0,0,0,0,0,Sudikoff Hall"
29:04:2013,19127.0,0.0,0.0,0.0,0,45,"Sudikoff Hall,Sudikoff Hall"
30:04:2013,45673.0,120000.0,0.0,0.0,1,45,"Sudikoff Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,0,0"
30:05:2013,66000.0,1199.0,0.0,0.0,3,45,"0,Sudikoff Hall"
31:05:2013,4800.0,21600.0,0.0,0.0,4,45,"0,0,0,0,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0"
