date,home_time,recreational_activities,school_time,travel_time,orthers,shopping,working,date_in_week,volunteer,location_names
06:05:2013,71961.0,0.0,0.0,0.0,170601.0,0.0,0.0,0,1,"0,0,Aéroport de Paris-Charles-de-Gaulle"
07:04:2013,2550.0,92810.0,0.0,4650.0,0.0,0.0,0.0,-1,1,"0,0,0,Berry Sports Center"
08:04:2013,44400.0,0.0,13200.0,3600.0,0.0,0.0,0.0,0,1,"0,0,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,South Block Parking Garage"
08:05:2013,0.0,0.0,0.0,0.0,88373.0,0.0,0.0,2,1,Heathrow Terminal 5
09:04:2013,63600.0,1200.0,20400.0,1200.0,0.0,0.0,0.0,1,1,"South Block Parking Garage,Class of 1978 Life Sciences Center,Dartmouth College,Sudikoff Hall,0,0,0,Wheeler Hall,0,Dartmouth College"
09:05:2013,0.0,0.0,2399.0,0.0,0.0,0.0,0.0,3,1,Sudikoff Hall
10:04:2013,9600.0,2401.0,69599.0,73201.0,1200.0,0.0,0.0,2,1,"Wheeler Hall,Baker Memorial Library,Baker Memorial Library,Parker House,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Native American House,Sudikoff Hall,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Sudikoff Hall,Irving,South Block Parking Garage,South Block Parking Garage"
10:05:2013,5994.0,2397.0,72007.0,4800.0,1201.0,0.0,0.0,4,1,"Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,South Block Parking Garage,South Block Parking Garage,Steele Hall,Steele Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Guarini Institute for International Education,Black Family Visual Arts Center,0,0,Life Sciences Greenhouse,Class of 1978 Life Sciences Center"
11:04:2013,1200.0,1198.0,12000.0,2401.0,0.0,0.0,0.0,3,1,"South Block Parking Garage,South Block Parking Garage,Six South Street,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse"
11:05:2013,7201.0,0.0,68400.0,0.0,1198.0,92401.0,0.0,5,1,"Life Sciences Greenhouse,0,Sudikoff Hall,King Arthur Baking Company"
12:04:2013,8305.0,6000.0,7296.0,57813.0,2400.0,5789.0,0.0,4,1,"Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Citizens Bank,Dartmouth College,Dartmouth College,House Center A,King Arthur Baking Company,Co-op Food Stores Norwich Service Center,Baker Memorial Library,0,Baker Memorial Library,Baker Memorial Library,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,South Block Parking Garage"
12:05:2013,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,-1,1,"Berry Sports Center,Berry Sports Center"
13:04:2013,79318.0,0.0,12004.0,1200.0,0.0,3478.0,0.0,5,1,"South Block Parking Garage,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Sudikoff Hall,Hanover Park,Hanover Park,Dartmouth College,0"
13:05:2013,25196.0,2403.0,16799.0,0.0,44401.0,0.0,0.0,0,1,"Alumni Gymnasium,0,0,0,Big Green Real Estate,Sudikoff Hall,Sudikoff Hall,Dartmouth Hall,Sudikoff Hall"
14:04:2013,145200.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,"0,0,0,0"
14:05:2013,6000.0,0.0,61200.0,0.0,87600.0,0.0,0.0,1,1,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,White River Junction Historic District"
15:04:2013,3600.0,0.0,8400.0,4800.0,0.0,0.0,0.0,0,1,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Anonymous Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,South Block Parking Garage,South Block Parking Garage,South Block Parking Garage,South Block Parking Garage"
15:05:2013,3600.0,0.0,13200.0,0.0,0.0,0.0,0.0,2,1,"Sudikoff Hall,Wheeler Hall,Dartmouth College,Thornton Hall,Sudikoff Hall"
16:04:2013,107242.0,0.0,28800.0,2400.0,0.0,0.0,0.0,1,1,"South Block Parking Garage,South Block Parking Garage,La Casa,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
16:05:2013,2400.0,0.0,20405.0,0.0,84761.0,0.0,0.0,3,1,"Sudikoff Hall,Dartmouth College,Sudikoff Hall,Steele Hall,Steele Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Martha E. Diebold Real Estate,0,0"
17:04:2013,20400.0,3600.0,6000.0,4800.0,0.0,0.0,0.0,2,1,"0,0,0,Dartmouth College,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,South Block Parking Garage,South Block Parking Garage"
17:05:2013,18002.0,6912.0,0.0,0.0,39888.0,0.0,0.0,4,1,"Hanover Inn Dartmouth,0,Dartmouth College,Dartmouth College,Dartmouth College"
18:04:2013,16800.0,2400.0,18000.0,0.0,0.0,49200.0,0.0,3,1,"Dewey Field Road,Dewey Field Road,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,Observatory Road,Dartmouth College,0,Dartmouth College,Baker Memorial Library,Wheeler Hall,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center"
18:05:2013,445118.0,1200.0,7200.0,0.0,0.0,0.0,0.0,5,1,"Dartmouth College,Dartmouth College,Dartmouth College,0,Sudikoff Hall,Sudikoff Hall,0,0"
19:04:2013,10997.0,0.0,71803.0,0.0,3600.0,0.0,0.0,4,1,"Sudikoff Hall,Steele Hall,Steele Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,Sudikoff Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Johnson Audiology"
20:04:2013,15606.0,0.0,21599.0,0.0,52759.0,1201.0,0.0,5,1,"Class of 1978 Life Sciences Center,Dewey Field Road,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Sudikoff Hall,Arlington Coin,Arlington Coin,0,0"
21:04:2013,45380.0,7197.0,0.0,0.0,51598.0,0.0,0.0,-1,1,"Nelson Fitness Center,Kabob and Curry,257 Thayer,0,0,0"
22:04:2013,49313.0,0.0,19267.0,3640.0,0.0,0.0,0.0,0,1,"0,0,0,Sudikoff Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,South Block Parking Garage,South Block Parking Garage,Class of 1953 Commons,Class of 1978 Life Sciences Center"
23:04:2013,45600.0,2399.0,51592.0,0.0,0.0,0.0,0.0,1,1,"Sudikoff Hall,Alumni Gymnasium,0,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
23:05:2013,55777.0,0.0,8966.0,0.0,2400.0,0.0,0.0,3,1,"Sudikoff Hall,0,0,0,0,Nugget Arcade,Dartmouth College,Dartmouth College,Sudikoff Hall"
24:04:2013,9600.0,0.0,56399.0,0.0,0.0,0.0,0.0,2,1,"Dartmouth College,Sudikoff Hall"
24:05:2013,9001.0,2552.0,0.0,2400.0,71847.0,0.0,0.0,4,1,"Co-op Food Stores Norwich Service Center,0,0,0,0,0,0,Alumni Gymnasium,Berry Sports Center,Berry Sports Center,Alumni Gymnasium,0"
25:04:2013,24010.0,13238.0,2399.0,0.0,0.0,47011.0,0.0,3,1,"King Arthur Baking Company,0,0,Dartmouth College,Baker Memorial Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center"
25:05:2013,0.0,25341.0,0.0,0.0,62653.0,0.0,0.0,5,1,"0,Midtown Center,Midtown Center,Midtown Center,Midtown Center,Natural Resources Defense Council,Natural Resources Defense Council,Natural Resources Defense Council,Midtown Center,Midtown Center,Midtown Center,Embassy of Djibouti,0,0,0,Embassy of Djibouti"
26:04:2013,73202.0,4799.0,1201.0,5999.0,0.0,0.0,0.0,4,1,"Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Vail,Life Sciences Greenhouse,Life Sciences Greenhouse,South Block Parking Garage,South Block Parking Garage"
26:05:2013,0.0,0.0,0.0,0.0,126205.0,0.0,0.0,-1,1,"New Executive Office Building,Reconstruction Finance Corporation Building,Norwich Inn,Norwich Inn"
27:03:2013,1200.0,0.0,19200.0,0.0,0.0,0.0,0.0,2,1,"Sudikoff Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall"
27:04:2013,3600.0,1201.0,16801.0,0.0,0.0,81597.0,0.0,5,1,"Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Berry Sports Center,Hanover Park,Hanover Park"
27:05:2013,46801.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,"0,0,0,0"
28:03:2013,16797.0,2400.0,66370.0,0.0,0.0,0.0,0.0,3,1,"Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Wheeler Hall,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,72670.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,"0,0,0,0,0"
28:05:2013,54597.0,6599.0,20403.0,0.0,0.0,0.0,0.0,1,1,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Baker Memorial Library,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
29:03:2013,2400.0,1200.0,73203.0,5994.0,1200.0,0.0,0.0,4,1,"South Block Parking Garage,Johnson Audiology,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0,0,South Block Parking Garage,South Block Parking Garage,Dartmouth College"
29:04:2013,72000.0,0.0,13201.0,0.0,0.0,0.0,0.0,0,1,"0,0,0,0,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall"
29:05:2013,14738.0,4199.0,24000.0,0.0,45089.0,600.0,0.0,2,1,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Berry Sports Center,Berry Sports Center,Alumni Gymnasium,Citizens Bank,Still North Books & Bar,Hanover Park,0,0,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
30:03:2013,229921.0,1200.0,12005.0,0.0,0.0,0.0,0.0,5,1,"Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Rylee Anne's,Sudikoff Hall,Dartmouth College"
30:04:2013,8935.0,0.0,83647.0,0.0,0.0,0.0,0.0,1,1,"Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall"
30:05:2013,3866.0,5400.0,20660.0,0.0,56074.0,0.0,597.0,3,1,"Sudikoff Hall,Casque & Gauntlet Senior Society,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Rollins Chapel,Hanover High School,Hanover High School,Dartmouth College,Hunter House,0,Berry Sports Center"
31:05:2013,62215.0,5600.0,14248.0,1340.0,600.0,597.0,0.0,4,1,"Alumni Gymnasium,Alumni Gymnasium,Ivy Lane,Sudikoff Hall,0,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Alumni Gymnasium,Berry Sports Center,Berry Sports Center,Alumni Gymnasium,Gym Lot,Hanover High School,Hanover High School,Hanover High School,0,0,0,0,0"
