,home_time,recreational_activities,school_time,travel_time,orthers,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
06:05:2013,49198.0,0.0,21002.0,0.0,0.0,0.0,0.0,0.0,0.0,11700.0,6.0,"Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,0,North Massachusetts Hall,North Massachusetts Hall,Robinson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Haldeman Center",21227,3682.0,40.0,573.7027027027027,858.5195870691485,111.0,172.0,645.0,37.0,,10448.0,1200.0,414.0,614.5882352941177,159.10022738180223,597.0,600.0,600.0,17.0,
07:04:2013,51598.0,7201.0,21600.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,6.0,"Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Andres Hall,North Massachusetts Hall,Hopkins Center for the Arts,North Massachusetts Hall",18931,4406.0,60.0,591.59375,827.0109356602322,138.75,337.5,682.75,32.0,,4799.0,1200.0,1199.0,1199.75,0.5,1199.75,1200.0,1200.0,4.0,
08:04:2013,71998.0,0.0,4802.0,10800.0,0.0,0.0,0.0,0.0,1.0,11700.0,6.0,"North Massachusetts Hall,0,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,0,Dartmouth College,Andres Hall,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",29478,4045.0,30.0,950.9032258064516,994.5805264813474,156.0,605.0,1442.0,31.0,,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,
08:05:2013,7200.0,2999.0,6601.0,0.0,0.0,0.0,0.0,2.0,1.0,11700.0,6.0,"North Massachusetts Hall,Dartmouth College,Robinson Hall,Robinson Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,0",15158,3469.0,40.0,757.9,1047.3258126747075,166.75,252.5,710.75,20.0,,1916.0,604.0,1.0,383.2,227.74700876191548,393.0,436.0,482.0,5.0,
09:04:2013,58800.0,6000.0,19202.0,0.0,0.0,1200.0,0.0,1.0,0.0,3900.0,6.0,"0,Winfred-Raven House,Winfred-Raven House,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,North Massachusetts Hall,Dartmouth College,0,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,Collis Student Center,Collis Student Center",11999,2895.0,71.0,799.9333333333333,882.5238537178202,146.5,363.0,1144.5,15.0,,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,
09:05:2013,51000.0,1799.0,64202.0,1201.0,0.0,0.0,598.0,3.0,0.0,7800.0,6.0,"0,Winfred-Raven House,Winfred-Raven House,Dartmouth College,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Hanover Park,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Hanover Inn Valet Lot,Hallgarten Hall,New Hampshire Hall,Hallgarten Hall,Native American House Parking Lot,Hopkins Center for the Arts,Sudikoff Hall",12137,3774.0,50.0,367.7878787878788,701.9714986012501,81.0,151.0,272.0,33.0,,1717.0,604.0,1.0,429.25,288.63976972459403,384.25,556.0,601.0,4.0,
10:04:2013,69599.0,4800.0,13199.0,0.0,0.0,0.0,0.0,2.0,0.0,11700.0,6.0,"Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,North Massachusetts Hall,Haldeman Center",6191,2864.0,70.0,1547.75,1173.444040705251,1000.75,1628.5,2175.5,4.0,,4800.0,2400.0,1200.0,1600.0,692.8203230275509,1200.0,1200.0,1800.0,3.0,
10:05:2013,38404.0,1796.0,14401.0,0.0,0.0,0.0,0.0,4.0,0.0,9000.0,6.0,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,North Massachusetts Hall,North Massachusetts Hall,Collis Student Center,Collis Student Center,Anonymous Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Haldeman Center",18794,4499.0,71.0,1044.111111111111,1318.8067195001292,138.75,453.5,1520.5,18.0,,2406.0,604.0,600.0,601.5,1.914854215512676,600.0,601.0,602.5,4.0,
11:04:2013,63602.0,7200.0,10799.0,0.0,3599.0,0.0,0.0,3.0,0.0,7800.0,6.0,"0,Winfred-Raven House,Winfred-Raven House,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,North Massachusetts Hall,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Coldwell Banker,Coldwell Banker,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Goldstein Hall,Goldstein Hall,Life Sciences Greenhouse,Life Sciences Greenhouse",27140,3863.0,71.0,848.125,1064.1763663555384,141.0,297.0,1189.75,32.0,,1199.0,1199.0,1199.0,1199.0,,1199.0,1199.0,1199.0,1.0,
11:05:2013,80399.0,599.0,5401.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,"0,Winfred-Raven House,Winfred-Raven House,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall",3769,1825.0,50.0,221.7058823529412,418.2682698797929,81.0,111.0,151.0,17.0,,600.0,600.0,600.0,600.0,,600.0,600.0,600.0,1.0,
12:04:2013,75601.0,9599.0,2400.0,0.0,0.0,0.0,0.0,4.0,1.0,9000.0,6.0,"Collis Student Center,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,North Massachusetts Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1953 Commons,North Massachusetts Hall,0",606,606.0,606.0,606.0,,606.0,606.0,606.0,1.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
12:05:2013,86400.0,0.0,2400.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,6.0,"North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall",26049,11689.0,60.0,814.03125,2182.837432576336,100.0,206.5,426.5,32.0,,,,,,,,,,,
13:04:2013,66002.0,8399.0,43201.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,"0,Winfred-Raven House,Winfred-Raven House,Baker Memorial Library,Baker Memorial Library,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons",13902,2753.0,60.0,496.5,699.5928710222719,123.5,261.5,403.25,28.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,
13:05:2013,45001.0,21000.0,18000.0,0.0,599.0,0.0,0.0,0.0,0.0,11700.0,6.0,"North Massachusetts Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hood Museum of Art,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College",13154,2654.0,60.0,487.1851851851852,632.3976376298159,91.0,201.0,521.0,27.0,,5531.0,1200.0,596.0,790.1428571428571,281.34583023474187,600.0,604.0,965.5,7.0,
14:04:2013,49204.0,3597.0,0.0,1200.0,0.0,0.0,0.0,-1.0,0.0,0.0,6.0,"Mass Parking Lot,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,West Stands",26378,3913.0,50.0,628.047619047619,716.1465973504529,143.5,428.5,826.75,42.0,,3820.0,1420.0,1200.0,1273.3333333333333,127.01705922171767,1200.0,1200.0,1310.0,3.0,
14:05:2013,8400.0,0.0,75600.0,0.0,0.0,0.0,0.0,1.0,0.0,3900.0,6.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",11617,4085.0,60.0,400.5862068965517,784.9037027942336,91.0,192.0,322.0,29.0,,2996.0,600.0,596.0,599.2,1.788854381999832,600.0,600.0,600.0,5.0,
15:04:2013,74400.0,0.0,13200.0,0.0,0.0,0.0,0.0,0.0,0.0,11700.0,6.0,"North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Collis Student Center,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1953 Commons,Class of 1953 Commons,Haldeman Center",24535,4750.0,50.0,791.4516129032259,976.9023096403477,106.0,404.0,1270.0,31.0,,3601.0,1201.0,1200.0,1200.3333333333333,0.5773502691896258,1200.0,1200.0,1200.5,3.0,
15:05:2013,34800.0,0.0,52820.0,0.0,0.0,0.0,0.0,2.0,0.0,11700.0,6.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",17651,3015.0,50.0,767.4347826086956,852.7300449991596,96.0,414.0,1296.0,23.0,,5768.0,2400.0,600.0,1153.6,812.823043472563,600.0,601.0,1567.0,5.0,
16:04:2013,136802.0,1200.0,20400.0,0.0,0.0,0.0,0.0,1.0,0.0,3900.0,6.0,"0,Winfred-Raven House,Winfred-Raven House,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall",70,70.0,70.0,70.0,,70.0,70.0,70.0,1.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
16:05:2013,248582.0,0.0,4198.0,0.0,4800.0,0.0,0.0,3.0,1.0,7800.0,6.0,"Dartmouth College,Moore Psychology Building,Winfred-Raven House,Winfred-Raven House,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Collis Student Center,0,Dartmouth College,Hanover Post Office,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Life Sciences Greenhouse,Dartmouth College,Robinson Hall,North Massachusetts Hall",4059,1880.0,61.0,676.5,911.3194280821626,81.0,111.0,1396.5,6.0,,4199.0,601.0,598.0,599.8571428571429,0.8997354108424375,600.0,600.0,600.0,7.0,
17:04:2013,7200.0,2400.0,4802.0,0.0,0.0,0.0,0.0,2.0,1.0,11700.0,6.0,"North Massachusetts Hall,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall,0",26448,5910.0,70.0,1392.0,1600.9863279310732,282.0,797.0,1710.5,19.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
18:04:2013,67199.0,1199.0,16802.0,0.0,0.0,0.0,0.0,3.0,0.0,7800.0,6.0,"Dartmouth College,Winfred-Raven House,Winfred-Raven House,Andres Hall,Brace Commons,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Zimmerman Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse",14636,2000.0,60.0,696.952380952381,687.7191633356217,161.0,363.0,1019.0,21.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
18:05:2013,1208.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,North Massachusetts Hall,13244,7262.0,50.0,946.0,2018.434694357144,81.0,106.0,516.75,14.0,,2944.0,1200.0,546.0,736.0,310.3406730245543,585.75,599.0,749.25,4.0,
19:04:2013,84000.0,6000.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,9000.0,6.0,"Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Berry Sports Center,Berry Sports Center,Berry Sports Center,Berry Sports Center,North Massachusetts Hall",2560,907.0,81.0,284.44444444444446,257.35681024169105,151.0,181.0,272.0,9.0,,5999.0,1200.0,1199.0,1199.8,0.4472135954999579,1200.0,1200.0,1200.0,5.0,
19:05:2013,84600.0,3000.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,6.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Hopkins Center for the Arts,Hopkins Center for the Arts",14190,2121.0,40.0,373.42105263157896,423.2917741124844,121.0,186.0,514.75,38.0,,7200.0,1200.0,600.0,654.5454545454545,180.90680674665825,600.0,600.0,600.0,11.0,
20:04:2013,73743.0,5999.0,2399.0,2400.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,"North Massachusetts Hall,Morton Hall,Hanover Inn Valet Lot,North Massachusetts Hall,Andres Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,North Massachusetts Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons",19574,2401.0,70.0,674.9655172413793,635.9272466675627,161.0,585.0,968.0,29.0,,,,,,,,,,,
20:05:2013,66002.0,600.0,19199.0,0.0,0.0,0.0,0.0,0.0,0.0,11700.0,6.0,"Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall",12049,2219.0,60.0,481.96,644.0873698497743,91.0,232.0,535.0,25.0,,8398.0,1800.0,598.0,699.8333333333334,346.4631249782536,600.0,600.0,600.0,12.0,
21:04:2013,68401.0,7199.0,21600.0,1200.0,0.0,0.0,0.0,-1.0,0.0,0.0,6.0,"North Massachusetts Hall,North Massachusetts Hall,Black Family Visual Arts Center,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hanover Inn Dartmouth,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Middle Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons",21455,3258.0,60.0,466.4130434782609,594.0072044489007,121.0,302.5,542.25,46.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
22:04:2013,67200.0,2400.0,4800.0,0.0,0.0,0.0,0.0,0.0,1.0,11700.0,6.0,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Andres Hall,North Massachusetts Hall,Collis Student Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,North Massachusetts Hall,North Massachusetts Hall,0",21820,3998.0,20.0,559.4871794871794,896.5709785444492,96.0,171.0,539.0,39.0,,4803.0,2403.0,1200.0,1601.0,694.5523738351197,1200.0,1200.0,1801.5,3.0,
22:05:2013,49798.0,1800.0,34202.0,0.0,0.0,0.0,0.0,2.0,0.0,11700.0,6.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,North Massachusetts Hall,Collis Student Center,Winfred-Raven House,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons",32163,5435.0,60.0,893.4166666666666,1270.5259062968485,188.5,489.0,773.75,36.0,,4204.0,603.0,600.0,600.5714285714286,1.1338934190276817,600.0,600.0,600.5,7.0,
23:04:2013,64802.0,1200.0,21598.0,0.0,0.0,0.0,0.0,1.0,0.0,3900.0,6.0,"0,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College",17914,6061.0,21.0,542.8484848484849,1088.123502905694,131.0,211.0,514.0,33.0,,4344.0,1200.0,744.0,1086.0,228.0,1086.0,1200.0,1200.0,4.0,
23:05:2013,54001.0,3601.0,31198.0,0.0,0.0,0.0,0.0,3.0,0.0,7800.0,6.0,"Dartmouth College,Dartmouth College,Blunt Alumni Center,Winfred-Raven House,Winfred-Raven House,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Andres Hall,North Massachusetts Hall,Sudikoff Hall,Sudikoff Hall,Winfred-Raven House,Alumni Gymnasium,Alumni Gymnasium,Morton Hall,Dartmouth College,Moore Psychology Building,Winfred-Raven House",12705,1775.0,60.0,352.9166666666667,389.6997653872236,108.5,197.0,469.0,36.0,,2403.0,603.0,600.0,600.75,1.5,600.0,600.0,600.75,4.0,
24:04:2013,61202.0,1200.0,19198.0,0.0,2400.0,0.0,0.0,2.0,0.0,11700.0,6.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,Andres Hall,Collis Student Center,North Massachusetts Hall,North Massachusetts Hall,Robinson Hall,Dartmouth College,0,Class of 1953 Commons",16460,3318.0,90.0,633.0769230769231,778.6335170323416,164.25,393.5,670.0,26.0,,3602.0,1201.0,1200.0,1200.6666666666667,0.5773502691896258,1200.5,1201.0,1201.0,3.0,
24:05:2013,94308.0,0.0,1204.0,0.0,0.0,0.0,0.0,4.0,1.0,9000.0,6.0,"Winfred-Raven House,Parker House,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall",4123,2702.0,151.0,824.6,1063.613792689809,262.0,393.0,615.0,5.0,,600.0,600.0,600.0,600.0,,600.0,600.0,600.0,1.0,
25:04:2013,74401.0,2400.0,9600.0,0.0,0.0,0.0,0.0,3.0,0.0,7800.0,6.0,"Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Middle Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Collis Student Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse",15967,2775.0,40.0,614.1153846153846,729.1527865638628,133.5,267.5,1023.75,26.0,,8405.0,2401.0,1.0,1200.7142857142858,692.8226599175564,1199.0,1200.0,1202.5,7.0,
25:05:2013,178873.0,0.0,5999.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,"Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall,North Massachusetts Hall",1079,596.0,60.0,269.75,252.8535478625259,75.0,211.5,406.25,4.0,,3600.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,6.0,
