,home_time,school_time,travel_time,orthers,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
09:04:2013,8400.0,111600.0,0.0,0.0,0.0,1.0,0.0,3900.0,45.0,"Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall",9126.0,1331.0,40.0,304.2,321.2867877769019,81.0,206.5,353.0,30.0,1.0,5828.0,1202.0,1092.0,1165.6,49.95297788921097,1135.0,1198.0,1201.0,5.0,2.0
09:05:2013,6000.0,81600.0,0.0,0.0,0.0,3.0,0.0,7800.0,45.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0",3964.0,3803.0,30.0,991.0,1874.744960432396,53.25,65.5,1003.25,4.0,1.0,6003.0,1203.0,1200.0,1200.6,1.3416407864998738,1200.0,1200.0,1200.0,5.0,1.0
10:04:2013,14400.0,38400.0,0.0,0.0,0.0,2.0,0.0,11700.0,45.0,"Sudikoff Hall,0,Life Sciences Greenhouse",22773.0,4751.0,41.0,690.0909090909091,1084.1667123774243,141.0,343.0,797.0,33.0,1.0,4736.0,1201.0,1139.0,1184.0,30.077677215281547,1181.75,1198.0,1200.25,4.0,1.0
10:05:2013,73200.0,27600.0,0.0,0.0,0.0,4.0,0.0,9000.0,45.0,"Life Sciences Greenhouse,0,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",12638.0,2582.0,70.0,665.1578947368421,673.3039814689857,292.0,403.0,827.5,19.0,,1203.0,1203.0,1203.0,1203.0,,1203.0,1203.0,1203.0,1.0,
11:04:2013,20400.0,9600.0,55200.0,0.0,0.0,3.0,0.0,7800.0,45.0,"0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Dewey Parking Lot,0",7867.0,1473.0,50.0,314.68,320.4300131594001,101.0,212.0,393.0,25.0,1.0,10213.0,2401.0,694.0,1276.625,486.75688783739145,1179.0,1200.0,1200.5,8.0,1.5
11:05:2013,52799.0,15601.0,0.0,0.0,0.0,5.0,0.0,0.0,45.0,"Sudikoff Hall,0,Dartmouth College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",221.0,151.0,70.0,110.5,57.27564927611035,90.25,110.5,130.75,2.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
12:04:2013,9600.0,78000.0,0.0,0.0,0.0,4.0,0.0,9000.0,45.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,Life Sciences Greenhouse,Sudikoff Hall",19381.0,6656.0,40.0,842.6521739130435,1491.5689606675503,116.0,222.0,751.5,23.0,1.0,13203.0,3603.0,1199.0,1650.375,893.573554011404,1199.75,1200.5,1501.25,8.0,1.0
12:05:2013,106611.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,45.0,"0,0",1916.0,1785.0,131.0,958.0,1169.5546160825495,544.5,958.0,1371.5,2.0,1.0,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,2.5
13:04:2013,54000.0,48000.0,15600.0,0.0,0.0,5.0,0.0,0.0,45.0,"Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,G Lot Parking,0,0,0,0,0,0,Sudikoff Hall",12063.0,2884.0,60.0,335.0833333333333,556.8005734295076,80.75,161.5,247.0,36.0,1.0,9433.0,1201.0,1129.0,1179.125,29.849323993302477,1155.0,1199.5,1200.0,8.0,1.3333333333333333
13:05:2013,73200.0,0.0,0.0,0.0,0.0,0.0,1.0,11700.0,45.0,"0,0,0,0,0,0",2289.0,898.0,60.0,327.0,281.0723513024123,177.0,221.0,378.0,7.0,1.0,3382.0,1200.0,982.0,1127.3333333333333,125.8623586833384,1091.0,1200.0,1200.0,3.0,1.0
14:04:2013,107008.0,8400.0,0.0,0.0,0.0,-1.0,0.0,0.0,45.0,"Sudikoff Hall,0,0",2873.0,676.0,30.0,359.125,221.80650351150663,229.25,348.0,471.0,8.0,,25853.0,4519.0,5.0,2154.4166666666665,1507.3107575072136,1187.0,1216.0,3365.0,12.0,1.0
14:05:2013,33600.0,57600.0,0.0,0.0,0.0,1.0,0.0,3900.0,45.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0",12212.0,1815.0,30.0,436.1428571428572,440.6761399457205,118.5,287.5,686.0,28.0,1.0,4800.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,4.0,1.0
15:04:2013,13233.0,17434.0,0.0,0.0,0.0,0.0,0.0,11700.0,45.0,"0,0,0,Sudikoff Hall",2702.0,2480.0,101.0,900.6666666666666,1367.7793438026958,111.0,121.0,1300.5,3.0,1.0,14686.0,2811.0,1.0,1835.75,988.2136480972696,1150.0,2330.5,2490.75,8.0,1.5
15:05:2013,52506.0,20401.0,0.0,1493.0,0.0,2.0,0.0,11700.0,45.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Rauner Hall,0,0,0,0",12313.0,1412.0,30.0,439.75,379.85656405972406,128.5,312.0,608.0,28.0,2.0,6577.0,1200.0,856.0,1096.1666666666667,161.82263953682954,991.25,1199.5,1200.0,6.0,3.6666666666666665
16:04:2013,79225.0,19352.0,3600.0,0.0,0.0,1.0,0.0,3900.0,45.0,"Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,G Lot Parking,0,0,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Byrne II Hall",8834.0,1589.0,40.0,327.1851851851852,377.8544731096919,80.5,212.0,303.5,27.0,0.0,7201.0,2401.0,1200.0,1440.2,537.1035281954495,1200.0,1200.0,1200.0,5.0,3.0
16:05:2013,67200.0,20400.0,0.0,0.0,0.0,3.0,0.0,7800.0,45.0,"Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,0,0,0,0",7198.0,1240.0,40.0,287.92,272.08683050330336,161.0,232.0,302.0,25.0,2.0,10800.0,2400.0,1200.0,1542.857142857143,585.54004376912,1200.0,1200.0,1800.0,7.0,4.0
17:04:2013,55200.0,10798.0,1201.0,0.0,0.0,2.0,0.0,11700.0,45.0,"Sudikoff Hall,Byrne II Hall,0,0,0,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0",14976.0,2506.0,61.0,651.1304347826087,739.6504275268902,116.5,317.0,938.5,23.0,,13102.0,2401.0,1116.0,1455.7777777777778,536.279259756001,1196.0,1200.0,1201.0,9.0,
17:05:2013,16801.0,68399.0,0.0,0.0,0.0,4.0,0.0,9000.0,45.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,Sudikoff Hall",16105.0,2481.0,50.0,435.2702702702703,524.9784465760183,90.0,262.0,497.0,37.0,2.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,4.0
18:04:2013,33600.0,10800.0,39601.0,0.0,0.0,3.0,0.0,7800.0,45.0,"Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,G Lot Parking,0,0,0,0,0,0,0,0,0,0,Sudikoff Hall,Sudikoff Hall,0,0",4841.0,848.0,30.0,210.4782608695652,219.70825067579904,86.0,101.0,248.0,23.0,1.0,20144.0,2399.0,1133.0,1259.0,305.18387899756436,1181.25,1198.0,1200.5,16.0,1.0
18:05:2013,6001.0,81600.0,0.0,0.0,0.0,5.0,0.0,0.0,45.0,"Sudikoff Hall,Sudikoff Hall,0,0",5923.0,1804.0,30.0,227.80769230769232,338.7349428955648,81.0,156.5,234.5,26.0,1.0,21597.0,17996.0,1.0,4319.4,7663.05968918421,1200.0,1200.0,1200.0,5.0,1.0
19:04:2013,69600.0,19200.0,0.0,0.0,0.0,4.0,0.0,9000.0,45.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,0",15320.0,2820.0,41.0,567.4074074074074,784.3514841652631,122.0,232.0,489.5,27.0,,8422.0,1263.0,1165.0,1203.142857142857,29.32819219015821,1196.0,1200.0,1201.0,7.0,
19:05:2013,41999.0,68400.0,0.0,0.0,0.0,-1.0,0.0,0.0,45.0,"0,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sudikoff Hall,Sudikoff Hall",6191.0,1896.0,51.0,619.1,685.9976433390035,113.25,211.5,1028.5,10.0,1.0,16761.0,13204.0,1157.0,4190.25,6009.200855077708,1189.25,1200.0,4201.0,4.0,1.0
20:04:2013,70801.0,13200.0,0.0,0.0,0.0,5.0,0.0,0.0,45.0,"Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,0,0,0,Sudikoff Hall",11289.0,1303.0,70.0,451.56,394.7892982338807,142.0,293.0,668.0,25.0,1.0,8183.0,2401.0,1090.0,1363.8333333333333,510.7815253772073,1120.5,1198.0,1200.5,6.0,1.0
20:05:2013,61200.0,0.0,0.0,0.0,0.0,0.0,1.0,11700.0,45.0,"0,0,0,0",8701.0,1533.0,100.0,511.8235294117647,480.6547923528535,202.0,323.0,573.0,17.0,1.0,3555.0,1200.0,1155.0,1185.0,25.98076211353316,1177.5,1200.0,1200.0,3.0,1.0
21:04:2013,50399.0,37203.0,0.0,0.0,0.0,-1.0,0.0,0.0,45.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,Sudikoff Hall,Sudikoff Hall,0",11223.0,2446.0,70.0,623.5,763.1486055268967,131.25,227.0,648.5,18.0,1.0,10726.0,2397.0,1102.0,1340.75,430.5603491796641,1165.25,1196.5,1227.75,8.0,1.0
22:04:2013,20401.0,67199.0,0.0,0.0,0.0,0.0,0.0,11700.0,45.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Kellogg Medical Auditorium,0,0,0,0,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",21181.0,3558.0,41.0,492.5813953488372,696.9660520720244,86.0,242.0,611.0,43.0,1.0,16811.0,3599.0,1198.0,1867.888888888889,1035.522868463614,1200.0,1201.0,2399.0,9.0,2.0
22:05:2013,0.0,88800.0,0.0,0.0,0.0,2.0,0.0,11700.0,45.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",9844.0,989.0,50.0,393.76,331.5117242773373,131.0,252.0,626.0,25.0,1.0,7112.0,1200.0,1112.0,1185.3333333333333,35.92584956081994,1200.0,1200.0,1200.0,6.0,1.0
23:04:2013,52802.0,31204.0,0.0,0.0,0.0,1.0,0.0,3900.0,45.0,"Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,0,0,Dartmouth College,Dartmouth College,Sudikoff Hall",8391.0,2334.0,30.0,322.7307692307692,475.03217218982616,91.25,161.0,310.5,26.0,1.0,6048.0,1294.0,1158.0,1209.6,50.37161899323864,1197.0,1199.0,1200.0,5.0,2.5
23:05:2013,61199.0,22801.0,0.0,0.0,0.0,3.0,0.0,7800.0,45.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,Sudikoff Hall,Sudikoff Hall,0,0",6136.0,1149.0,40.0,278.90909090909093,291.07958477936006,103.25,156.0,307.75,22.0,1.0,6051.0,1232.0,1200.0,1210.2,14.70374102057024,1200.0,1200.0,1219.0,5.0,1.0
24:04:2013,63097.0,24001.0,0.0,0.0,0.0,2.0,0.0,11700.0,45.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,0,0,0,0,Parker House,Dartmouth College",7647.0,4025.0,20.0,332.4782608695652,821.1132061008406,71.0,111.0,203.0,23.0,,8467.0,1290.0,1167.0,1209.571428571429,43.70681542146161,1182.5,1200.0,1222.5,7.0,
24:05:2013,80438.0,5962.0,0.0,0.0,0.0,4.0,1.0,9000.0,45.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0",16000.0,3287.0,101.0,1066.6666666666667,1050.0709273096518,247.0,583.0,1564.0,15.0,1.0,7081.0,1204.0,1134.0,1180.1666666666667,32.437118655433416,1157.25,1200.0,1200.0,6.0,1.0
25:04:2013,24003.0,57599.0,2400.0,1700.0,0.0,3.0,0.0,7800.0,45.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dewey Parking Lot,0,Sudikoff Hall",8870.0,1061.0,50.0,341.15384615384613,332.59857994978773,100.25,192.0,472.25,26.0,1.0,4682.0,1201.0,1087.0,1170.5,55.752428945592435,1167.25,1197.0,1200.25,4.0,1.0
25:05:2013,0.0,87600.0,0.0,0.0,0.0,5.0,0.0,0.0,45.0,"Sudikoff Hall,Sudikoff Hall",6196.0,757.0,70.0,269.39130434782606,209.67848529039856,91.0,212.0,393.0,23.0,,9485.0,3547.0,1120.0,2371.25,991.8105917966394,2079.25,2409.0,2701.0,4.0,
26:04:2013,64802.0,22799.0,0.0,0.0,0.0,4.0,0.0,9000.0,45.0,"Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,0,0,0,0,0,Life Sciences Greenhouse,Sudikoff Hall",18052.0,3975.0,60.0,644.7142857142857,979.0306187147328,171.75,288.0,614.5,28.0,1.0,43070.0,26397.0,1120.0,3915.4545454545455,7499.143982664106,1193.0,1201.0,2401.0,11.0,1.0
26:05:2013,30001.0,55199.0,0.0,0.0,0.0,-1.0,0.0,0.0,45.0,"0,Sudikoff Hall,0,0,Sudikoff Hall,0,0",8846.0,1977.0,50.0,442.3,534.4161693897961,118.0,171.5,504.25,20.0,,10801.0,2400.0,1200.0,1350.125,424.21370540936425,1200.0,1200.0,1200.25,8.0,
27:04:2013,3599.0,92774.0,0.0,0.0,0.0,5.0,0.0,0.0,45.0,"Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",10641.0,2692.0,91.0,462.6521739130435,532.3060132100752,212.0,323.0,428.0,23.0,1.0,26777.0,26777.0,26777.0,26777.0,,26777.0,26777.0,26777.0,1.0,1.0
27:05:2013,54000.0,40800.0,0.0,0.0,0.0,0.0,0.0,11700.0,45.0,"0,Sudikoff Hall,0",22360.0,2956.0,60.0,545.3658536585366,635.248996697262,131.0,313.0,634.0,41.0,1.0,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,2.0
28:03:2013,0.0,529838.0,0.0,0.0,0.0,3.0,0.0,7800.0,45.0,Sudikoff Hall,,,,,,,,,,,,,,,,,,,,
28:04:2013,0.0,79200.0,0.0,0.0,0.0,-1.0,0.0,0.0,45.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",2753.0,686.0,80.0,250.27272727272728,198.8975067259974,96.0,202.0,318.0,11.0,,6065.0,1259.0,1200.0,1213.0,25.79728667902886,1200.0,1201.0,1205.0,5.0,
28:05:2013,32400.0,51602.0,0.0,0.0,16801.0,1.0,0.0,3900.0,45.0,"Sudikoff Hall,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,0,0,0,0,0,0,Sudikoff Hall",22840.0,1977.0,41.0,415.27272727272725,402.3239644746164,131.0,252.0,580.0,55.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
29:04:2013,21600.0,61187.0,0.0,0.0,0.0,0.0,0.0,11700.0,45.0,"0,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall",26609.0,4659.0,70.0,591.3111111111111,801.0135858064236,121.0,283.0,676.0,45.0,1.0,4630.0,1200.0,1116.0,1157.5,38.71692136521188,1130.25,1157.0,1184.25,4.0,2.0
29:05:2013,0.0,138484.0,0.0,0.0,0.0,2.0,0.0,11700.0,45.0,Sudikoff Hall,,,,,,,,,,,,,,,,,,,,
30:04:2013,44413.0,43200.0,0.0,0.0,0.0,1.0,0.0,3900.0,45.0,"Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,0,0,0",18560.0,5043.0,40.0,580.0,946.8287306378542,125.75,212.0,577.5,32.0,1.0,17803.0,2402.0,1083.0,1483.5833333333333,554.5090307213356,1166.25,1195.0,1568.5,12.0,2.3333333333333335
30:05:2013,1201.0,63600.0,1199.0,0.0,0.0,3.0,0.0,7800.0,45.0,"0,0,Sudikoff Hall",3718.0,585.0,60.0,206.55555555555557,140.9665050838516,103.5,161.5,279.5,18.0,,7206.0,1206.0,1200.0,1201.0,2.449489742783178,1200.0,1200.0,1200.0,6.0,
31:05:2013,21600.0,7200.0,0.0,0.0,0.0,4.0,0.0,9000.0,45.0,"Sudikoff Hall,0,0,0,0,0,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0",12170.0,1806.0,50.0,338.05555555555554,376.2804383089404,111.0,221.5,329.75,36.0,2.0,4803.0,1202.0,1200.0,1200.75,0.957427107756338,1200.0,1200.5,1201.25,4.0,5.0
01:04:2013,,,,,,,,,,,6001.0,1997.0,60.0,428.6428571428572,558.4176279924795,98.5,232.0,421.25,14.0,,,,,,,,,,,
02:04:2013,,,,,,,,,,,7915.0,907.0,50.0,282.67857142857144,233.24665907200887,118.5,187.0,345.75,28.0,,10803.0,9603.0,1200.0,5401.5,5941.818282310559,3300.75,5401.5,7502.25,2.0,
