,home_time,orthers,school_time,recreational_activities,travel_time,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
16:04:2013,0.0,152207.0,39599.0,0.0,0.0,1198.0,0.0,1.0,0.0,0.0,35.0,"0,Anonymous Hall,Sudikoff Hall,Sudikoff Hall,0,0",4196.0,1029.0,80.0,262.25,249.9065158547625,106.0,166.0,304.75,16.0,,16803.0,9601.0,1200.0,2400.4285714285716,3175.15363707768,1200.0,1200.0,1201.0,7.0,1.0
18:04:2013,0.0,42000.0,22800.0,0.0,2400.0,0.0,0.0,3.0,0.0,3900.0,35.0,"F Lot Parking,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0",21299.0,3349.0,30.0,645.4242424242424,878.7362740856549,91.0,181.0,756.0,33.0,,30003.0,12003.0,1200.0,4286.142857142857,4892.764468361127,1200.0,1200.0,6600.0,7.0,
19:04:2013,55514.0,4802.0,29998.0,0.0,0.0,0.0,0.0,4.0,0.0,3000.0,35.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,0,0,Vail",17587.0,8441.0,40.0,1172.4666666666667,2247.7777237169366,66.0,484.0,731.0,15.0,,2719.0,1203.0,1.0,543.8,580.6558361025918,1.0,415.0,1099.0,5.0,
20:04:2013,9599.0,52800.0,16801.0,2400.0,0.0,0.0,0.0,5.0,0.0,0.0,35.0,"0,0,0,0,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Collis Student Center,Collis Student Center,0,0,0",18981.0,2612.0,40.0,593.15625,660.1969945195,143.5,313.0,750.5,32.0,,41727.0,9600.0,928.0,2980.5,2495.637139243049,1200.0,1800.0,3600.0,14.0,
20:05:2013,0.0,0.0,70871.0,0.0,0.0,16799.0,0.0,0.0,0.0,3900.0,35.0,"Wheelock Office Park,Class of 1953 Commons",3137.0,817.0,61.0,313.7,245.94310543520243,153.75,257.0,398.5,10.0,,,,,,,,,,,
21:04:2013,30001.0,136619.0,0.0,0.0,0.0,2399.0,0.0,-1.0,0.0,0.0,35.0,"0,0,Alpha Xi Delta,0",1905.0,655.0,343.0,476.25,131.12684698413213,410.5,453.5,519.25,4.0,,20400.0,4800.0,1199.0,2266.6666666666665,1265.148311463917,1200.0,2400.0,2400.0,9.0,
22:04:2013,0.0,1200.0,9600.0,0.0,0.0,0.0,0.0,0.0,0.0,3900.0,35.0,"0,Sudikoff Hall",10051.0,1523.0,30.0,251.275,283.00013477391013,108.5,151.0,247.0,40.0,,6058.0,2400.0,1158.0,1514.5,593.3304307045106,1189.5,1250.0,1575.0,4.0,
23:04:2013,0.0,49205.0,30000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0",14683.0,3479.0,60.0,524.3928571428571,741.7714702124665,118.5,191.5,607.5,28.0,,42002.0,21600.0,1197.0,3000.1428571428573,5402.478446290864,1200.0,1201.0,2102.5,14.0,
24:04:2013,8400.0,52795.0,26400.0,0.0,1200.0,0.0,0.0,2.0,0.0,3900.0,35.0,"0,F Lot Parking,0,0,Kellogg Medical Auditorium,0,Remsen Medical Sciences Building,Remsen Medical Sciences Building,0,0,0,0",14291.0,1230.0,41.0,332.3488372093023,292.90327378886496,121.0,221.0,479.0,43.0,,20403.0,3600.0,1.0,1700.25,951.5252946525576,1200.0,1200.0,2400.0,12.0,
25:04:2013,3599.0,0.0,239408.0,0.0,18001.0,0.0,0.0,3.0,0.0,3900.0,35.0,"F Lot Parking,F Lot Parking,Dartmouth College,Sudikoff Hall,Sudikoff Hall",384.0,384.0,384.0,384.0,,384.0,384.0,384.0,1.0,,,,,,,,,,,
27:03:2013,0.0,0.0,67521.0,0.0,0.0,0.0,0.0,2.0,0.0,3900.0,35.0,Sudikoff Hall,8015.0,5243.0,100.0,1335.8333333333333,2034.531534940333,197.0,287.0,1520.0,6.0,,43207.0,40807.0,2400.0,21603.5,27157.85014503173,12001.75,21603.5,31205.25,2.0,
28:03:2013,1198.0,0.0,64812.0,0.0,0.0,0.0,0.0,3.0,0.0,3900.0,35.0,"Sudikoff Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center",32152.0,4229.0,70.0,730.7272727272727,937.1921786400144,166.0,307.0,1061.75,44.0,,20286.0,16801.0,1086.0,5071.5,7819.849977248072,1169.25,1199.5,5101.75,4.0,
28:04:2013,0.0,100800.0,18008.0,0.0,2399.0,0.0,0.0,-1.0,0.0,0.0,35.0,"0,0,0,0,Four Seasons | Sotheby's,0,0",29889.0,1856.0,30.0,452.8636363636364,428.33045784637017,153.5,283.0,562.5,66.0,,57372.0,22726.0,1200.0,6374.666666666667,7547.674029129768,1200.0,2398.0,8318.0,9.0,
29:03:2013,5998.0,0.0,82798.0,0.0,0.0,0.0,0.0,4.0,0.0,3000.0,35.0,"Collis Student Center,Collis Student Center,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Anonymous Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Berry Hall,Anonymous Hall",12766.0,5022.0,313.0,982.0,1276.2621204125742,433.0,624.0,676.0,13.0,,35992.0,16799.0,1195.0,8998.0,9006.087385763032,1200.25,8999.0,16796.75,4.0,
29:04:2013,8400.0,34800.0,8400.0,0.0,0.0,2400.0,0.0,0.0,0.0,3900.0,35.0,"Wheelock Office Park,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,0",29771.0,2663.0,20.0,572.5192307692307,596.2448664763469,121.0,318.0,973.25,52.0,1.0,25185.0,6000.0,1167.0,1937.3076923076924,1346.0365513001116,1200.0,1200.0,2400.0,13.0,1.0
30:03:2013,0.0,0.0,166505.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,35.0,Anonymous Hall,,,,,,,,,,,,,,,,,,,,
30:04:2013,8400.0,533364.0,27566.0,0.0,0.0,31164.0,0.0,1.0,0.0,0.0,35.0,"0,Sudikoff Hall,Sudikoff Hall,0,0,Class of 1953 Commons,Class of 1953 Commons,Wheelock Office Park,0",9862.0,2087.0,70.0,657.4666666666667,637.1903580414195,101.0,444.0,973.0,15.0,,24865.0,8494.0,1102.0,2260.4545454545455,2329.1879427661634,1156.0,1202.0,1769.5,11.0,
31:03:2013,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,35.0,0,28201.0,2481.0,282.0,1007.1785714285714,612.2996152073498,473.75,757.5,1310.0,28.0,2.0,,,,,,,,,,
17:04:2013,,,,,,,,,,,,,4701.0,2572.0,181.0,1567.0,1240.1979680680015,1064.5,1948.0,2260.0,3.0,,,,,,,,,,,
27:04:2013,,,,,,,,,,,,,1715.0,1160.0,555.0,857.5,427.7996026178613,706.25,857.5,1008.75,2.0,,3606.0,2403.0,1203.0,1803.0,848.5281374238571,1503.0,1803.0,2103.0,2.0,
06:05:2013,,,,,,,,,,,,,757.0,434.0,151.0,252.33333333333331,157.6779418096689,161.5,172.0,303.0,3.0,,,,,,,,,,,
19:05:2013,,,,,,,,,,,,,6610.0,715.0,60.0,287.39130434782606,189.79719777853668,166.0,282.0,368.0,23.0,,2108.0,1200.0,1.0,702.6666666666666,625.0714625811463,454.0,907.0,1053.5,3.0,
